fut2
,გაგზავნი,ვაგზავნი,,გაგზავნით,ვაგზავნი,
მაგზავნი,,აგზავნი,გვაგზავნი,,აგზავნი,
მაგზავნის,გაგზავნის,აგზავნის,გვაგზავნის,გაგზავნით,აგზავნის,
,გაგზავნით,ვაგზავნით,,გაგზავნით,ვაგზავნით,
მაგზავნით,,აგზავნით,გვაგზავნით,,აგზავნით,
მაგზავნიან,გაგზავნიან,აგზავნიან,გვაგზავნიან,გაგზავნიან,აგზავნიან,
fut2_prfv
,აგაგზავნი,ავაგზავნი,,აგაგზავნით,ავაგზავნი,
ამაგზავნი,,ააგზავნი,აგვაგზავნი,,ააგზავნი,
ამაგზავნის,აგაგზავნის,ააგზავნის,აგვაგზავნის,აგაგზავნით,ააგზავნის,
,აგაგზავნით,ავაგზავნით,,აგაგზავნით,ავაგზავნით,
ამაგზავნით,,ააგზავნით,აგვაგზავნით,,ააგზავნით,
ამაგზავნიან,აგაგზავნიან,ააგზავნიან,აგვაგზავნიან,აგაგზავნიან,ააგზავნიან,
cond2
,გაგზავნიდი,ვაგზავნიდი,,გაგზავნიდით,ვაგზავნიდი,
მაგზავნიდი,,აგზავნიდი,გვაგზავნიდი,,აგზავნიდი,
მაგზავნიდა,გაგზავნიდა,აგზავნიდა,გვაგზავნიდა,გაგზავნიდათ,აგზავნიდა,
,გაგზავნიდით,ვაგზავნიდით,,გაგზავნიდით,ვაგზავნიდით,
მაგზავნიდით,,აგზავნიდით,გვაგზავნიდით,,აგზავნიდით,
მაგზავნიდნენ,გაგზავნიდნენ,აგზავნიდნენ,გვაგზავნიდნენ,გაგზავნიდნენ,აგზავნიდნენ,
cond2_prfv
,აგაგზავნიდი,ავაგზავნიდი,,აგაგზავნიდით,ავაგზავნიდი,
ამაგზავნიდი,,ააგზავნიდი,აგვაგზავნიდი,,ააგზავნიდი,
ამაგზავნიდა,აგაგზავნიდა,ააგზავნიდა,აგვაგზავნიდა,აგაგზავნიდათ,ააგზავნიდა,
,აგაგზავნიდით,ავაგზავნიდით,,აგაგზავნიდით,ავაგზავნიდით,
ამაგზავნიდით,,ააგზავნიდით,აგვაგზავნიდით,,ააგზავნიდით,
ამაგზავნიდნენ,აგაგზავნიდნენ,ააგზავნიდნენ,აგვაგზავნიდნენ,აგაგზავნიდნენ,ააგზავნიდნენ,
fut2_subj
,გაგზავნიდე,ვაგზავნიდე,,გაგზავნიდეთ,ვაგზავნიდე,
მაგზავნიდე,,აგზავნიდე,გვაგზავნიდე,,აგზავნიდე,
მაგზავნიდეს,გაგზავნიდეს,აგზავნიდეს,გვაგზავნიდეს,გაგზავნიდეთ,აგზავნიდეს,
,გაგზავნიდეთ,ვაგზავნიდეთ,,გაგზავნიდეთ,ვაგზავნიდეთ,
მაგზავნიდეთ,,აგზავნიდეთ,გვაგზავნიდეთ,,აგზავნიდეთ,
მაგზავნიდნენ,გაგზავნიდნენ,აგზავნიდნენ,გვაგზავნიდნენ,გაგზავნიდნენ,აგზავნიდნენ,
fut2_subj_prfv
,აგაგზავნიდე,ავაგზავნიდე,,აგაგზავნიდეთ,ავაგზავნიდე,
ამაგზავნიდე,,ააგზავნიდე,აგვაგზავნიდე,,ააგზავნიდე,
ამაგზავნიდეს,აგაგზავნიდეს,ააგზავნიდეს,აგვაგზავნიდეს,აგაგზავნიდეთ,ააგზავნიდეს,
,აგაგზავნიდეთ,ავაგზავნიდეთ,,აგაგზავნიდეთ,ავაგზავნიდეთ,
ამაგზავნიდეთ,,ააგზავნიდეთ,აგვაგზავნიდეთ,,ააგზავნიდეთ,
ამაგზავნიდნენ,აგაგზავნიდნენ,ააგზავნიდნენ,აგვაგზავნიდნენ,აგაგზავნიდნენ,ააგზავნიდნენ,
aor2
,გაგზავნე,ვაგზავნე,,გაგზავნეთ,ვაგზავნე,
მაგზავნე,,აგზავნე,გვაგზავნე,,აგზავნე,
მაგზავნა,გაგზავნა,აგზავნა,გვაგზავნა,გაგზავნათ,აგზავნა,
,გაგზავნეთ,ვაგზავნეთ,,გაგზავნეთ,ვაგზავნეთ,
მაგზავნეთ,,აგზავნეთ,გვაგზავნეთ,,აგზავნეთ,
მაგზავნეს,გაგზავნეს,აგზავნეს,გვაგზავნეს,გაგზავნეს,აგზავნეს,
aor2_prfv
,აგაგზავნე,ავაგზავნე,,აგაგზავნეთ,ავაგზავნე,
ამაგზავნე,,ააგზავნე,აგვაგზავნე,,ააგზავნე,
ამაგზავნა,აგაგზავნა,ააგზავნა,აგვაგზავნა,აგაგზავნათ,ააგზავნა,
,აგაგზავნეთ,ავაგზავნეთ,,აგაგზავნეთ,ავაგზავნეთ,
ამაგზავნეთ,,ააგზავნეთ,აგვაგზავნეთ,,ააგზავნეთ,
ამაგზავნეს,აგაგზავნეს,ააგზავნეს,აგვაგზავნეს,აგაგზავნეს,ააგზავნეს,
IIsubj2
,გაგზავნო,ვაგზავნო,,გაგზავნოთ,ვაგზავნო,
მაგზავნო,,აგზავნო,გვაგზავნო,,აგზავნო,
მაგზავნოს,გაგზავნოს,აგზავნოს,გვაგზავნოს,გაგზავნოთ,აგზავნოს,
,გაგზავნოთ,ვაგზავნოთ,,გაგზავნოთ,ვაგზავნოთ,
მაგზავნოთ,,აგზავნოთ,გვაგზავნოთ,,აგზავნოთ,
მაგზავნონ,გაგზავნონ,აგზავნონ,გვაგზავნონ,გაგზავნონ,აგზავნონ,
IIsubj2_prfv
,აგაგზავნო,ავაგზავნო,,აგაგზავნოთ,ავაგზავნო,
ამაგზავნო,,ააგზავნო,აგვაგზავნო,,ააგზავნო,
ამაგზავნოს,აგაგზავნოს,ააგზავნოს,აგვაგზავნოს,აგაგზავნოთ,ააგზავნოს,
,აგაგზავნოთ,ავაგზავნოთ,,აგაგზავნოთ,ავაგზავნოთ,
ამაგზავნოთ,,ააგზავნოთ,აგვაგზავნოთ,,ააგზავნოთ,
ამაგზავნონ,აგაგზავნონ,ააგზავნონ,აგვაგზავნონ,აგაგზავნონ,ააგზავნონ,
Iturm
,მიგზავნიხარ,მიგზავნია,,მიგზავნიხართ,მიგზავნია,
გიგზავნივარ,,გიგზავნია,გიგზავნივართ,,გიგზავნია,
ვუგზავნივარ,უგზავნიხარ,უგზავნია,ვუგზავნივართ,უგზავნიხართ,უგზავნია,
,გვიგზავნიხარ,გვიგზავნია,,გვიგზავნიხართ,გვიგზავნია,
გიგზავნივართ,,გიგზავნიათ,გიგზავნივართ,,გიგზავნიათ,
ვუგზავნივარ,უგზავნიხარ,უგზავნიათ,ვუგზავნივართ,უგზავნიხართ,უგზავნიათ,
Iturm_prfv
,ამიგზავნიხარ,ამიგზავნია,,ამიგზავნიხართ,ამიგზავნია,
აგიგზავნივარ,,აგიგზავნია,აგიგზავნივართ,,აგიგზავნია,
ავუგზავნივარ,აუგზავნიხარ,აუგზავნია,ავუგზავნივართ,აუგზავნიხართ,აუგზავნია,
,აგვიგზავნიხარ,აგვიგზავნია,,აგვიგზავნიხართ,აგვიგზავნია,
აგიგზავნივართ,,აგიგზავნიათ,აგიგზავნივართ,,აგიგზავნიათ,
ავუგზავნივარ,აუგზავნიხარ,აუგზავნიათ,ავუგზავნივართ,აუგზავნიხართ,აუგზავნიათ,
IIturm
,მეგზავნე,მეგზავნა,,მეგზავნეთ,მეგზავნა,
გეგზავნე,,გეგზავნა,გეგზავნეთ,,გეგზავნა,
