fut2
,გათბობ,ვათბობ,,გათბობთ,ვათბობ,
მათბობ,,ათბობ,გვათბობ,,ათბობ,
მათბობს,გათბობს,ათბობს,გვათბობს,გათბობთ,ათბობს,
,გათბობთ,ვათბობთ,,გათბობთ,ვათბობთ,
მათბობთ,,ათბობთ,გვათბობთ,,ათბობთ,
მათბობენ,გათბობენ,ათბობენ,გვათბობენ,გათბობენ,ათბობენ,
fut2_prfv
,აგათბობ,ავათბობ,,აგათბობთ,ავათბობ,
ამათბობ,,აათბობ,აგვათბობ,,აათბობ,
ამათბობს,აგათბობს,აათბობს,აგვათბობს,აგათბობთ,აათბობს,
,აგათბობთ,ავათბობთ,,აგათბობთ,ავათბობთ,
ამათბობთ,,აათბობთ,აგვათბობთ,,აათბობთ,
ამათბობენ,აგათბობენ,აათბობენ,აგვათბობენ,აგათბობენ,აათბობენ,
cond2
,გათბობდი,ვათბობდი,,გათბობდით,ვათბობდი,
მათბობდი,,ათბობდი,გვათბობდი,,ათბობდი,
მათბობდა,გათბობდა,ათბობდა,გვათბობდა,გათბობდათ,ათბობდა,
,გათბობდით,ვათბობდით,,გათბობდით,ვათბობდით,
მათბობდით,,ათბობდით,გვათბობდით,,ათბობდით,
მათბობდნენ,გათბობდნენ,ათბობდნენ,გვათბობდნენ,გათბობდნენ,ათბობდნენ,
cond2_prfv
,აგათბობდი,ავათბობდი,,აგათბობდით,ავათბობდი,
ამათბობდი,,აათბობდი,აგვათბობდი,,აათბობდი,
ამათბობდა,აგათბობდა,აათბობდა,აგვათბობდა,აგათბობდათ,აათბობდა,
,აგათბობდით,ავათბობდით,,აგათბობდით,ავათბობდით,
ამათბობდით,,აათბობდით,აგვათბობდით,,აათბობდით,
ამათბობდნენ,აგათბობდნენ,აათბობდნენ,აგვათბობდნენ,აგათბობდნენ,აათბობდნენ,
fut2_subj
,გათბობდე,ვათბობდე,,გათბობდეთ,ვათბობდე,
მათბობდე,,ათბობდე,გვათბობდე,,ათბობდე,
მათბობდეს,გათბობდეს,ათბობდეს,გვათბობდეს,გათბობდეთ,ათბობდეს,
,გათბობდეთ,ვათბობდეთ,,გათბობდეთ,ვათბობდეთ,
მათბობდეთ,,ათბობდეთ,გვათბობდეთ,,ათბობდეთ,
მათბობდნენ,გათბობდნენ,ათბობდნენ,გვათბობდნენ,გათბობდნენ,ათბობდნენ,
fut2_subj_prfv
,აგათბობდე,ავათბობდე,,აგათბობდეთ,ავათბობდე,
ამათბობდე,,აათბობდე,აგვათბობდე,,აათბობდე,
ამათბობდეს,აგათბობდეს,აათბობდეს,აგვათბობდეს,აგათბობდეთ,აათბობდეს,
,აგათბობდეთ,ავათბობდეთ,,აგათბობდეთ,ავათბობდეთ,
ამათბობდეთ,,აათბობდეთ,აგვათბობდეთ,,აათბობდეთ,
ამათბობდნენ,აგათბობდნენ,აათბობდნენ,აგვათბობდნენ,აგათბობდნენ,აათბობდნენ,
aor2
,გათბე,ვათბე,,გათბეთ,ვათბე,
მათბე,,ათბე,გვათბე,,ათბე,
მათბო,გათბო,ათბო,გვათბო,გათბოთ,ათბო,
,გათბეთ,ვათბეთ,,გათბეთ,ვათბეთ,
მათბეთ,,ათბეთ,გვათბეთ,,ათბეთ,
მათბეს,გათბეს,ათბეს,გვათბეს,გათბეს,ათბეს,
aor2_prfv
,აგათბე,ავათბე,,აგათბეთ,ავათბე,
ამათბე,,აათბე,აგვათბე,,აათბე,
ამათბო,აგათბო,აათბო,აგვათბო,აგათბოთ,აათბო,
,აგათბეთ,ავათბეთ,,აგათბეთ,ავათბეთ,
ამათბეთ,,აათბეთ,აგვათბეთ,,აათბეთ,
ამათბეს,აგათბეს,აათბეს,აგვათბეს,აგათბეს,აათბეს,
IIsubj2
,გათბო,ვათბო,,გათბოთ,ვათბო,
მათბო,,ათბო,გვათბო,,ათბო,
მათბოს,გათბოს,ათბოს,გვათბოს,გათბოთ,ათბოს,
,გათბოთ,ვათბოთ,,გათბოთ,ვათბოთ,
მათბოთ,,ათბოთ,გვათბოთ,,ათბოთ,
მათბონ,გათბონ,ათბონ,გვათბონ,გათბონ,ათბონ,
IIsubj2_prfv
,აგათბო,ავათბო,,აგათბოთ,ავათბო,
ამათბო,,აათბო,აგვათბო,,აათბო,
ამათბოს,აგათბოს,აათბოს,აგვათბოს,აგათბოთ,აათბოს,
,აგათბოთ,ავათბოთ,,აგათბოთ,ავათბოთ,
ამათბოთ,,აათბოთ,აგვათბოთ,,აათბოთ,
ამათბონ,აგათბონ,აათბონ,აგვათბონ,აგათბონ,აათბონ,
Iturm
,მითბიხარ,მითბია,,მითბიხართ,მითბია,
გითბივარ,,გითბია,გითბივართ,,გითბია,
ვუთბივარ,უთბიხარ,უთბია,ვუთბივართ,უთბიხართ,უთბია,
,გვითბიხარ,გვითბია,,გვითბიხართ,გვითბია,
გითბივართ,,გითბიათ,გითბივართ,,გითბიათ,
ვუთბივარ,უთბიხარ,უთბიათ,ვუთბივართ,უთბიხართ,უთბიათ,
Iturm_prfv
,ამითბიხარ,ამითბია,,ამითბიხართ,ამითბია,
აგითბივარ,,აგითბია,აგითბივართ,,აგითბია,
ავუთბივარ,აუთბიხარ,აუთბია,ავუთბივართ,აუთბიხართ,აუთბია,
,აგვითბიხარ,აგვითბია,,აგვითბიხართ,აგვითბია,
აგითბივართ,,აგითბიათ,აგითბივართ,,აგითბიათ,
ავუთბივარ,აუთბიხარ,აუთბიათ,ავუთბივართ,აუთბიხართ,აუთბიათ,
IIturm
,მეთბე,მეთბო,,მეთბეთ,მეთბოთ,
გეთბე,,გეთბო,გეთბეთ,,გეთბოთ,
ვეთბე,ეთბე,ეთბო,ვეთბეთ,ეთბეთ,ეთბოთ,
,გვეთბე,გვეთბო,,გვეთბეთ,გვეთბოთ,
გეთბეთ,,გეთბოთ,გეთბეთ,,გეთბოთ,
ვეთბე,ეთბე,ეთბოთ,ვეთბეთ,ეთბეთ,ეთბოთთ,
IIturm_prfv
,ამეთბე,ამეთბო,,ამეთბეთ,ამეთბოთ,
აგეთბე,,აგეთბო,აგეთბეთ,,აგეთბოთ,
ავეთბე,აეთბე,აეთბო,ავეთბეთ,აეთბეთ,აეთბოთ,
,აგვეთბე,აგვეთბო,,აგვეთბეთ,აგვეთბოთ,
აგეთბეთ,,აგეთბოთ,აგეთბეთ,,აგეთბოთ,
ავეთბე,აეთბე,აეთბოთ,ავეთბეთ,აეთბეთ,აეთბოთთ,
IIIsubj
,მეთბო,მეთბოს,,მეთბოთ,მეთბოს,
გეთბო,,გეთბოს,გეთბოთ,,გეთბოს,
ვეთბო,ეთბო,ეთბოს,ვეთბოთ,ეთბოთ,ეთბოს,
,გვეთბო,გვეთბოს,,გვეთბოთ,გვეთბოს,
გეთბოთ,,გეთბოთ,გეთბოთ,,გეთბოთ,
ვეთბო,ეთბო,ეთბოთ,ვეთბოთ,ეთბოთ,ეთბოთ,
IIIsubj_prfv
,ამეთბო,ამეთბოს,,ამეთბოთ,ამეთბოს,
აგეთბო,,აგეთბოს,აგეთბოთ,,აგეთბოს,
ავეთბო,აეთბო,აეთბოს,ავეთბოთ,აეთბოთ,აეთბოს,
,აგვეთბო,აგვეთბოს,,აგვეთბოთ,აგვეთბოს,
აგეთბოთ,,აგეთბოთ,აგეთბოთ,,აგეთბოთ,
ავეთბო,აეთბო,აეთბოთ,ავეთბოთ,აეთბოთ,აეთბოთ,
