fut2
,გაკლებ,ვაკლებ,,გაკლებთ,ვაკლებ,
მაკლებ,,აკლებ,გვაკლებ,,აკლებ,
მაკლებს,გაკლებს,აკლებს,გვაკლებს,გაკლებთ,აკლებს,
,გაკლებთ,ვაკლებთ,,გაკლებთ,ვაკლებთ,
მაკლებთ,,აკლებთ,გვაკლებთ,,აკლებთ,
მაკლებენ,გაკლებენ,აკლებენ,გვაკლებენ,გაკლებენ,აკლებენ,
fut2_prfv
,აგაკლებ,ავაკლებ,,აგაკლებთ,ავაკლებ,
ამაკლებ,,ააკლებ,აგვაკლებ,,ააკლებ,
ამაკლებს,აგაკლებს,ააკლებს,აგვაკლებს,აგაკლებთ,ააკლებს,
,აგაკლებთ,ავაკლებთ,,აგაკლებთ,ავაკლებთ,
ამაკლებთ,,ააკლებთ,აგვაკლებთ,,ააკლებთ,
ამაკლებენ,აგაკლებენ,ააკლებენ,აგვაკლებენ,აგაკლებენ,ააკლებენ,
cond2
,გაკლებდი,ვაკლებდი,,გაკლებდით,ვაკლებდი,
მაკლებდი,,აკლებდი,გვაკლებდი,,აკლებდი,
მაკლებდა,გაკლებდა,აკლებდა,გვაკლებდა,გაკლებდათ,აკლებდა,
,გაკლებდით,ვაკლებდით,,გაკლებდით,ვაკლებდით,
მაკლებდით,,აკლებდით,გვაკლებდით,,აკლებდით,
მაკლებდნენ,გაკლებდნენ,აკლებდნენ,გვაკლებდნენ,გაკლებდნენ,აკლებდნენ,
cond2_prfv
,აგაკლებდი,ავაკლებდი,,აგაკლებდით,ავაკლებდი,
ამაკლებდი,,ააკლებდი,აგვაკლებდი,,ააკლებდი,
ამაკლებდა,აგაკლებდა,ააკლებდა,აგვაკლებდა,აგაკლებდათ,ააკლებდა,
,აგაკლებდით,ავაკლებდით,,აგაკლებდით,ავაკლებდით,
ამაკლებდით,,ააკლებდით,აგვაკლებდით,,ააკლებდით,
ამაკლებდნენ,აგაკლებდნენ,ააკლებდნენ,აგვაკლებდნენ,აგაკლებდნენ,ააკლებდნენ,
fut2_subj
,გაკლებდე,ვაკლებდე,,გაკლებდეთ,ვაკლებდე,
მაკლებდე,,აკლებდე,გვაკლებდე,,აკლებდე,
მაკლებდეს,გაკლებდეს,აკლებდეს,გვაკლებდეს,გაკლებდეთ,აკლებდეს,
,გაკლებდეთ,ვაკლებდეთ,,გაკლებდეთ,ვაკლებდეთ,
მაკლებდეთ,,აკლებდეთ,გვაკლებდეთ,,აკლებდეთ,
მაკლებდნენ,გაკლებდნენ,აკლებდნენ,გვაკლებდნენ,გაკლებდნენ,აკლებდნენ,
fut2_subj_prfv
,აგაკლებდე,ავაკლებდე,,აგაკლებდეთ,ავაკლებდე,
ამაკლებდე,,ააკლებდე,აგვაკლებდე,,ააკლებდე,
ამაკლებდეს,აგაკლებდეს,ააკლებდეს,აგვაკლებდეს,აგაკლებდეთ,ააკლებდეს,
,აგაკლებდეთ,ავაკლებდეთ,,აგაკლებდეთ,ავაკლებდეთ,
ამაკლებდეთ,,ააკლებდეთ,აგვაკლებდეთ,,ააკლებდეთ,
ამაკლებდნენ,აგაკლებდნენ,ააკლებდნენ,აგვაკლებდნენ,აგაკლებდნენ,ააკლებდნენ,
aor2
,გაკელი,ვაკელი,,გაკელით,ვაკელი,
მაკელი,,აკელი,გვაკელი,,აკელი,
მაკლო,გაკლო,აკლო,გვაკლო,გაკლოთ,აკლო,
,გაკელით,ვაკელით,,გაკელით,ვაკელით,
მაკელით,,აკელით,გვაკელით,,აკელით,
მაკლეს,გაკლეს,აკლეს,გვაკლეს,გაკლეს,აკლეს,
aor2_prfv
,აგაკელი,ავაკელი,,აგაკელით,ავაკელი,
ამაკელი,,ააკელი,აგვაკელი,,ააკელი,
ამაკლო,აგაკლო,ააკლო,აგვაკლო,აგაკლოთ,ააკლო,
,აგაკელით,ავაკელით,,აგაკელით,ავაკელით,
ამაკელით,,ააკელით,აგვაკელით,,ააკელით,
ამაკლეს,აგაკლეს,ააკლეს,აგვაკლეს,აგაკლეს,ააკლეს,
