fut2
,გარწევ,ვარწევ,,გარწევთ,ვარწევ,
მარწევ,,არწევ,გვარწევ,,არწევ,
მარწევს,გარწევს,არწევს,გვარწევს,გარწევთ,არწევს,
,გარწევთ,ვარწევთ,,გარწევთ,ვარწევთ,
მარწევთ,,არწევთ,გვარწევთ,,არწევთ,
მარწევენ,გარწევენ,არწევენ,გვარწევენ,გარწევენ,არწევენ,
fut2_prfv
,აგარწევ,ავარწევ,,აგარწევთ,ავარწევ,
ამარწევ,,აარწევ,აგვარწევ,,აარწევ,
ამარწევს,აგარწევს,აარწევს,აგვარწევს,აგარწევთ,აარწევს,
,აგარწევთ,ავარწევთ,,აგარწევთ,ავარწევთ,
ამარწევთ,,აარწევთ,აგვარწევთ,,აარწევთ,
ამარწევენ,აგარწევენ,აარწევენ,აგვარწევენ,აგარწევენ,აარწევენ,
cond2
,გარწევდი,ვარწევდი,,გარწევდით,ვარწევდი,
მარწევდი,,არწევდი,გვარწევდი,,არწევდი,
მარწევდა,გარწევდა,არწევდა,გვარწევდა,გარწევდათ,არწევდა,
,გარწევდით,ვარწევდით,,გარწევდით,ვარწევდით,
მარწევდით,,არწევდით,გვარწევდით,,არწევდით,
მარწევდნენ,გარწევდნენ,არწევდნენ,გვარწევდნენ,გარწევდნენ,არწევდნენ,
cond2_prfv
,აგარწევდი,ავარწევდი,,აგარწევდით,ავარწევდი,
ამარწევდი,,აარწევდი,აგვარწევდი,,აარწევდი,
ამარწევდა,აგარწევდა,აარწევდა,აგვარწევდა,აგარწევდათ,აარწევდა,
,აგარწევდით,ავარწევდით,,აგარწევდით,ავარწევდით,
ამარწევდით,,აარწევდით,აგვარწევდით,,აარწევდით,
ამარწევდნენ,აგარწევდნენ,აარწევდნენ,აგვარწევდნენ,აგარწევდნენ,აარწევდნენ,
fut2_subj
,გარწევდე,ვარწევდე,,გარწევდეთ,ვარწევდე,
მარწევდე,,არწევდე,გვარწევდე,,არწევდე,
მარწევდეს,გარწევდეს,არწევდეს,გვარწევდეს,გარწევდეთ,არწევდეს,
,გარწევდეთ,ვარწევდეთ,,გარწევდეთ,ვარწევდეთ,
მარწევდეთ,,არწევდეთ,გვარწევდეთ,,არწევდეთ,
მარწევდნენ,გარწევდნენ,არწევდნენ,გვარწევდნენ,გარწევდნენ,არწევდნენ,
fut2_subj_prfv
,აგარწევდე,ავარწევდე,,აგარწევდეთ,ავარწევდე,
ამარწევდე,,აარწევდე,აგვარწევდე,,აარწევდე,
ამარწევდეს,აგარწევდეს,აარწევდეს,აგვარწევდეს,აგარწევდეთ,აარწევდეს,
,აგარწევდეთ,ავარწევდეთ,,აგარწევდეთ,ავარწევდეთ,
ამარწევდეთ,,აარწევდეთ,აგვარწევდეთ,,აარწევდეთ,
ამარწევდნენ,აგარწევდნენ,აარწევდნენ,აგვარწევდნენ,აგარწევდნენ,აარწევდნენ,
aor2
,გარწიე,ვარწიე,,გარწიეთ,ვარწიე,
მარწიე,,არწიე,გვარწიე,,არწიე,
მარწია,გარწია,არწია,გვარწია,გარწიათ,არწია,
,გარწიეთ,ვარწიეთ,,გარწიეთ,ვარწიეთ,
მარწიეთ,,არწიეთ,გვარწიეთ,,არწიეთ,
მარწიეს,გარწიეს,არწიეს,გვარწიეს,გარწიეს,არწიეს,
aor2_prfv
,აგარწიე,ავარწიე,,აგარწიეთ,ავარწიე,
ამარწიე,,აარწიე,აგვარწიე,,აარწიე,
ამარწია,აგარწია,აარწია,აგვარწია,აგარწიათ,აარწია,
,აგარწიეთ,ავარწიეთ,,აგარწიეთ,ავარწიეთ,
ამარწიეთ,,აარწიეთ,აგვარწიეთ,,აარწიეთ,
ამარწიეს,აგარწიეს,აარწიეს,აგვარწიეს,აგარწიეს,აარწიეს,
IIsubj2
