fut2
,გაწვენ,ვაწვენ,,გაწვენთ,ვაწვენ,
მაწვენ,,აწვენ,გვაწვენ,,აწვენ,
მაწვენს,გაწვენს,აწვენს,გვაწვენს,გაწვენთ,აწვენს,
,გაწვენთ,ვაწვენთ,,გაწვენთ,ვაწვენთ,
მაწვენთ,,აწვენთ,გვაწვენთ,,აწვენთ,
მაწვენენ,გაწვენენ,აწვენენ,გვაწვენენ,გაწვენენ,აწვენენ,
fut2_prfv
,აგაწვენ,ავაწვენ,,აგაწვენთ,ავაწვენ,
ამაწვენ,,ააწვენ,აგვაწვენ,,ააწვენ,
ამაწვენს,აგაწვენს,ააწვენს,აგვაწვენს,აგაწვენთ,ააწვენს,
,აგაწვენთ,ავაწვენთ,,აგაწვენთ,ავაწვენთ,
ამაწვენთ,,ააწვენთ,აგვაწვენთ,,ააწვენთ,
ამაწვენენ,აგაწვენენ,ააწვენენ,აგვაწვენენ,აგაწვენენ,ააწვენენ,
cond2
,გაწვენდი,ვაწვენდი,,გაწვენდით,ვაწვენდი,
მაწვენდი,,აწვენდი,გვაწვენდი,,აწვენდი,
მაწვენდა,გაწვენდა,აწვენდა,გვაწვენდა,გაწვენდათ,აწვენდა,
,გაწვენდით,ვაწვენდით,,გაწვენდით,ვაწვენდით,
მაწვენდით,,აწვენდით,გვაწვენდით,,აწვენდით,
მაწვენდნენ,გაწვენდნენ,აწვენდნენ,გვაწვენდნენ,გაწვენდნენ,აწვენდნენ,
cond2_prfv
,აგაწვენდი,ავაწვენდი,,აგაწვენდით,ავაწვენდი,
ამაწვენდი,,ააწვენდი,აგვაწვენდი,,ააწვენდი,
ამაწვენდა,აგაწვენდა,ააწვენდა,აგვაწვენდა,აგაწვენდათ,ააწვენდა,
,აგაწვენდით,ავაწვენდით,,აგაწვენდით,ავაწვენდით,
ამაწვენდით,,ააწვენდით,აგვაწვენდით,,ააწვენდით,
ამაწვენდნენ,აგაწვენდნენ,ააწვენდნენ,აგვაწვენდნენ,აგაწვენდნენ,ააწვენდნენ,
fut2_subj
,გაწვენდე,ვაწვენდე,,გაწვენდეთ,ვაწვენდე,
მაწვენდე,,აწვენდე,გვაწვენდე,,აწვენდე,
მაწვენდეს,გაწვენდეს,აწვენდეს,გვაწვენდეს,გაწვენდეთ,აწვენდეს,
,გაწვენდეთ,ვაწვენდეთ,,გაწვენდეთ,ვაწვენდეთ,
მაწვენდეთ,,აწვენდეთ,გვაწვენდეთ,,აწვენდეთ,
მაწვენდნენ,გაწვენდნენ,აწვენდნენ,გვაწვენდნენ,გაწვენდნენ,აწვენდნენ,
fut2_subj_prfv
,აგაწვენდე,ავაწვენდე,,აგაწვენდეთ,ავაწვენდე,
ამაწვენდე,,ააწვენდე,აგვაწვენდე,,ააწვენდე,
ამაწვენდეს,აგაწვენდეს,ააწვენდეს,აგვაწვენდეს,აგაწვენდეთ,ააწვენდეს,
,აგაწვენდეთ,ავაწვენდეთ,,აგაწვენდეთ,ავაწვენდეთ,
ამაწვენდეთ,,ააწვენდეთ,აგვაწვენდეთ,,ააწვენდეთ,
ამაწვენდნენ,აგაწვენდნენ,ააწვენდნენ,აგვაწვენდნენ,აგაწვენდნენ,ააწვენდნენ,
aor2
,გაწვინე,ვაწვინე,,გაწვინეთ,ვაწვინე,
მაწვინე,,აწვინე,გვაწვინე,,აწვინე,
მაწვინა,გაწვინა,აწვინა,გვაწვინა,გაწვინათ,აწვინა,
,გაწვინეთ,ვაწვინეთ,,გაწვინეთ,ვაწვინეთ,
მაწვინეთ,,აწვინეთ,გვაწვინეთ,,აწვინეთ,
მაწვინეს,გაწვინეს,აწვინეს,გვაწვინეს,გაწვინეს,აწვინეს,
aor2_prfv
,აგაწვინე,ავაწვინე,,აგაწვინეთ,ავაწვინე,
ამაწვინე,,ააწვინე,აგვაწვინე,,ააწვინე,
ამაწვინა,აგაწვინა,ააწვინა,აგვაწვინა,აგაწვინათ,ააწვინა,
,აგაწვინეთ,ავაწვინეთ,,აგაწვინეთ,ავაწვინეთ,
ამაწვინეთ,,ააწვინეთ,აგვაწვინეთ,,ააწვინეთ,
ამაწვინეს,აგაწვინეს,ააწვინეს,აგვაწვინეს,აგაწვინეს,ააწვინეს,
IIsubj2
