fut2
,გეწერები,ვეწერები,,გეწერებით,ვეწერები,
მეწერები,,ეწერები,გვეწერები,,ეწერები,
მეწერება,გეწერება,ეწერება,გვეწერება,გეწერებათ,ეწერება,
,გეწერებით,ვეწერებით,,გეწერებით,ვეწერებით,
მეწერებით,,ეწერებით,გვეწერებით,,ეწერებით,
მეწერებიან,გეწერებიან,ეწერებიან,გვეწერებიან,გეწერებიან,ეწერებიან,
fut2_prfv
,აგეწერები,ავეწერები,,აგეწერებით,ავეწერები,
ამეწერები,,აეწერები,აგვეწერები,,აეწერები,
ამეწერება,აგეწერება,აეწერება,აგვეწერება,აგეწერებათ,აეწერება,
,აგეწერებით,ავეწერებით,,აგეწერებით,ავეწერებით,
ამეწერებით,,აეწერებით,აგვეწერებით,,აეწერებით,
ამეწერებიან,აგეწერებიან,აეწერებიან,აგვეწერებიან,აგეწერებიან,აეწერებიან,
cond2
,გეწერებოდი,ვეწერებოდი,,გეწერებოდით,ვეწერებოდი,
მეწერებოდი,,ეწერებოდი,გვეწერებოდი,,ეწერებოდი,
მეწერებოდა,გეწერებოდა,ეწერებოდა,გვეწერებოდა,გეწერებოდათ,ეწერებოდა,
,გეწერებოდით,ვეწერებოდით,,გეწერებოდით,ვეწერებოდით,
მეწერებოდით,,ეწერებოდით,გვეწერებოდით,,ეწერებოდით,
მეწერებოდნენ,გეწერებოდნენ,ეწერებოდნენ,გვეწერებოდნენ,გეწერებოდნენ,ეწერებოდნენ,
cond2_prfv
,აგეწერებოდი,ავეწერებოდი,,აგეწერებოდით,ავეწერებოდი,
ამეწერებოდი,,აეწერებოდი,აგვეწერებოდი,,აეწერებოდი,
ამეწერებოდა,აგეწერებოდა,აეწერებოდა,აგვეწერებოდა,აგეწერებოდათ,აეწერებოდა,
,აგეწერებოდით,ავეწერებოდით,,აგეწერებოდით,ავეწერებოდით,
ამეწერებოდით,,აეწერებოდით,აგვეწერებოდით,,აეწერებოდით,
ამეწერებოდნენ,აგეწერებოდნენ,აეწერებოდნენ,აგვეწერებოდნენ,აგეწერებოდნენ,აეწერებოდნენ,
fut2_subj
,გეწერებოდე,ვეწერებოდე,,გეწერებოდეთ,ვეწერებოდე,
მეწერებოდე,,ეწერებოდე,გვეწერებოდე,,ეწერებოდე,
მეწერებოდეს,გეწერებოდეს,ეწერებოდეს,გვეწერებოდეს,გეწერებოდეთ,ეწერებოდეს,
,გეწერებოდეთ,ვეწერებოდეთ,,გეწერებოდეთ,ვეწერებოდეთ,
მეწერებოდეთ,,ეწერებოდეთ,გვეწერებოდეთ,,ეწერებოდეთ,
მეწერებოდნენ,გეწერებოდნენ,ეწერებოდნენ,გვეწერებოდნენ,გეწერებოდნენ,ეწერებოდნენ,
fut2_subj_prfv
,აგეწერებოდე,ავეწერებოდე,,აგეწერებოდეთ,ავეწერებოდე,
ამეწერებოდე,,აეწერებოდე,აგვეწერებოდე,,აეწერებოდე,
ამეწერებოდეს,აგეწერებოდეს,აეწერებოდეს,აგვეწერებოდეს,აგეწერებოდეთ,აეწერებოდეს,
,აგეწერებოდეთ,ავეწერებოდეთ,,აგეწერებოდეთ,ავეწერებოდეთ,
ამეწერებოდეთ,,აეწერებოდეთ,აგვეწერებოდეთ,,აეწერებოდეთ,
ამეწერებოდნენ,აგეწერებოდნენ,აეწერებოდნენ,აგვეწერებოდნენ,აგეწერებოდნენ,აეწერებოდნენ,
aor2
,გეწერე,ვეწერე,,გეწერეთ,ვეწერე,
მეწერე,,ეწერე,გვეწერე,,ეწერე,
მეწერა,გეწერა,ეწერა,გვეწერა,გეწერათ,ეწერა,
,გეწერეთ,ვეწერეთ,,გეწერეთ,ვეწერეთ,
მეწერეთ,,ეწერეთ,გვეწერეთ,,ეწერეთ,
მეწერნენ,გეწერნენ,ეწერნენ,გვეწერნენ,გეწერნენ,ეწერნენ,
aor2_prfv
