pres
,გკეცავ,ვკეცავ,,გკეცავთ,ვკეცავ,
მკეცავ,,კეცავ,გვკეცავ,,კეცავ,
მკეცავს,გკეცავს,კეცავს,გვკეცავს,გკეცავთ,კეცავს,
,გკეცავთ,ვკეცავთ,,გკეცავთ,ვკეცავთ,
მკეცავთ,,კეცავთ,გვკეცავთ,,კეცავთ,
მკეცავენ,გკეცავენ,კეცავენ,გვკეცავენ,გკეცავენ,კეცავენ,
fut
,აგკეცავ,ავკეცავ,,აგკეცავთ,ავკეცავ,
ამკეცავ,,აკეცავ,აგვკეცავ,,აკეცავ,
ამკეცავს,აგკეცავს,აკეცავს,აგვკეცავს,აგკეცავთ,აკეცავს,
,აგკეცავთ,ავკეცავთ,,აგკეცავთ,ავკეცავთ,
ამკეცავთ,,აკეცავთ,აგვკეცავთ,,აკეცავთ,
ამკეცავენ,აგკეცავენ,აკეცავენ,აგვკეცავენ,აგკეცავენ,აკეცავენ,
impf
,გკეცავდი,ვკეცავდი,,გკეცავდით,ვკეცავდი,
მკეცავდი,,კეცავდი,გვკეცავდი,,კეცავდი,
მკეცავდა,გკეცავდა,კეცავდა,გვკეცავდა,გკეცავდათ,კეცავდა,
,გკეცავდით,ვკეცავდით,,გკეცავდით,ვკეცავდით,
მკეცავდით,,კეცავდით,გვკეცავდით,,კეცავდით,
მკეცავდნენ,გკეცავდნენ,კეცავდნენ,გვკეცავდნენ,გკეცავდნენ,კეცავდნენ,
cond
,აგკეცავდი,ავკეცავდი,,აგკეცავდით,ავკეცავდი,
ამკეცავდი,,აკეცავდი,აგვკეცავდი,,აკეცავდი,
ამკეცავდა,აგკეცავდა,აკეცავდა,აგვკეცავდა,აგკეცავდათ,აკეცავდა,
,აგკეცავდით,ავკეცავდით,,აგკეცავდით,ავკეცავდით,
ამკეცავდით,,აკეცავდით,აგვკეცავდით,,აკეცავდით,
ამკეცავდნენ,აგკეცავდნენ,აკეცავდნენ,აგვკეცავდნენ,აგკეცავდნენ,აკეცავდნენ,
subj
,გკეცავდე,ვკეცავდე,,გკეცავდეთ,ვკეცავდე,
მკეცავდე,,კეცავდე,გვკეცავდე,,კეცავდე,
მკეცავდეს,გკეცავდეს,კეცავდეს,გვკეცავდეს,გკეცავდეთ,კეცავდეს,
,გკეცავდეთ,ვკეცავდეთ,,გკეცავდეთ,ვკეცავდეთ,
მკეცავდეთ,,კეცავდეთ,გვკეცავდეთ,,კეცავდეთ,
მკეცავდნენ,გკეცავდნენ,კეცავდნენ,გვკეცავდნენ,გკეცავდნენ,კეცავდნენ,
fut_subj
,აგკეცავდე,ავკეცავდე,,აგკეცავდეთ,ავკეცავდე,
ამკეცავდე,,აკეცავდე,აგვკეცავდე,,აკეცავდე,
ამკეცავდეს,აგკეცავდეს,აკეცავდეს,აგვკეცავდეს,აგკეცავდეთ,აკეცავდეს,
,აგკეცავდეთ,ავკეცავდეთ,,აგკეცავდეთ,ავკეცავდეთ,
ამკეცავდეთ,,აკეცავდეთ,აგვკეცავდეთ,,აკეცავდეთ,
ამკეცავდნენ,აგკეცავდნენ,აკეცავდნენ,აგვკეცავდნენ,აგკეცავდნენ,აკეცავდნენ,
aor
,გკეცე,ვკეცე,,გკეცეთ,ვკეცე,
მკეცე,,კეცე,გვკეცე,,კეცე,
მკეცა,გკეცა,კეცა,გვკეცა,გკეცათ,კეცა,
,გკეცეთ,ვკეცეთ,,გკეცეთ,ვკეცეთ,
მკეცეთ,,კეცეთ,გვკეცეთ,,კეცეთ,
მკეცეს,გკეცეს,კეცეს,გვკეცეს,გკეცეს,კეცეს,
aor_prfv
,აგკეცე,ავკეცე,,აგკეცეთ,ავკეცე,
ამკეცე,,აკეცე,აგვკეცე,,აკეცე,
ამკეცა,აგკეცა,აკეცა,აგვკეცა,აგკეცათ,აკეცა,
,აგკეცეთ,ავკეცეთ,,აგკეცეთ,ავკეცეთ,
ამკეცეთ,,აკეცეთ,აგვკეცეთ,,აკეცეთ,
ამკეცეს,აგკეცეს,აკეცეს,აგვკეცეს,აგკეცეს,აკეცეს,
IIsubj
,გკეცო,ვკეცო,,გკეცოთ,ვკეცო,
მკეცო,,კეცო,გვკეცო,,კეცო,
მკეცოს,გკეცოს,კეცოს,გვკეცოს,გკეცოთ,კეცოს,
,გკეცოთ,ვკეცოთ,,გკეცოთ,ვკეცოთ,
მკეცოთ,,კეცოთ,გვკეცოთ,,კეცოთ,
მკეცონ,გკეცონ,კეცონ,გვკეცონ,გკეცონ,კეცონ,
IIsubj_prfv
,აგკეცო,ავკეცო,,აგკეცოთ,ავკეცო,
ამკეცო,,აკეცო,აგვკეცო,,აკეცო,
ამკეცოს,აგკეცოს,აკეცოს,აგვკეცოს,აგკეცოთ,აკეცოს,
