pres
,გკრავ,ვკრავ,,გკრავთ,ვკრავ,
მკრავ,,კრავ,გვკრავ,,კრავ,
მკრავს,გკრავს,კრავს,გვკრავს,გკრავთ,კრავს,
,გკრავთ,ვკრავთ,,გკრავთ,ვკრავთ,
მკრავთ,,კრავთ,გვკრავთ,,კრავთ,
მკრავენ,გკრავენ,კრავენ,გვკრავენ,გკრავენ,კრავენ,
fut
,აგკრავ,ავკრავ,,აგკრავთ,ავკრავ,
ამკრავ,,აკრავ,აგვკრავ,,აკრავ,
ამკრავს,აგკრავს,აკრავს,აგვკრავს,აგკრავთ,აკრავს,
,აგკრავთ,ავკრავთ,,აგკრავთ,ავკრავთ,
ამკრავთ,,აკრავთ,აგვკრავთ,,აკრავთ,
ამკრავენ,აგკრავენ,აკრავენ,აგვკრავენ,აგკრავენ,აკრავენ,
impf
,გკრავდი,ვკრავდი,,გკრავდით,ვკრავდი,
მკრავდი,,კრავდი,გვკრავდი,,კრავდი,
მკრავდა,გკრავდა,კრავდა,გვკრავდა,გკრავდათ,კრავდა,
,გკრავდით,ვკრავდით,,გკრავდით,ვკრავდით,
მკრავდით,,კრავდით,გვკრავდით,,კრავდით,
მკრავდნენ,გკრავდნენ,კრავდნენ,გვკრავდნენ,გკრავდნენ,კრავდნენ,
cond
,აგკრავდი,ავკრავდი,,აგკრავდით,ავკრავდი,
ამკრავდი,,აკრავდი,აგვკრავდი,,აკრავდი,
ამკრავდა,აგკრავდა,აკრავდა,აგვკრავდა,აგკრავდათ,აკრავდა,
,აგკრავდით,ავკრავდით,,აგკრავდით,ავკრავდით,
ამკრავდით,,აკრავდით,აგვკრავდით,,აკრავდით,
ამკრავდნენ,აგკრავდნენ,აკრავდნენ,აგვკრავდნენ,აგკრავდნენ,აკრავდნენ,
subj
,გკრავდე,ვკრავდე,,გკრავდეთ,ვკრავდე,
მკრავდე,,კრავდე,გვკრავდე,,კრავდე,
მკრავდეს,გკრავდეს,კრავდეს,გვკრავდეს,გკრავდეთ,კრავდეს,
,გკრავდეთ,ვკრავდეთ,,გკრავდეთ,ვკრავდეთ,
მკრავდეთ,,კრავდეთ,გვკრავდეთ,,კრავდეთ,
მკრავდნენ,გკრავდნენ,კრავდნენ,გვკრავდნენ,გკრავდნენ,კრავდნენ,
fut_subj
,აგკრავდე,ავკრავდე,,აგკრავდეთ,ავკრავდე,
ამკრავდე,,აკრავდე,აგვკრავდე,,აკრავდე,
ამკრავდეს,აგკრავდეს,აკრავდეს,აგვკრავდეს,აგკრავდეთ,აკრავდეს,
,აგკრავდეთ,ავკრავდეთ,,აგკრავდეთ,ავკრავდეთ,
ამკრავდეთ,,აკრავდეთ,აგვკრავდეთ,,აკრავდეთ,
ამკრავდნენ,აგკრავდნენ,აკრავდნენ,აგვკრავდნენ,აგკრავდნენ,აკრავდნენ,
aor
,გკარი,ვკარი,,გკარით,ვკარი,
მკარი,,კარი,გვკარი,,კარი,
მკრა,გკრა,კრა,გვკრა,გკრათ,კრა,
,გკარით,ვკარით,,გკარით,ვკარით,
მკარით,,კარით,გვკარით,,კარით,
მკრეს,გკრეს,კრეს,გვკრეს,გკრეს,კრეს,
aor_prfv
,აგკარი,ავკარი,,აგკარით,ავკარი,
ამკარი,,აკარი,აგვკარი,,აკარი,
