pres
,გნანობ,ვნანობ,,გნანობთ,ვნანობ,
მნანობ,,ნანობ,გვნანობ,,ნანობ,
მნანობს,გნანობს,ნანობს,გვნანობს,გნანობთ,ნანობს,
,გნანობთ,ვნანობთ,,გნანობთ,ვნანობთ,
მნანობთ,,ნანობთ,გვნანობთ,,ნანობთ,
მნანობენ,გნანობენ,ნანობენ,გვნანობენ,გნანობენ,ნანობენ,
fut2
,გინანებ,ვინანებ,,გინანებთ,ვინანებ,
მინანებ,,ინანებ,გვინანებ,,ინანებ,
მინანებს,გინანებს,ინანებს,გვინანებს,გინანებთ,ინანებს,
,გინანებთ,ვინანებთ,,გინანებთ,ვინანებთ,
მინანებთ,,ინანებთ,გვინანებთ,,ინანებთ,
მინანებენ,გინანებენ,ინანებენ,გვინანებენ,გინანებენ,ინანებენ,
fut2_prfv
,აგინანებ,ავინანებ,,აგინანებთ,ავინანებ,
ამინანებ,,აინანებ,აგვინანებ,,აინანებ,
ამინანებს,აგინანებს,აინანებს,აგვინანებს,აგინანებთ,აინანებს,
,აგინანებთ,ავინანებთ,,აგინანებთ,ავინანებთ,
ამინანებთ,,აინანებთ,აგვინანებთ,,აინანებთ,
ამინანებენ,აგინანებენ,აინანებენ,აგვინანებენ,აგინანებენ,აინანებენ,
impf
,გნანობდი,ვნანობდი,,გნანობდით,ვნანობდი,
მნანობდი,,ნანობდი,გვნანობდი,,ნანობდი,
მნანობდა,გნანობდა,ნანობდა,გვნანობდა,გნანობდათ,ნანობდა,
,გნანობდით,ვნანობდით,,გნანობდით,ვნანობდით,
მნანობდით,,ნანობდით,გვნანობდით,,ნანობდით,
მნანობდნენ,გნანობდნენ,ნანობდნენ,გვნანობდნენ,გნანობდნენ,ნანობდნენ,
cond2
,გინანებდი,ვინანებდი,,გინანებდით,ვინანებდი,
მინანებდი,,ინანებდი,გვინანებდი,,ინანებდი,
მინანებდა,გინანებდა,ინანებდა,გვინანებდა,გინანებდათ,ინანებდა,
,გინანებდით,ვინანებდით,,გინანებდით,ვინანებდით,
მინანებდით,,ინანებდით,გვინანებდით,,ინანებდით,
მინანებდნენ,გინანებდნენ,ინანებდნენ,გვინანებდნენ,გინანებდნენ,ინანებდნენ,
cond2_prfv
,აგინანებდი,ავინანებდი,,აგინანებდით,ავინანებდი,
ამინანებდი,,აინანებდი,აგვინანებდი,,აინანებდი,
ამინანებდა,აგინანებდა,აინანებდა,აგვინანებდა,აგინანებდათ,აინანებდა,
,აგინანებდით,ავინანებდით,,აგინანებდით,ავინანებდით,
ამინანებდით,,აინანებდით,აგვინანებდით,,აინანებდით,
ამინანებდნენ,აგინანებდნენ,აინანებდნენ,აგვინანებდნენ,აგინანებდნენ,აინანებდნენ,
subj
,გნანობდე,ვნანობდე,,გნანობდეთ,ვნანობდე,
მნანობდე,,ნანობდე,გვნანობდე,,ნანობდე,
მნანობდეს,გნანობდეს,ნანობდეს,გვნანობდეს,გნანობდეთ,ნანობდეს,
,გნანობდეთ,ვნანობდეთ,,გნანობდეთ,ვნანობდეთ,
მნანობდეთ,,ნანობდეთ,გვნანობდეთ,,ნანობდეთ,
მნანობდნენ,გნანობდნენ,ნანობდნენ,გვნანობდნენ,გნანობდნენ,ნანობდნენ,
fut2_subj
,გინანებდე,ვინანებდე,,გინანებდეთ,ვინანებდე,
მინანებდე,,ინანებდე,გვინანებდე,,ინანებდე,
მინანებდეს,გინანებდეს,ინანებდეს,გვინანებდეს,გინანებდეთ,ინანებდეს,
,გინანებდეთ,ვინანებდეთ,,გინანებდეთ,ვინანებდეთ,
მინანებდეთ,,ინანებდეთ,გვინანებდეთ,,ინანებდეთ,
მინანებდნენ,გინანებდნენ,ინანებდნენ,გვინანებდნენ,გინანებდნენ,ინანებდნენ,
fut2_subj_prfv
,აგინანებდე,ავინანებდე,,აგინანებდეთ,ავინანებდე,
ამინანებდე,,აინანებდე,აგვინანებდე,,აინანებდე,
ამინანებდეს,აგინანებდეს,აინანებდეს,აგვინანებდეს,აგინანებდეთ,აინანებდეს,
,აგინანებდეთ,ავინანებდეთ,,აგინანებდეთ,ავინანებდეთ,
ამინანებდეთ,,აინანებდეთ,აგვინანებდეთ,,აინანებდეთ,
ამინანებდნენ,აგინანებდნენ,აინანებდნენ,აგვინანებდნენ,აგინანებდნენ,აინანებდნენ,
aor2
,გინანე,ვინანე,,გინანეთ,ვინანე,
მინანე,,ინანე,გვინანე,,ინანე,
მინანა,გინანა,ინანა,გვინანა,გინანათ,ინანა,
,გინანეთ,ვინანეთ,,გინანეთ,ვინანეთ,
მინანეთ,,ინანეთ,გვინანეთ,,ინანეთ,
მინანეს,გინანეს,ინანეს,გვინანეს,გინანეს,ინანეს,
aor2_prfv
,აგინანე,ავინანე,,აგინანეთ,ავინანე,
ამინანე,,აინანე,აგვინანე,,აინანე,
ამინანა,აგინანა,აინანა,აგვინანა,აგინანათ,აინანა,
,აგინანეთ,ავინანეთ,,აგინანეთ,ავინანეთ,
ამინანეთ,,აინანეთ,აგვინანეთ,,აინანეთ,
