pres
,გწერ,ვწერ,,გწერთ,ვწერ,
მწერ,,წერ,გვწერ,,წერ,
მწერს,გწერს,წერს,გვწერს,გწერთ,წერს,
,გწერთ,ვწერთ,,გწერთ,ვწერთ,
მწერთ,,წერთ,გვწერთ,,წერთ,
მწერენ,გწერენ,წერენ,გვწერენ,გწერენ,წერენ,
fut
,აგწერ,ავწერ,,აგწერთ,ავწერ,
ამწერ,,აწერ,აგვწერ,,აწერ,
ამწერს,აგწერს,აწერს,აგვწერს,აგწერთ,აწერს,
,აგწერთ,ავწერთ,,აგწერთ,ავწერთ,
ამწერთ,,აწერთ,აგვწერთ,,აწერთ,
ამწერენ,აგწერენ,აწერენ,აგვწერენ,აგწერენ,აწერენ,
impf
,გწერდი,ვწერდი,,გწერდით,ვწერდი,
მწერდი,,წერდი,გვწერდი,,წერდი,
მწერდა,გწერდა,წერდა,გვწერდა,გწერდათ,წერდა,
,გწერდით,ვწერდით,,გწერდით,ვწერდით,
მწერდით,,წერდით,გვწერდით,,წერდით,
მწერდნენ,გწერდნენ,წერდნენ,გვწერდნენ,გწერდნენ,წერდნენ,
cond
,აგწერდი,ავწერდი,,აგწერდით,ავწერდი,
ამწერდი,,აწერდი,აგვწერდი,,აწერდი,
ამწერდა,აგწერდა,აწერდა,აგვწერდა,აგწერდათ,აწერდა,
,აგწერდით,ავწერდით,,აგწერდით,ავწერდით,
ამწერდით,,აწერდით,აგვწერდით,,აწერდით,
ამწერდნენ,აგწერდნენ,აწერდნენ,აგვწერდნენ,აგწერდნენ,აწერდნენ,
subj
,გწერდე,ვწერდე,,გწერდეთ,ვწერდე,
მწერდე,,წერდე,გვწერდე,,წერდე,
მწერდეს,გწერდეს,წერდეს,გვწერდეს,გწერდეთ,წერდეს,
,გწერდეთ,ვწერდეთ,,გწერდეთ,ვწერდეთ,
მწერდეთ,,წერდეთ,გვწერდეთ,,წერდეთ,
მწერდნენ,გწერდნენ,წერდნენ,გვწერდნენ,გწერდნენ,წერდნენ,
fut_subj
,აგწერდე,ავწერდე,,აგწერდეთ,ავწერდე,
ამწერდე,,აწერდე,აგვწერდე,,აწერდე,
ამწერდეს,აგწერდეს,აწერდეს,აგვწერდეს,აგწერდეთ,აწერდეს,
,აგწერდეთ,ავწერდეთ,,აგწერდეთ,ავწერდეთ,
ამწერდეთ,,აწერდეთ,აგვწერდეთ,,აწერდეთ,
ამწერდნენ,აგწერდნენ,აწერდნენ,აგვწერდნენ,აგწერდნენ,აწერდნენ,
aor
,გწერე,ვწერე,,გწერეთ,ვწერე,
მწერე,,წერე,გვწერე,,წერე,
მწერა,გწერა,წერა,გვწერა,გწერათ,წერა,
,გწერეთ,ვწერეთ,,გწერეთ,ვწერეთ,
მწერეთ,,წერეთ,გვწერეთ,,წერეთ,
მწერეს,გწერეს,წერეს,გვწერეს,გწერეს,წერეს,
aor_prfv
,აგწერე,ავწერე,,აგწერეთ,ავწერე,
ამწერე,,აწერე,აგვწერე,,აწერე,
ამწერა,აგწერა,აწერა,აგვწერა,აგწერათ,აწერა,
,აგწერეთ,ავწერეთ,,აგწერეთ,ავწერეთ,
ამწერეთ,,აწერეთ,აგვწერეთ,,აწერეთ,
ამწერეს,აგწერეს,აწერეს,აგვწერეს,აგწერეს,აწერეს,
IIsubj
,გწერო,ვწერო,,გწეროთ,ვწერო,
მწერო,,წერო,გვწერო,,წერო,
მწეროს,გწეროს,წეროს,გვწეროს,გწეროთ,წეროს,
,გწეროთ,ვწეროთ,,გწეროთ,ვწეროთ,
მწეროთ,,წეროთ,გვწეროთ,,წეროთ,
მწერონ,გწერონ,წერონ,გვწერონ,გწერონ,წერონ,
IIsubj_prfv
,აგწერო,ავწერო,,აგწეროთ,ავწერო,
ამწერო,,აწერო,აგვწერო,,აწერო,
ამწეროს,აგწეროს,აწეროს,აგვწეროს,აგწეროთ,აწეროს,
,აგწეროთ,ავწეროთ,,აგწეროთ,ავწეროთ,
ამწეროთ,,აწეროთ,აგვწეროთ,,აწეროთ,
ამწერონ,აგწერონ,აწერონ,აგვწერონ,აგწერონ,აწერონ,
Iturm
,მიწერიხარ,მიწერია,,მიწერიხართ,მიწერია,
გიწერივარ,,გიწერია,გიწერივართ,,გიწერია,
ვუწერივარ,უწერიხარ,უწერია,ვუწერივართ,უწერიხართ,უწერია,
,გვიწერიხარ,გვიწერია,,გვიწერიხართ,გვიწერია,
გიწერივართ,,გიწერიათ,გიწერივართ,,გიწერიათ,
ვუწერივარ,უწერიხარ,უწერიათ,ვუწერივართ,უწერიხართ,უწერიათ,
Iturm_prfv
,ამიწერიხარ,ამიწერია,,ამიწერიხართ,ამიწერია,
აგიწერივარ,,აგიწერია,აგიწერივართ,,აგიწერია,
ავუწერივარ,აუწერიხარ,აუწერია,ავუწერივართ,აუწერიხართ,აუწერია,
,აგვიწერიხარ,აგვიწერია,,აგვიწერიხართ,აგვიწერია,
აგიწერივართ,,აგიწერიათ,აგიწერივართ,,აგიწერიათ,
ავუწერივარ,აუწერიხარ,აუწერიათ,ავუწერივართ,აუწერიხართ,აუწერიათ,
IIturm
,მეწერე,მეწერა,,მეწერეთ,მეწერა,
გეწერე,,გეწერა,გეწერეთ,,გეწერა,
ვეწერე,ეწერე,ეწერა,ვეწერეთ,ეწერეთ,ეწერა,
,გვეწერე,გვეწერა,,გვეწერეთ,გვეწერა,
გეწერეთ,,გეწერათ,გეწერეთ,,გეწერათ,
ვეწერე,ეწერე,ეწერათ,ვეწერეთ,ეწერეთ,ეწერათ,
IIturm_prfv
,ამეწერე,ამეწერა,,ამეწერეთ,ამეწერა,
აგეწერე,,აგეწერა,აგეწერეთ,,აგეწერა,
ავეწერე,აეწერე,აეწერა,ავეწერეთ,აეწერეთ,აეწერა,
,აგვეწერე,აგვეწერა,,აგვეწერეთ,აგვეწერა,
