pres
,გხატავ,ვხატავ,,გხატავთ,ვხატავ,
მხატავ,,ხატავ,გვხატავ,,ხატავ,
მხატავს,გხატავს,ხატავს,გვხატავს,გხატავთ,ხატავს,
,გხატავთ,ვხატავთ,,გხატავთ,ვხატავთ,
მხატავთ,,ხატავთ,გვხატავთ,,ხატავთ,
მხატავენ,გხატავენ,ხატავენ,გვხატავენ,გხატავენ,ხატავენ,
fut
,აგხატავ,ავხატავ,,აგხატავთ,ავხატავ,
ამხატავ,,ახატავ,აგვხატავ,,ახატავ,
ამხატავს,აგხატავს,ახატავს,აგვხატავს,აგხატავთ,ახატავს,
,აგხატავთ,ავხატავთ,,აგხატავთ,ავხატავთ,
ამხატავთ,,ახატავთ,აგვხატავთ,,ახატავთ,
ამხატავენ,აგხატავენ,ახატავენ,აგვხატავენ,აგხატავენ,ახატავენ,
impf
,გხატავდი,ვხატავდი,,გხატავდით,ვხატავდი,
მხატავდი,,ხატავდი,გვხატავდი,,ხატავდი,
მხატავდა,გხატავდა,ხატავდა,გვხატავდა,გხატავდათ,ხატავდა,
,გხატავდით,ვხატავდით,,გხატავდით,ვხატავდით,
მხატავდით,,ხატავდით,გვხატავდით,,ხატავდით,
მხატავდნენ,გხატავდნენ,ხატავდნენ,გვხატავდნენ,გხატავდნენ,ხატავდნენ,
cond
,აგხატავდი,ავხატავდი,,აგხატავდით,ავხატავდი,
ამხატავდი,,ახატავდი,აგვხატავდი,,ახატავდი,
ამხატავდა,აგხატავდა,ახატავდა,აგვხატავდა,აგხატავდათ,ახატავდა,
,აგხატავდით,ავხატავდით,,აგხატავდით,ავხატავდით,
ამხატავდით,,ახატავდით,აგვხატავდით,,ახატავდით,
ამხატავდნენ,აგხატავდნენ,ახატავდნენ,აგვხატავდნენ,აგხატავდნენ,ახატავდნენ,
subj
,გხატავდე,ვხატავდე,,გხატავდეთ,ვხატავდე,
მხატავდე,,ხატავდე,გვხატავდე,,ხატავდე,
მხატავდეს,გხატავდეს,ხატავდეს,გვხატავდეს,გხატავდეთ,ხატავდეს,
,გხატავდეთ,ვხატავდეთ,,გხატავდეთ,ვხატავდეთ,
მხატავდეთ,,ხატავდეთ,გვხატავდეთ,,ხატავდეთ,
მხატავდნენ,გხატავდნენ,ხატავდნენ,გვხატავდნენ,გხატავდნენ,ხატავდნენ,
fut_subj
,აგხატავდე,ავხატავდე,,აგხატავდეთ,ავხატავდე,
ამხატავდე,,ახატავდე,აგვხატავდე,,ახატავდე,
ამხატავდეს,აგხატავდეს,ახატავდეს,აგვხატავდეს,აგხატავდეთ,ახატავდეს,
,აგხატავდეთ,ავხატავდეთ,,აგხატავდეთ,ავხატავდეთ,
ამხატავდეთ,,ახატავდეთ,აგვხატავდეთ,,ახატავდეთ,
ამხატავდნენ,აგხატავდნენ,ახატავდნენ,აგვხატავდნენ,აგხატავდნენ,ახატავდნენ,
aor
,გხატე,ვხატე,,გხატეთ,ვხატე,
მხატე,,ხატე,გვხატე,,ხატე,
მხატა,გხატა,ხატა,გვხატა,გხატათ,ხატა,
,გხატეთ,ვხატეთ,,გხატეთ,ვხატეთ,
მხატეთ,,ხატეთ,გვხატეთ,,ხატეთ,
მხატეს,გხატეს,ხატეს,გვხატეს,გხატეს,ხატეს,
aor_prfv
,აგხატე,ავხატე,,აგხატეთ,ავხატე,
ამხატე,,ახატე,აგვხატე,,ახატე,
ამხატა,აგხატა,ახატა,აგვხატა,აგხატათ,ახატა,
,აგხატეთ,ავხატეთ,,აგხატეთ,ავხატეთ,
ამხატეთ,,ახატეთ,აგვხატეთ,,ახატეთ,
ამხატეს,აგხატეს,ახატეს,აგვხატეს,აგხატეს,ახატეს,
IIsubj
,გხატო,ვხატო,,გხატოთ,ვხატო,
მხატო,,ხატო,გვხატო,,ხატო,
მხატოს,გხატოს,ხატოს,გვხატოს,გხატოთ,ხატოს,
,გხატოთ,ვხატოთ,,გხატოთ,ვხატოთ,
მხატოთ,,ხატოთ,გვხატოთ,,ხატოთ,
მხატონ,გხატონ,ხატონ,გვხატონ,გხატონ,ხატონ,
IIsubj_prfv
,აგხატო,ავხატო,,აგხატოთ,ავხატო,
ამხატო,,ახატო,აგვხატო,,ახატო,
ამხატოს,აგხატოს,ახატოს,აგვხატოს,აგხატოთ,ახატოს,
,აგხატოთ,ავხატოთ,,აგხატოთ,ავხატოთ,
ამხატოთ,,ახატოთ,აგვხატოთ,,ახატოთ,
ამხატონ,აგხატონ,ახატონ,აგვხატონ,აგხატონ,ახატონ,
Iturm
,მიხატიხარ,მიხატია,,მიხატიხართ,მიხატია,
გიხატივარ,,გიხატია,გიხატივართ,,გიხატია,
ვუხატივარ,უხატიხარ,უხატია,ვუხატივართ,უხატიხართ,უხატია,
,გვიხატიხარ,გვიხატია,,გვიხატიხართ,გვიხატია,
გიხატივართ,,გიხატიათ,გიხატივართ,,გიხატიათ,
ვუხატივარ,უხატიხარ,უხატიათ,ვუხატივართ,უხატიხართ,უხატიათ,
Iturm_prfv
,ამიხატიხარ,ამიხატია,,ამიხატიხართ,ამიხატია,
აგიხატივარ,,აგიხატია,აგიხატივართ,,აგიხატია,
ავუხატივარ,აუხატიხარ,აუხატია,ავუხატივართ,აუხატიხართ,აუხატია,
,აგვიხატიხარ,აგვიხატია,,აგვიხატიხართ,აგვიხატია,
აგიხატივართ,,აგიხატიათ,აგიხატივართ,,აგიხატიათ,
ავუხატივარ,აუხატიხარ,აუხატიათ,ავუხატივართ,აუხატიხართ,აუხატიათ,
Iturm_th
,მიხატავხარ,მიხატავს,,მიხატავხართ,მიხატავს,
გიხატავვარ,,გიხატავს,გიხატავვართ,,გიხატავს,
