fut2
,გაგზავნი,ვაგზავნი,,გაგზავნით,ვაგზავნი,
მაგზავნი,,აგზავნი,გვაგზავნი,,აგზავნი,
მაგზავნის,გაგზავნის,აგზავნის,გვაგზავნის,გაგზავნით,აგზავნის,
,გაგზავნით,ვაგზავნით,,გაგზავნით,ვაგზავნით,
მაგზავნით,,აგზავნით,გვაგზავნით,,აგზავნით,
მაგზავნიან,გაგზავნიან,აგზავნიან,გვაგზავნიან,გაგზავნიან,აგზავნიან,
fut2_prfv
,ამოგაგზავნი,ამოვაგზავნი,,ამოგაგზავნით,ამოვაგზავნი,
ამომაგზავნი,,ამოაგზავნი,ამოგვაგზავნი,,ამოაგზავნი,
ამომაგზავნის,ამოგაგზავნის,ამოაგზავნის,ამოგვაგზავნის,ამოგაგზავნით,ამოაგზავნის,
,ამოგაგზავნით,ამოვაგზავნით,,ამოგაგზავნით,ამოვაგზავნით,
ამომაგზავნით,,ამოაგზავნით,ამოგვაგზავნით,,ამოაგზავნით,
ამომაგზავნიან,ამოგაგზავნიან,ამოაგზავნიან,ამოგვაგზავნიან,ამოგაგზავნიან,ამოაგზავნიან,
cond2
,გაგზავნიდი,ვაგზავნიდი,,გაგზავნიდით,ვაგზავნიდი,
მაგზავნიდი,,აგზავნიდი,გვაგზავნიდი,,აგზავნიდი,
მაგზავნიდა,გაგზავნიდა,აგზავნიდა,გვაგზავნიდა,გაგზავნიდათ,აგზავნიდა,
,გაგზავნიდით,ვაგზავნიდით,,გაგზავნიდით,ვაგზავნიდით,
მაგზავნიდით,,აგზავნიდით,გვაგზავნიდით,,აგზავნიდით,
მაგზავნიდნენ,გაგზავნიდნენ,აგზავნიდნენ,გვაგზავნიდნენ,გაგზავნიდნენ,აგზავნიდნენ,
cond2_prfv
,ამოგაგზავნიდი,ამოვაგზავნიდი,,ამოგაგზავნიდით,ამოვაგზავნიდი,
ამომაგზავნიდი,,ამოაგზავნიდი,ამოგვაგზავნიდი,,ამოაგზავნიდი,
ამომაგზავნიდა,ამოგაგზავნიდა,ამოაგზავნიდა,ამოგვაგზავნიდა,ამოგაგზავნიდათ,ამოაგზავნიდა,
,ამოგაგზავნიდით,ამოვაგზავნიდით,,ამოგაგზავნიდით,ამოვაგზავნიდით,
ამომაგზავნიდით,,ამოაგზავნიდით,ამოგვაგზავნიდით,,ამოაგზავნიდით,
ამომაგზავნიდნენ,ამოგაგზავნიდნენ,ამოაგზავნიდნენ,ამოგვაგზავნიდნენ,ამოგაგზავნიდნენ,ამოაგზავნიდნენ,
fut2_subj
,გაგზავნიდე,ვაგზავნიდე,,გაგზავნიდეთ,ვაგზავნიდე,
მაგზავნიდე,,აგზავნიდე,გვაგზავნიდე,,აგზავნიდე,
მაგზავნიდეს,გაგზავნიდეს,აგზავნიდეს,გვაგზავნიდეს,გაგზავნიდეთ,აგზავნიდეს,
,გაგზავნიდეთ,ვაგზავნიდეთ,,გაგზავნიდეთ,ვაგზავნიდეთ,
მაგზავნიდეთ,,აგზავნიდეთ,გვაგზავნიდეთ,,აგზავნიდეთ,
მაგზავნიდნენ,გაგზავნიდნენ,აგზავნიდნენ,გვაგზავნიდნენ,გაგზავნიდნენ,აგზავნიდნენ,
fut2_subj_prfv
,ამოგაგზავნიდე,ამოვაგზავნიდე,,ამოგაგზავნიდეთ,ამოვაგზავნიდე,
ამომაგზავნიდე,,ამოაგზავნიდე,ამოგვაგზავნიდე,,ამოაგზავნიდე,
ამომაგზავნიდეს,ამოგაგზავნიდეს,ამოაგზავნიდეს,ამოგვაგზავნიდეს,ამოგაგზავნიდეთ,ამოაგზავნიდეს,
,ამოგაგზავნიდეთ,ამოვაგზავნიდეთ,,ამოგაგზავნიდეთ,ამოვაგზავნიდეთ,
ამომაგზავნიდეთ,,ამოაგზავნიდეთ,ამოგვაგზავნიდეთ,,ამოაგზავნიდეთ,
ამომაგზავნიდნენ,ამოგაგზავნიდნენ,ამოაგზავნიდნენ,ამოგვაგზავნიდნენ,ამოგაგზავნიდნენ,ამოაგზავნიდნენ,
aor2
,გაგზავნე,ვაგზავნე,,გაგზავნეთ,ვაგზავნე,
მაგზავნე,,აგზავნე,გვაგზავნე,,აგზავნე,
მაგზავნა,გაგზავნა,აგზავნა,გვაგზავნა,გაგზავნათ,აგზავნა,
,გაგზავნეთ,ვაგზავნეთ,,გაგზავნეთ,ვაგზავნეთ,
მაგზავნეთ,,აგზავნეთ,გვაგზავნეთ,,აგზავნეთ,
მაგზავნეს,გაგზავნეს,აგზავნეს,გვაგზავნეს,გაგზავნეს,აგზავნეს,
aor2_prfv
,ამოგაგზავნე,ამოვაგზავნე,,ამოგაგზავნეთ,ამოვაგზავნე,
ამომაგზავნე,,ამოაგზავნე,ამოგვაგზავნე,,ამოაგზავნე,
ამომაგზავნა,ამოგაგზავნა,ამოაგზავნა,ამოგვაგზავნა,ამოგაგზავნათ,ამოაგზავნა,
,ამოგაგზავნეთ,ამოვაგზავნეთ,,ამოგაგზავნეთ,ამოვაგზავნეთ,
ამომაგზავნეთ,,ამოაგზავნეთ,ამოგვაგზავნეთ,,ამოაგზავნეთ,
ამომაგზავნეს,ამოგაგზავნეს,ამოაგზავნეს,ამოგვაგზავნეს,ამოგაგზავნეს,ამოაგზავნეს,
IIsubj2
,გაგზავნო,ვაგზავნო,,გაგზავნოთ,ვაგზავნო,
მაგზავნო,,აგზავნო,გვაგზავნო,,აგზავნო,
მაგზავნოს,გაგზავნოს,აგზავნოს,გვაგზავნოს,გაგზავნოთ,აგზავნოს,
,გაგზავნოთ,ვაგზავნოთ,,გაგზავნოთ,ვაგზავნოთ,
მაგზავნოთ,,აგზავნოთ,გვაგზავნოთ,,აგზავნოთ,
მაგზავნონ,გაგზავნონ,აგზავნონ,გვაგზავნონ,გაგზავნონ,აგზავნონ,
IIsubj2_prfv
,ამოგაგზავნო,ამოვაგზავნო,,ამოგაგზავნოთ,ამოვაგზავნო,
ამომაგზავნო,,ამოაგზავნო,ამოგვაგზავნო,,ამოაგზავნო,
ამომაგზავნოს,ამოგაგზავნოს,ამოაგზავნოს,ამოგვაგზავნოს,ამოგაგზავნოთ,ამოაგზავნოს,
,ამოგაგზავნოთ,ამოვაგზავნოთ,,ამოგაგზავნოთ,ამოვაგზავნოთ,
ამომაგზავნოთ,,ამოაგზავნოთ,ამოგვაგზავნოთ,,ამოაგზავნოთ,
ამომაგზავნონ,ამოგაგზავნონ,ამოაგზავნონ,ამოგვაგზავნონ,ამოგაგზავნონ,ამოაგზავნონ,
Iturm
,მიგზავნიხარ,მიგზავნია,,მიგზავნიხართ,მიგზავნია,
გიგზავნივარ,,გიგზავნია,გიგზავნივართ,,გიგზავნია,
ვუგზავნივარ,უგზავნიხარ,უგზავნია,ვუგზავნივართ,უგზავნიხართ,უგზავნია,
,გვიგზავნიხარ,გვიგზავნია,,გვიგზავნიხართ,გვიგზავნია,
გიგზავნივართ,,გიგზავნიათ,გიგზავნივართ,,გიგზავნიათ,
ვუგზავნივარ,უგზავნიხარ,უგზავნიათ,ვუგზავნივართ,უგზავნიხართ,უგზავნიათ,
Iturm_prfv
,ამომიგზავნიხარ,ამომიგზავნია,,ამომიგზავნიხართ,ამომიგზავნია,
ამოგიგზავნივარ,,ამოგიგზავნია,ამოგიგზავნივართ,,ამოგიგზავნია,
