fut2
,გადებინებ,ვადებინებ,,გადებინებთ,ვადებინებ,
მადებინებ,,ადებინებ,გვადებინებ,,ადებინებ,
მადებინებს,გადებინებს,ადებინებს,გვადებინებს,გადებინებთ,ადებინებს,
,გადებინებთ,ვადებინებთ,,გადებინებთ,ვადებინებთ,
მადებინებთ,,ადებინებთ,გვადებინებთ,,ადებინებთ,
მადებინებენ,გადებინებენ,ადებინებენ,გვადებინებენ,გადებინებენ,ადებინებენ,
fut2_prfv
,ამოგადებინებ,ამოვადებინებ,,ამოგადებინებთ,ამოვადებინებ,
ამომადებინებ,,ამოადებინებ,ამოგვადებინებ,,ამოადებინებ,
ამომადებინებს,ამოგადებინებს,ამოადებინებს,ამოგვადებინებს,ამოგადებინებთ,ამოადებინებს,
,ამოგადებინებთ,ამოვადებინებთ,,ამოგადებინებთ,ამოვადებინებთ,
ამომადებინებთ,,ამოადებინებთ,ამოგვადებინებთ,,ამოადებინებთ,
ამომადებინებენ,ამოგადებინებენ,ამოადებინებენ,ამოგვადებინებენ,ამოგადებინებენ,ამოადებინებენ,
cond2
,გადებინებდი,ვადებინებდი,,გადებინებდით,ვადებინებდი,
მადებინებდი,,ადებინებდი,გვადებინებდი,,ადებინებდი,
მადებინებდა,გადებინებდა,ადებინებდა,გვადებინებდა,გადებინებდათ,ადებინებდა,
,გადებინებდით,ვადებინებდით,,გადებინებდით,ვადებინებდით,
მადებინებდით,,ადებინებდით,გვადებინებდით,,ადებინებდით,
მადებინებდნენ,გადებინებდნენ,ადებინებდნენ,გვადებინებდნენ,გადებინებდნენ,ადებინებდნენ,
cond2_prfv
,ამოგადებინებდი,ამოვადებინებდი,,ამოგადებინებდით,ამოვადებინებდი,
ამომადებინებდი,,ამოადებინებდი,ამოგვადებინებდი,,ამოადებინებდი,
ამომადებინებდა,ამოგადებინებდა,ამოადებინებდა,ამოგვადებინებდა,ამოგადებინებდათ,ამოადებინებდა,
,ამოგადებინებდით,ამოვადებინებდით,,ამოგადებინებდით,ამოვადებინებდით,
ამომადებინებდით,,ამოადებინებდით,ამოგვადებინებდით,,ამოადებინებდით,
ამომადებინებდნენ,ამოგადებინებდნენ,ამოადებინებდნენ,ამოგვადებინებდნენ,ამოგადებინებდნენ,ამოადებინებდნენ,
fut2_subj
,გადებინებდე,ვადებინებდე,,გადებინებდეთ,ვადებინებდე,
მადებინებდე,,ადებინებდე,გვადებინებდე,,ადებინებდე,
მადებინებდეს,გადებინებდეს,ადებინებდეს,გვადებინებდეს,გადებინებდეთ,ადებინებდეს,
,გადებინებდეთ,ვადებინებდეთ,,გადებინებდეთ,ვადებინებდეთ,
მადებინებდეთ,,ადებინებდეთ,გვადებინებდეთ,,ადებინებდეთ,
მადებინებდნენ,გადებინებდნენ,ადებინებდნენ,გვადებინებდნენ,გადებინებდნენ,ადებინებდნენ,
fut2_subj_prfv
,ამოგადებინებდე,ამოვადებინებდე,,ამოგადებინებდეთ,ამოვადებინებდე,
ამომადებინებდე,,ამოადებინებდე,ამოგვადებინებდე,,ამოადებინებდე,
ამომადებინებდეს,ამოგადებინებდეს,ამოადებინებდეს,ამოგვადებინებდეს,ამოგადებინებდეთ,ამოადებინებდეს,
,ამოგადებინებდეთ,ამოვადებინებდეთ,,ამოგადებინებდეთ,ამოვადებინებდეთ,
ამომადებინებდეთ,,ამოადებინებდეთ,ამოგვადებინებდეთ,,ამოადებინებდეთ,
ამომადებინებდნენ,ამოგადებინებდნენ,ამოადებინებდნენ,ამოგვადებინებდნენ,ამოგადებინებდნენ,ამოადებინებდნენ,
aor2
,გადებინე,ვადებინე,,გადებინეთ,ვადებინე,
მადებინე,,ადებინე,გვადებინე,,ადებინე,
