fut2
,გაკლებ,ვაკლებ,,გაკლებთ,ვაკლებ,
მაკლებ,,აკლებ,გვაკლებ,,აკლებ,
მაკლებს,გაკლებს,აკლებს,გვაკლებს,გაკლებთ,აკლებს,
,გაკლებთ,ვაკლებთ,,გაკლებთ,ვაკლებთ,
მაკლებთ,,აკლებთ,გვაკლებთ,,აკლებთ,
მაკლებენ,გაკლებენ,აკლებენ,გვაკლებენ,გაკლებენ,აკლებენ,
fut2_prfv
,ამოგაკლებ,ამოვაკლებ,,ამოგაკლებთ,ამოვაკლებ,
ამომაკლებ,,ამოაკლებ,ამოგვაკლებ,,ამოაკლებ,
ამომაკლებს,ამოგაკლებს,ამოაკლებს,ამოგვაკლებს,ამოგაკლებთ,ამოაკლებს,
,ამოგაკლებთ,ამოვაკლებთ,,ამოგაკლებთ,ამოვაკლებთ,
ამომაკლებთ,,ამოაკლებთ,ამოგვაკლებთ,,ამოაკლებთ,
ამომაკლებენ,ამოგაკლებენ,ამოაკლებენ,ამოგვაკლებენ,ამოგაკლებენ,ამოაკლებენ,
cond2
,გაკლებდი,ვაკლებდი,,გაკლებდით,ვაკლებდი,
მაკლებდი,,აკლებდი,გვაკლებდი,,აკლებდი,
მაკლებდა,გაკლებდა,აკლებდა,გვაკლებდა,გაკლებდათ,აკლებდა,
,გაკლებდით,ვაკლებდით,,გაკლებდით,ვაკლებდით,
მაკლებდით,,აკლებდით,გვაკლებდით,,აკლებდით,
მაკლებდნენ,გაკლებდნენ,აკლებდნენ,გვაკლებდნენ,გაკლებდნენ,აკლებდნენ,
cond2_prfv
,ამოგაკლებდი,ამოვაკლებდი,,ამოგაკლებდით,ამოვაკლებდი,
ამომაკლებდი,,ამოაკლებდი,ამოგვაკლებდი,,ამოაკლებდი,
ამომაკლებდა,ამოგაკლებდა,ამოაკლებდა,ამოგვაკლებდა,ამოგაკლებდათ,ამოაკლებდა,
,ამოგაკლებდით,ამოვაკლებდით,,ამოგაკლებდით,ამოვაკლებდით,
ამომაკლებდით,,ამოაკლებდით,ამოგვაკლებდით,,ამოაკლებდით,
ამომაკლებდნენ,ამოგაკლებდნენ,ამოაკლებდნენ,ამოგვაკლებდნენ,ამოგაკლებდნენ,ამოაკლებდნენ,
fut2_subj
,გაკლებდე,ვაკლებდე,,გაკლებდეთ,ვაკლებდე,
მაკლებდე,,აკლებდე,გვაკლებდე,,აკლებდე,
მაკლებდეს,გაკლებდეს,აკლებდეს,გვაკლებდეს,გაკლებდეთ,აკლებდეს,
,გაკლებდეთ,ვაკლებდეთ,,გაკლებდეთ,ვაკლებდეთ,
მაკლებდეთ,,აკლებდეთ,გვაკლებდეთ,,აკლებდეთ,
მაკლებდნენ,გაკლებდნენ,აკლებდნენ,გვაკლებდნენ,გაკლებდნენ,აკლებდნენ,
fut2_subj_prfv
,ამოგაკლებდე,ამოვაკლებდე,,ამოგაკლებდეთ,ამოვაკლებდე,
ამომაკლებდე,,ამოაკლებდე,ამოგვაკლებდე,,ამოაკლებდე,
ამომაკლებდეს,ამოგაკლებდეს,ამოაკლებდეს,ამოგვაკლებდეს,ამოგაკლებდეთ,ამოაკლებდეს,
,ამოგაკლებდეთ,ამოვაკლებდეთ,,ამოგაკლებდეთ,ამოვაკლებდეთ,
ამომაკლებდეთ,,ამოაკლებდეთ,ამოგვაკლებდეთ,,ამოაკლებდეთ,
ამომაკლებდნენ,ამოგაკლებდნენ,ამოაკლებდნენ,ამოგვაკლებდნენ,ამოგაკლებდნენ,ამოაკლებდნენ,
aor2
,გაკელი,ვაკელი,,გაკელით,ვაკელი,
მაკელი,,აკელი,გვაკელი,,აკელი,
მაკლო,გაკლო,აკლო,გვაკლო,გაკლოთ,აკლო,
,გაკელით,ვაკელით,,გაკელით,ვაკელით,
მაკელით,,აკელით,გვაკელით,,აკელით,
მაკლეს,გაკლეს,აკლეს,გვაკლეს,გაკლეს,აკლეს,
aor2_prfv
,ამოგაკელი,ამოვაკელი,,ამოგაკელით,ამოვაკელი,
