fut2
,გარტყამ,ვარტყამ,,გარტყამთ,ვარტყამ,
მარტყამ,,არტყამ,გვარტყამ,,არტყამ,
მარტყამს,გარტყამს,არტყამს,გვარტყამს,გარტყამთ,არტყამს,
,გარტყამთ,ვარტყამთ,,გარტყამთ,ვარტყამთ,
მარტყამთ,,არტყამთ,გვარტყამთ,,არტყამთ,
მარტყამენ,გარტყამენ,არტყამენ,გვარტყამენ,გარტყამენ,არტყამენ,
fut2_prfv
,ამოგარტყამ,ამოვარტყამ,,ამოგარტყამთ,ამოვარტყამ,
ამომარტყამ,,ამოარტყამ,ამოგვარტყამ,,ამოარტყამ,
ამომარტყამს,ამოგარტყამს,ამოარტყამს,ამოგვარტყამს,ამოგარტყამთ,ამოარტყამს,
,ამოგარტყამთ,ამოვარტყამთ,,ამოგარტყამთ,ამოვარტყამთ,
ამომარტყამთ,,ამოარტყამთ,ამოგვარტყამთ,,ამოარტყამთ,
ამომარტყამენ,ამოგარტყამენ,ამოარტყამენ,ამოგვარტყამენ,ამოგარტყამენ,ამოარტყამენ,
cond2
,გარტყამდი,ვარტყამდი,,გარტყამდით,ვარტყამდი,
მარტყამდი,,არტყამდი,გვარტყამდი,,არტყამდი,
მარტყამდა,გარტყამდა,არტყამდა,გვარტყამდა,გარტყამდათ,არტყამდა,
,გარტყამდით,ვარტყამდით,,გარტყამდით,ვარტყამდით,
მარტყამდით,,არტყამდით,გვარტყამდით,,არტყამდით,
მარტყამდნენ,გარტყამდნენ,არტყამდნენ,გვარტყამდნენ,გარტყამდნენ,არტყამდნენ,
cond2_prfv
,ამოგარტყამდი,ამოვარტყამდი,,ამოგარტყამდით,ამოვარტყამდი,
ამომარტყამდი,,ამოარტყამდი,ამოგვარტყამდი,,ამოარტყამდი,
ამომარტყამდა,ამოგარტყამდა,ამოარტყამდა,ამოგვარტყამდა,ამოგარტყამდათ,ამოარტყამდა,
,ამოგარტყამდით,ამოვარტყამდით,,ამოგარტყამდით,ამოვარტყამდით,
ამომარტყამდით,,ამოარტყამდით,ამოგვარტყამდით,,ამოარტყამდით,
ამომარტყამდნენ,ამოგარტყამდნენ,ამოარტყამდნენ,ამოგვარტყამდნენ,ამოგარტყამდნენ,ამოარტყამდნენ,
fut2_subj
,გარტყამდე,ვარტყამდე,,გარტყამდეთ,ვარტყამდე,
მარტყამდე,,არტყამდე,გვარტყამდე,,არტყამდე,
მარტყამდეს,გარტყამდეს,არტყამდეს,გვარტყამდეს,გარტყამდეთ,არტყამდეს,
,გარტყამდეთ,ვარტყამდეთ,,გარტყამდეთ,ვარტყამდეთ,
მარტყამდეთ,,არტყამდეთ,გვარტყამდეთ,,არტყამდეთ,
მარტყამდნენ,გარტყამდნენ,არტყამდნენ,გვარტყამდნენ,გარტყამდნენ,არტყამდნენ,
fut2_subj_prfv
,ამოგარტყამდე,ამოვარტყამდე,,ამოგარტყამდეთ,ამოვარტყამდე,
ამომარტყამდე,,ამოარტყამდე,ამოგვარტყამდე,,ამოარტყამდე,
ამომარტყამდეს,ამოგარტყამდეს,ამოარტყამდეს,ამოგვარტყამდეს,ამოგარტყამდეთ,ამოარტყამდეს,
,ამოგარტყამდეთ,ამოვარტყამდეთ,,ამოგარტყამდეთ,ამოვარტყამდეთ,
ამომარტყამდეთ,,ამოარტყამდეთ,ამოგვარტყამდეთ,,ამოარტყამდეთ,
ამომარტყამდნენ,ამოგარტყამდნენ,ამოარტყამდნენ,ამოგვარტყამდნენ,ამოგარტყამდნენ,ამოარტყამდნენ,
aor2
,გარტყი,ვარტყი,,გარტყით,ვარტყი,
მარტყი,,არტყი,გვარტყი,,არტყი,
მარტყა,გარტყა,არტყა,გვარტყა,გარტყათ,არტყა,
,გარტყით,ვარტყით,,გარტყით,ვარტყით,
მარტყით,,არტყით,გვარტყით,,არტყით,
მარტყეს,გარტყეს,არტყეს,გვარტყეს,გარტყეს,არტყეს,
aor2_prfv
,ამოგარტყი,ამოვარტყი,,ამოგარტყით,ამოვარტყი,
ამომარტყი,,ამოარტყი,ამოგვარტყი,,ამოარტყი,
ამომარტყა,ამოგარტყა,ამოარტყა,ამოგვარტყა,ამოგარტყათ,ამოარტყა,
,ამოგარტყით,ამოვარტყით,,ამოგარტყით,ამოვარტყით,
ამომარტყით,,ამოარტყით,ამოგვარტყით,,ამოარტყით,
ამომარტყეს,ამოგარტყეს,ამოარტყეს,ამოგვარტყეს,ამოგარტყეს,ამოარტყეს,
IIsubj2
,გარტყა,ვარტყა,,გარტყათ,ვარტყა,
მარტყა,,არტყა,გვარტყა,,არტყა,
მარტყას,გარტყას,არტყას,გვარტყას,გარტყათ,არტყას,
,გარტყათ,ვარტყათ,,გარტყათ,ვარტყათ,
მარტყათ,,არტყათ,გვარტყათ,,არტყათ,
მარტყან,გარტყან,არტყან,გვარტყან,გარტყან,არტყან,
IIsubj2_prfv
,ამოგარტყა,ამოვარტყა,,ამოგარტყათ,ამოვარტყა,
ამომარტყა,,ამოარტყა,ამოგვარტყა,,ამოარტყა,
ამომარტყას,ამოგარტყას,ამოარტყას,ამოგვარტყას,ამოგარტყათ,ამოარტყას,
,ამოგარტყათ,ამოვარტყათ,,ამოგარტყათ,ამოვარტყათ,
ამომარტყათ,,ამოარტყათ,ამოგვარტყათ,,ამოარტყათ,
ამომარტყან,ამოგარტყან,ამოარტყან,ამოგვარტყან,ამოგარტყან,ამოარტყან,
Iturm
,მირტყიხარ,მირტყია,,მირტყიხართ,მირტყია,
გირტყივარ,,გირტყია,გირტყივართ,,გირტყია,
ვურტყივარ,ურტყიხარ,ურტყია,ვურტყივართ,ურტყიხართ,ურტყია,
,გვირტყიხარ,გვირტყია,,გვირტყიხართ,გვირტყია,
გირტყივართ,,გირტყიათ,გირტყივართ,,გირტყიათ,
ვურტყივარ,ურტყიხარ,ურტყიათ,ვურტყივართ,ურტყიხართ,ურტყიათ,
Iturm_prfv
,ამომირტყიხარ,ამომირტყია,,ამომირტყიხართ,ამომირტყია,
ამოგირტყივარ,,ამოგირტყია,ამოგირტყივართ,,ამოგირტყია,
ამოვურტყივარ,ამოურტყიხარ,ამოურტყია,ამოვურტყივართ,ამოურტყიხართ,ამოურტყია,
,ამოგვირტყიხარ,ამოგვირტყია,,ამოგვირტყიხართ,ამოგვირტყია,
ამოგირტყივართ,,ამოგირტყიათ,ამოგირტყივართ,,ამოგირტყიათ,
ამოვურტყივარ,ამოურტყიხარ,ამოურტყიათ,ამოვურტყივართ,ამოურტყიხართ,ამოურტყიათ,
Iturm_th
,მირტყამხარ,მირტყამს,,მირტყამხართ,მირტყამს,
გირტყამვარ,,გირტყამს,გირტყამვართ,,გირტყამს,
ვურტყამვარ,ურტყამხარ,ურტყამს,ვურტყამვართ,ურტყამხართ,ურტყამს,
,გვირტყამხარ,გვირტყამს,,გვირტყამხართ,გვირტყამს,
გირტყამვართ,,გირტყამთ,გირტყამვართ,,გირტყამთ,
ვურტყამვარ,ურტყამხარ,ურტყამთ,ვურტყამვართ,ურტყამხართ,ურტყამთ,
Iturm_th_prfv
,ამომირტყამხარ,ამომირტყამს,,ამომირტყამხართ,ამომირტყამს,
ამოგირტყამვარ,,ამოგირტყამს,ამოგირტყამვართ,,ამოგირტყამს,
ამოვურტყამვარ,ამოურტყამხარ,ამოურტყამს,ამოვურტყამვართ,ამოურტყამხართ,ამოურტყამს,
,ამოგვირტყამხარ,ამოგვირტყამს,,ამოგვირტყამხართ,ამოგვირტყამს,
ამოგირტყამვართ,,ამოგირტყამთ,ამოგირტყამვართ,,ამოგირტყამთ,
ამოვურტყამვარ,ამოურტყამხარ,ამოურტყამთ,ამოვურტყამვართ,ამოურტყამხართ,ამოურტყამთ,
IIturm
,მერტყი,მერტყა,,მერტყით,მერტყა,
გერტყი,,გერტყა,გერტყით,,გერტყა,
ვერტყი,ერტყი,ერტყა,ვერტყით,ერტყით,ერტყა,
,გვერტყი,გვერტყა,,გვერტყით,გვერტყა,
გერტყით,,გერტყათ,გერტყით,,გერტყათ,
