fut2
,გაქებ,ვაქებ,,გაქებთ,ვაქებ,
მაქებ,,აქებ,გვაქებ,,აქებ,
მაქებს,გაქებს,აქებს,გვაქებს,გაქებთ,აქებს,
,გაქებთ,ვაქებთ,,გაქებთ,ვაქებთ,
მაქებთ,,აქებთ,გვაქებთ,,აქებთ,
მაქებენ,გაქებენ,აქებენ,გვაქებენ,გაქებენ,აქებენ,
fut2_prfv
,ამოგაქებ,ამოვაქებ,,ამოგაქებთ,ამოვაქებ,
ამომაქებ,,ამოაქებ,ამოგვაქებ,,ამოაქებ,
ამომაქებს,ამოგაქებს,ამოაქებს,ამოგვაქებს,ამოგაქებთ,ამოაქებს,
,ამოგაქებთ,ამოვაქებთ,,ამოგაქებთ,ამოვაქებთ,
ამომაქებთ,,ამოაქებთ,ამოგვაქებთ,,ამოაქებთ,
ამომაქებენ,ამოგაქებენ,ამოაქებენ,ამოგვაქებენ,ამოგაქებენ,ამოაქებენ,
cond2
,გაქებდი,ვაქებდი,,გაქებდით,ვაქებდი,
მაქებდი,,აქებდი,გვაქებდი,,აქებდი,
მაქებდა,გაქებდა,აქებდა,გვაქებდა,გაქებდათ,აქებდა,
,გაქებდით,ვაქებდით,,გაქებდით,ვაქებდით,
მაქებდით,,აქებდით,გვაქებდით,,აქებდით,
მაქებდნენ,გაქებდნენ,აქებდნენ,გვაქებდნენ,გაქებდნენ,აქებდნენ,
cond2_prfv
,ამოგაქებდი,ამოვაქებდი,,ამოგაქებდით,ამოვაქებდი,
ამომაქებდი,,ამოაქებდი,ამოგვაქებდი,,ამოაქებდი,
ამომაქებდა,ამოგაქებდა,ამოაქებდა,ამოგვაქებდა,ამოგაქებდათ,ამოაქებდა,
,ამოგაქებდით,ამოვაქებდით,,ამოგაქებდით,ამოვაქებდით,
ამომაქებდით,,ამოაქებდით,ამოგვაქებდით,,ამოაქებდით,
ამომაქებდნენ,ამოგაქებდნენ,ამოაქებდნენ,ამოგვაქებდნენ,ამოგაქებდნენ,ამოაქებდნენ,
fut2_subj
,გაქებდე,ვაქებდე,,გაქებდეთ,ვაქებდე,
მაქებდე,,აქებდე,გვაქებდე,,აქებდე,
მაქებდეს,გაქებდეს,აქებდეს,გვაქებდეს,გაქებდეთ,აქებდეს,
,გაქებდეთ,ვაქებდეთ,,გაქებდეთ,ვაქებდეთ,
მაქებდეთ,,აქებდეთ,გვაქებდეთ,,აქებდეთ,
მაქებდნენ,გაქებდნენ,აქებდნენ,გვაქებდნენ,გაქებდნენ,აქებდნენ,
fut2_subj_prfv
,ამოგაქებდე,ამოვაქებდე,,ამოგაქებდეთ,ამოვაქებდე,
ამომაქებდე,,ამოაქებდე,ამოგვაქებდე,,ამოაქებდე,
ამომაქებდეს,ამოგაქებდეს,ამოაქებდეს,ამოგვაქებდეს,ამოგაქებდეთ,ამოაქებდეს,
,ამოგაქებდეთ,ამოვაქებდეთ,,ამოგაქებდეთ,ამოვაქებდეთ,
ამომაქებდეთ,,ამოაქებდეთ,ამოგვაქებდეთ,,ამოაქებდეთ,
ამომაქებდნენ,ამოგაქებდნენ,ამოაქებდნენ,ამოგვაქებდნენ,ამოგაქებდნენ,ამოაქებდნენ,
aor2
,გაქე,ვაქე,,გაქეთ,ვაქე,
მაქე,,აქე,გვაქე,,აქე,
მაქო,გაქო,აქო,გვაქო,გაქოთ,აქო,
,გაქეთ,ვაქეთ,,გაქეთ,ვაქეთ,
მაქეთ,,აქეთ,გვაქეთ,,აქეთ,
მაქეს,გაქეს,აქეს,გვაქეს,გაქეს,აქეს,
aor2_prfv
,ამოგაქე,ამოვაქე,,ამოგაქეთ,ამოვაქე,
ამომაქე,,ამოაქე,ამოგვაქე,,ამოაქე,
ამომაქო,ამოგაქო,ამოაქო,ამოგვაქო,ამოგაქოთ,ამოაქო,
,ამოგაქეთ,ამოვაქეთ,,ამოგაქეთ,ამოვაქეთ,
ამომაქეთ,,ამოაქეთ,ამოგვაქეთ,,ამოაქეთ,
ამომაქეს,ამოგაქეს,ამოაქეს,ამოგვაქეს,ამოგაქეს,ამოაქეს,
IIsubj2
,გაქო,ვაქო,,გაქოთ,ვაქო,
მაქო,,აქო,გვაქო,,აქო,
მაქოს,გაქოს,აქოს,გვაქოს,გაქოთ,აქოს,
,გაქოთ,ვაქოთ,,გაქოთ,ვაქოთ,
მაქოთ,,აქოთ,გვაქოთ,,აქოთ,
მაქონ,გაქონ,აქონ,გვაქონ,გაქონ,აქონ,
IIsubj2_prfv
,ამოგაქო,ამოვაქო,,ამოგაქოთ,ამოვაქო,
ამომაქო,,ამოაქო,ამოგვაქო,,ამოაქო,
ამომაქოს,ამოგაქოს,ამოაქოს,ამოგვაქოს,ამოგაქოთ,ამოაქოს,
,ამოგაქოთ,ამოვაქოთ,,ამოგაქოთ,ამოვაქოთ,
ამომაქოთ,,ამოაქოთ,ამოგვაქოთ,,ამოაქოთ,
ამომაქონ,ამოგაქონ,ამოაქონ,ამოგვაქონ,ამოგაქონ,ამოაქონ,
Iturm
,მიქიხარ,მიქია,,მიქიხართ,მიქია,
გიქივარ,,გიქია,გიქივართ,,გიქია,
ვუქივარ,უქიხარ,უქია,ვუქივართ,უქიხართ,უქია,
,გვიქიხარ,გვიქია,,გვიქიხართ,გვიქია,
გიქივართ,,გიქიათ,გიქივართ,,გიქიათ,
ვუქივარ,უქიხარ,უქიათ,ვუქივართ,უქიხართ,უქიათ,
Iturm_prfv
,ამომიქიხარ,ამომიქია,,ამომიქიხართ,ამომიქია,
ამოგიქივარ,,ამოგიქია,ამოგიქივართ,,ამოგიქია,
ამოვუქივარ,ამოუქიხარ,ამოუქია,ამოვუქივართ,ამოუქიხართ,ამოუქია,
,ამოგვიქიხარ,ამოგვიქია,,ამოგვიქიხართ,ამოგვიქია,
ამოგიქივართ,,ამოგიქიათ,ამოგიქივართ,,ამოგიქიათ,
ამოვუქივარ,ამოუქიხარ,ამოუქიათ,ამოვუქივართ,ამოუქიხართ,ამოუქიათ,
IIturm
,მექე,მექო,,მექეთ,მექოთ,
გექე,,გექო,გექეთ,,გექოთ,
ვექე,ექე,ექო,ვექეთ,ექეთ,ექოთ,
,გვექე,გვექო,,გვექეთ,გვექოთ,
გექეთ,,გექოთ,გექეთ,,გექოთ,
ვექე,ექე,ექოთ,ვექეთ,ექეთ,ექოთთ,
IIturm_prfv
,ამომექე,ამომექო,,ამომექეთ,ამომექოთ,
ამოგექე,,ამოგექო,ამოგექეთ,,ამოგექოთ,
ამოვექე,ამოექე,ამოექო,ამოვექეთ,ამოექეთ,ამოექოთ,
,ამოგვექე,ამოგვექო,,ამოგვექეთ,ამოგვექოთ,
ამოგექეთ,,ამოგექოთ,ამოგექეთ,,ამოგექოთ,
ამოვექე,ამოექე,ამოექოთ,ამოვექეთ,ამოექეთ,ამოექოთთ,
IIIsubj
,მექო,მექოს,,მექოთ,მექოს,
გექო,,გექოს,გექოთ,,გექოს,
ვექო,ექო,ექოს,ვექოთ,ექოთ,ექოს,
,გვექო,გვექოს,,გვექოთ,გვექოს,
გექოთ,,გექოთ,გექოთ,,გექოთ,
ვექო,ექო,ექოთ,ვექოთ,ექოთ,ექოთ,
IIIsubj_prfv
,ამომექო,ამომექოს,,ამომექოთ,ამომექოს,
ამოგექო,,ამოგექოს,ამოგექოთ,,ამოგექოს,
ამოვექო,ამოექო,ამოექოს,ამოვექოთ,ამოექოთ,ამოექოს,
,ამოგვექო,ამოგვექოს,,ამოგვექოთ,ამოგვექოს,
ამოგექოთ,,ამოგექოთ,ამოგექოთ,,ამოგექოთ,
ამოვექო,ამოექო,ამოექოთ,ამოვექოთ,ამოექოთ,ამოექოთ,
