fut2
,გაწვენ,ვაწვენ,,გაწვენთ,ვაწვენ,
მაწვენ,,აწვენ,გვაწვენ,,აწვენ,
მაწვენს,გაწვენს,აწვენს,გვაწვენს,გაწვენთ,აწვენს,
,გაწვენთ,ვაწვენთ,,გაწვენთ,ვაწვენთ,
მაწვენთ,,აწვენთ,გვაწვენთ,,აწვენთ,
მაწვენენ,გაწვენენ,აწვენენ,გვაწვენენ,გაწვენენ,აწვენენ,
fut2_prfv
,ამოგაწვენ,ამოვაწვენ,,ამოგაწვენთ,ამოვაწვენ,
ამომაწვენ,,ამოაწვენ,ამოგვაწვენ,,ამოაწვენ,
ამომაწვენს,ამოგაწვენს,ამოაწვენს,ამოგვაწვენს,ამოგაწვენთ,ამოაწვენს,
,ამოგაწვენთ,ამოვაწვენთ,,ამოგაწვენთ,ამოვაწვენთ,
ამომაწვენთ,,ამოაწვენთ,ამოგვაწვენთ,,ამოაწვენთ,
ამომაწვენენ,ამოგაწვენენ,ამოაწვენენ,ამოგვაწვენენ,ამოგაწვენენ,ამოაწვენენ,
cond2
,გაწვენდი,ვაწვენდი,,გაწვენდით,ვაწვენდი,
მაწვენდი,,აწვენდი,გვაწვენდი,,აწვენდი,
მაწვენდა,გაწვენდა,აწვენდა,გვაწვენდა,გაწვენდათ,აწვენდა,
,გაწვენდით,ვაწვენდით,,გაწვენდით,ვაწვენდით,
მაწვენდით,,აწვენდით,გვაწვენდით,,აწვენდით,
მაწვენდნენ,გაწვენდნენ,აწვენდნენ,გვაწვენდნენ,გაწვენდნენ,აწვენდნენ,
cond2_prfv
,ამოგაწვენდი,ამოვაწვენდი,,ამოგაწვენდით,ამოვაწვენდი,
ამომაწვენდი,,ამოაწვენდი,ამოგვაწვენდი,,ამოაწვენდი,
ამომაწვენდა,ამოგაწვენდა,ამოაწვენდა,ამოგვაწვენდა,ამოგაწვენდათ,ამოაწვენდა,
,ამოგაწვენდით,ამოვაწვენდით,,ამოგაწვენდით,ამოვაწვენდით,
ამომაწვენდით,,ამოაწვენდით,ამოგვაწვენდით,,ამოაწვენდით,
ამომაწვენდნენ,ამოგაწვენდნენ,ამოაწვენდნენ,ამოგვაწვენდნენ,ამოგაწვენდნენ,ამოაწვენდნენ,
fut2_subj
,გაწვენდე,ვაწვენდე,,გაწვენდეთ,ვაწვენდე,
მაწვენდე,,აწვენდე,გვაწვენდე,,აწვენდე,
მაწვენდეს,გაწვენდეს,აწვენდეს,გვაწვენდეს,გაწვენდეთ,აწვენდეს,
,გაწვენდეთ,ვაწვენდეთ,,გაწვენდეთ,ვაწვენდეთ,
მაწვენდეთ,,აწვენდეთ,გვაწვენდეთ,,აწვენდეთ,
მაწვენდნენ,გაწვენდნენ,აწვენდნენ,გვაწვენდნენ,გაწვენდნენ,აწვენდნენ,
fut2_subj_prfv
,ამოგაწვენდე,ამოვაწვენდე,,ამოგაწვენდეთ,ამოვაწვენდე,
ამომაწვენდე,,ამოაწვენდე,ამოგვაწვენდე,,ამოაწვენდე,
ამომაწვენდეს,ამოგაწვენდეს,ამოაწვენდეს,ამოგვაწვენდეს,ამოგაწვენდეთ,ამოაწვენდეს,
,ამოგაწვენდეთ,ამოვაწვენდეთ,,ამოგაწვენდეთ,ამოვაწვენდეთ,
ამომაწვენდეთ,,ამოაწვენდეთ,ამოგვაწვენდეთ,,ამოაწვენდეთ,
ამომაწვენდნენ,ამოგაწვენდნენ,ამოაწვენდნენ,ამოგვაწვენდნენ,ამოგაწვენდნენ,ამოაწვენდნენ,
aor2
,გაწვინე,ვაწვინე,,გაწვინეთ,ვაწვინე,
მაწვინე,,აწვინე,გვაწვინე,,აწვინე,
მაწვინა,გაწვინა,აწვინა,გვაწვინა,გაწვინათ,აწვინა,
,გაწვინეთ,ვაწვინეთ,,გაწვინეთ,ვაწვინეთ,
მაწვინეთ,,აწვინეთ,გვაწვინეთ,,აწვინეთ,
მაწვინეს,გაწვინეს,აწვინეს,გვაწვინეს,გაწვინეს,აწვინეს,
aor2_prfv
,ამოგაწვინე,ამოვაწვინე,,ამოგაწვინეთ,ამოვაწვინე,
ამომაწვინე,,ამოაწვინე,ამოგვაწვინე,,ამოაწვინე,
