fut2
,გაჭერ,ვაჭერ,,გაჭერთ,ვაჭერ,
მაჭერ,,აჭერ,გვაჭერ,,აჭერ,
მაჭერს,გაჭერს,აჭერს,გვაჭერს,გაჭერთ,აჭერს,
,გაჭერთ,ვაჭერთ,,გაჭერთ,ვაჭერთ,
მაჭერთ,,აჭერთ,გვაჭერთ,,აჭერთ,
მაჭერენ,გაჭერენ,აჭერენ,გვაჭერენ,გაჭერენ,აჭერენ,
fut2_prfv
,ამოგაჭერ,ამოვაჭერ,,ამოგაჭერთ,ამოვაჭერ,
ამომაჭერ,,ამოაჭერ,ამოგვაჭერ,,ამოაჭერ,
ამომაჭერს,ამოგაჭერს,ამოაჭერს,ამოგვაჭერს,ამოგაჭერთ,ამოაჭერს,
,ამოგაჭერთ,ამოვაჭერთ,,ამოგაჭერთ,ამოვაჭერთ,
ამომაჭერთ,,ამოაჭერთ,ამოგვაჭერთ,,ამოაჭერთ,
ამომაჭერენ,ამოგაჭერენ,ამოაჭერენ,ამოგვაჭერენ,ამოგაჭერენ,ამოაჭერენ,
cond2
,გაჭერდი,ვაჭერდი,,გაჭერდით,ვაჭერდი,
მაჭერდი,,აჭერდი,გვაჭერდი,,აჭერდი,
მაჭერდა,გაჭერდა,აჭერდა,გვაჭერდა,გაჭერდათ,აჭერდა,
,გაჭერდით,ვაჭერდით,,გაჭერდით,ვაჭერდით,
მაჭერდით,,აჭერდით,გვაჭერდით,,აჭერდით,
მაჭერდნენ,გაჭერდნენ,აჭერდნენ,გვაჭერდნენ,გაჭერდნენ,აჭერდნენ,
cond2_prfv
,ამოგაჭერდი,ამოვაჭერდი,,ამოგაჭერდით,ამოვაჭერდი,
ამომაჭერდი,,ამოაჭერდი,ამოგვაჭერდი,,ამოაჭერდი,
ამომაჭერდა,ამოგაჭერდა,ამოაჭერდა,ამოგვაჭერდა,ამოგაჭერდათ,ამოაჭერდა,
,ამოგაჭერდით,ამოვაჭერდით,,ამოგაჭერდით,ამოვაჭერდით,
ამომაჭერდით,,ამოაჭერდით,ამოგვაჭერდით,,ამოაჭერდით,
ამომაჭერდნენ,ამოგაჭერდნენ,ამოაჭერდნენ,ამოგვაჭერდნენ,ამოგაჭერდნენ,ამოაჭერდნენ,
fut2_subj
,გაჭერდე,ვაჭერდე,,გაჭერდეთ,ვაჭერდე,
მაჭერდე,,აჭერდე,გვაჭერდე,,აჭერდე,
მაჭერდეს,გაჭერდეს,აჭერდეს,გვაჭერდეს,გაჭერდეთ,აჭერდეს,
,გაჭერდეთ,ვაჭერდეთ,,გაჭერდეთ,ვაჭერდეთ,
მაჭერდეთ,,აჭერდეთ,გვაჭერდეთ,,აჭერდეთ,
მაჭერდნენ,გაჭერდნენ,აჭერდნენ,გვაჭერდნენ,გაჭერდნენ,აჭერდნენ,
fut2_subj_prfv
,ამოგაჭერდე,ამოვაჭერდე,,ამოგაჭერდეთ,ამოვაჭერდე,
ამომაჭერდე,,ამოაჭერდე,ამოგვაჭერდე,,ამოაჭერდე,
ამომაჭერდეს,ამოგაჭერდეს,ამოაჭერდეს,ამოგვაჭერდეს,ამოგაჭერდეთ,ამოაჭერდეს,
,ამოგაჭერდეთ,ამოვაჭერდეთ,,ამოგაჭერდეთ,ამოვაჭერდეთ,
ამომაჭერდეთ,,ამოაჭერდეთ,ამოგვაჭერდეთ,,ამოაჭერდეთ,
ამომაჭერდნენ,ამოგაჭერდნენ,ამოაჭერდნენ,ამოგვაჭერდნენ,ამოგაჭერდნენ,ამოაჭერდნენ,
aor2
,გაჭირე,ვაჭირე,,გაჭირეთ,ვაჭირე,
მაჭირე,,აჭირე,გვაჭირე,,აჭირე,
მაჭირა,გაჭირა,აჭირა,გვაჭირა,გაჭირათ,აჭირა,
,გაჭირეთ,ვაჭირეთ,,გაჭირეთ,ვაჭირეთ,
მაჭირეთ,,აჭირეთ,გვაჭირეთ,,აჭირეთ,
მაჭირეს,გაჭირეს,აჭირეს,გვაჭირეს,გაჭირეს,აჭირეს,
aor2_prfv
,ამოგაჭირე,ამოვაჭირე,,ამოგაჭირეთ,ამოვაჭირე,
ამომაჭირე,,ამოაჭირე,ამოგვაჭირე,,ამოაჭირე,
ამომაჭირა,ამოგაჭირა,ამოაჭირა,ამოგვაჭირა,ამოგაჭირათ,ამოაჭირა,
,ამოგაჭირეთ,ამოვაჭირეთ,,ამოგაჭირეთ,ამოვაჭირეთ,
ამომაჭირეთ,,ამოაჭირეთ,ამოგვაჭირეთ,,ამოაჭირეთ,
ამომაჭირეს,ამოგაჭირეს,ამოაჭირეს,ამოგვაჭირეს,ამოგაჭირეს,ამოაჭირეს,
IIsubj2
,გაჭირო,ვაჭირო,,გაჭიროთ,ვაჭირო,
მაჭირო,,აჭირო,გვაჭირო,,აჭირო,
მაჭიროს,გაჭიროს,აჭიროს,გვაჭიროს,გაჭიროთ,აჭიროს,
,გაჭიროთ,ვაჭიროთ,,გაჭიროთ,ვაჭიროთ,
მაჭიროთ,,აჭიროთ,გვაჭიროთ,,აჭიროთ,
მაჭირონ,გაჭირონ,აჭირონ,გვაჭირონ,გაჭირონ,აჭირონ,
IIsubj2_prfv
,ამოგაჭირო,ამოვაჭირო,,ამოგაჭიროთ,ამოვაჭირო,
ამომაჭირო,,ამოაჭირო,ამოგვაჭირო,,ამოაჭირო,
ამომაჭიროს,ამოგაჭიროს,ამოაჭიროს,ამოგვაჭიროს,ამოგაჭიროთ,ამოაჭიროს,
,ამოგაჭიროთ,ამოვაჭიროთ,,ამოგაჭიროთ,ამოვაჭიროთ,
ამომაჭიროთ,,ამოაჭიროთ,ამოგვაჭიროთ,,ამოაჭიროთ,
ამომაჭირონ,ამოგაჭირონ,ამოაჭირონ,ამოგვაჭირონ,ამოგაჭირონ,ამოაჭირონ,
Iturm
,მიჭერიხარ,მიჭერია,,მიჭერიხართ,მიჭერია,
გიჭერივარ,,გიჭერია,გიჭერივართ,,გიჭერია,
ვუჭერივარ,უჭერიხარ,უჭერია,ვუჭერივართ,უჭერიხართ,უჭერია,
,გვიჭერიხარ,გვიჭერია,,გვიჭერიხართ,გვიჭერია,
გიჭერივართ,,გიჭერიათ,გიჭერივართ,,გიჭერიათ,
ვუჭერივარ,უჭერიხარ,უჭერიათ,ვუჭერივართ,უჭერიხართ,უჭერიათ,
Iturm_prfv
,ამომიჭერიხარ,ამომიჭერია,,ამომიჭერიხართ,ამომიჭერია,
ამოგიჭერივარ,,ამოგიჭერია,ამოგიჭერივართ,,ამოგიჭერია,
ამოვუჭერივარ,ამოუჭერიხარ,ამოუჭერია,ამოვუჭერივართ,ამოუჭერიხართ,ამოუჭერია,
,ამოგვიჭერიხარ,ამოგვიჭერია,,ამოგვიჭერიხართ,ამოგვიჭერია,
ამოგიჭერივართ,,ამოგიჭერიათ,ამოგიჭერივართ,,ამოგიჭერიათ,
ამოვუჭერივარ,ამოუჭერიხარ,ამოუჭერიათ,ამოვუჭერივართ,ამოუჭერიხართ,ამოუჭერიათ,
IIturm
,მეჭირე,მეჭირა,,მეჭირეთ,მეჭირა,
გეჭირე,,გეჭირა,გეჭირეთ,,გეჭირა,
ვეჭირე,ეჭირე,ეჭირა,ვეჭირეთ,ეჭირეთ,ეჭირა,
,გვეჭირე,გვეჭირა,,გვეჭირეთ,გვეჭირა,
გეჭირეთ,,გეჭირათ,გეჭირეთ,,გეჭირათ,
ვეჭირე,ეჭირე,ეჭირათ,ვეჭირეთ,ეჭირეთ,ეჭირათ,
IIturm_prfv
,ამომეჭირე,ამომეჭირა,,ამომეჭირეთ,ამომეჭირა,
ამოგეჭირე,,ამოგეჭირა,ამოგეჭირეთ,,ამოგეჭირა,
ამოვეჭირე,ამოეჭირე,ამოეჭირა,ამოვეჭირეთ,ამოეჭირეთ,ამოეჭირა,
,ამოგვეჭირე,ამოგვეჭირა,,ამოგვეჭირეთ,ამოგვეჭირა,
ამოგეჭირეთ,,ამოგეჭირათ,ამოგეჭირეთ,,ამოგეჭირათ,
ამოვეჭირე,ამოეჭირე,ამოეჭირათ,ამოვეჭირეთ,ამოეჭირეთ,ამოეჭირათ,
IIIsubj
,მეჭირო,მეჭიროს,,მეჭიროთ,მეჭიროს,
გეჭირო,,გეჭიროს,გეჭიროთ,,გეჭიროს,
ვეჭირო,ეჭირო,ეჭიროს,ვეჭიროთ,ეჭიროთ,ეჭიროს,
,გვეჭირო,გვეჭიროს,,გვეჭიროთ,გვეჭიროს,
გეჭიროთ,,გეჭიროთ,გეჭიროთ,,გეჭიროთ,
ვეჭირო,ეჭირო,ეჭიროთ,ვეჭიროთ,ეჭიროთ,ეჭიროთ,
IIIsubj_prfv
,ამომეჭირო,ამომეჭიროს,,ამომეჭიროთ,ამომეჭიროს,
ამოგეჭირო,,ამოგეჭიროს,ამოგეჭიროთ,,ამოგეჭიროს,
ამოვეჭირო,ამოეჭირო,ამოეჭიროს,ამოვეჭიროთ,ამოეჭიროთ,ამოეჭიროს,
,ამოგვეჭირო,ამოგვეჭიროს,,ამოგვეჭიროთ,ამოგვეჭიროს,
ამოგეჭიროთ,,ამოგეჭიროთ,ამოგეჭიროთ,,ამოგეჭიროთ,
ამოვეჭირო,ამოეჭირო,ამოეჭიროთ,ამოვეჭიროთ,ამოეჭიროთ,ამოეჭიროთ,
