fut2
,გეწერები,ვეწერები,,გეწერებით,ვეწერები,
მეწერები,,ეწერები,გვეწერები,,ეწერები,
მეწერება,გეწერება,ეწერება,გვეწერება,გეწერებათ,ეწერება,
,გეწერებით,ვეწერებით,,გეწერებით,ვეწერებით,
მეწერებით,,ეწერებით,გვეწერებით,,ეწერებით,
მეწერებიან,გეწერებიან,ეწერებიან,გვეწერებიან,გეწერებიან,ეწერებიან,
fut2_prfv
,ამოგეწერები,ამოვეწერები,,ამოგეწერებით,ამოვეწერები,
ამომეწერები,,ამოეწერები,ამოგვეწერები,,ამოეწერები,
ამომეწერება,ამოგეწერება,ამოეწერება,ამოგვეწერება,ამოგეწერებათ,ამოეწერება,
,ამოგეწერებით,ამოვეწერებით,,ამოგეწერებით,ამოვეწერებით,
ამომეწერებით,,ამოეწერებით,ამოგვეწერებით,,ამოეწერებით,
ამომეწერებიან,ამოგეწერებიან,ამოეწერებიან,ამოგვეწერებიან,ამოგეწერებიან,ამოეწერებიან,
cond2
,გეწერებოდი,ვეწერებოდი,,გეწერებოდით,ვეწერებოდი,
მეწერებოდი,,ეწერებოდი,გვეწერებოდი,,ეწერებოდი,
მეწერებოდა,გეწერებოდა,ეწერებოდა,გვეწერებოდა,გეწერებოდათ,ეწერებოდა,
,გეწერებოდით,ვეწერებოდით,,გეწერებოდით,ვეწერებოდით,
მეწერებოდით,,ეწერებოდით,გვეწერებოდით,,ეწერებოდით,
მეწერებოდნენ,გეწერებოდნენ,ეწერებოდნენ,გვეწერებოდნენ,გეწერებოდნენ,ეწერებოდნენ,
cond2_prfv
,ამოგეწერებოდი,ამოვეწერებოდი,,ამოგეწერებოდით,ამოვეწერებოდი,
ამომეწერებოდი,,ამოეწერებოდი,ამოგვეწერებოდი,,ამოეწერებოდი,
ამომეწერებოდა,ამოგეწერებოდა,ამოეწერებოდა,ამოგვეწერებოდა,ამოგეწერებოდათ,ამოეწერებოდა,
,ამოგეწერებოდით,ამოვეწერებოდით,,ამოგეწერებოდით,ამოვეწერებოდით,
ამომეწერებოდით,,ამოეწერებოდით,ამოგვეწერებოდით,,ამოეწერებოდით,
ამომეწერებოდნენ,ამოგეწერებოდნენ,ამოეწერებოდნენ,ამოგვეწერებოდნენ,ამოგეწერებოდნენ,ამოეწერებოდნენ,
fut2_subj
,გეწერებოდე,ვეწერებოდე,,გეწერებოდეთ,ვეწერებოდე,
მეწერებოდე,,ეწერებოდე,გვეწერებოდე,,ეწერებოდე,
მეწერებოდეს,გეწერებოდეს,ეწერებოდეს,გვეწერებოდეს,გეწერებოდეთ,ეწერებოდეს,
,გეწერებოდეთ,ვეწერებოდეთ,,გეწერებოდეთ,ვეწერებოდეთ,
მეწერებოდეთ,,ეწერებოდეთ,გვეწერებოდეთ,,ეწერებოდეთ,
მეწერებოდნენ,გეწერებოდნენ,ეწერებოდნენ,გვეწერებოდნენ,გეწერებოდნენ,ეწერებოდნენ,
fut2_subj_prfv
,ამოგეწერებოდე,ამოვეწერებოდე,,ამოგეწერებოდეთ,ამოვეწერებოდე,
ამომეწერებოდე,,ამოეწერებოდე,ამოგვეწერებოდე,,ამოეწერებოდე,
ამომეწერებოდეს,ამოგეწერებოდეს,ამოეწერებოდეს,ამოგვეწერებოდეს,ამოგეწერებოდეთ,ამოეწერებოდეს,
,ამოგეწერებოდეთ,ამოვეწერებოდეთ,,ამოგეწერებოდეთ,ამოვეწერებოდეთ,
ამომეწერებოდეთ,,ამოეწერებოდეთ,ამოგვეწერებოდეთ,,ამოეწერებოდეთ,
ამომეწერებოდნენ,ამოგეწერებოდნენ,ამოეწერებოდნენ,ამოგვეწერებოდნენ,ამოგეწერებოდნენ,ამოეწერებოდნენ,
aor2
,გეწერე,ვეწერე,,გეწერეთ,ვეწერე,
მეწერე,,ეწერე,გვეწერე,,ეწერე,
მეწერა,გეწერა,ეწერა,გვეწერა,გეწერათ,ეწერა,
