pres
,გზრდი,ვზრდი,,გზრდით,ვზრდი,
მზრდი,,ზრდი,გვზრდი,,ზრდი,
მზრდის,გზრდის,ზრდის,გვზრდის,გზრდით,ზრდის,
,გზრდით,ვზრდით,,გზრდით,ვზრდით,
მზრდით,,ზრდით,გვზრდით,,ზრდით,
მზრდიან,გზრდიან,ზრდიან,გვზრდიან,გზრდიან,ზრდიან,
fut
,ამოგზრდი,ამოვზრდი,,ამოგზრდით,ამოვზრდი,
ამომზრდი,,ამოზრდი,ამოგვზრდი,,ამოზრდი,
ამომზრდის,ამოგზრდის,ამოზრდის,ამოგვზრდის,ამოგზრდით,ამოზრდის,
,ამოგზრდით,ამოვზრდით,,ამოგზრდით,ამოვზრდით,
ამომზრდით,,ამოზრდით,ამოგვზრდით,,ამოზრდით,
ამომზრდიან,ამოგზრდიან,ამოზრდიან,ამოგვზრდიან,ამოგზრდიან,ამოზრდიან,
impf
,გზრდიდი,ვზრდიდი,,გზრდიდით,ვზრდიდი,
მზრდიდი,,ზრდიდი,გვზრდიდი,,ზრდიდი,
მზრდიდა,გზრდიდა,ზრდიდა,გვზრდიდა,გზრდიდათ,ზრდიდა,
,გზრდიდით,ვზრდიდით,,გზრდიდით,ვზრდიდით,
მზრდიდით,,ზრდიდით,გვზრდიდით,,ზრდიდით,
მზრდიდნენ,გზრდიდნენ,ზრდიდნენ,გვზრდიდნენ,გზრდიდნენ,ზრდიდნენ,
cond
,ამოგზრდიდი,ამოვზრდიდი,,ამოგზრდიდით,ამოვზრდიდი,
ამომზრდიდი,,ამოზრდიდი,ამოგვზრდიდი,,ამოზრდიდი,
ამომზრდიდა,ამოგზრდიდა,ამოზრდიდა,ამოგვზრდიდა,ამოგზრდიდათ,ამოზრდიდა,
,ამოგზრდიდით,ამოვზრდიდით,,ამოგზრდიდით,ამოვზრდიდით,
ამომზრდიდით,,ამოზრდიდით,ამოგვზრდიდით,,ამოზრდიდით,
ამომზრდიდნენ,ამოგზრდიდნენ,ამოზრდიდნენ,ამოგვზრდიდნენ,ამოგზრდიდნენ,ამოზრდიდნენ,
subj
,გზრდიდე,ვზრდიდე,,გზრდიდეთ,ვზრდიდე,
მზრდიდე,,ზრდიდე,გვზრდიდე,,ზრდიდე,
მზრდიდეს,გზრდიდეს,ზრდიდეს,გვზრდიდეს,გზრდიდეთ,ზრდიდეს,
,გზრდიდეთ,ვზრდიდეთ,,გზრდიდეთ,ვზრდიდეთ,
მზრდიდეთ,,ზრდიდეთ,გვზრდიდეთ,,ზრდიდეთ,
მზრდიდნენ,გზრდიდნენ,ზრდიდნენ,გვზრდიდნენ,გზრდიდნენ,ზრდიდნენ,
fut_subj
,ამოგზრდიდე,ამოვზრდიდე,,ამოგზრდიდეთ,ამოვზრდიდე,
ამომზრდიდე,,ამოზრდიდე,ამოგვზრდიდე,,ამოზრდიდე,
ამომზრდიდეს,ამოგზრდიდეს,ამოზრდიდეს,ამოგვზრდიდეს,ამოგზრდიდეთ,ამოზრდიდეს,
,ამოგზრდიდეთ,ამოვზრდიდეთ,,ამოგზრდიდეთ,ამოვზრდიდეთ,
ამომზრდიდეთ,,ამოზრდიდეთ,ამოგვზრდიდეთ,,ამოზრდიდეთ,
ამომზრდიდნენ,ამოგზრდიდნენ,ამოზრდიდნენ,ამოგვზრდიდნენ,ამოგზრდიდნენ,ამოზრდიდნენ,
aor
,გზარდე,ვზარდე,,გზარდეთ,ვზარდე,
მზარდე,,ზარდე,გვზარდე,,ზარდე,
მზარდა,გზარდა,ზარდა,გვზარდა,გზარდათ,ზარდა,
,გზარდეთ,ვზარდეთ,,გზარდეთ,ვზარდეთ,
მზარდეთ,,ზარდეთ,გვზარდეთ,,ზარდეთ,
მზარდეს,გზარდეს,ზარდეს,გვზარდეს,გზარდეს,ზარდეს,
aor_prfv
,ამოგზარდე,ამოვზარდე,,ამოგზარდეთ,ამოვზარდე,
ამომზარდე,,ამოზარდე,ამოგვზარდე,,ამოზარდე,
ამომზარდა,ამოგზარდა,ამოზარდა,ამოგვზარდა,ამოგზარდათ,ამოზარდა,
,ამოგზარდეთ,ამოვზარდეთ,,ამოგზარდეთ,ამოვზარდეთ,
ამომზარდეთ,,ამოზარდეთ,ამოგვზარდეთ,,ამოზარდეთ,
ამომზარდეს,ამოგზარდეს,ამოზარდეს,ამოგვზარდეს,ამოგზარდეს,ამოზარდეს,
IIsubj
,გზარდო,ვზარდო,,გზარდოთ,ვზარდო,
მზარდო,,ზარდო,გვზარდო,,ზარდო,
მზარდოს,გზარდოს,ზარდოს,გვზარდოს,გზარდოთ,ზარდოს,
,გზარდოთ,ვზარდოთ,,გზარდოთ,ვზარდოთ,
მზარდოთ,,ზარდოთ,გვზარდოთ,,ზარდოთ,
მზარდონ,გზარდონ,ზარდონ,გვზარდონ,გზარდონ,ზარდონ,
IIsubj_prfv
,ამოგზარდო,ამოვზარდო,,ამოგზარდოთ,ამოვზარდო,
ამომზარდო,,ამოზარდო,ამოგვზარდო,,ამოზარდო,
ამომზარდოს,ამოგზარდოს,ამოზარდოს,ამოგვზარდოს,ამოგზარდოთ,ამოზარდოს,
,ამოგზარდოთ,ამოვზარდოთ,,ამოგზარდოთ,ამოვზარდოთ,
ამომზარდოთ,,ამოზარდოთ,ამოგვზარდოთ,,ამოზარდოთ,
ამომზარდონ,ამოგზარდონ,ამოზარდონ,ამოგვზარდონ,ამოგზარდონ,ამოზარდონ,
Iturm
,მიზრდიხარ,მიზრდია,,მიზრდიხართ,მიზრდია,
გიზრდივარ,,გიზრდია,გიზრდივართ,,გიზრდია,
ვუზრდივარ,უზრდიხარ,უზრდია,ვუზრდივართ,უზრდიხართ,უზრდია,
,გვიზრდიხარ,გვიზრდია,,გვიზრდიხართ,გვიზრდია,
გიზრდივართ,,გიზრდიათ,გიზრდივართ,,გიზრდიათ,
ვუზრდივარ,უზრდიხარ,უზრდიათ,ვუზრდივართ,უზრდიხართ,უზრდიათ,
Iturm_prfv
,ამომიზრდიხარ,ამომიზრდია,,ამომიზრდიხართ,ამომიზრდია,
ამოგიზრდივარ,,ამოგიზრდია,ამოგიზრდივართ,,ამოგიზრდია,
ამოვუზრდივარ,ამოუზრდიხარ,ამოუზრდია,ამოვუზრდივართ,ამოუზრდიხართ,ამოუზრდია,
,ამოგვიზრდიხარ,ამოგვიზრდია,,ამოგვიზრდიხართ,ამოგვიზრდია,
ამოგიზრდივართ,,ამოგიზრდიათ,ამოგიზრდივართ,,ამოგიზრდიათ,
ამოვუზრდივარ,ამოუზრდიხარ,ამოუზრდიათ,ამოვუზრდივართ,ამოუზრდიხართ,ამოუზრდიათ,
IIturm
,მეზარდე,მეზარდა,,მეზარდეთ,მეზარდა,
გეზარდე,,გეზარდა,გეზარდეთ,,გეზარდა,
ვეზარდე,ეზარდე,ეზარდა,ვეზარდეთ,ეზარდეთ,ეზარდა,
,გვეზარდე,გვეზარდა,,გვეზარდეთ,გვეზარდა,
გეზარდეთ,,გეზარდათ,გეზარდეთ,,გეზარდათ,
ვეზარდე,ეზარდე,ეზარდათ,ვეზარდეთ,ეზარდეთ,ეზარდათ,
IIturm_prfv
,ამომეზარდე,ამომეზარდა,,ამომეზარდეთ,ამომეზარდა,
ამოგეზარდე,,ამოგეზარდა,ამოგეზარდეთ,,ამოგეზარდა,
ამოვეზარდე,ამოეზარდე,ამოეზარდა,ამოვეზარდეთ,ამოეზარდეთ,ამოეზარდა,
,ამოგვეზარდე,ამოგვეზარდა,,ამოგვეზარდეთ,ამოგვეზარდა,
ამოგეზარდეთ,,ამოგეზარდათ,ამოგეზარდეთ,,ამოგეზარდათ,
ამოვეზარდე,ამოეზარდე,ამოეზარდათ,ამოვეზარდეთ,ამოეზარდეთ,ამოეზარდათ,
IIIsubj
,მეზარდო,მეზარდოს,,მეზარდოთ,მეზარდოს,
გეზარდო,,გეზარდოს,გეზარდოთ,,გეზარდოს,
ვეზარდო,ეზარდო,ეზარდოს,ვეზარდოთ,ეზარდოთ,ეზარდოს,
,გვეზარდო,გვეზარდოს,,გვეზარდოთ,გვეზარდოს,
გეზარდოთ,,გეზარდოთ,გეზარდოთ,,გეზარდოთ,
ვეზარდო,ეზარდო,ეზარდოთ,ვეზარდოთ,ეზარდოთ,ეზარდოთ,
IIIsubj_prfv
,ამომეზარდო,ამომეზარდოს,,ამომეზარდოთ,ამომეზარდოს,
ამოგეზარდო,,ამოგეზარდოს,ამოგეზარდოთ,,ამოგეზარდოს,
ამოვეზარდო,ამოეზარდო,ამოეზარდოს,ამოვეზარდოთ,ამოეზარდოთ,ამოეზარდოს,
,ამოგვეზარდო,ამოგვეზარდოს,,ამოგვეზარდოთ,ამოგვეზარდოს,
ამოგეზარდოთ,,ამოგეზარდოთ,ამოგეზარდოთ,,ამოგეზარდოთ,
ამოვეზარდო,ამოეზარდო,ამოეზარდოთ,ამოვეზარდოთ,ამოეზარდოთ,ამოეზარდოთ,
