fut2
,გითმენ,ვუთმენ,,გითმენთ,ვუთმენ,
მითმენ,,უთმენ,გვითმენ,,უთმენ,
მითმენს,გითმენს,უთმენს,გვითმენს,გითმენთ,უთმენს,
,გითმენთ,ვუთმენთ,,გითმენთ,ვუთმენთ,
მითმენთ,,უთმენთ,გვითმენთ,,უთმენთ,
მითმენენ,გითმენენ,უთმენენ,გვითმენენ,გითმენენ,უთმენენ,
fut2_prfv
,ამოგითმენ,ამოვუთმენ,,ამოგითმენთ,ამოვუთმენ,
ამომითმენ,,ამოუთმენ,ამოგვითმენ,,ამოუთმენ,
ამომითმენს,ამოგითმენს,ამოუთმენს,ამოგვითმენს,ამოგითმენთ,ამოუთმენს,
,ამოგითმენთ,ამოვუთმენთ,,ამოგითმენთ,ამოვუთმენთ,
ამომითმენთ,,ამოუთმენთ,ამოგვითმენთ,,ამოუთმენთ,
ამომითმენენ,ამოგითმენენ,ამოუთმენენ,ამოგვითმენენ,ამოგითმენენ,ამოუთმენენ,
cond2
,გითმენდი,ვუთმენდი,,გითმენდით,ვუთმენდი,
მითმენდი,,უთმენდი,გვითმენდი,,უთმენდი,
მითმენდა,გითმენდა,უთმენდა,გვითმენდა,გითმენდათ,უთმენდა,
,გითმენდით,ვუთმენდით,,გითმენდით,ვუთმენდით,
მითმენდით,,უთმენდით,გვითმენდით,,უთმენდით,
მითმენდნენ,გითმენდნენ,უთმენდნენ,გვითმენდნენ,გითმენდნენ,უთმენდნენ,
cond2_prfv
,ამოგითმენდი,ამოვუთმენდი,,ამოგითმენდით,ამოვუთმენდი,
ამომითმენდი,,ამოუთმენდი,ამოგვითმენდი,,ამოუთმენდი,
ამომითმენდა,ამოგითმენდა,ამოუთმენდა,ამოგვითმენდა,ამოგითმენდათ,ამოუთმენდა,
,ამოგითმენდით,ამოვუთმენდით,,ამოგითმენდით,ამოვუთმენდით,
ამომითმენდით,,ამოუთმენდით,ამოგვითმენდით,,ამოუთმენდით,
ამომითმენდნენ,ამოგითმენდნენ,ამოუთმენდნენ,ამოგვითმენდნენ,ამოგითმენდნენ,ამოუთმენდნენ,
fut2_subj
,გითმენდე,ვუთმენდე,,გითმენდეთ,ვუთმენდე,
მითმენდე,,უთმენდე,გვითმენდე,,უთმენდე,
მითმენდეს,გითმენდეს,უთმენდეს,გვითმენდეს,გითმენდეთ,უთმენდეს,
,გითმენდეთ,ვუთმენდეთ,,გითმენდეთ,ვუთმენდეთ,
მითმენდეთ,,უთმენდეთ,გვითმენდეთ,,უთმენდეთ,
მითმენდნენ,გითმენდნენ,უთმენდნენ,გვითმენდნენ,გითმენდნენ,უთმენდნენ,
fut2_subj_prfv
,ამოგითმენდე,ამოვუთმენდე,,ამოგითმენდეთ,ამოვუთმენდე,
ამომითმენდე,,ამოუთმენდე,ამოგვითმენდე,,ამოუთმენდე,
ამომითმენდეს,ამოგითმენდეს,ამოუთმენდეს,ამოგვითმენდეს,ამოგითმენდეთ,ამოუთმენდეს,
,ამოგითმენდეთ,ამოვუთმენდეთ,,ამოგითმენდეთ,ამოვუთმენდეთ,
ამომითმენდეთ,,ამოუთმენდეთ,ამოგვითმენდეთ,,ამოუთმენდეთ,
ამომითმენდნენ,ამოგითმენდნენ,ამოუთმენდნენ,ამოგვითმენდნენ,ამოგითმენდნენ,ამოუთმენდნენ,
aor2
,გითმინე,ვუთმინე,,გითმინეთ,ვუთმინე,
მითმინე,,უთმინე,გვითმინე,,უთმინე,
მითმინა,გითმინა,უთმინა,გვითმინა,გითმინათ,უთმინა,
,გითმინეთ,ვუთმინეთ,,გითმინეთ,ვუთმინეთ,
მითმინეთ,,უთმინეთ,გვითმინეთ,,უთმინეთ,
მითმინეს,გითმინეს,უთმინეს,გვითმინეს,გითმინეს,უთმინეს,
aor2_prfv
,ამოგითმინე,ამოვუთმინე,,ამოგითმინეთ,ამოვუთმინე,
ამომითმინე,,ამოუთმინე,ამოგვითმინე,,ამოუთმინე,
ამომითმინა,ამოგითმინა,ამოუთმინა,ამოგვითმინა,ამოგითმინათ,ამოუთმინა,
,ამოგითმინეთ,ამოვუთმინეთ,,ამოგითმინეთ,ამოვუთმინეთ,
ამომითმინეთ,,ამოუთმინეთ,ამოგვითმინეთ,,ამოუთმინეთ,
ამომითმინეს,ამოგითმინეს,ამოუთმინეს,ამოგვითმინეს,ამოგითმინეს,ამოუთმინეს,
IIsubj2
,გითმინო,ვუთმინო,,გითმინოთ,ვუთმინო,
მითმინო,,უთმინო,გვითმინო,,უთმინო,
მითმინოს,გითმინოს,უთმინოს,გვითმინოს,გითმინოთ,უთმინოს,
,გითმინოთ,ვუთმინოთ,,გითმინოთ,ვუთმინოთ,
მითმინოთ,,უთმინოთ,გვითმინოთ,,უთმინოთ,
მითმინონ,გითმინონ,უთმინონ,გვითმინონ,გითმინონ,უთმინონ,
IIsubj2_prfv
,ამოგითმინო,ამოვუთმინო,,ამოგითმინოთ,ამოვუთმინო,
ამომითმინო,,ამოუთმინო,ამოგვითმინო,,ამოუთმინო,
ამომითმინოს,ამოგითმინოს,ამოუთმინოს,ამოგვითმინოს,ამოგითმინოთ,ამოუთმინოს,
,ამოგითმინოთ,ამოვუთმინოთ,,ამოგითმინოთ,ამოვუთმინოთ,
ამომითმინოთ,,ამოუთმინოთ,ამოგვითმინოთ,,ამოუთმინოთ,
