pres
,გჩქმეტ,ვჩქმეტ,,გჩქმეტთ,ვჩქმეტ,
მჩქმეტ,,ჩქმეტ,გვჩქმეტ,,ჩქმეტ,
მჩქმეტს,გჩქმეტს,ჩქმეტს,გვჩქმეტს,გჩქმეტთ,ჩქმეტს,
,გჩქმეტთ,ვჩქმეტთ,,გჩქმეტთ,ვჩქმეტთ,
მჩქმეტთ,,ჩქმეტთ,გვჩქმეტთ,,ჩქმეტთ,
მჩქმეტენ,გჩქმეტენ,ჩქმეტენ,გვჩქმეტენ,გჩქმეტენ,ჩქმეტენ,
fut
,ამოგჩქმეტ,ამოვჩქმეტ,,ამოგჩქმეტთ,ამოვჩქმეტ,
ამომჩქმეტ,,ამოჩქმეტ,ამოგვჩქმეტ,,ამოჩქმეტ,
ამომჩქმეტს,ამოგჩქმეტს,ამოჩქმეტს,ამოგვჩქმეტს,ამოგჩქმეტთ,ამოჩქმეტს,
,ამოგჩქმეტთ,ამოვჩქმეტთ,,ამოგჩქმეტთ,ამოვჩქმეტთ,
ამომჩქმეტთ,,ამოჩქმეტთ,ამოგვჩქმეტთ,,ამოჩქმეტთ,
ამომჩქმეტენ,ამოგჩქმეტენ,ამოჩქმეტენ,ამოგვჩქმეტენ,ამოგჩქმეტენ,ამოჩქმეტენ,
fut2
,გიჩქმეტ,ვუჩქმეტ,,გიჩქმეტთ,ვუჩქმეტ,
მიჩქმეტ,,უჩქმეტ,გვიჩქმეტ,,უჩქმეტ,
მიჩქმეტს,გიჩქმეტს,უჩქმეტს,გვიჩქმეტს,გიჩქმეტთ,უჩქმეტს,
,გიჩქმეტთ,ვუჩქმეტთ,,გიჩქმეტთ,ვუჩქმეტთ,
მიჩქმეტთ,,უჩქმეტთ,გვიჩქმეტთ,,უჩქმეტთ,
მიჩქმეტენ,გიჩქმეტენ,უჩქმეტენ,გვიჩქმეტენ,გიჩქმეტენ,უჩქმეტენ,
impf
,გჩქმეტდი,ვჩქმეტდი,,გჩქმეტდით,ვჩქმეტდი,
მჩქმეტდი,,ჩქმეტდი,გვჩქმეტდი,,ჩქმეტდი,
მჩქმეტდა,გჩქმეტდა,ჩქმეტდა,გვჩქმეტდა,გჩქმეტდათ,ჩქმეტდა,
,გჩქმეტდით,ვჩქმეტდით,,გჩქმეტდით,ვჩქმეტდით,
მჩქმეტდით,,ჩქმეტდით,გვჩქმეტდით,,ჩქმეტდით,
მჩქმეტდნენ,გჩქმეტდნენ,ჩქმეტდნენ,გვჩქმეტდნენ,გჩქმეტდნენ,ჩქმეტდნენ,
cond
,ამოგჩქმეტდი,ამოვჩქმეტდი,,ამოგჩქმეტდით,ამოვჩქმეტდი,
ამომჩქმეტდი,,ამოჩქმეტდი,ამოგვჩქმეტდი,,ამოჩქმეტდი,
ამომჩქმეტდა,ამოგჩქმეტდა,ამოჩქმეტდა,ამოგვჩქმეტდა,ამოგჩქმეტდათ,ამოჩქმეტდა,
,ამოგჩქმეტდით,ამოვჩქმეტდით,,ამოგჩქმეტდით,ამოვჩქმეტდით,
ამომჩქმეტდით,,ამოჩქმეტდით,ამოგვჩქმეტდით,,ამოჩქმეტდით,
ამომჩქმეტდნენ,ამოგჩქმეტდნენ,ამოჩქმეტდნენ,ამოგვჩქმეტდნენ,ამოგჩქმეტდნენ,ამოჩქმეტდნენ,
cond2
,გიჩქმეტდი,ვუჩქმეტდი,,გიჩქმეტდით,ვუჩქმეტდი,
მიჩქმეტდი,,უჩქმეტდი,გვიჩქმეტდი,,უჩქმეტდი,
მიჩქმეტდა,გიჩქმეტდა,უჩქმეტდა,გვიჩქმეტდა,გიჩქმეტდათ,უჩქმეტდა,
,გიჩქმეტდით,ვუჩქმეტდით,,გიჩქმეტდით,ვუჩქმეტდით,
მიჩქმეტდით,,უჩქმეტდით,გვიჩქმეტდით,,უჩქმეტდით,
მიჩქმეტდნენ,გიჩქმეტდნენ,უჩქმეტდნენ,გვიჩქმეტდნენ,გიჩქმეტდნენ,უჩქმეტდნენ,
subj
