pres
,გწერ,ვწერ,,გწერთ,ვწერ,
მწერ,,წერ,გვწერ,,წერ,
მწერს,გწერს,წერს,გვწერს,გწერთ,წერს,
,გწერთ,ვწერთ,,გწერთ,ვწერთ,
მწერთ,,წერთ,გვწერთ,,წერთ,
მწერენ,გწერენ,წერენ,გვწერენ,გწერენ,წერენ,
fut
,ამოგწერ,ამოვწერ,,ამოგწერთ,ამოვწერ,
ამომწერ,,ამოწერ,ამოგვწერ,,ამოწერ,
ამომწერს,ამოგწერს,ამოწერს,ამოგვწერს,ამოგწერთ,ამოწერს,
,ამოგწერთ,ამოვწერთ,,ამოგწერთ,ამოვწერთ,
ამომწერთ,,ამოწერთ,ამოგვწერთ,,ამოწერთ,
ამომწერენ,ამოგწერენ,ამოწერენ,ამოგვწერენ,ამოგწერენ,ამოწერენ,
impf
,გწერდი,ვწერდი,,გწერდით,ვწერდი,
მწერდი,,წერდი,გვწერდი,,წერდი,
მწერდა,გწერდა,წერდა,გვწერდა,გწერდათ,წერდა,
,გწერდით,ვწერდით,,გწერდით,ვწერდით,
მწერდით,,წერდით,გვწერდით,,წერდით,
მწერდნენ,გწერდნენ,წერდნენ,გვწერდნენ,გწერდნენ,წერდნენ,
cond
,ამოგწერდი,ამოვწერდი,,ამოგწერდით,ამოვწერდი,
ამომწერდი,,ამოწერდი,ამოგვწერდი,,ამოწერდი,
ამომწერდა,ამოგწერდა,ამოწერდა,ამოგვწერდა,ამოგწერდათ,ამოწერდა,
,ამოგწერდით,ამოვწერდით,,ამოგწერდით,ამოვწერდით,
ამომწერდით,,ამოწერდით,ამოგვწერდით,,ამოწერდით,
ამომწერდნენ,ამოგწერდნენ,ამოწერდნენ,ამოგვწერდნენ,ამოგწერდნენ,ამოწერდნენ,
subj
,გწერდე,ვწერდე,,გწერდეთ,ვწერდე,
მწერდე,,წერდე,გვწერდე,,წერდე,
მწერდეს,გწერდეს,წერდეს,გვწერდეს,გწერდეთ,წერდეს,
,გწერდეთ,ვწერდეთ,,გწერდეთ,ვწერდეთ,
მწერდეთ,,წერდეთ,გვწერდეთ,,წერდეთ,
მწერდნენ,გწერდნენ,წერდნენ,გვწერდნენ,გწერდნენ,წერდნენ,
fut_subj
,ამოგწერდე,ამოვწერდე,,ამოგწერდეთ,ამოვწერდე,
ამომწერდე,,ამოწერდე,ამოგვწერდე,,ამოწერდე,
ამომწერდეს,ამოგწერდეს,ამოწერდეს,ამოგვწერდეს,ამოგწერდეთ,ამოწერდეს,
,ამოგწერდეთ,ამოვწერდეთ,,ამოგწერდეთ,ამოვწერდეთ,
ამომწერდეთ,,ამოწერდეთ,ამოგვწერდეთ,,ამოწერდეთ,
ამომწერდნენ,ამოგწერდნენ,ამოწერდნენ,ამოგვწერდნენ,ამოგწერდნენ,ამოწერდნენ,
aor
,გწერე,ვწერე,,გწერეთ,ვწერე,
მწერე,,წერე,გვწერე,,წერე,
მწერა,გწერა,წერა,გვწერა,გწერათ,წერა,
,გწერეთ,ვწერეთ,,გწერეთ,ვწერეთ,
მწერეთ,,წერეთ,გვწერეთ,,წერეთ,
მწერეს,გწერეს,წერეს,გვწერეს,გწერეს,წერეს,
aor_prfv
,ამოგწერე,ამოვწერე,,ამოგწერეთ,ამოვწერე,
ამომწერე,,ამოწერე,ამოგვწერე,,ამოწერე,
ამომწერა,ამოგწერა,ამოწერა,ამოგვწერა,ამოგწერათ,ამოწერა,
,ამოგწერეთ,ამოვწერეთ,,ამოგწერეთ,ამოვწერეთ,
ამომწერეთ,,ამოწერეთ,ამოგვწერეთ,,ამოწერეთ,
ამომწერეს,ამოგწერეს,ამოწერეს,ამოგვწერეს,ამოგწერეს,ამოწერეს,
IIsubj
,გწერო,ვწერო,,გწეროთ,ვწერო,
მწერო,,წერო,გვწერო,,წერო,
მწეროს,გწეროს,წეროს,გვწეროს,გწეროთ,წეროს,
,გწეროთ,ვწეროთ,,გწეროთ,ვწეროთ,
მწეროთ,,წეროთ,გვწეროთ,,წეროთ,
მწერონ,გწერონ,წერონ,გვწერონ,გწერონ,წერონ,
IIsubj_prfv
,ამოგწერო,ამოვწერო,,ამოგწეროთ,ამოვწერო,
ამომწერო,,ამოწერო,ამოგვწერო,,ამოწერო,
ამომწეროს,ამოგწეროს,ამოწეროს,ამოგვწეროს,ამოგწეროთ,ამოწეროს,
,ამოგწეროთ,ამოვწეროთ,,ამოგწეროთ,ამოვწეროთ,
ამომწეროთ,,ამოწეროთ,ამოგვწეროთ,,ამოწეროთ,
ამომწერონ,ამოგწერონ,ამოწერონ,ამოგვწერონ,ამოგწერონ,ამოწერონ,
Iturm
,მიწერიხარ,მიწერია,,მიწერიხართ,მიწერია,
გიწერივარ,,გიწერია,გიწერივართ,,გიწერია,
ვუწერივარ,უწერიხარ,უწერია,ვუწერივართ,უწერიხართ,უწერია,
,გვიწერიხარ,გვიწერია,,გვიწერიხართ,გვიწერია,
გიწერივართ,,გიწერიათ,გიწერივართ,,გიწერიათ,
ვუწერივარ,უწერიხარ,უწერიათ,ვუწერივართ,უწერიხართ,უწერიათ,
Iturm_prfv
,ამომიწერიხარ,ამომიწერია,,ამომიწერიხართ,ამომიწერია,
ამოგიწერივარ,,ამოგიწერია,ამოგიწერივართ,,ამოგიწერია,
ამოვუწერივარ,ამოუწერიხარ,ამოუწერია,ამოვუწერივართ,ამოუწერიხართ,ამოუწერია,
,ამოგვიწერიხარ,ამოგვიწერია,,ამოგვიწერიხართ,ამოგვიწერია,
ამოგიწერივართ,,ამოგიწერიათ,ამოგიწერივართ,,ამოგიწერიათ,
ამოვუწერივარ,ამოუწერიხარ,ამოუწერიათ,ამოვუწერივართ,ამოუწერიხართ,ამოუწერიათ,
IIturm
,მეწერე,მეწერა,,მეწერეთ,მეწერა,
გეწერე,,გეწერა,გეწერეთ,,გეწერა,
