fut2
,გათბობ,ვათბობ,,გათბობთ,ვათბობ,
მათბობ,,ათბობ,გვათბობ,,ათბობ,
მათბობს,გათბობს,ათბობს,გვათბობს,გათბობთ,ათბობს,
,გათბობთ,ვათბობთ,,გათბობთ,ვათბობთ,
მათბობთ,,ათბობთ,გვათბობთ,,ათბობთ,
მათბობენ,გათბობენ,ათბობენ,გვათბობენ,გათბობენ,ათბობენ,
fut2_prfv
,აღგათბობ,აღვათბობ,,აღგათბობთ,აღვათბობ,
აღმათბობ,,აღათბობ,აღგვათბობ,,აღათბობ,
აღმათბობს,აღგათბობს,აღათბობს,აღგვათბობს,აღგათბობთ,აღათბობს,
,აღგათბობთ,აღვათბობთ,,აღგათბობთ,აღვათბობთ,
აღმათბობთ,,აღათბობთ,აღგვათბობთ,,აღათბობთ,
აღმათბობენ,აღგათბობენ,აღათბობენ,აღგვათბობენ,აღგათბობენ,აღათბობენ,
cond2
,გათბობდი,ვათბობდი,,გათბობდით,ვათბობდი,
მათბობდი,,ათბობდი,გვათბობდი,,ათბობდი,
მათბობდა,გათბობდა,ათბობდა,გვათბობდა,გათბობდათ,ათბობდა,
,გათბობდით,ვათბობდით,,გათბობდით,ვათბობდით,
მათბობდით,,ათბობდით,გვათბობდით,,ათბობდით,
მათბობდნენ,გათბობდნენ,ათბობდნენ,გვათბობდნენ,გათბობდნენ,ათბობდნენ,
cond2_prfv
,აღგათბობდი,აღვათბობდი,,აღგათბობდით,აღვათბობდი,
აღმათბობდი,,აღათბობდი,აღგვათბობდი,,აღათბობდი,
აღმათბობდა,აღგათბობდა,აღათბობდა,აღგვათბობდა,აღგათბობდათ,აღათბობდა,
,აღგათბობდით,აღვათბობდით,,აღგათბობდით,აღვათბობდით,
აღმათბობდით,,აღათბობდით,აღგვათბობდით,,აღათბობდით,
აღმათბობდნენ,აღგათბობდნენ,აღათბობდნენ,აღგვათბობდნენ,აღგათბობდნენ,აღათბობდნენ,
fut2_subj
,გათბობდე,ვათბობდე,,გათბობდეთ,ვათბობდე,
მათბობდე,,ათბობდე,გვათბობდე,,ათბობდე,
მათბობდეს,გათბობდეს,ათბობდეს,გვათბობდეს,გათბობდეთ,ათბობდეს,
,გათბობდეთ,ვათბობდეთ,,გათბობდეთ,ვათბობდეთ,
მათბობდეთ,,ათბობდეთ,გვათბობდეთ,,ათბობდეთ,
მათბობდნენ,გათბობდნენ,ათბობდნენ,გვათბობდნენ,გათბობდნენ,ათბობდნენ,
fut2_subj_prfv
,აღგათბობდე,აღვათბობდე,,აღგათბობდეთ,აღვათბობდე,
აღმათბობდე,,აღათბობდე,აღგვათბობდე,,აღათბობდე,
აღმათბობდეს,აღგათბობდეს,აღათბობდეს,აღგვათბობდეს,აღგათბობდეთ,აღათბობდეს,
,აღგათბობდეთ,აღვათბობდეთ,,აღგათბობდეთ,აღვათბობდეთ,
აღმათბობდეთ,,აღათბობდეთ,აღგვათბობდეთ,,აღათბობდეთ,
აღმათბობდნენ,აღგათბობდნენ,აღათბობდნენ,აღგვათბობდნენ,აღგათბობდნენ,აღათბობდნენ,
aor2
,გათბე,ვათბე,,გათბეთ,ვათბე,
მათბე,,ათბე,გვათბე,,ათბე,
მათბო,გათბო,ათბო,გვათბო,გათბოთ,ათბო,
,გათბეთ,ვათბეთ,,გათბეთ,ვათბეთ,
მათბეთ,,ათბეთ,გვათბეთ,,ათბეთ,
მათბეს,გათბეს,ათბეს,გვათბეს,გათბეს,ათბეს,
aor2_prfv
,აღგათბე,აღვათბე,,აღგათბეთ,აღვათბე,
აღმათბე,,აღათბე,აღგვათბე,,აღათბე,
აღმათბო,აღგათბო,აღათბო,აღგვათბო,აღგათბოთ,აღათბო,
,აღგათბეთ,აღვათბეთ,,აღგათბეთ,აღვათბეთ,
აღმათბეთ,,აღათბეთ,აღგვათბეთ,,აღათბეთ,
აღმათბეს,აღგათბეს,აღათბეს,აღგვათბეს,აღგათბეს,აღათბეს,
IIsubj2
,გათბო,ვათბო,,გათბოთ,ვათბო,
მათბო,,ათბო,გვათბო,,ათბო,
მათბოს,გათბოს,ათბოს,გვათბოს,გათბოთ,ათბოს,
,გათბოთ,ვათბოთ,,გათბოთ,ვათბოთ,
მათბოთ,,ათბოთ,გვათბოთ,,ათბოთ,
მათბონ,გათბონ,ათბონ,გვათბონ,გათბონ,ათბონ,
IIsubj2_prfv
,აღგათბო,აღვათბო,,აღგათბოთ,აღვათბო,
აღმათბო,,აღათბო,აღგვათბო,,აღათბო,
აღმათბოს,აღგათბოს,აღათბოს,აღგვათბოს,აღგათბოთ,აღათბოს,
,აღგათბოთ,აღვათბოთ,,აღგათბოთ,აღვათბოთ,
აღმათბოთ,,აღათბოთ,აღგვათბოთ,,აღათბოთ,
აღმათბონ,აღგათბონ,აღათბონ,აღგვათბონ,აღგათბონ,აღათბონ,
Iturm
,მითბიხარ,მითბია,,მითბიხართ,მითბია,
გითბივარ,,გითბია,გითბივართ,,გითბია,
ვუთბივარ,უთბიხარ,უთბია,ვუთბივართ,უთბიხართ,უთბია,
,გვითბიხარ,გვითბია,,გვითბიხართ,გვითბია,
გითბივართ,,გითბიათ,გითბივართ,,გითბიათ,
ვუთბივარ,უთბიხარ,უთბიათ,ვუთბივართ,უთბიხართ,უთბიათ,
Iturm_prfv
,აღმითბიხარ,აღმითბია,,აღმითბიხართ,აღმითბია,
აღგითბივარ,,აღგითბია,აღგითბივართ,,აღგითბია,
აღვუთბივარ,აღუთბიხარ,აღუთბია,აღვუთბივართ,აღუთბიხართ,აღუთბია,
,აღგვითბიხარ,აღგვითბია,,აღგვითბიხართ,აღგვითბია,
აღგითბივართ,,აღგითბიათ,აღგითბივართ,,აღგითბიათ,
აღვუთბივარ,აღუთბიხარ,აღუთბიათ,აღვუთბივართ,აღუთბიხართ,აღუთბიათ,
IIturm
,მეთბე,მეთბო,,მეთბეთ,მეთბოთ,
გეთბე,,გეთბო,გეთბეთ,,გეთბოთ,
ვეთბე,ეთბე,ეთბო,ვეთბეთ,ეთბეთ,ეთბოთ,
,გვეთბე,გვეთბო,,გვეთბეთ,გვეთბოთ,
გეთბეთ,,გეთბოთ,გეთბეთ,,გეთბოთ,
ვეთბე,ეთბე,ეთბოთ,ვეთბეთ,ეთბეთ,ეთბოთთ,
IIturm_prfv
,აღმეთბე,აღმეთბო,,აღმეთბეთ,აღმეთბოთ,
აღგეთბე,,აღგეთბო,აღგეთბეთ,,აღგეთბოთ,
აღვეთბე,აღეთბე,აღეთბო,აღვეთბეთ,აღეთბეთ,აღეთბოთ,
,აღგვეთბე,აღგვეთბო,,აღგვეთბეთ,აღგვეთბოთ,
აღგეთბეთ,,აღგეთბოთ,აღგეთბეთ,,აღგეთბოთ,
აღვეთბე,აღეთბე,აღეთბოთ,აღვეთბეთ,აღეთბეთ,აღეთბოთთ,
IIIsubj
,მეთბო,მეთბოს,,მეთბოთ,მეთბოს,
გეთბო,,გეთბოს,გეთბოთ,,გეთბოს,
ვეთბო,ეთბო,ეთბოს,ვეთბოთ,ეთბოთ,ეთბოს,
,გვეთბო,გვეთბოს,,გვეთბოთ,გვეთბოს,
გეთბოთ,,გეთბოთ,გეთბოთ,,გეთბოთ,
ვეთბო,ეთბო,ეთბოთ,ვეთბოთ,ეთბოთ,ეთბოთ,
IIIsubj_prfv
,აღმეთბო,აღმეთბოს,,აღმეთბოთ,აღმეთბოს,
აღგეთბო,,აღგეთბოს,აღგეთბოთ,,აღგეთბოს,
აღვეთბო,აღეთბო,აღეთბოს,აღვეთბოთ,აღეთბოთ,აღეთბოს,
,აღგვეთბო,აღგვეთბოს,,აღგვეთბოთ,აღგვეთბოს,
აღგეთბოთ,,აღგეთბოთ,აღგეთბოთ,,აღგეთბოთ,
აღვეთბო,აღეთბო,აღეთბოთ,აღვეთბოთ,აღეთბოთ,აღეთბოთ,
