fut2
,გაქებ,ვაქებ,,გაქებთ,ვაქებ,
მაქებ,,აქებ,გვაქებ,,აქებ,
მაქებს,გაქებს,აქებს,გვაქებს,გაქებთ,აქებს,
,გაქებთ,ვაქებთ,,გაქებთ,ვაქებთ,
მაქებთ,,აქებთ,გვაქებთ,,აქებთ,
მაქებენ,გაქებენ,აქებენ,გვაქებენ,გაქებენ,აქებენ,
fut2_prfv
,აღგაქებ,აღვაქებ,,აღგაქებთ,აღვაქებ,
აღმაქებ,,აღაქებ,აღგვაქებ,,აღაქებ,
აღმაქებს,აღგაქებს,აღაქებს,აღგვაქებს,აღგაქებთ,აღაქებს,
,აღგაქებთ,აღვაქებთ,,აღგაქებთ,აღვაქებთ,
აღმაქებთ,,აღაქებთ,აღგვაქებთ,,აღაქებთ,
აღმაქებენ,აღგაქებენ,აღაქებენ,აღგვაქებენ,აღგაქებენ,აღაქებენ,
cond2
,გაქებდი,ვაქებდი,,გაქებდით,ვაქებდი,
მაქებდი,,აქებდი,გვაქებდი,,აქებდი,
მაქებდა,გაქებდა,აქებდა,გვაქებდა,გაქებდათ,აქებდა,
,გაქებდით,ვაქებდით,,გაქებდით,ვაქებდით,
მაქებდით,,აქებდით,გვაქებდით,,აქებდით,
მაქებდნენ,გაქებდნენ,აქებდნენ,გვაქებდნენ,გაქებდნენ,აქებდნენ,
cond2_prfv
,აღგაქებდი,აღვაქებდი,,აღგაქებდით,აღვაქებდი,
აღმაქებდი,,აღაქებდი,აღგვაქებდი,,აღაქებდი,
აღმაქებდა,აღგაქებდა,აღაქებდა,აღგვაქებდა,აღგაქებდათ,აღაქებდა,
,აღგაქებდით,აღვაქებდით,,აღგაქებდით,აღვაქებდით,
აღმაქებდით,,აღაქებდით,აღგვაქებდით,,აღაქებდით,
აღმაქებდნენ,აღგაქებდნენ,აღაქებდნენ,აღგვაქებდნენ,აღგაქებდნენ,აღაქებდნენ,
fut2_subj
,გაქებდე,ვაქებდე,,გაქებდეთ,ვაქებდე,
მაქებდე,,აქებდე,გვაქებდე,,აქებდე,
მაქებდეს,გაქებდეს,აქებდეს,გვაქებდეს,გაქებდეთ,აქებდეს,
,გაქებდეთ,ვაქებდეთ,,გაქებდეთ,ვაქებდეთ,
მაქებდეთ,,აქებდეთ,გვაქებდეთ,,აქებდეთ,
მაქებდნენ,გაქებდნენ,აქებდნენ,გვაქებდნენ,გაქებდნენ,აქებდნენ,
fut2_subj_prfv
,აღგაქებდე,აღვაქებდე,,აღგაქებდეთ,აღვაქებდე,
აღმაქებდე,,აღაქებდე,აღგვაქებდე,,აღაქებდე,
აღმაქებდეს,აღგაქებდეს,აღაქებდეს,აღგვაქებდეს,აღგაქებდეთ,აღაქებდეს,
,აღგაქებდეთ,აღვაქებდეთ,,აღგაქებდეთ,აღვაქებდეთ,
აღმაქებდეთ,,აღაქებდეთ,აღგვაქებდეთ,,აღაქებდეთ,
აღმაქებდნენ,აღგაქებდნენ,აღაქებდნენ,აღგვაქებდნენ,აღგაქებდნენ,აღაქებდნენ,
aor2
,გაქე,ვაქე,,გაქეთ,ვაქე,
მაქე,,აქე,გვაქე,,აქე,
მაქო,გაქო,აქო,გვაქო,გაქოთ,აქო,
,გაქეთ,ვაქეთ,,გაქეთ,ვაქეთ,
მაქეთ,,აქეთ,გვაქეთ,,აქეთ,
მაქეს,გაქეს,აქეს,გვაქეს,გაქეს,აქეს,
aor2_prfv
,აღგაქე,აღვაქე,,აღგაქეთ,აღვაქე,
აღმაქე,,აღაქე,აღგვაქე,,აღაქე,
აღმაქო,აღგაქო,აღაქო,აღგვაქო,აღგაქოთ,აღაქო,
,აღგაქეთ,აღვაქეთ,,აღგაქეთ,აღვაქეთ,
აღმაქეთ,,აღაქეთ,აღგვაქეთ,,აღაქეთ,
აღმაქეს,აღგაქეს,აღაქეს,აღგვაქეს,აღგაქეს,აღაქეს,
IIsubj2
,გაქო,ვაქო,,გაქოთ,ვაქო,
მაქო,,აქო,გვაქო,,აქო,
მაქოს,გაქოს,აქოს,გვაქოს,გაქოთ,აქოს,
,გაქოთ,ვაქოთ,,გაქოთ,ვაქოთ,
მაქოთ,,აქოთ,გვაქოთ,,აქოთ,
მაქონ,გაქონ,აქონ,გვაქონ,გაქონ,აქონ,
IIsubj2_prfv
,აღგაქო,აღვაქო,,აღგაქოთ,აღვაქო,
აღმაქო,,აღაქო,აღგვაქო,,აღაქო,
აღმაქოს,აღგაქოს,აღაქოს,აღგვაქოს,აღგაქოთ,აღაქოს,
,აღგაქოთ,აღვაქოთ,,აღგაქოთ,აღვაქოთ,
აღმაქოთ,,აღაქოთ,აღგვაქოთ,,აღაქოთ,
აღმაქონ,აღგაქონ,აღაქონ,აღგვაქონ,აღგაქონ,აღაქონ,
Iturm
,მიქიხარ,მიქია,,მიქიხართ,მიქია,
გიქივარ,,გიქია,გიქივართ,,გიქია,
ვუქივარ,უქიხარ,უქია,ვუქივართ,უქიხართ,უქია,
,გვიქიხარ,გვიქია,,გვიქიხართ,გვიქია,
გიქივართ,,გიქიათ,გიქივართ,,გიქიათ,
ვუქივარ,უქიხარ,უქიათ,ვუქივართ,უქიხართ,უქიათ,
Iturm_prfv
,აღმიქიხარ,აღმიქია,,აღმიქიხართ,აღმიქია,
აღგიქივარ,,აღგიქია,აღგიქივართ,,აღგიქია,
აღვუქივარ,აღუქიხარ,აღუქია,აღვუქივართ,აღუქიხართ,აღუქია,
,აღგვიქიხარ,აღგვიქია,,აღგვიქიხართ,აღგვიქია,
აღგიქივართ,,აღგიქიათ,აღგიქივართ,,აღგიქიათ,
აღვუქივარ,აღუქიხარ,აღუქიათ,აღვუქივართ,აღუქიხართ,აღუქიათ,
IIturm
,მექე,მექო,,მექეთ,მექოთ,
გექე,,გექო,გექეთ,,გექოთ,
ვექე,ექე,ექო,ვექეთ,ექეთ,ექოთ,
,გვექე,გვექო,,გვექეთ,გვექოთ,
გექეთ,,გექოთ,გექეთ,,გექოთ,
ვექე,ექე,ექოთ,ვექეთ,ექეთ,ექოთთ,
IIturm_prfv
,აღმექე,აღმექო,,აღმექეთ,აღმექოთ,
აღგექე,,აღგექო,აღგექეთ,,აღგექოთ,
აღვექე,აღექე,აღექო,აღვექეთ,აღექეთ,აღექოთ,
,აღგვექე,აღგვექო,,აღგვექეთ,აღგვექოთ,
აღგექეთ,,აღგექოთ,აღგექეთ,,აღგექოთ,
აღვექე,აღექე,აღექოთ,აღვექეთ,აღექეთ,აღექოთთ,
IIIsubj
,მექო,მექოს,,მექოთ,მექოს,
გექო,,გექოს,გექოთ,,გექოს,
ვექო,ექო,ექოს,ვექოთ,ექოთ,ექოს,
,გვექო,გვექოს,,გვექოთ,გვექოს,
გექოთ,,გექოთ,გექოთ,,გექოთ,
ვექო,ექო,ექოთ,ვექოთ,ექოთ,ექოთ,
IIIsubj_prfv
,აღმექო,აღმექოს,,აღმექოთ,აღმექოს,
აღგექო,,აღგექოს,აღგექოთ,,აღგექოს,
აღვექო,აღექო,აღექოს,აღვექოთ,აღექოთ,აღექოს,
,აღგვექო,აღგვექოს,,აღგვექოთ,აღგვექოს,
აღგექოთ,,აღგექოთ,აღგექოთ,,აღგექოთ,
აღვექო,აღექო,აღექოთ,აღვექოთ,აღექოთ,აღექოთ,
