fut2
,გაშენებ,ვაშენებ,,გაშენებთ,ვაშენებ,
მაშენებ,,აშენებ,გვაშენებ,,აშენებ,
მაშენებს,გაშენებს,აშენებს,გვაშენებს,გაშენებთ,აშენებს,
,გაშენებთ,ვაშენებთ,,გაშენებთ,ვაშენებთ,
მაშენებთ,,აშენებთ,გვაშენებთ,,აშენებთ,
მაშენებენ,გაშენებენ,აშენებენ,გვაშენებენ,გაშენებენ,აშენებენ,
fut2_prfv
,აღგაშენებ,აღვაშენებ,,აღგაშენებთ,აღვაშენებ,
აღმაშენებ,,აღაშენებ,აღგვაშენებ,,აღაშენებ,
აღმაშენებს,აღგაშენებს,აღაშენებს,აღგვაშენებს,აღგაშენებთ,აღაშენებს,
,აღგაშენებთ,აღვაშენებთ,,აღგაშენებთ,აღვაშენებთ,
აღმაშენებთ,,აღაშენებთ,აღგვაშენებთ,,აღაშენებთ,
აღმაშენებენ,აღგაშენებენ,აღაშენებენ,აღგვაშენებენ,აღგაშენებენ,აღაშენებენ,
cond2
,გაშენებდი,ვაშენებდი,,გაშენებდით,ვაშენებდი,
მაშენებდი,,აშენებდი,გვაშენებდი,,აშენებდი,
მაშენებდა,გაშენებდა,აშენებდა,გვაშენებდა,გაშენებდათ,აშენებდა,
,გაშენებდით,ვაშენებდით,,გაშენებდით,ვაშენებდით,
მაშენებდით,,აშენებდით,გვაშენებდით,,აშენებდით,
მაშენებდნენ,გაშენებდნენ,აშენებდნენ,გვაშენებდნენ,გაშენებდნენ,აშენებდნენ,
cond2_prfv
,აღგაშენებდი,აღვაშენებდი,,აღგაშენებდით,აღვაშენებდი,
აღმაშენებდი,,აღაშენებდი,აღგვაშენებდი,,აღაშენებდი,
აღმაშენებდა,აღგაშენებდა,აღაშენებდა,აღგვაშენებდა,აღგაშენებდათ,აღაშენებდა,
,აღგაშენებდით,აღვაშენებდით,,აღგაშენებდით,აღვაშენებდით,
აღმაშენებდით,,აღაშენებდით,აღგვაშენებდით,,აღაშენებდით,
აღმაშენებდნენ,აღგაშენებდნენ,აღაშენებდნენ,აღგვაშენებდნენ,აღგაშენებდნენ,აღაშენებდნენ,
fut2_subj
,გაშენებდე,ვაშენებდე,,გაშენებდეთ,ვაშენებდე,
მაშენებდე,,აშენებდე,გვაშენებდე,,აშენებდე,
მაშენებდეს,გაშენებდეს,აშენებდეს,გვაშენებდეს,გაშენებდეთ,აშენებდეს,
,გაშენებდეთ,ვაშენებდეთ,,გაშენებდეთ,ვაშენებდეთ,
მაშენებდეთ,,აშენებდეთ,გვაშენებდეთ,,აშენებდეთ,
მაშენებდნენ,გაშენებდნენ,აშენებდნენ,გვაშენებდნენ,გაშენებდნენ,აშენებდნენ,
fut2_subj_prfv
,აღგაშენებდე,აღვაშენებდე,,აღგაშენებდეთ,აღვაშენებდე,
აღმაშენებდე,,აღაშენებდე,აღგვაშენებდე,,აღაშენებდე,
აღმაშენებდეს,აღგაშენებდეს,აღაშენებდეს,აღგვაშენებდეს,აღგაშენებდეთ,აღაშენებდეს,
,აღგაშენებდეთ,აღვაშენებდეთ,,აღგაშენებდეთ,აღვაშენებდეთ,
აღმაშენებდეთ,,აღაშენებდეთ,აღგვაშენებდეთ,,აღაშენებდეთ,
აღმაშენებდნენ,აღგაშენებდნენ,აღაშენებდნენ,აღგვაშენებდნენ,აღგაშენებდნენ,აღაშენებდნენ,
aor2
,გაშენე,ვაშენე,,გაშენეთ,ვაშენე,
მაშენე,,აშენე,გვაშენე,,აშენე,
მაშენა,გაშენა,აშენა,გვაშენა,გაშენათ,აშენა,
,გაშენეთ,ვაშენეთ,,გაშენეთ,ვაშენეთ,
მაშენეთ,,აშენეთ,გვაშენეთ,,აშენეთ,
მაშენეს,გაშენეს,აშენეს,გვაშენეს,გაშენეს,აშენეს,
aor2_prfv
,აღგაშენე,აღვაშენე,,აღგაშენეთ,აღვაშენე,
აღმაშენე,,აღაშენე,აღგვაშენე,,აღაშენე,
აღმაშენა,აღგაშენა,აღაშენა,აღგვაშენა,აღგაშენათ,აღაშენა,
,აღგაშენეთ,აღვაშენეთ,,აღგაშენეთ,აღვაშენეთ,
აღმაშენეთ,,აღაშენეთ,აღგვაშენეთ,,აღაშენეთ,
აღმაშენეს,აღგაშენეს,აღაშენეს,აღგვაშენეს,აღგაშენეს,აღაშენეს,
IIsubj2
,გაშენო,ვაშენო,,გაშენოთ,ვაშენო,
მაშენო,,აშენო,გვაშენო,,აშენო,
მაშენოს,გაშენოს,აშენოს,გვაშენოს,გაშენოთ,აშენოს,
,გაშენოთ,ვაშენოთ,,გაშენოთ,ვაშენოთ,
მაშენოთ,,აშენოთ,გვაშენოთ,,აშენოთ,
მაშენონ,გაშენონ,აშენონ,გვაშენონ,გაშენონ,აშენონ,
IIsubj2_prfv
,აღგაშენო,აღვაშენო,,აღგაშენოთ,აღვაშენო,
აღმაშენო,,აღაშენო,აღგვაშენო,,აღაშენო,
აღმაშენოს,აღგაშენოს,აღაშენოს,აღგვაშენოს,აღგაშენოთ,აღაშენოს,
,აღგაშენოთ,აღვაშენოთ,,აღგაშენოთ,აღვაშენოთ,
აღმაშენოთ,,აღაშენოთ,აღგვაშენოთ,,აღაშენოთ,
აღმაშენონ,აღგაშენონ,აღაშენონ,აღგვაშენონ,აღგაშენონ,აღაშენონ,
Iturm
,მიშენებიხარ,მიშენებია,,მიშენებიხართ,მიშენებია,
გიშენებივარ,,გიშენებია,გიშენებივართ,,გიშენებია,
ვუშენებივარ,უშენებიხარ,უშენებია,ვუშენებივართ,უშენებიხართ,უშენებია,
,გვიშენებიხარ,გვიშენებია,,გვიშენებიხართ,გვიშენებია,
გიშენებივართ,,გიშენებიათ,გიშენებივართ,,გიშენებიათ,
ვუშენებივარ,უშენებიხარ,უშენებიათ,ვუშენებივართ,უშენებიხართ,უშენებიათ,
Iturm_prfv
,აღმიშენებიხარ,აღმიშენებია,,აღმიშენებიხართ,აღმიშენებია,
აღგიშენებივარ,,აღგიშენებია,აღგიშენებივართ,,აღგიშენებია,
აღვუშენებივარ,აღუშენებიხარ,აღუშენებია,აღვუშენებივართ,აღუშენებიხართ,აღუშენებია,
,აღგვიშენებიხარ,აღგვიშენებია,,აღგვიშენებიხართ,აღგვიშენებია,
აღგიშენებივართ,,აღგიშენებიათ,აღგიშენებივართ,,აღგიშენებიათ,
აღვუშენებივარ,აღუშენებიხარ,აღუშენებიათ,აღვუშენებივართ,აღუშენებიხართ,აღუშენებიათ,
IIturm
,მეშენებინე,მეშენებინა,,მეშენებინეთ,მეშენებინა,
გეშენებინე,,გეშენებინა,გეშენებინეთ,,გეშენებინა,
ვეშენებინე,ეშენებინე,ეშენებინა,ვეშენებინეთ,ეშენებინეთ,ეშენებინა,
,გვეშენებინე,გვეშენებინა,,გვეშენებინეთ,გვეშენებინა,
გეშენებინეთ,,გეშენებინათ,გეშენებინეთ,,გეშენებინათ,
ვეშენებინე,ეშენებინე,ეშენებინათ,ვეშენებინეთ,ეშენებინეთ,ეშენებინათ,
IIturm_prfv
,აღმეშენებინე,აღმეშენებინა,,აღმეშენებინეთ,აღმეშენებინა,
აღგეშენებინე,,აღგეშენებინა,აღგეშენებინეთ,,აღგეშენებინა,
აღვეშენებინე,აღეშენებინე,აღეშენებინა,აღვეშენებინეთ,აღეშენებინეთ,აღეშენებინა,
,აღგვეშენებინე,აღგვეშენებინა,,აღგვეშენებინეთ,აღგვეშენებინა,
აღგეშენებინეთ,,აღგეშენებინათ,აღგეშენებინეთ,,აღგეშენებინათ,
აღვეშენებინე,აღეშენებინე,აღეშენებინათ,აღვეშენებინეთ,აღეშენებინეთ,აღეშენებინათ,
IIIsubj
,მეშენებინო,მეშენებინოს,,მეშენებინოთ,მეშენებინოს,
გეშენებინო,,გეშენებინოს,გეშენებინოთ,,გეშენებინოს,
ვეშენებინო,ეშენებინო,ეშენებინოს,ვეშენებინოთ,ეშენებინოთ,ეშენებინოს,
,გვეშენებინო,გვეშენებინოს,,გვეშენებინოთ,გვეშენებინოს,
გეშენებინოთ,,გეშენებინოთ,გეშენებინოთ,,გეშენებინოთ,
ვეშენებინო,ეშენებინო,ეშენებინოთ,ვეშენებინოთ,ეშენებინოთ,ეშენებინოთ,
IIIsubj_prfv
,აღმეშენებინო,აღმეშენებინოს,,აღმეშენებინოთ,აღმეშენებინოს,
აღგეშენებინო,,აღგეშენებინოს,აღგეშენებინოთ,,აღგეშენებინოს,
აღვეშენებინო,აღეშენებინო,აღეშენებინოს,აღვეშენებინოთ,აღეშენებინოთ,აღეშენებინოს,
,აღგვეშენებინო,აღგვეშენებინოს,,აღგვეშენებინოთ,აღგვეშენებინოს,
აღგეშენებინოთ,,აღგეშენებინოთ,აღგეშენებინოთ,,აღგეშენებინოთ,
აღვეშენებინო,აღეშენებინო,აღეშენებინოთ,აღვეშენებინოთ,აღეშენებინოთ,აღეშენებინოთ,
