fut2
,გეწერები,ვეწერები,,გეწერებით,ვეწერები,
მეწერები,,ეწერები,გვეწერები,,ეწერები,
მეწერება,გეწერება,ეწერება,გვეწერება,გეწერებათ,ეწერება,
,გეწერებით,ვეწერებით,,გეწერებით,ვეწერებით,
მეწერებით,,ეწერებით,გვეწერებით,,ეწერებით,
მეწერებიან,გეწერებიან,ეწერებიან,გვეწერებიან,გეწერებიან,ეწერებიან,
fut2_prfv
,აღგეწერები,აღვეწერები,,აღგეწერებით,აღვეწერები,
აღმეწერები,,აღეწერები,აღგვეწერები,,აღეწერები,
აღმეწერება,აღგეწერება,აღეწერება,აღგვეწერება,აღგეწერებათ,აღეწერება,
,აღგეწერებით,აღვეწერებით,,აღგეწერებით,აღვეწერებით,
აღმეწერებით,,აღეწერებით,აღგვეწერებით,,აღეწერებით,
აღმეწერებიან,აღგეწერებიან,აღეწერებიან,აღგვეწერებიან,აღგეწერებიან,აღეწერებიან,
cond2
,გეწერებოდი,ვეწერებოდი,,გეწერებოდით,ვეწერებოდი,
მეწერებოდი,,ეწერებოდი,გვეწერებოდი,,ეწერებოდი,
მეწერებოდა,გეწერებოდა,ეწერებოდა,გვეწერებოდა,გეწერებოდათ,ეწერებოდა,
,გეწერებოდით,ვეწერებოდით,,გეწერებოდით,ვეწერებოდით,
მეწერებოდით,,ეწერებოდით,გვეწერებოდით,,ეწერებოდით,
მეწერებოდნენ,გეწერებოდნენ,ეწერებოდნენ,გვეწერებოდნენ,გეწერებოდნენ,ეწერებოდნენ,
cond2_prfv
,აღგეწერებოდი,აღვეწერებოდი,,აღგეწერებოდით,აღვეწერებოდი,
აღმეწერებოდი,,აღეწერებოდი,აღგვეწერებოდი,,აღეწერებოდი,
აღმეწერებოდა,აღგეწერებოდა,აღეწერებოდა,აღგვეწერებოდა,აღგეწერებოდათ,აღეწერებოდა,
,აღგეწერებოდით,აღვეწერებოდით,,აღგეწერებოდით,აღვეწერებოდით,
აღმეწერებოდით,,აღეწერებოდით,აღგვეწერებოდით,,აღეწერებოდით,
აღმეწერებოდნენ,აღგეწერებოდნენ,აღეწერებოდნენ,აღგვეწერებოდნენ,აღგეწერებოდნენ,აღეწერებოდნენ,
fut2_subj
,გეწერებოდე,ვეწერებოდე,,გეწერებოდეთ,ვეწერებოდე,
მეწერებოდე,,ეწერებოდე,გვეწერებოდე,,ეწერებოდე,
მეწერებოდეს,გეწერებოდეს,ეწერებოდეს,გვეწერებოდეს,გეწერებოდეთ,ეწერებოდეს,
,გეწერებოდეთ,ვეწერებოდეთ,,გეწერებოდეთ,ვეწერებოდეთ,
მეწერებოდეთ,,ეწერებოდეთ,გვეწერებოდეთ,,ეწერებოდეთ,
მეწერებოდნენ,გეწერებოდნენ,ეწერებოდნენ,გვეწერებოდნენ,გეწერებოდნენ,ეწერებოდნენ,
fut2_subj_prfv
,აღგეწერებოდე,აღვეწერებოდე,,აღგეწერებოდეთ,აღვეწერებოდე,
აღმეწერებოდე,,აღეწერებოდე,აღგვეწერებოდე,,აღეწერებოდე,
აღმეწერებოდეს,აღგეწერებოდეს,აღეწერებოდეს,აღგვეწერებოდეს,აღგეწერებოდეთ,აღეწერებოდეს,
,აღგეწერებოდეთ,აღვეწერებოდეთ,,აღგეწერებოდეთ,აღვეწერებოდეთ,
აღმეწერებოდეთ,,აღეწერებოდეთ,აღგვეწერებოდეთ,,აღეწერებოდეთ,
აღმეწერებოდნენ,აღგეწერებოდნენ,აღეწერებოდნენ,აღგვეწერებოდნენ,აღგეწერებოდნენ,აღეწერებოდნენ,
aor2
,გეწერე,ვეწერე,,გეწერეთ,ვეწერე,
მეწერე,,ეწერე,გვეწერე,,ეწერე,
მეწერა,გეწერა,ეწერა,გვეწერა,გეწერათ,ეწერა,
,გეწერეთ,ვეწერეთ,,გეწერეთ,ვეწერეთ,
მეწერეთ,,ეწერეთ,გვეწერეთ,,ეწერეთ,
