pres
,გზრდი,ვზრდი,,გზრდით,ვზრდი,
მზრდი,,ზრდი,გვზრდი,,ზრდი,
მზრდის,გზრდის,ზრდის,გვზრდის,გზრდით,ზრდის,
,გზრდით,ვზრდით,,გზრდით,ვზრდით,
მზრდით,,ზრდით,გვზრდით,,ზრდით,
მზრდიან,გზრდიან,ზრდიან,გვზრდიან,გზრდიან,ზრდიან,
fut
,აღგზრდი,აღვზრდი,,აღგზრდით,აღვზრდი,
აღმზრდი,,აღზრდი,აღგვზრდი,,აღზრდი,
აღმზრდის,აღგზრდის,აღზრდის,აღგვზრდის,აღგზრდით,აღზრდის,
,აღგზრდით,აღვზრდით,,აღგზრდით,აღვზრდით,
აღმზრდით,,აღზრდით,აღგვზრდით,,აღზრდით,
აღმზრდიან,აღგზრდიან,აღზრდიან,აღგვზრდიან,აღგზრდიან,აღზრდიან,
impf
,გზრდიდი,ვზრდიდი,,გზრდიდით,ვზრდიდი,
მზრდიდი,,ზრდიდი,გვზრდიდი,,ზრდიდი,
მზრდიდა,გზრდიდა,ზრდიდა,გვზრდიდა,გზრდიდათ,ზრდიდა,
,გზრდიდით,ვზრდიდით,,გზრდიდით,ვზრდიდით,
მზრდიდით,,ზრდიდით,გვზრდიდით,,ზრდიდით,
მზრდიდნენ,გზრდიდნენ,ზრდიდნენ,გვზრდიდნენ,გზრდიდნენ,ზრდიდნენ,
cond
,აღგზრდიდი,აღვზრდიდი,,აღგზრდიდით,აღვზრდიდი,
აღმზრდიდი,,აღზრდიდი,აღგვზრდიდი,,აღზრდიდი,
აღმზრდიდა,აღგზრდიდა,აღზრდიდა,აღგვზრდიდა,აღგზრდიდათ,აღზრდიდა,
,აღგზრდიდით,აღვზრდიდით,,აღგზრდიდით,აღვზრდიდით,
აღმზრდიდით,,აღზრდიდით,აღგვზრდიდით,,აღზრდიდით,
აღმზრდიდნენ,აღგზრდიდნენ,აღზრდიდნენ,აღგვზრდიდნენ,აღგზრდიდნენ,აღზრდიდნენ,
subj
,გზრდიდე,ვზრდიდე,,გზრდიდეთ,ვზრდიდე,
მზრდიდე,,ზრდიდე,გვზრდიდე,,ზრდიდე,
მზრდიდეს,გზრდიდეს,ზრდიდეს,გვზრდიდეს,გზრდიდეთ,ზრდიდეს,
,გზრდიდეთ,ვზრდიდეთ,,გზრდიდეთ,ვზრდიდეთ,
მზრდიდეთ,,ზრდიდეთ,გვზრდიდეთ,,ზრდიდეთ,
მზრდიდნენ,გზრდიდნენ,ზრდიდნენ,გვზრდიდნენ,გზრდიდნენ,ზრდიდნენ,
fut_subj
,აღგზრდიდე,აღვზრდიდე,,აღგზრდიდეთ,აღვზრდიდე,
აღმზრდიდე,,აღზრდიდე,აღგვზრდიდე,,აღზრდიდე,
აღმზრდიდეს,აღგზრდიდეს,აღზრდიდეს,აღგვზრდიდეს,აღგზრდიდეთ,აღზრდიდეს,
,აღგზრდიდეთ,აღვზრდიდეთ,,აღგზრდიდეთ,აღვზრდიდეთ,
აღმზრდიდეთ,,აღზრდიდეთ,აღგვზრდიდეთ,,აღზრდიდეთ,
აღმზრდიდნენ,აღგზრდიდნენ,აღზრდიდნენ,აღგვზრდიდნენ,აღგზრდიდნენ,აღზრდიდნენ,
aor
,გზარდე,ვზარდე,,გზარდეთ,ვზარდე,
მზარდე,,ზარდე,გვზარდე,,ზარდე,
მზარდა,გზარდა,ზარდა,გვზარდა,გზარდათ,ზარდა,
,გზარდეთ,ვზარდეთ,,გზარდეთ,ვზარდეთ,
მზარდეთ,,ზარდეთ,გვზარდეთ,,ზარდეთ,
მზარდეს,გზარდეს,ზარდეს,გვზარდეს,გზარდეს,ზარდეს,
aor_prfv
,აღგზარდე,აღვზარდე,,აღგზარდეთ,აღვზარდე,
აღმზარდე,,აღზარდე,აღგვზარდე,,აღზარდე,
აღმზარდა,აღგზარდა,აღზარდა,აღგვზარდა,აღგზარდათ,აღზარდა,
,აღგზარდეთ,აღვზარდეთ,,აღგზარდეთ,აღვზარდეთ,
აღმზარდეთ,,აღზარდეთ,აღგვზარდეთ,,აღზარდეთ,
აღმზარდეს,აღგზარდეს,აღზარდეს,აღგვზარდეს,აღგზარდეს,აღზარდეს,
IIsubj
,გზარდო,ვზარდო,,გზარდოთ,ვზარდო,
მზარდო,,ზარდო,გვზარდო,,ზარდო,
მზარდოს,გზარდოს,ზარდოს,გვზარდოს,გზარდოთ,ზარდოს,
,გზარდოთ,ვზარდოთ,,გზარდოთ,ვზარდოთ,
მზარდოთ,,ზარდოთ,გვზარდოთ,,ზარდოთ,
მზარდონ,გზარდონ,ზარდონ,გვზარდონ,გზარდონ,ზარდონ,
IIsubj_prfv
,აღგზარდო,აღვზარდო,,აღგზარდოთ,აღვზარდო,
აღმზარდო,,აღზარდო,აღგვზარდო,,აღზარდო,
აღმზარდოს,აღგზარდოს,აღზარდოს,აღგვზარდოს,აღგზარდოთ,აღზარდოს,
,აღგზარდოთ,აღვზარდოთ,,აღგზარდოთ,აღვზარდოთ,
აღმზარდოთ,,აღზარდოთ,აღგვზარდოთ,,აღზარდოთ,
აღმზარდონ,აღგზარდონ,აღზარდონ,აღგვზარდონ,აღგზარდონ,აღზარდონ,
Iturm
,მიზრდიხარ,მიზრდია,,მიზრდიხართ,მიზრდია,
გიზრდივარ,,გიზრდია,გიზრდივართ,,გიზრდია,
ვუზრდივარ,უზრდიხარ,უზრდია,ვუზრდივართ,უზრდიხართ,უზრდია,
,გვიზრდიხარ,გვიზრდია,,გვიზრდიხართ,გვიზრდია,
გიზრდივართ,,გიზრდიათ,გიზრდივართ,,გიზრდიათ,
ვუზრდივარ,უზრდიხარ,უზრდიათ,ვუზრდივართ,უზრდიხართ,უზრდიათ,
Iturm_prfv
,აღმიზრდიხარ,აღმიზრდია,,აღმიზრდიხართ,აღმიზრდია,
აღგიზრდივარ,,აღგიზრდია,აღგიზრდივართ,,აღგიზრდია,
აღვუზრდივარ,აღუზრდიხარ,აღუზრდია,აღვუზრდივართ,აღუზრდიხართ,აღუზრდია,
,აღგვიზრდიხარ,აღგვიზრდია,,აღგვიზრდიხართ,აღგვიზრდია,
აღგიზრდივართ,,აღგიზრდიათ,აღგიზრდივართ,,აღგიზრდიათ,
აღვუზრდივარ,აღუზრდიხარ,აღუზრდიათ,აღვუზრდივართ,აღუზრდიხართ,აღუზრდიათ,
IIturm
,მეზარდე,მეზარდა,,მეზარდეთ,მეზარდა,
გეზარდე,,გეზარდა,გეზარდეთ,,გეზარდა,
ვეზარდე,ეზარდე,ეზარდა,ვეზარდეთ,ეზარდეთ,ეზარდა,
,გვეზარდე,გვეზარდა,,გვეზარდეთ,გვეზარდა,
გეზარდეთ,,გეზარდათ,გეზარდეთ,,გეზარდათ,
ვეზარდე,ეზარდე,ეზარდათ,ვეზარდეთ,ეზარდეთ,ეზარდათ,
IIturm_prfv
,აღმეზარდე,აღმეზარდა,,აღმეზარდეთ,აღმეზარდა,
აღგეზარდე,,აღგეზარდა,აღგეზარდეთ,,აღგეზარდა,
აღვეზარდე,აღეზარდე,აღეზარდა,აღვეზარდეთ,აღეზარდეთ,აღეზარდა,
,აღგვეზარდე,აღგვეზარდა,,აღგვეზარდეთ,აღგვეზარდა,
აღგეზარდეთ,,აღგეზარდათ,აღგეზარდეთ,,აღგეზარდათ,
აღვეზარდე,აღეზარდე,აღეზარდათ,აღვეზარდეთ,აღეზარდეთ,აღეზარდათ,
IIIsubj
,მეზარდო,მეზარდოს,,მეზარდოთ,მეზარდოს,
გეზარდო,,გეზარდოს,გეზარდოთ,,გეზარდოს,
ვეზარდო,ეზარდო,ეზარდოს,ვეზარდოთ,ეზარდოთ,ეზარდოს,
,გვეზარდო,გვეზარდოს,,გვეზარდოთ,გვეზარდოს,
გეზარდოთ,,გეზარდოთ,გეზარდოთ,,გეზარდოთ,
ვეზარდო,ეზარდო,ეზარდოთ,ვეზარდოთ,ეზარდოთ,ეზარდოთ,
IIIsubj_prfv
,აღმეზარდო,აღმეზარდოს,,აღმეზარდოთ,აღმეზარდოს,
აღგეზარდო,,აღგეზარდოს,აღგეზარდოთ,,აღგეზარდოს,
აღვეზარდო,აღეზარდო,აღეზარდოს,აღვეზარდოთ,აღეზარდოთ,აღეზარდოს,
,აღგვეზარდო,აღგვეზარდოს,,აღგვეზარდოთ,აღგვეზარდოს,
აღგეზარდოთ,,აღგეზარდოთ,აღგეზარდოთ,,აღგეზარდოთ,
აღვეზარდო,აღეზარდო,აღეზარდოთ,აღვეზარდოთ,აღეზარდოთ,აღეზარდოთ,
