fut2
,გინახავ,ვინახავ,,გინახავთ,ვინახავ,
მინახავ,,ინახავ,გვინახავ,,ინახავ,
მინახავს,გინახავს,ინახავს,გვინახავს,გინახავთ,ინახავს,
,გინახავთ,ვინახავთ,,გინახავთ,ვინახავთ,
მინახავთ,,ინახავთ,გვინახავთ,,ინახავთ,
მინახავენ,გინახავენ,ინახავენ,გვინახავენ,გინახავენ,ინახავენ,
fut2_prfv
,აღგინახავ,აღვინახავ,,აღგინახავთ,აღვინახავ,
აღმინახავ,,აღინახავ,აღგვინახავ,,აღინახავ,
აღმინახავს,აღგინახავს,აღინახავს,აღგვინახავს,აღგინახავთ,აღინახავს,
,აღგინახავთ,აღვინახავთ,,აღგინახავთ,აღვინახავთ,
აღმინახავთ,,აღინახავთ,აღგვინახავთ,,აღინახავთ,
აღმინახავენ,აღგინახავენ,აღინახავენ,აღგვინახავენ,აღგინახავენ,აღინახავენ,
cond2
,გინახავდი,ვინახავდი,,გინახავდით,ვინახავდი,
მინახავდი,,ინახავდი,გვინახავდი,,ინახავდი,
მინახავდა,გინახავდა,ინახავდა,გვინახავდა,გინახავდათ,ინახავდა,
,გინახავდით,ვინახავდით,,გინახავდით,ვინახავდით,
მინახავდით,,ინახავდით,გვინახავდით,,ინახავდით,
მინახავდნენ,გინახავდნენ,ინახავდნენ,გვინახავდნენ,გინახავდნენ,ინახავდნენ,
cond2_prfv
,აღგინახავდი,აღვინახავდი,,აღგინახავდით,აღვინახავდი,
აღმინახავდი,,აღინახავდი,აღგვინახავდი,,აღინახავდი,
აღმინახავდა,აღგინახავდა,აღინახავდა,აღგვინახავდა,აღგინახავდათ,აღინახავდა,
,აღგინახავდით,აღვინახავდით,,აღგინახავდით,აღვინახავდით,
აღმინახავდით,,აღინახავდით,აღგვინახავდით,,აღინახავდით,
აღმინახავდნენ,აღგინახავდნენ,აღინახავდნენ,აღგვინახავდნენ,აღგინახავდნენ,აღინახავდნენ,
fut2_subj
,გინახავდე,ვინახავდე,,გინახავდეთ,ვინახავდე,
მინახავდე,,ინახავდე,გვინახავდე,,ინახავდე,
მინახავდეს,გინახავდეს,ინახავდეს,გვინახავდეს,გინახავდეთ,ინახავდეს,
,გინახავდეთ,ვინახავდეთ,,გინახავდეთ,ვინახავდეთ,
მინახავდეთ,,ინახავდეთ,გვინახავდეთ,,ინახავდეთ,
მინახავდნენ,გინახავდნენ,ინახავდნენ,გვინახავდნენ,გინახავდნენ,ინახავდნენ,
fut2_subj_prfv
,აღგინახავდე,აღვინახავდე,,აღგინახავდეთ,აღვინახავდე,
აღმინახავდე,,აღინახავდე,აღგვინახავდე,,აღინახავდე,
აღმინახავდეს,აღგინახავდეს,აღინახავდეს,აღგვინახავდეს,აღგინახავდეთ,აღინახავდეს,
,აღგინახავდეთ,აღვინახავდეთ,,აღგინახავდეთ,აღვინახავდეთ,
აღმინახავდეთ,,აღინახავდეთ,აღგვინახავდეთ,,აღინახავდეთ,
აღმინახავდნენ,აღგინახავდნენ,აღინახავდნენ,აღგვინახავდნენ,აღგინახავდნენ,აღინახავდნენ,
aor2
,გინახე,ვინახე,,გინახეთ,ვინახე,
მინახე,,ინახე,გვინახე,,ინახე,
მინახა,გინახა,ინახა,გვინახა,გინახათ,ინახა,
,გინახეთ,ვინახეთ,,გინახეთ,ვინახეთ,
მინახეთ,,ინახეთ,გვინახეთ,,ინახეთ,
მინახეს,გინახეს,ინახეს,გვინახეს,გინახეს,ინახეს,
aor2_prfv
,აღგინახე,აღვინახე,,აღგინახეთ,აღვინახე,
აღმინახე,,აღინახე,აღგვინახე,,აღინახე,
აღმინახა,აღგინახა,აღინახა,აღგვინახა,აღგინახათ,აღინახა,
,აღგინახეთ,აღვინახეთ,,აღგინახეთ,აღვინახეთ,
აღმინახეთ,,აღინახეთ,აღგვინახეთ,,აღინახეთ,
აღმინახეს,აღგინახეს,აღინახეს,აღგვინახეს,აღგინახეს,აღინახეს,
IIsubj2
,გინახო,ვინახო,,გინახოთ,ვინახო,
მინახო,,ინახო,გვინახო,,ინახო,
მინახოს,გინახოს,ინახოს,გვინახოს,გინახოთ,ინახოს,
,გინახოთ,ვინახოთ,,გინახოთ,ვინახოთ,
მინახოთ,,ინახოთ,გვინახოთ,,ინახოთ,
მინახონ,გინახონ,ინახონ,გვინახონ,გინახონ,ინახონ,
IIsubj2_prfv
,აღგინახო,აღვინახო,,აღგინახოთ,აღვინახო,
აღმინახო,,აღინახო,აღგვინახო,,აღინახო,
აღმინახოს,აღგინახოს,აღინახოს,აღგვინახოს,აღგინახოთ,აღინახოს,
,აღგინახოთ,აღვინახოთ,,აღგინახოთ,აღვინახოთ,
აღმინახოთ,,აღინახოთ,აღგვინახოთ,,აღინახოთ,
აღმინახონ,აღგინახონ,აღინახონ,აღგვინახონ,აღგინახონ,აღინახონ,
Iturm
,მინახიხარ,მინახია,,მინახიხართ,მინახია,
გინახივარ,,გინახია,გინახივართ,,გინახია,
ვუნახივარ,უნახიხარ,უნახია,ვუნახივართ,უნახიხართ,უნახია,
,გვინახიხარ,გვინახია,,გვინახიხართ,გვინახია,
გინახივართ,,გინახიათ,გინახივართ,,გინახიათ,
ვუნახივარ,უნახიხარ,უნახიათ,ვუნახივართ,უნახიხართ,უნახიათ,
Iturm_prfv
,აღმინახიხარ,აღმინახია,,აღმინახიხართ,აღმინახია,
აღგინახივარ,,აღგინახია,აღგინახივართ,,აღგინახია,
აღვუნახივარ,აღუნახიხარ,აღუნახია,აღვუნახივართ,აღუნახიხართ,აღუნახია,
,აღგვინახიხარ,აღგვინახია,,აღგვინახიხართ,აღგვინახია,
აღგინახივართ,,აღგინახიათ,აღგინახივართ,,აღგინახიათ,
აღვუნახივარ,აღუნახიხარ,აღუნახიათ,აღვუნახივართ,აღუნახიხართ,აღუნახიათ,
Iturm_th
,მინახავხარ,მინახავს,,მინახავხართ,მინახავს,
გინახავვარ,,გინახავს,გინახავვართ,,გინახავს,
ვუნახავვარ,უნახავხარ,უნახავს,ვუნახავვართ,უნახავხართ,უნახავს,
,გვინახავხარ,გვინახავს,,გვინახავხართ,გვინახავს,
გინახავვართ,,გინახავთ,გინახავვართ,,გინახავთ,
ვუნახავვარ,უნახავხარ,უნახავთ,ვუნახავვართ,უნახავხართ,უნახავთ,
Iturm_th_prfv
,აღმინახავხარ,აღმინახავს,,აღმინახავხართ,აღმინახავს,
აღგინახავვარ,,აღგინახავს,აღგინახავვართ,,აღგინახავს,
აღვუნახავვარ,აღუნახავხარ,აღუნახავს,აღვუნახავვართ,აღუნახავხართ,აღუნახავს,
,აღგვინახავხარ,აღგვინახავს,,აღგვინახავხართ,აღგვინახავს,
აღგინახავვართ,,აღგინახავთ,აღგინახავვართ,,აღგინახავთ,
აღვუნახავვარ,აღუნახავხარ,აღუნახავთ,აღვუნახავვართ,აღუნახავხართ,აღუნახავთ,
IIturm
,მენახე,მენახა,,მენახეთ,მენახა,
გენახე,,გენახა,გენახეთ,,გენახა,
ვენახე,ენახე,ენახა,ვენახეთ,ენახეთ,ენახა,
,გვენახე,გვენახა,,გვენახეთ,გვენახა,
გენახეთ,,გენახათ,გენახეთ,,გენახათ,
