pres
,გკეცავ,ვკეცავ,,გკეცავთ,ვკეცავ,
მკეცავ,,კეცავ,გვკეცავ,,კეცავ,
მკეცავს,გკეცავს,კეცავს,გვკეცავს,გკეცავთ,კეცავს,
,გკეცავთ,ვკეცავთ,,გკეცავთ,ვკეცავთ,
მკეცავთ,,კეცავთ,გვკეცავთ,,კეცავთ,
მკეცავენ,გკეცავენ,კეცავენ,გვკეცავენ,გკეცავენ,კეცავენ,
fut
,აღგკეცავ,აღვკეცავ,,აღგკეცავთ,აღვკეცავ,
აღმკეცავ,,აღკეცავ,აღგვკეცავ,,აღკეცავ,
აღმკეცავს,აღგკეცავს,აღკეცავს,აღგვკეცავს,აღგკეცავთ,აღკეცავს,
,აღგკეცავთ,აღვკეცავთ,,აღგკეცავთ,აღვკეცავთ,
აღმკეცავთ,,აღკეცავთ,აღგვკეცავთ,,აღკეცავთ,
აღმკეცავენ,აღგკეცავენ,აღკეცავენ,აღგვკეცავენ,აღგკეცავენ,აღკეცავენ,
impf
,გკეცავდი,ვკეცავდი,,გკეცავდით,ვკეცავდი,
მკეცავდი,,კეცავდი,გვკეცავდი,,კეცავდი,
მკეცავდა,გკეცავდა,კეცავდა,გვკეცავდა,გკეცავდათ,კეცავდა,
,გკეცავდით,ვკეცავდით,,გკეცავდით,ვკეცავდით,
მკეცავდით,,კეცავდით,გვკეცავდით,,კეცავდით,
მკეცავდნენ,გკეცავდნენ,კეცავდნენ,გვკეცავდნენ,გკეცავდნენ,კეცავდნენ,
cond
,აღგკეცავდი,აღვკეცავდი,,აღგკეცავდით,აღვკეცავდი,
აღმკეცავდი,,აღკეცავდი,აღგვკეცავდი,,აღკეცავდი,
აღმკეცავდა,აღგკეცავდა,აღკეცავდა,აღგვკეცავდა,აღგკეცავდათ,აღკეცავდა,
,აღგკეცავდით,აღვკეცავდით,,აღგკეცავდით,აღვკეცავდით,
აღმკეცავდით,,აღკეცავდით,აღგვკეცავდით,,აღკეცავდით,
აღმკეცავდნენ,აღგკეცავდნენ,აღკეცავდნენ,აღგვკეცავდნენ,აღგკეცავდნენ,აღკეცავდნენ,
subj
,გკეცავდე,ვკეცავდე,,გკეცავდეთ,ვკეცავდე,
მკეცავდე,,კეცავდე,გვკეცავდე,,კეცავდე,
მკეცავდეს,გკეცავდეს,კეცავდეს,გვკეცავდეს,გკეცავდეთ,კეცავდეს,
,გკეცავდეთ,ვკეცავდეთ,,გკეცავდეთ,ვკეცავდეთ,
მკეცავდეთ,,კეცავდეთ,გვკეცავდეთ,,კეცავდეთ,
მკეცავდნენ,გკეცავდნენ,კეცავდნენ,გვკეცავდნენ,გკეცავდნენ,კეცავდნენ,
fut_subj
,აღგკეცავდე,აღვკეცავდე,,აღგკეცავდეთ,აღვკეცავდე,
აღმკეცავდე,,აღკეცავდე,აღგვკეცავდე,,აღკეცავდე,
აღმკეცავდეს,აღგკეცავდეს,აღკეცავდეს,აღგვკეცავდეს,აღგკეცავდეთ,აღკეცავდეს,
,აღგკეცავდეთ,აღვკეცავდეთ,,აღგკეცავდეთ,აღვკეცავდეთ,
აღმკეცავდეთ,,აღკეცავდეთ,აღგვკეცავდეთ,,აღკეცავდეთ,
აღმკეცავდნენ,აღგკეცავდნენ,აღკეცავდნენ,აღგვკეცავდნენ,აღგკეცავდნენ,აღკეცავდნენ,
aor
,გკეცე,ვკეცე,,გკეცეთ,ვკეცე,
მკეცე,,კეცე,გვკეცე,,კეცე,
მკეცა,გკეცა,კეცა,გვკეცა,გკეცათ,კეცა,
,გკეცეთ,ვკეცეთ,,გკეცეთ,ვკეცეთ,
მკეცეთ,,კეცეთ,გვკეცეთ,,კეცეთ,
მკეცეს,გკეცეს,კეცეს,გვკეცეს,გკეცეს,კეცეს,
aor_prfv
,აღგკეცე,აღვკეცე,,აღგკეცეთ,აღვკეცე,
აღმკეცე,,აღკეცე,აღგვკეცე,,აღკეცე,
აღმკეცა,აღგკეცა,აღკეცა,აღგვკეცა,აღგკეცათ,აღკეცა,
,აღგკეცეთ,აღვკეცეთ,,აღგკეცეთ,აღვკეცეთ,
აღმკეცეთ,,აღკეცეთ,აღგვკეცეთ,,აღკეცეთ,
აღმკეცეს,აღგკეცეს,აღკეცეს,აღგვკეცეს,აღგკეცეს,აღკეცეს,
IIsubj
,გკეცო,ვკეცო,,გკეცოთ,ვკეცო,
მკეცო,,კეცო,გვკეცო,,კეცო,
მკეცოს,გკეცოს,კეცოს,გვკეცოს,გკეცოთ,კეცოს,
,გკეცოთ,ვკეცოთ,,გკეცოთ,ვკეცოთ,
მკეცოთ,,კეცოთ,გვკეცოთ,,კეცოთ,
მკეცონ,გკეცონ,კეცონ,გვკეცონ,გკეცონ,კეცონ,
IIsubj_prfv
