pres
,გკრავ,ვკრავ,,გკრავთ,ვკრავ,
მკრავ,,კრავ,გვკრავ,,კრავ,
მკრავს,გკრავს,კრავს,გვკრავს,გკრავთ,კრავს,
,გკრავთ,ვკრავთ,,გკრავთ,ვკრავთ,
მკრავთ,,კრავთ,გვკრავთ,,კრავთ,
მკრავენ,გკრავენ,კრავენ,გვკრავენ,გკრავენ,კრავენ,
fut
,აღგკრავ,აღვკრავ,,აღგკრავთ,აღვკრავ,
აღმკრავ,,აღკრავ,აღგვკრავ,,აღკრავ,
აღმკრავს,აღგკრავს,აღკრავს,აღგვკრავს,აღგკრავთ,აღკრავს,
,აღგკრავთ,აღვკრავთ,,აღგკრავთ,აღვკრავთ,
აღმკრავთ,,აღკრავთ,აღგვკრავთ,,აღკრავთ,
აღმკრავენ,აღგკრავენ,აღკრავენ,აღგვკრავენ,აღგკრავენ,აღკრავენ,
impf
,გკრავდი,ვკრავდი,,გკრავდით,ვკრავდი,
მკრავდი,,კრავდი,გვკრავდი,,კრავდი,
მკრავდა,გკრავდა,კრავდა,გვკრავდა,გკრავდათ,კრავდა,
,გკრავდით,ვკრავდით,,გკრავდით,ვკრავდით,
მკრავდით,,კრავდით,გვკრავდით,,კრავდით,
მკრავდნენ,გკრავდნენ,კრავდნენ,გვკრავდნენ,გკრავდნენ,კრავდნენ,
cond
,აღგკრავდი,აღვკრავდი,,აღგკრავდით,აღვკრავდი,
აღმკრავდი,,აღკრავდი,აღგვკრავდი,,აღკრავდი,
აღმკრავდა,აღგკრავდა,აღკრავდა,აღგვკრავდა,აღგკრავდათ,აღკრავდა,
,აღგკრავდით,აღვკრავდით,,აღგკრავდით,აღვკრავდით,
აღმკრავდით,,აღკრავდით,აღგვკრავდით,,აღკრავდით,
აღმკრავდნენ,აღგკრავდნენ,აღკრავდნენ,აღგვკრავდნენ,აღგკრავდნენ,აღკრავდნენ,
subj
,გკრავდე,ვკრავდე,,გკრავდეთ,ვკრავდე,
მკრავდე,,კრავდე,გვკრავდე,,კრავდე,
მკრავდეს,გკრავდეს,კრავდეს,გვკრავდეს,გკრავდეთ,კრავდეს,
,გკრავდეთ,ვკრავდეთ,,გკრავდეთ,ვკრავდეთ,
მკრავდეთ,,კრავდეთ,გვკრავდეთ,,კრავდეთ,
მკრავდნენ,გკრავდნენ,კრავდნენ,გვკრავდნენ,გკრავდნენ,კრავდნენ,
fut_subj
,აღგკრავდე,აღვკრავდე,,აღგკრავდეთ,აღვკრავდე,
აღმკრავდე,,აღკრავდე,აღგვკრავდე,,აღკრავდე,
აღმკრავდეს,აღგკრავდეს,აღკრავდეს,აღგვკრავდეს,აღგკრავდეთ,აღკრავდეს,
,აღგკრავდეთ,აღვკრავდეთ,,აღგკრავდეთ,აღვკრავდეთ,
აღმკრავდეთ,,აღკრავდეთ,აღგვკრავდეთ,,აღკრავდეთ,
აღმკრავდნენ,აღგკრავდნენ,აღკრავდნენ,აღგვკრავდნენ,აღგკრავდნენ,აღკრავდნენ,
aor
,გკარი,ვკარი,,გკარით,ვკარი,
მკარი,,კარი,გვკარი,,კარი,
მკრა,გკრა,კრა,გვკრა,გკრათ,კრა,
,გკარით,ვკარით,,გკარით,ვკარით,
მკარით,,კარით,გვკარით,,კარით,
