fut2
,გითმენ,ვუთმენ,,გითმენთ,ვუთმენ,
მითმენ,,უთმენ,გვითმენ,,უთმენ,
მითმენს,გითმენს,უთმენს,გვითმენს,გითმენთ,უთმენს,
,გითმენთ,ვუთმენთ,,გითმენთ,ვუთმენთ,
მითმენთ,,უთმენთ,გვითმენთ,,უთმენთ,
მითმენენ,გითმენენ,უთმენენ,გვითმენენ,გითმენენ,უთმენენ,
fut2_prfv
,აღგითმენ,აღვუთმენ,,აღგითმენთ,აღვუთმენ,
აღმითმენ,,აღუთმენ,აღგვითმენ,,აღუთმენ,
აღმითმენს,აღგითმენს,აღუთმენს,აღგვითმენს,აღგითმენთ,აღუთმენს,
,აღგითმენთ,აღვუთმენთ,,აღგითმენთ,აღვუთმენთ,
აღმითმენთ,,აღუთმენთ,აღგვითმენთ,,აღუთმენთ,
აღმითმენენ,აღგითმენენ,აღუთმენენ,აღგვითმენენ,აღგითმენენ,აღუთმენენ,
cond2
,გითმენდი,ვუთმენდი,,გითმენდით,ვუთმენდი,
მითმენდი,,უთმენდი,გვითმენდი,,უთმენდი,
მითმენდა,გითმენდა,უთმენდა,გვითმენდა,გითმენდათ,უთმენდა,
,გითმენდით,ვუთმენდით,,გითმენდით,ვუთმენდით,
მითმენდით,,უთმენდით,გვითმენდით,,უთმენდით,
მითმენდნენ,გითმენდნენ,უთმენდნენ,გვითმენდნენ,გითმენდნენ,უთმენდნენ,
cond2_prfv
,აღგითმენდი,აღვუთმენდი,,აღგითმენდით,აღვუთმენდი,
აღმითმენდი,,აღუთმენდი,აღგვითმენდი,,აღუთმენდი,
აღმითმენდა,აღგითმენდა,აღუთმენდა,აღგვითმენდა,აღგითმენდათ,აღუთმენდა,
,აღგითმენდით,აღვუთმენდით,,აღგითმენდით,აღვუთმენდით,
აღმითმენდით,,აღუთმენდით,აღგვითმენდით,,აღუთმენდით,
აღმითმენდნენ,აღგითმენდნენ,აღუთმენდნენ,აღგვითმენდნენ,აღგითმენდნენ,აღუთმენდნენ,
fut2_subj
,გითმენდე,ვუთმენდე,,გითმენდეთ,ვუთმენდე,
მითმენდე,,უთმენდე,გვითმენდე,,უთმენდე,
მითმენდეს,გითმენდეს,უთმენდეს,გვითმენდეს,გითმენდეთ,უთმენდეს,
,გითმენდეთ,ვუთმენდეთ,,გითმენდეთ,ვუთმენდეთ,
მითმენდეთ,,უთმენდეთ,გვითმენდეთ,,უთმენდეთ,
მითმენდნენ,გითმენდნენ,უთმენდნენ,გვითმენდნენ,გითმენდნენ,უთმენდნენ,
fut2_subj_prfv
,აღგითმენდე,აღვუთმენდე,,აღგითმენდეთ,აღვუთმენდე,
აღმითმენდე,,აღუთმენდე,აღგვითმენდე,,აღუთმენდე,
აღმითმენდეს,აღგითმენდეს,აღუთმენდეს,აღგვითმენდეს,აღგითმენდეთ,აღუთმენდეს,
,აღგითმენდეთ,აღვუთმენდეთ,,აღგითმენდეთ,აღვუთმენდეთ,
აღმითმენდეთ,,აღუთმენდეთ,აღგვითმენდეთ,,აღუთმენდეთ,
აღმითმენდნენ,აღგითმენდნენ,აღუთმენდნენ,აღგვითმენდნენ,აღგითმენდნენ,აღუთმენდნენ,
aor2
,გითმინე,ვუთმინე,,გითმინეთ,ვუთმინე,
მითმინე,,უთმინე,გვითმინე,,უთმინე,
მითმინა,გითმინა,უთმინა,გვითმინა,გითმინათ,უთმინა,
,გითმინეთ,ვუთმინეთ,,გითმინეთ,ვუთმინეთ,
მითმინეთ,,უთმინეთ,გვითმინეთ,,უთმინეთ,
მითმინეს,გითმინეს,უთმინეს,გვითმინეს,გითმინეს,უთმინეს,
aor2_prfv
,აღგითმინე,აღვუთმინე,,აღგითმინეთ,აღვუთმინე,
აღმითმინე,,აღუთმინე,აღგვითმინე,,აღუთმინე,
აღმითმინა,აღგითმინა,აღუთმინა,აღგვითმინა,აღგითმინათ,აღუთმინა,
,აღგითმინეთ,აღვუთმინეთ,,აღგითმინეთ,აღვუთმინეთ,
აღმითმინეთ,,აღუთმინეთ,აღგვითმინეთ,,აღუთმინეთ,
აღმითმინეს,აღგითმინეს,აღუთმინეს,აღგვითმინეს,აღგითმინეს,აღუთმინეს,
IIsubj2
,გითმინო,ვუთმინო,,გითმინოთ,ვუთმინო,
მითმინო,,უთმინო,გვითმინო,,უთმინო,
მითმინოს,გითმინოს,უთმინოს,გვითმინოს,გითმინოთ,უთმინოს,
,გითმინოთ,ვუთმინოთ,,გითმინოთ,ვუთმინოთ,
მითმინოთ,,უთმინოთ,გვითმინოთ,,უთმინოთ,
მითმინონ,გითმინონ,უთმინონ,გვითმინონ,გითმინონ,უთმინონ,
IIsubj2_prfv
,აღგითმინო,აღვუთმინო,,აღგითმინოთ,აღვუთმინო,
აღმითმინო,,აღუთმინო,აღგვითმინო,,აღუთმინო,
აღმითმინოს,აღგითმინოს,აღუთმინოს,აღგვითმინოს,აღგითმინოთ,აღუთმინოს,
,აღგითმინოთ,აღვუთმინოთ,,აღგითმინოთ,აღვუთმინოთ,
აღმითმინოთ,,აღუთმინოთ,აღგვითმინოთ,,აღუთმინოთ,
აღმითმინონ,აღგითმინონ,აღუთმინონ,აღგვითმინონ,აღგითმინონ,აღუთმინონ,
Iturm
,მითმენიხარ,მითმენია,,მითმენიხართ,მითმენია,
გითმენივარ,,გითმენია,გითმენივართ,,გითმენია,
