pres
,გჩქმეტ,ვჩქმეტ,,გჩქმეტთ,ვჩქმეტ,
მჩქმეტ,,ჩქმეტ,გვჩქმეტ,,ჩქმეტ,
მჩქმეტს,გჩქმეტს,ჩქმეტს,გვჩქმეტს,გჩქმეტთ,ჩქმეტს,
,გჩქმეტთ,ვჩქმეტთ,,გჩქმეტთ,ვჩქმეტთ,
მჩქმეტთ,,ჩქმეტთ,გვჩქმეტთ,,ჩქმეტთ,
მჩქმეტენ,გჩქმეტენ,ჩქმეტენ,გვჩქმეტენ,გჩქმეტენ,ჩქმეტენ,
fut
,აღგჩქმეტ,აღვჩქმეტ,,აღგჩქმეტთ,აღვჩქმეტ,
აღმჩქმეტ,,აღჩქმეტ,აღგვჩქმეტ,,აღჩქმეტ,
აღმჩქმეტს,აღგჩქმეტს,აღჩქმეტს,აღგვჩქმეტს,აღგჩქმეტთ,აღჩქმეტს,
,აღგჩქმეტთ,აღვჩქმეტთ,,აღგჩქმეტთ,აღვჩქმეტთ,
აღმჩქმეტთ,,აღჩქმეტთ,აღგვჩქმეტთ,,აღჩქმეტთ,
აღმჩქმეტენ,აღგჩქმეტენ,აღჩქმეტენ,აღგვჩქმეტენ,აღგჩქმეტენ,აღჩქმეტენ,
fut2
,გიჩქმეტ,ვუჩქმეტ,,გიჩქმეტთ,ვუჩქმეტ,
მიჩქმეტ,,უჩქმეტ,გვიჩქმეტ,,უჩქმეტ,
მიჩქმეტს,გიჩქმეტს,უჩქმეტს,გვიჩქმეტს,გიჩქმეტთ,უჩქმეტს,
,გიჩქმეტთ,ვუჩქმეტთ,,გიჩქმეტთ,ვუჩქმეტთ,
მიჩქმეტთ,,უჩქმეტთ,გვიჩქმეტთ,,უჩქმეტთ,
მიჩქმეტენ,გიჩქმეტენ,უჩქმეტენ,გვიჩქმეტენ,გიჩქმეტენ,უჩქმეტენ,
impf
,გჩქმეტდი,ვჩქმეტდი,,გჩქმეტდით,ვჩქმეტდი,
მჩქმეტდი,,ჩქმეტდი,გვჩქმეტდი,,ჩქმეტდი,
მჩქმეტდა,გჩქმეტდა,ჩქმეტდა,გვჩქმეტდა,გჩქმეტდათ,ჩქმეტდა,
,გჩქმეტდით,ვჩქმეტდით,,გჩქმეტდით,ვჩქმეტდით,
მჩქმეტდით,,ჩქმეტდით,გვჩქმეტდით,,ჩქმეტდით,
მჩქმეტდნენ,გჩქმეტდნენ,ჩქმეტდნენ,გვჩქმეტდნენ,გჩქმეტდნენ,ჩქმეტდნენ,
cond
,აღგჩქმეტდი,აღვჩქმეტდი,,აღგჩქმეტდით,აღვჩქმეტდი,
აღმჩქმეტდი,,აღჩქმეტდი,აღგვჩქმეტდი,,აღჩქმეტდი,
აღმჩქმეტდა,აღგჩქმეტდა,აღჩქმეტდა,აღგვჩქმეტდა,აღგჩქმეტდათ,აღჩქმეტდა,
,აღგჩქმეტდით,აღვჩქმეტდით,,აღგჩქმეტდით,აღვჩქმეტდით,
აღმჩქმეტდით,,აღჩქმეტდით,აღგვჩქმეტდით,,აღჩქმეტდით,
აღმჩქმეტდნენ,აღგჩქმეტდნენ,აღჩქმეტდნენ,აღგვჩქმეტდნენ,აღგჩქმეტდნენ,აღჩქმეტდნენ,
cond2
,გიჩქმეტდი,ვუჩქმეტდი,,გიჩქმეტდით,ვუჩქმეტდი,
მიჩქმეტდი,,უჩქმეტდი,გვიჩქმეტდი,,უჩქმეტდი,
მიჩქმეტდა,გიჩქმეტდა,უჩქმეტდა,გვიჩქმეტდა,გიჩქმეტდათ,უჩქმეტდა,
,გიჩქმეტდით,ვუჩქმეტდით,,გიჩქმეტდით,ვუჩქმეტდით,
მიჩქმეტდით,,უჩქმეტდით,გვიჩქმეტდით,,უჩქმეტდით,
მიჩქმეტდნენ,გიჩქმეტდნენ,უჩქმეტდნენ,გვიჩქმეტდნენ,გიჩქმეტდნენ,უჩქმეტდნენ,
subj
,გჩქმეტდე,ვჩქმეტდე,,გჩქმეტდეთ,ვჩქმეტდე,
