pres
,გწერ,ვწერ,,გწერთ,ვწერ,
მწერ,,წერ,გვწერ,,წერ,
მწერს,გწერს,წერს,გვწერს,გწერთ,წერს,
,გწერთ,ვწერთ,,გწერთ,ვწერთ,
მწერთ,,წერთ,გვწერთ,,წერთ,
მწერენ,გწერენ,წერენ,გვწერენ,გწერენ,წერენ,
fut
,აღგწერ,აღვწერ,,აღგწერთ,აღვწერ,
აღმწერ,,აღწერ,აღგვწერ,,აღწერ,
აღმწერს,აღგწერს,აღწერს,აღგვწერს,აღგწერთ,აღწერს,
,აღგწერთ,აღვწერთ,,აღგწერთ,აღვწერთ,
აღმწერთ,,აღწერთ,აღგვწერთ,,აღწერთ,
აღმწერენ,აღგწერენ,აღწერენ,აღგვწერენ,აღგწერენ,აღწერენ,
impf
,გწერდი,ვწერდი,,გწერდით,ვწერდი,
მწერდი,,წერდი,გვწერდი,,წერდი,
მწერდა,გწერდა,წერდა,გვწერდა,გწერდათ,წერდა,
,გწერდით,ვწერდით,,გწერდით,ვწერდით,
მწერდით,,წერდით,გვწერდით,,წერდით,
მწერდნენ,გწერდნენ,წერდნენ,გვწერდნენ,გწერდნენ,წერდნენ,
cond
,აღგწერდი,აღვწერდი,,აღგწერდით,აღვწერდი,
აღმწერდი,,აღწერდი,აღგვწერდი,,აღწერდი,
აღმწერდა,აღგწერდა,აღწერდა,აღგვწერდა,აღგწერდათ,აღწერდა,
,აღგწერდით,აღვწერდით,,აღგწერდით,აღვწერდით,
აღმწერდით,,აღწერდით,აღგვწერდით,,აღწერდით,
აღმწერდნენ,აღგწერდნენ,აღწერდნენ,აღგვწერდნენ,აღგწერდნენ,აღწერდნენ,
subj
,გწერდე,ვწერდე,,გწერდეთ,ვწერდე,
მწერდე,,წერდე,გვწერდე,,წერდე,
მწერდეს,გწერდეს,წერდეს,გვწერდეს,გწერდეთ,წერდეს,
,გწერდეთ,ვწერდეთ,,გწერდეთ,ვწერდეთ,
მწერდეთ,,წერდეთ,გვწერდეთ,,წერდეთ,
მწერდნენ,გწერდნენ,წერდნენ,გვწერდნენ,გწერდნენ,წერდნენ,
fut_subj
,აღგწერდე,აღვწერდე,,აღგწერდეთ,აღვწერდე,
აღმწერდე,,აღწერდე,აღგვწერდე,,აღწერდე,
აღმწერდეს,აღგწერდეს,აღწერდეს,აღგვწერდეს,აღგწერდეთ,აღწერდეს,
,აღგწერდეთ,აღვწერდეთ,,აღგწერდეთ,აღვწერდეთ,
აღმწერდეთ,,აღწერდეთ,აღგვწერდეთ,,აღწერდეთ,
აღმწერდნენ,აღგწერდნენ,აღწერდნენ,აღგვწერდნენ,აღგწერდნენ,აღწერდნენ,
aor
,გწერე,ვწერე,,გწერეთ,ვწერე,
მწერე,,წერე,გვწერე,,წერე,
მწერა,გწერა,წერა,გვწერა,გწერათ,წერა,
,გწერეთ,ვწერეთ,,გწერეთ,ვწერეთ,
მწერეთ,,წერეთ,გვწერეთ,,წერეთ,
მწერეს,გწერეს,წერეს,გვწერეს,გწერეს,წერეს,
aor_prfv
,აღგწერე,აღვწერე,,აღგწერეთ,აღვწერე,
აღმწერე,,აღწერე,აღგვწერე,,აღწერე,
აღმწერა,აღგწერა,აღწერა,აღგვწერა,აღგწერათ,აღწერა,
,აღგწერეთ,აღვწერეთ,,აღგწერეთ,აღვწერეთ,
აღმწერეთ,,აღწერეთ,აღგვწერეთ,,აღწერეთ,
აღმწერეს,აღგწერეს,აღწერეს,აღგვწერეს,აღგწერეს,აღწერეს,
IIsubj
,გწერო,ვწერო,,გწეროთ,ვწერო,
მწერო,,წერო,გვწერო,,წერო,
მწეროს,გწეროს,წეროს,გვწეროს,გწეროთ,წეროს,
,გწეროთ,ვწეროთ,,გწეროთ,ვწეროთ,
მწეროთ,,წეროთ,გვწეროთ,,წეროთ,
მწერონ,გწერონ,წერონ,გვწერონ,გწერონ,წერონ,
IIsubj_prfv
,აღგწერო,აღვწერო,,აღგწეროთ,აღვწერო,
აღმწერო,,აღწერო,აღგვწერო,,აღწერო,
აღმწეროს,აღგწეროს,აღწეროს,აღგვწეროს,აღგწეროთ,აღწეროს,
,აღგწეროთ,აღვწეროთ,,აღგწეროთ,აღვწეროთ,
აღმწეროთ,,აღწეროთ,აღგვწეროთ,,აღწეროთ,
აღმწერონ,აღგწერონ,აღწერონ,აღგვწერონ,აღგწერონ,აღწერონ,
Iturm
,მიწერიხარ,მიწერია,,მიწერიხართ,მიწერია,
გიწერივარ,,გიწერია,გიწერივართ,,გიწერია,
ვუწერივარ,უწერიხარ,უწერია,ვუწერივართ,უწერიხართ,უწერია,
,გვიწერიხარ,გვიწერია,,გვიწერიხართ,გვიწერია,
გიწერივართ,,გიწერიათ,გიწერივართ,,გიწერიათ,
ვუწერივარ,უწერიხარ,უწერიათ,ვუწერივართ,უწერიხართ,უწერიათ,
Iturm_prfv
,აღმიწერიხარ,აღმიწერია,,აღმიწერიხართ,აღმიწერია,
აღგიწერივარ,,აღგიწერია,აღგიწერივართ,,აღგიწერია,
აღვუწერივარ,აღუწერიხარ,აღუწერია,აღვუწერივართ,აღუწერიხართ,აღუწერია,
,აღგვიწერიხარ,აღგვიწერია,,აღგვიწერიხართ,აღგვიწერია,
აღგიწერივართ,,აღგიწერიათ,აღგიწერივართ,,აღგიწერიათ,
აღვუწერივარ,აღუწერიხარ,აღუწერიათ,აღვუწერივართ,აღუწერიხართ,აღუწერიათ,
IIturm
,მეწერე,მეწერა,,მეწერეთ,მეწერა,
გეწერე,,გეწერა,გეწერეთ,,გეწერა,
ვეწერე,ეწერე,ეწერა,ვეწერეთ,ეწერეთ,ეწერა,
,გვეწერე,გვეწერა,,გვეწერეთ,გვეწერა,
გეწერეთ,,გეწერათ,გეწერეთ,,გეწერათ,
ვეწერე,ეწერე,ეწერათ,ვეწერეთ,ეწერეთ,ეწერათ,
IIturm_prfv
