pres
,გჭამ,ვჭამ,,გჭამთ,ვჭამ,
მჭამ,,ჭამ,გვჭამ,,ჭამ,
მჭამს,გჭამს,ჭამს,გვჭამს,გჭამთ,ჭამს,
,გჭამთ,ვჭამთ,,გჭამთ,ვჭამთ,
მჭამთ,,ჭამთ,გვჭამთ,,ჭამთ,
მჭამენ,გჭამენ,ჭამენ,გვჭამენ,გჭამენ,ჭამენ,
fut
,აღგჭამ,აღვჭამ,,აღგჭამთ,აღვჭამ,
აღმჭამ,,აღჭამ,აღგვჭამ,,აღჭამ,
აღმჭამს,აღგჭამს,აღჭამს,აღგვჭამს,აღგჭამთ,აღჭამს,
,აღგჭამთ,აღვჭამთ,,აღგჭამთ,აღვჭამთ,
აღმჭამთ,,აღჭამთ,აღგვჭამთ,,აღჭამთ,
აღმჭამენ,აღგჭამენ,აღჭამენ,აღგვჭამენ,აღგჭამენ,აღჭამენ,
impf
,გჭამდი,ვჭამდი,,გჭამდით,ვჭამდი,
მჭამდი,,ჭამდი,გვჭამდი,,ჭამდი,
მჭამდა,გჭამდა,ჭამდა,გვჭამდა,გჭამდათ,ჭამდა,
,გჭამდით,ვჭამდით,,გჭამდით,ვჭამდით,
მჭამდით,,ჭამდით,გვჭამდით,,ჭამდით,
მჭამდნენ,გჭამდნენ,ჭამდნენ,გვჭამდნენ,გჭამდნენ,ჭამდნენ,
cond
,აღგჭამდი,აღვჭამდი,,აღგჭამდით,აღვჭამდი,
აღმჭამდი,,აღჭამდი,აღგვჭამდი,,აღჭამდი,
აღმჭამდა,აღგჭამდა,აღჭამდა,აღგვჭამდა,აღგჭამდათ,აღჭამდა,
,აღგჭამდით,აღვჭამდით,,აღგჭამდით,აღვჭამდით,
აღმჭამდით,,აღჭამდით,აღგვჭამდით,,აღჭამდით,
აღმჭამდნენ,აღგჭამდნენ,აღჭამდნენ,აღგვჭამდნენ,აღგჭამდნენ,აღჭამდნენ,
subj
,გჭამდე,ვჭამდე,,გჭამდეთ,ვჭამდე,
მჭამდე,,ჭამდე,გვჭამდე,,ჭამდე,
მჭამდეს,გჭამდეს,ჭამდეს,გვჭამდეს,გჭამდეთ,ჭამდეს,
,გჭამდეთ,ვჭამდეთ,,გჭამდეთ,ვჭამდეთ,
მჭამდეთ,,ჭამდეთ,გვჭამდეთ,,ჭამდეთ,
მჭამდნენ,გჭამდნენ,ჭამდნენ,გვჭამდნენ,გჭამდნენ,ჭამდნენ,
fut_subj
,აღგჭამდე,აღვჭამდე,,აღგჭამდეთ,აღვჭამდე,
აღმჭამდე,,აღჭამდე,აღგვჭამდე,,აღჭამდე,
აღმჭამდეს,აღგჭამდეს,აღჭამდეს,აღგვჭამდეს,აღგჭამდეთ,აღჭამდეს,
,აღგჭამდეთ,აღვჭამდეთ,,აღგჭამდეთ,აღვჭამდეთ,
აღმჭამდეთ,,აღჭამდეთ,აღგვჭამდეთ,,აღჭამდეთ,
აღმჭამდნენ,აღგჭამდნენ,აღჭამდნენ,აღგვჭამდნენ,აღგჭამდნენ,აღჭამდნენ,
aor
,გჭამე,ვჭამე,,გჭამეთ,ვჭამე,
მჭამე,,ჭამე,გვჭამე,,ჭამე,
მჭამა,გჭამა,ჭამა,გვჭამა,გჭამათ,ჭამა,
,გჭამეთ,ვჭამეთ,,გჭამეთ,ვჭამეთ,
მჭამეთ,,ჭამეთ,გვჭამეთ,,ჭამეთ,
მჭამეს,გჭამეს,ჭამეს,გვჭამეს,გჭამეს,ჭამეს,
aor_prfv
,აღგჭამე,აღვჭამე,,აღგჭამეთ,აღვჭამე,
აღმჭამე,,აღჭამე,აღგვჭამე,,აღჭამე,
აღმჭამა,აღგჭამა,აღჭამა,აღგვჭამა,აღგჭამათ,აღჭამა,
,აღგჭამეთ,აღვჭამეთ,,აღგჭამეთ,აღვჭამეთ,
აღმჭამეთ,,აღჭამეთ,აღგვჭამეთ,,აღჭამეთ,
აღმჭამეს,აღგჭამეს,აღჭამეს,აღგვჭამეს,აღგჭამეს,აღჭამეს,
IIsubj
,გჭამო,ვჭამო,,გჭამოთ,ვჭამო,
მჭამო,,ჭამო,გვჭამო,,ჭამო,
მჭამოს,გჭამოს,ჭამოს,გვჭამოს,გჭამოთ,ჭამოს,
,გჭამოთ,ვჭამოთ,,გჭამოთ,ვჭამოთ,
მჭამოთ,,ჭამოთ,გვჭამოთ,,ჭამოთ,
მჭამონ,გჭამონ,ჭამონ,გვჭამონ,გჭამონ,ჭამონ,
IIsubj_prfv
,აღგჭამო,აღვჭამო,,აღგჭამოთ,აღვჭამო,
აღმჭამო,,აღჭამო,აღგვჭამო,,აღჭამო,
აღმჭამოს,აღგჭამოს,აღჭამოს,აღგვჭამოს,აღგჭამოთ,აღჭამოს,
,აღგჭამოთ,აღვჭამოთ,,აღგჭამოთ,აღვჭამოთ,
აღმჭამოთ,,აღჭამოთ,აღგვჭამოთ,,აღჭამოთ,
აღმჭამონ,აღგჭამონ,აღჭამონ,აღგვჭამონ,აღგჭამონ,აღჭამონ,
Iturm
,მიჭამიხარ,მიჭამია,,მიჭამიხართ,მიჭამია,
გიჭამივარ,,გიჭამია,გიჭამივართ,,გიჭამია,
ვუჭამივარ,უჭამიხარ,უჭამია,ვუჭამივართ,უჭამიხართ,უჭამია,
,გვიჭამიხარ,გვიჭამია,,გვიჭამიხართ,გვიჭამია,
გიჭამივართ,,გიჭამიათ,გიჭამივართ,,გიჭამიათ,
ვუჭამივარ,უჭამიხარ,უჭამიათ,ვუჭამივართ,უჭამიხართ,უჭამიათ,
Iturm_prfv
,აღმიჭამიხარ,აღმიჭამია,,აღმიჭამიხართ,აღმიჭამია,
აღგიჭამივარ,,აღგიჭამია,აღგიჭამივართ,,აღგიჭამია,
აღვუჭამივარ,აღუჭამიხარ,აღუჭამია,აღვუჭამივართ,აღუჭამიხართ,აღუჭამია,
,აღგვიჭამიხარ,აღგვიჭამია,,აღგვიჭამიხართ,აღგვიჭამია,
აღგიჭამივართ,,აღგიჭამიათ,აღგიჭამივართ,,აღგიჭამიათ,
აღვუჭამივარ,აღუჭამიხარ,აღუჭამიათ,აღვუჭამივართ,აღუჭამიხართ,აღუჭამიათ,
IIturm
,მეჭამე,მეჭამა,,მეჭამეთ,მეჭამა,
გეჭამე,,გეჭამა,გეჭამეთ,,გეჭამა,
ვეჭამე,ეჭამე,ეჭამა,ვეჭამეთ,ეჭამეთ,ეჭამა,
,გვეჭამე,გვეჭამა,,გვეჭამეთ,გვეჭამა,
გეჭამეთ,,გეჭამათ,გეჭამეთ,,გეჭამათ,
ვეჭამე,ეჭამე,ეჭამათ,ვეჭამეთ,ეჭამეთ,ეჭამათ,
IIturm_prfv
,აღმეჭამე,აღმეჭამა,,აღმეჭამეთ,აღმეჭამა,
აღგეჭამე,,აღგეჭამა,აღგეჭამეთ,,აღგეჭამა,
აღვეჭამე,აღეჭამე,აღეჭამა,აღვეჭამეთ,აღეჭამეთ,აღეჭამა,
,აღგვეჭამე,აღგვეჭამა,,აღგვეჭამეთ,აღგვეჭამა,
აღგეჭამეთ,,აღგეჭამათ,აღგეჭამეთ,,აღგეჭამათ,
აღვეჭამე,აღეჭამე,აღეჭამათ,აღვეჭამეთ,აღეჭამეთ,აღეჭამათ,
IIIsubj
,მეჭამო,მეჭამოს,,მეჭამოთ,მეჭამოს,
გეჭამო,,გეჭამოს,გეჭამოთ,,გეჭამოს,
ვეჭამო,ეჭამო,ეჭამოს,ვეჭამოთ,ეჭამოთ,ეჭამოს,
