pres
,გხატავ,ვხატავ,,გხატავთ,ვხატავ,
მხატავ,,ხატავ,გვხატავ,,ხატავ,
მხატავს,გხატავს,ხატავს,გვხატავს,გხატავთ,ხატავს,
,გხატავთ,ვხატავთ,,გხატავთ,ვხატავთ,
მხატავთ,,ხატავთ,გვხატავთ,,ხატავთ,
მხატავენ,გხატავენ,ხატავენ,გვხატავენ,გხატავენ,ხატავენ,
fut
,აღგხატავ,აღვხატავ,,აღგხატავთ,აღვხატავ,
აღმხატავ,,აღხატავ,აღგვხატავ,,აღხატავ,
აღმხატავს,აღგხატავს,აღხატავს,აღგვხატავს,აღგხატავთ,აღხატავს,
,აღგხატავთ,აღვხატავთ,,აღგხატავთ,აღვხატავთ,
აღმხატავთ,,აღხატავთ,აღგვხატავთ,,აღხატავთ,
აღმხატავენ,აღგხატავენ,აღხატავენ,აღგვხატავენ,აღგხატავენ,აღხატავენ,
impf
,გხატავდი,ვხატავდი,,გხატავდით,ვხატავდი,
მხატავდი,,ხატავდი,გვხატავდი,,ხატავდი,
მხატავდა,გხატავდა,ხატავდა,გვხატავდა,გხატავდათ,ხატავდა,
,გხატავდით,ვხატავდით,,გხატავდით,ვხატავდით,
მხატავდით,,ხატავდით,გვხატავდით,,ხატავდით,
მხატავდნენ,გხატავდნენ,ხატავდნენ,გვხატავდნენ,გხატავდნენ,ხატავდნენ,
cond
,აღგხატავდი,აღვხატავდი,,აღგხატავდით,აღვხატავდი,
აღმხატავდი,,აღხატავდი,აღგვხატავდი,,აღხატავდი,
აღმხატავდა,აღგხატავდა,აღხატავდა,აღგვხატავდა,აღგხატავდათ,აღხატავდა,
,აღგხატავდით,აღვხატავდით,,აღგხატავდით,აღვხატავდით,
აღმხატავდით,,აღხატავდით,აღგვხატავდით,,აღხატავდით,
აღმხატავდნენ,აღგხატავდნენ,აღხატავდნენ,აღგვხატავდნენ,აღგხატავდნენ,აღხატავდნენ,
subj
,გხატავდე,ვხატავდე,,გხატავდეთ,ვხატავდე,
მხატავდე,,ხატავდე,გვხატავდე,,ხატავდე,
მხატავდეს,გხატავდეს,ხატავდეს,გვხატავდეს,გხატავდეთ,ხატავდეს,
,გხატავდეთ,ვხატავდეთ,,გხატავდეთ,ვხატავდეთ,
მხატავდეთ,,ხატავდეთ,გვხატავდეთ,,ხატავდეთ,
მხატავდნენ,გხატავდნენ,ხატავდნენ,გვხატავდნენ,გხატავდნენ,ხატავდნენ,
fut_subj
,აღგხატავდე,აღვხატავდე,,აღგხატავდეთ,აღვხატავდე,
აღმხატავდე,,აღხატავდე,აღგვხატავდე,,აღხატავდე,
აღმხატავდეს,აღგხატავდეს,აღხატავდეს,აღგვხატავდეს,აღგხატავდეთ,აღხატავდეს,
,აღგხატავდეთ,აღვხატავდეთ,,აღგხატავდეთ,აღვხატავდეთ,
აღმხატავდეთ,,აღხატავდეთ,აღგვხატავდეთ,,აღხატავდეთ,
აღმხატავდნენ,აღგხატავდნენ,აღხატავდნენ,აღგვხატავდნენ,აღგხატავდნენ,აღხატავდნენ,
aor
,გხატე,ვხატე,,გხატეთ,ვხატე,
მხატე,,ხატე,გვხატე,,ხატე,
მხატა,გხატა,ხატა,გვხატა,გხატათ,ხატა,
,გხატეთ,ვხატეთ,,გხატეთ,ვხატეთ,
მხატეთ,,ხატეთ,გვხატეთ,,ხატეთ,
მხატეს,გხატეს,ხატეს,გვხატეს,გხატეს,ხატეს,
aor_prfv
,აღგხატე,აღვხატე,,აღგხატეთ,აღვხატე,
აღმხატე,,აღხატე,აღგვხატე,,აღხატე,
აღმხატა,აღგხატა,აღხატა,აღგვხატა,აღგხატათ,აღხატა,
,აღგხატეთ,აღვხატეთ,,აღგხატეთ,აღვხატეთ,
აღმხატეთ,,აღხატეთ,აღგვხატეთ,,აღხატეთ,
აღმხატეს,აღგხატეს,აღხატეს,აღგვხატეს,აღგხატეს,აღხატეს,
IIsubj
,გხატო,ვხატო,,გხატოთ,ვხატო,
მხატო,,ხატო,გვხატო,,ხატო,
მხატოს,გხატოს,ხატოს,გვხატოს,გხატოთ,ხატოს,
,გხატოთ,ვხატოთ,,გხატოთ,ვხატოთ,
მხატოთ,,ხატოთ,გვხატოთ,,ხატოთ,
მხატონ,გხატონ,ხატონ,გვხატონ,გხატონ,ხატონ,
IIsubj_prfv
,აღგხატო,აღვხატო,,აღგხატოთ,აღვხატო,
აღმხატო,,აღხატო,აღგვხატო,,აღხატო,
აღმხატოს,აღგხატოს,აღხატოს,აღგვხატოს,აღგხატოთ,აღხატოს,
,აღგხატოთ,აღვხატოთ,,აღგხატოთ,აღვხატოთ,
აღმხატოთ,,აღხატოთ,აღგვხატოთ,,აღხატოთ,
აღმხატონ,აღგხატონ,აღხატონ,აღგვხატონ,აღგხატონ,აღხატონ,
Iturm
,მიხატიხარ,მიხატია,,მიხატიხართ,მიხატია,
გიხატივარ,,გიხატია,გიხატივართ,,გიხატია,
ვუხატივარ,უხატიხარ,უხატია,ვუხატივართ,უხატიხართ,უხატია,
,გვიხატიხარ,გვიხატია,,გვიხატიხართ,გვიხატია,
გიხატივართ,,გიხატიათ,გიხატივართ,,გიხატიათ,
ვუხატივარ,უხატიხარ,უხატიათ,ვუხატივართ,უხატიხართ,უხატიათ,
Iturm_prfv
,აღმიხატიხარ,აღმიხატია,,აღმიხატიხართ,აღმიხატია,
აღგიხატივარ,,აღგიხატია,აღგიხატივართ,,აღგიხატია,
აღვუხატივარ,აღუხატიხარ,აღუხატია,აღვუხატივართ,აღუხატიხართ,აღუხატია,
,აღგვიხატიხარ,აღგვიხატია,,აღგვიხატიხართ,აღგვიხატია,
