fut
,აღგკირკიტებ,აღვკირკიტებ,,აღგკირკიტებთ,აღვკირკიტებ,
აღმკირკიტებ,,აღჰკირკიტებ,აღგვკირკიტებ,,აღჰკირკიტებ,
აღმკირკიტებს,აღგკირკიტებს,აღჰკირკიტებს,აღგვკირკიტებს,აღგკირკიტებთ,აღჰკირკიტებს,
,აღგკირკიტებთ,აღვკირკიტებთ,,აღგკირკიტებთ,აღვკირკიტებთ,
აღმკირკიტებთ,,აღჰკირკიტებთ,აღგვკირკიტებთ,,აღჰკირკიტებთ,
აღმკირკიტებენ,აღგკირკიტებენ,აღჰკირკიტებენ,აღგვკირკიტებენ,აღგკირკიტებენ,აღჰკირკიტებენ,
cond
,აღგკირკიტებდი,აღვკირკიტებდი,,აღგკირკიტებდით,აღვკირკიტებდი,
აღმკირკიტებდი,,აღჰკირკიტებდი,აღგვკირკიტებდი,,აღჰკირკიტებდი,
აღმკირკიტებდა,აღგკირკიტებდა,აღჰკირკიტებდა,აღგვკირკიტებდა,აღგკირკიტებდათ,აღჰკირკიტებდა,
,აღგკირკიტებდით,აღვკირკიტებდით,,აღგკირკიტებდით,აღვკირკიტებდით,
აღმკირკიტებდით,,აღჰკირკიტებდით,აღგვკირკიტებდით,,აღჰკირკიტებდით,
აღმკირკიტებდნენ,აღგკირკიტებდნენ,აღჰკირკიტებდნენ,აღგვკირკიტებდნენ,აღგკირკიტებდნენ,აღჰკირკიტებდნენ,
fut_subj
,აღგკირკიტებდე,აღვკირკიტებდე,,აღგკირკიტებდეთ,აღვკირკიტებდე,
აღმკირკიტებდე,,აღჰკირკიტებდე,აღგვკირკიტებდე,,აღჰკირკიტებდე,
აღმკირკიტებდეს,აღგკირკიტებდეს,აღჰკირკიტებდეს,აღგვკირკიტებდეს,აღგკირკიტებდეთ,აღჰკირკიტებდეს,
,აღგკირკიტებდეთ,აღვკირკიტებდეთ,,აღგკირკიტებდეთ,აღვკირკიტებდეთ,
აღმკირკიტებდეთ,,აღჰკირკიტებდეთ,აღგვკირკიტებდეთ,,აღჰკირკიტებდეთ,
აღმკირკიტებდნენ,აღგკირკიტებდნენ,აღჰკირკიტებდნენ,აღგვკირკიტებდნენ,აღგკირკიტებდნენ,აღჰკირკიტებდნენ,
