fut2
,გადებინებ,ვადებინებ,,გადებინებთ,ვადებინებ,
მადებინებ,,ადებინებ,გვადებინებ,,ადებინებ,
მადებინებს,გადებინებს,ადებინებს,გვადებინებს,გადებინებთ,ადებინებს,
,გადებინებთ,ვადებინებთ,,გადებინებთ,ვადებინებთ,
მადებინებთ,,ადებინებთ,გვადებინებთ,,ადებინებთ,
მადებინებენ,გადებინებენ,ადებინებენ,გვადებინებენ,გადებინებენ,ადებინებენ,
fut2_prfv
,აღმოგადებინებ,აღმოვადებინებ,,აღმოგადებინებთ,აღმოვადებინებ,
აღმომადებინებ,,აღმოადებინებ,აღმოგვადებინებ,,აღმოადებინებ,
აღმომადებინებს,აღმოგადებინებს,აღმოადებინებს,აღმოგვადებინებს,აღმოგადებინებთ,აღმოადებინებს,
,აღმოგადებინებთ,აღმოვადებინებთ,,აღმოგადებინებთ,აღმოვადებინებთ,
აღმომადებინებთ,,აღმოადებინებთ,აღმოგვადებინებთ,,აღმოადებინებთ,
აღმომადებინებენ,აღმოგადებინებენ,აღმოადებინებენ,აღმოგვადებინებენ,აღმოგადებინებენ,აღმოადებინებენ,
cond2
,გადებინებდი,ვადებინებდი,,გადებინებდით,ვადებინებდი,
მადებინებდი,,ადებინებდი,გვადებინებდი,,ადებინებდი,
მადებინებდა,გადებინებდა,ადებინებდა,გვადებინებდა,გადებინებდათ,ადებინებდა,
,გადებინებდით,ვადებინებდით,,გადებინებდით,ვადებინებდით,
მადებინებდით,,ადებინებდით,გვადებინებდით,,ადებინებდით,
მადებინებდნენ,გადებინებდნენ,ადებინებდნენ,გვადებინებდნენ,გადებინებდნენ,ადებინებდნენ,
cond2_prfv
,აღმოგადებინებდი,აღმოვადებინებდი,,აღმოგადებინებდით,აღმოვადებინებდი,
აღმომადებინებდი,,აღმოადებინებდი,აღმოგვადებინებდი,,აღმოადებინებდი,
აღმომადებინებდა,აღმოგადებინებდა,აღმოადებინებდა,აღმოგვადებინებდა,აღმოგადებინებდათ,აღმოადებინებდა,
,აღმოგადებინებდით,აღმოვადებინებდით,,აღმოგადებინებდით,აღმოვადებინებდით,
აღმომადებინებდით,,აღმოადებინებდით,აღმოგვადებინებდით,,აღმოადებინებდით,
აღმომადებინებდნენ,აღმოგადებინებდნენ,აღმოადებინებდნენ,აღმოგვადებინებდნენ,აღმოგადებინებდნენ,აღმოადებინებდნენ,
fut2_subj
,გადებინებდე,ვადებინებდე,,გადებინებდეთ,ვადებინებდე,
მადებინებდე,,ადებინებდე,გვადებინებდე,,ადებინებდე,
მადებინებდეს,გადებინებდეს,ადებინებდეს,გვადებინებდეს,გადებინებდეთ,ადებინებდეს,
,გადებინებდეთ,ვადებინებდეთ,,გადებინებდეთ,ვადებინებდეთ,
მადებინებდეთ,,ადებინებდეთ,გვადებინებდეთ,,ადებინებდეთ,
მადებინებდნენ,გადებინებდნენ,ადებინებდნენ,გვადებინებდნენ,გადებინებდნენ,ადებინებდნენ,
fut2_subj_prfv
,აღმოგადებინებდე,აღმოვადებინებდე,,აღმოგადებინებდეთ,აღმოვადებინებდე,
აღმომადებინებდე,,აღმოადებინებდე,აღმოგვადებინებდე,,აღმოადებინებდე,
აღმომადებინებდეს,აღმოგადებინებდეს,აღმოადებინებდეს,აღმოგვადებინებდეს,აღმოგადებინებდეთ,აღმოადებინებდეს,
,აღმოგადებინებდეთ,აღმოვადებინებდეთ,,აღმოგადებინებდეთ,აღმოვადებინებდეთ,
აღმომადებინებდეთ,,აღმოადებინებდეთ,აღმოგვადებინებდეთ,,აღმოადებინებდეთ,
