fut2
,გარტყამ,ვარტყამ,,გარტყამთ,ვარტყამ,
მარტყამ,,არტყამ,გვარტყამ,,არტყამ,
მარტყამს,გარტყამს,არტყამს,გვარტყამს,გარტყამთ,არტყამს,
,გარტყამთ,ვარტყამთ,,გარტყამთ,ვარტყამთ,
მარტყამთ,,არტყამთ,გვარტყამთ,,არტყამთ,
მარტყამენ,გარტყამენ,არტყამენ,გვარტყამენ,გარტყამენ,არტყამენ,
fut2_prfv
,აღმოგარტყამ,აღმოვარტყამ,,აღმოგარტყამთ,აღმოვარტყამ,
აღმომარტყამ,,აღმოარტყამ,აღმოგვარტყამ,,აღმოარტყამ,
აღმომარტყამს,აღმოგარტყამს,აღმოარტყამს,აღმოგვარტყამს,აღმოგარტყამთ,აღმოარტყამს,
,აღმოგარტყამთ,აღმოვარტყამთ,,აღმოგარტყამთ,აღმოვარტყამთ,
აღმომარტყამთ,,აღმოარტყამთ,აღმოგვარტყამთ,,აღმოარტყამთ,
აღმომარტყამენ,აღმოგარტყამენ,აღმოარტყამენ,აღმოგვარტყამენ,აღმოგარტყამენ,აღმოარტყამენ,
cond2
,გარტყამდი,ვარტყამდი,,გარტყამდით,ვარტყამდი,
მარტყამდი,,არტყამდი,გვარტყამდი,,არტყამდი,
მარტყამდა,გარტყამდა,არტყამდა,გვარტყამდა,გარტყამდათ,არტყამდა,
,გარტყამდით,ვარტყამდით,,გარტყამდით,ვარტყამდით,
მარტყამდით,,არტყამდით,გვარტყამდით,,არტყამდით,
მარტყამდნენ,გარტყამდნენ,არტყამდნენ,გვარტყამდნენ,გარტყამდნენ,არტყამდნენ,
cond2_prfv
,აღმოგარტყამდი,აღმოვარტყამდი,,აღმოგარტყამდით,აღმოვარტყამდი,
აღმომარტყამდი,,აღმოარტყამდი,აღმოგვარტყამდი,,აღმოარტყამდი,
აღმომარტყამდა,აღმოგარტყამდა,აღმოარტყამდა,აღმოგვარტყამდა,აღმოგარტყამდათ,აღმოარტყამდა,
,აღმოგარტყამდით,აღმოვარტყამდით,,აღმოგარტყამდით,აღმოვარტყამდით,
აღმომარტყამდით,,აღმოარტყამდით,აღმოგვარტყამდით,,აღმოარტყამდით,
აღმომარტყამდნენ,აღმოგარტყამდნენ,აღმოარტყამდნენ,აღმოგვარტყამდნენ,აღმოგარტყამდნენ,აღმოარტყამდნენ,
fut2_subj
,გარტყამდე,ვარტყამდე,,გარტყამდეთ,ვარტყამდე,
მარტყამდე,,არტყამდე,გვარტყამდე,,არტყამდე,
მარტყამდეს,გარტყამდეს,არტყამდეს,გვარტყამდეს,გარტყამდეთ,არტყამდეს,
,გარტყამდეთ,ვარტყამდეთ,,გარტყამდეთ,ვარტყამდეთ,
მარტყამდეთ,,არტყამდეთ,გვარტყამდეთ,,არტყამდეთ,
მარტყამდნენ,გარტყამდნენ,არტყამდნენ,გვარტყამდნენ,გარტყამდნენ,არტყამდნენ,
fut2_subj_prfv
,აღმოგარტყამდე,აღმოვარტყამდე,,აღმოგარტყამდეთ,აღმოვარტყამდე,
აღმომარტყამდე,,აღმოარტყამდე,აღმოგვარტყამდე,,აღმოარტყამდე,
აღმომარტყამდეს,აღმოგარტყამდეს,აღმოარტყამდეს,აღმოგვარტყამდეს,აღმოგარტყამდეთ,აღმოარტყამდეს,
,აღმოგარტყამდეთ,აღმოვარტყამდეთ,,აღმოგარტყამდეთ,აღმოვარტყამდეთ,
აღმომარტყამდეთ,,აღმოარტყამდეთ,აღმოგვარტყამდეთ,,აღმოარტყამდეთ,
აღმომარტყამდნენ,აღმოგარტყამდნენ,აღმოარტყამდნენ,აღმოგვარტყამდნენ,აღმოგარტყამდნენ,აღმოარტყამდნენ,
aor2
,გარტყი,ვარტყი,,გარტყით,ვარტყი,
მარტყი,,არტყი,გვარტყი,,არტყი,
მარტყა,გარტყა,არტყა,გვარტყა,გარტყათ,არტყა,
,გარტყით,ვარტყით,,გარტყით,ვარტყით,
მარტყით,,არტყით,გვარტყით,,არტყით,
მარტყეს,გარტყეს,არტყეს,გვარტყეს,გარტყეს,არტყეს,
aor2_prfv
,აღმოგარტყი,აღმოვარტყი,,აღმოგარტყით,აღმოვარტყი,
აღმომარტყი,,აღმოარტყი,აღმოგვარტყი,,აღმოარტყი,
აღმომარტყა,აღმოგარტყა,აღმოარტყა,აღმოგვარტყა,აღმოგარტყათ,აღმოარტყა,
,აღმოგარტყით,აღმოვარტყით,,აღმოგარტყით,აღმოვარტყით,
აღმომარტყით,,აღმოარტყით,აღმოგვარტყით,,აღმოარტყით,
აღმომარტყეს,აღმოგარტყეს,აღმოარტყეს,აღმოგვარტყეს,აღმოგარტყეს,აღმოარტყეს,
IIsubj2
,გარტყა,ვარტყა,,გარტყათ,ვარტყა,
მარტყა,,არტყა,გვარტყა,,არტყა,
მარტყას,გარტყას,არტყას,გვარტყას,გარტყათ,არტყას,
,გარტყათ,ვარტყათ,,გარტყათ,ვარტყათ,
მარტყათ,,არტყათ,გვარტყათ,,არტყათ,
მარტყან,გარტყან,არტყან,გვარტყან,გარტყან,არტყან,
IIsubj2_prfv
,აღმოგარტყა,აღმოვარტყა,,აღმოგარტყათ,აღმოვარტყა,
აღმომარტყა,,აღმოარტყა,აღმოგვარტყა,,აღმოარტყა,
აღმომარტყას,აღმოგარტყას,აღმოარტყას,აღმოგვარტყას,აღმოგარტყათ,აღმოარტყას,
,აღმოგარტყათ,აღმოვარტყათ,,აღმოგარტყათ,აღმოვარტყათ,
აღმომარტყათ,,აღმოარტყათ,აღმოგვარტყათ,,აღმოარტყათ,
აღმომარტყან,აღმოგარტყან,აღმოარტყან,აღმოგვარტყან,აღმოგარტყან,აღმოარტყან,
Iturm
,მირტყიხარ,მირტყია,,მირტყიხართ,მირტყია,
გირტყივარ,,გირტყია,გირტყივართ,,გირტყია,
ვურტყივარ,ურტყიხარ,ურტყია,ვურტყივართ,ურტყიხართ,ურტყია,
,გვირტყიხარ,გვირტყია,,გვირტყიხართ,გვირტყია,
გირტყივართ,,გირტყიათ,გირტყივართ,,გირტყიათ,
ვურტყივარ,ურტყიხარ,ურტყიათ,ვურტყივართ,ურტყიხართ,ურტყიათ,
Iturm_prfv
,აღმომირტყიხარ,აღმომირტყია,,აღმომირტყიხართ,აღმომირტყია,
აღმოგირტყივარ,,აღმოგირტყია,აღმოგირტყივართ,,აღმოგირტყია,
აღმოვურტყივარ,აღმოურტყიხარ,აღმოურტყია,აღმოვურტყივართ,აღმოურტყიხართ,აღმოურტყია,
,აღმოგვირტყიხარ,აღმოგვირტყია,,აღმოგვირტყიხართ,აღმოგვირტყია,
აღმოგირტყივართ,,აღმოგირტყიათ,აღმოგირტყივართ,,აღმოგირტყიათ,
აღმოვურტყივარ,აღმოურტყიხარ,აღმოურტყიათ,აღმოვურტყივართ,აღმოურტყიხართ,აღმოურტყიათ,
Iturm_th
,მირტყამხარ,მირტყამს,,მირტყამხართ,მირტყამს,
გირტყამვარ,,გირტყამს,გირტყამვართ,,გირტყამს,
ვურტყამვარ,ურტყამხარ,ურტყამს,ვურტყამვართ,ურტყამხართ,ურტყამს,
,გვირტყამხარ,გვირტყამს,,გვირტყამხართ,გვირტყამს,
გირტყამვართ,,გირტყამთ,გირტყამვართ,,გირტყამთ,
ვურტყამვარ,ურტყამხარ,ურტყამთ,ვურტყამვართ,ურტყამხართ,ურტყამთ,
Iturm_th_prfv
,აღმომირტყამხარ,აღმომირტყამს,,აღმომირტყამხართ,აღმომირტყამს,
აღმოგირტყამვარ,,აღმოგირტყამს,აღმოგირტყამვართ,,აღმოგირტყამს,
აღმოვურტყამვარ,აღმოურტყამხარ,აღმოურტყამს,აღმოვურტყამვართ,აღმოურტყამხართ,აღმოურტყამს,
,აღმოგვირტყამხარ,აღმოგვირტყამს,,აღმოგვირტყამხართ,აღმოგვირტყამს,
აღმოგირტყამვართ,,აღმოგირტყამთ,აღმოგირტყამვართ,,აღმოგირტყამთ,
