fut2
,გაქებ,ვაქებ,,გაქებთ,ვაქებ,
მაქებ,,აქებ,გვაქებ,,აქებ,
მაქებს,გაქებს,აქებს,გვაქებს,გაქებთ,აქებს,
,გაქებთ,ვაქებთ,,გაქებთ,ვაქებთ,
მაქებთ,,აქებთ,გვაქებთ,,აქებთ,
მაქებენ,გაქებენ,აქებენ,გვაქებენ,გაქებენ,აქებენ,
fut2_prfv
,აღმოგაქებ,აღმოვაქებ,,აღმოგაქებთ,აღმოვაქებ,
აღმომაქებ,,აღმოაქებ,აღმოგვაქებ,,აღმოაქებ,
აღმომაქებს,აღმოგაქებს,აღმოაქებს,აღმოგვაქებს,აღმოგაქებთ,აღმოაქებს,
,აღმოგაქებთ,აღმოვაქებთ,,აღმოგაქებთ,აღმოვაქებთ,
აღმომაქებთ,,აღმოაქებთ,აღმოგვაქებთ,,აღმოაქებთ,
აღმომაქებენ,აღმოგაქებენ,აღმოაქებენ,აღმოგვაქებენ,აღმოგაქებენ,აღმოაქებენ,
cond2
,გაქებდი,ვაქებდი,,გაქებდით,ვაქებდი,
მაქებდი,,აქებდი,გვაქებდი,,აქებდი,
მაქებდა,გაქებდა,აქებდა,გვაქებდა,გაქებდათ,აქებდა,
,გაქებდით,ვაქებდით,,გაქებდით,ვაქებდით,
მაქებდით,,აქებდით,გვაქებდით,,აქებდით,
მაქებდნენ,გაქებდნენ,აქებდნენ,გვაქებდნენ,გაქებდნენ,აქებდნენ,
cond2_prfv
,აღმოგაქებდი,აღმოვაქებდი,,აღმოგაქებდით,აღმოვაქებდი,
აღმომაქებდი,,აღმოაქებდი,აღმოგვაქებდი,,აღმოაქებდი,
აღმომაქებდა,აღმოგაქებდა,აღმოაქებდა,აღმოგვაქებდა,აღმოგაქებდათ,აღმოაქებდა,
,აღმოგაქებდით,აღმოვაქებდით,,აღმოგაქებდით,აღმოვაქებდით,
აღმომაქებდით,,აღმოაქებდით,აღმოგვაქებდით,,აღმოაქებდით,
აღმომაქებდნენ,აღმოგაქებდნენ,აღმოაქებდნენ,აღმოგვაქებდნენ,აღმოგაქებდნენ,აღმოაქებდნენ,
fut2_subj
,გაქებდე,ვაქებდე,,გაქებდეთ,ვაქებდე,
მაქებდე,,აქებდე,გვაქებდე,,აქებდე,
მაქებდეს,გაქებდეს,აქებდეს,გვაქებდეს,გაქებდეთ,აქებდეს,
,გაქებდეთ,ვაქებდეთ,,გაქებდეთ,ვაქებდეთ,
მაქებდეთ,,აქებდეთ,გვაქებდეთ,,აქებდეთ,
მაქებდნენ,გაქებდნენ,აქებდნენ,გვაქებდნენ,გაქებდნენ,აქებდნენ,
fut2_subj_prfv
,აღმოგაქებდე,აღმოვაქებდე,,აღმოგაქებდეთ,აღმოვაქებდე,
აღმომაქებდე,,აღმოაქებდე,აღმოგვაქებდე,,აღმოაქებდე,
აღმომაქებდეს,აღმოგაქებდეს,აღმოაქებდეს,აღმოგვაქებდეს,აღმოგაქებდეთ,აღმოაქებდეს,
,აღმოგაქებდეთ,აღმოვაქებდეთ,,აღმოგაქებდეთ,აღმოვაქებდეთ,
აღმომაქებდეთ,,აღმოაქებდეთ,აღმოგვაქებდეთ,,აღმოაქებდეთ,
აღმომაქებდნენ,აღმოგაქებდნენ,აღმოაქებდნენ,აღმოგვაქებდნენ,აღმოგაქებდნენ,აღმოაქებდნენ,
aor2
,გაქე,ვაქე,,გაქეთ,ვაქე,
მაქე,,აქე,გვაქე,,აქე,
მაქო,გაქო,აქო,გვაქო,გაქოთ,აქო,
,გაქეთ,ვაქეთ,,გაქეთ,ვაქეთ,
მაქეთ,,აქეთ,გვაქეთ,,აქეთ,
მაქეს,გაქეს,აქეს,გვაქეს,გაქეს,აქეს,
aor2_prfv
,აღმოგაქე,აღმოვაქე,,აღმოგაქეთ,აღმოვაქე,
აღმომაქე,,აღმოაქე,აღმოგვაქე,,აღმოაქე,
აღმომაქო,აღმოგაქო,აღმოაქო,აღმოგვაქო,აღმოგაქოთ,აღმოაქო,
,აღმოგაქეთ,აღმოვაქეთ,,აღმოგაქეთ,აღმოვაქეთ,
აღმომაქეთ,,აღმოაქეთ,აღმოგვაქეთ,,აღმოაქეთ,
აღმომაქეს,აღმოგაქეს,აღმოაქეს,აღმოგვაქეს,აღმოგაქეს,აღმოაქეს,
IIsubj2
,გაქო,ვაქო,,გაქოთ,ვაქო,
მაქო,,აქო,გვაქო,,აქო,
მაქოს,გაქოს,აქოს,გვაქოს,გაქოთ,აქოს,
,გაქოთ,ვაქოთ,,გაქოთ,ვაქოთ,
მაქოთ,,აქოთ,გვაქოთ,,აქოთ,
მაქონ,გაქონ,აქონ,გვაქონ,გაქონ,აქონ,
IIsubj2_prfv
,აღმოგაქო,აღმოვაქო,,აღმოგაქოთ,აღმოვაქო,
აღმომაქო,,აღმოაქო,აღმოგვაქო,,აღმოაქო,
აღმომაქოს,აღმოგაქოს,აღმოაქოს,აღმოგვაქოს,აღმოგაქოთ,აღმოაქოს,
,აღმოგაქოთ,აღმოვაქოთ,,აღმოგაქოთ,აღმოვაქოთ,
აღმომაქოთ,,აღმოაქოთ,აღმოგვაქოთ,,აღმოაქოთ,
აღმომაქონ,აღმოგაქონ,აღმოაქონ,აღმოგვაქონ,აღმოგაქონ,აღმოაქონ,
Iturm
,მიქიხარ,მიქია,,მიქიხართ,მიქია,
გიქივარ,,გიქია,გიქივართ,,გიქია,
ვუქივარ,უქიხარ,უქია,ვუქივართ,უქიხართ,უქია,
,გვიქიხარ,გვიქია,,გვიქიხართ,გვიქია,
გიქივართ,,გიქიათ,გიქივართ,,გიქიათ,
ვუქივარ,უქიხარ,უქიათ,ვუქივართ,უქიხართ,უქიათ,
Iturm_prfv
,აღმომიქიხარ,აღმომიქია,,აღმომიქიხართ,აღმომიქია,
აღმოგიქივარ,,აღმოგიქია,აღმოგიქივართ,,აღმოგიქია,
აღმოვუქივარ,აღმოუქიხარ,აღმოუქია,აღმოვუქივართ,აღმოუქიხართ,აღმოუქია,
,აღმოგვიქიხარ,აღმოგვიქია,,აღმოგვიქიხართ,აღმოგვიქია,
აღმოგიქივართ,,აღმოგიქიათ,აღმოგიქივართ,,აღმოგიქიათ,
აღმოვუქივარ,აღმოუქიხარ,აღმოუქიათ,აღმოვუქივართ,აღმოუქიხართ,აღმოუქიათ,
IIturm
,მექე,მექო,,მექეთ,მექოთ,
გექე,,გექო,გექეთ,,გექოთ,
ვექე,ექე,ექო,ვექეთ,ექეთ,ექოთ,
,გვექე,გვექო,,გვექეთ,გვექოთ,
გექეთ,,გექოთ,გექეთ,,გექოთ,
ვექე,ექე,ექოთ,ვექეთ,ექეთ,ექოთთ,
IIturm_prfv
,აღმომექე,აღმომექო,,აღმომექეთ,აღმომექოთ,
აღმოგექე,,აღმოგექო,აღმოგექეთ,,აღმოგექოთ,
აღმოვექე,აღმოექე,აღმოექო,აღმოვექეთ,აღმოექეთ,აღმოექოთ,
,აღმოგვექე,აღმოგვექო,,აღმოგვექეთ,აღმოგვექოთ,
აღმოგექეთ,,აღმოგექოთ,აღმოგექეთ,,აღმოგექოთ,
აღმოვექე,აღმოექე,აღმოექოთ,აღმოვექეთ,აღმოექეთ,აღმოექოთთ,
IIIsubj
,მექო,მექოს,,მექოთ,მექოს,
გექო,,გექოს,გექოთ,,გექოს,
ვექო,ექო,ექოს,ვექოთ,ექოთ,ექოს,
,გვექო,გვექოს,,გვექოთ,გვექოს,
გექოთ,,გექოთ,გექოთ,,გექოთ,
ვექო,ექო,ექოთ,ვექოთ,ექოთ,ექოთ,
IIIsubj_prfv
,აღმომექო,აღმომექოს,,აღმომექოთ,აღმომექოს,
აღმოგექო,,აღმოგექოს,აღმოგექოთ,,აღმოგექოს,
აღმოვექო,აღმოექო,აღმოექოს,აღმოვექოთ,აღმოექოთ,აღმოექოს,
,აღმოგვექო,აღმოგვექოს,,აღმოგვექოთ,აღმოგვექოს,
აღმოგექოთ,,აღმოგექოთ,აღმოგექოთ,,აღმოგექოთ,
აღმოვექო,აღმოექო,აღმოექოთ,აღმოვექოთ,აღმოექოთ,აღმოექოთ,
