fut2
,გაშენებ,ვაშენებ,,გაშენებთ,ვაშენებ,
მაშენებ,,აშენებ,გვაშენებ,,აშენებ,
მაშენებს,გაშენებს,აშენებს,გვაშენებს,გაშენებთ,აშენებს,
,გაშენებთ,ვაშენებთ,,გაშენებთ,ვაშენებთ,
მაშენებთ,,აშენებთ,გვაშენებთ,,აშენებთ,
მაშენებენ,გაშენებენ,აშენებენ,გვაშენებენ,გაშენებენ,აშენებენ,
fut2_prfv
,აღმოგაშენებ,აღმოვაშენებ,,აღმოგაშენებთ,აღმოვაშენებ,
აღმომაშენებ,,აღმოაშენებ,აღმოგვაშენებ,,აღმოაშენებ,
აღმომაშენებს,აღმოგაშენებს,აღმოაშენებს,აღმოგვაშენებს,აღმოგაშენებთ,აღმოაშენებს,
,აღმოგაშენებთ,აღმოვაშენებთ,,აღმოგაშენებთ,აღმოვაშენებთ,
აღმომაშენებთ,,აღმოაშენებთ,აღმოგვაშენებთ,,აღმოაშენებთ,
აღმომაშენებენ,აღმოგაშენებენ,აღმოაშენებენ,აღმოგვაშენებენ,აღმოგაშენებენ,აღმოაშენებენ,
cond2
,გაშენებდი,ვაშენებდი,,გაშენებდით,ვაშენებდი,
მაშენებდი,,აშენებდი,გვაშენებდი,,აშენებდი,
მაშენებდა,გაშენებდა,აშენებდა,გვაშენებდა,გაშენებდათ,აშენებდა,
,გაშენებდით,ვაშენებდით,,გაშენებდით,ვაშენებდით,
მაშენებდით,,აშენებდით,გვაშენებდით,,აშენებდით,
მაშენებდნენ,გაშენებდნენ,აშენებდნენ,გვაშენებდნენ,გაშენებდნენ,აშენებდნენ,
cond2_prfv
,აღმოგაშენებდი,აღმოვაშენებდი,,აღმოგაშენებდით,აღმოვაშენებდი,
აღმომაშენებდი,,აღმოაშენებდი,აღმოგვაშენებდი,,აღმოაშენებდი,
აღმომაშენებდა,აღმოგაშენებდა,აღმოაშენებდა,აღმოგვაშენებდა,აღმოგაშენებდათ,აღმოაშენებდა,
,აღმოგაშენებდით,აღმოვაშენებდით,,აღმოგაშენებდით,აღმოვაშენებდით,
აღმომაშენებდით,,აღმოაშენებდით,აღმოგვაშენებდით,,აღმოაშენებდით,
აღმომაშენებდნენ,აღმოგაშენებდნენ,აღმოაშენებდნენ,აღმოგვაშენებდნენ,აღმოგაშენებდნენ,აღმოაშენებდნენ,
fut2_subj
,გაშენებდე,ვაშენებდე,,გაშენებდეთ,ვაშენებდე,
მაშენებდე,,აშენებდე,გვაშენებდე,,აშენებდე,
მაშენებდეს,გაშენებდეს,აშენებდეს,გვაშენებდეს,გაშენებდეთ,აშენებდეს,
,გაშენებდეთ,ვაშენებდეთ,,გაშენებდეთ,ვაშენებდეთ,
მაშენებდეთ,,აშენებდეთ,გვაშენებდეთ,,აშენებდეთ,
მაშენებდნენ,გაშენებდნენ,აშენებდნენ,გვაშენებდნენ,გაშენებდნენ,აშენებდნენ,
fut2_subj_prfv
,აღმოგაშენებდე,აღმოვაშენებდე,,აღმოგაშენებდეთ,აღმოვაშენებდე,
აღმომაშენებდე,,აღმოაშენებდე,აღმოგვაშენებდე,,აღმოაშენებდე,
აღმომაშენებდეს,აღმოგაშენებდეს,აღმოაშენებდეს,აღმოგვაშენებდეს,აღმოგაშენებდეთ,აღმოაშენებდეს,
,აღმოგაშენებდეთ,აღმოვაშენებდეთ,,აღმოგაშენებდეთ,აღმოვაშენებდეთ,
აღმომაშენებდეთ,,აღმოაშენებდეთ,აღმოგვაშენებდეთ,,აღმოაშენებდეთ,
აღმომაშენებდნენ,აღმოგაშენებდნენ,აღმოაშენებდნენ,აღმოგვაშენებდნენ,აღმოგაშენებდნენ,აღმოაშენებდნენ,
aor2
,გაშენე,ვაშენე,,გაშენეთ,ვაშენე,
მაშენე,,აშენე,გვაშენე,,აშენე,
მაშენა,გაშენა,აშენა,გვაშენა,გაშენათ,აშენა,
,გაშენეთ,ვაშენეთ,,გაშენეთ,ვაშენეთ,
მაშენეთ,,აშენეთ,გვაშენეთ,,აშენეთ,
მაშენეს,გაშენეს,აშენეს,გვაშენეს,გაშენეს,აშენეს,
aor2_prfv
,აღმოგაშენე,აღმოვაშენე,,აღმოგაშენეთ,აღმოვაშენე,
აღმომაშენე,,აღმოაშენე,აღმოგვაშენე,,აღმოაშენე,
აღმომაშენა,აღმოგაშენა,აღმოაშენა,აღმოგვაშენა,აღმოგაშენათ,აღმოაშენა,
,აღმოგაშენეთ,აღმოვაშენეთ,,აღმოგაშენეთ,აღმოვაშენეთ,
აღმომაშენეთ,,აღმოაშენეთ,აღმოგვაშენეთ,,აღმოაშენეთ,
აღმომაშენეს,აღმოგაშენეს,აღმოაშენეს,აღმოგვაშენეს,აღმოგაშენეს,აღმოაშენეს,
IIsubj2
,გაშენო,ვაშენო,,გაშენოთ,ვაშენო,
მაშენო,,აშენო,გვაშენო,,აშენო,
მაშენოს,გაშენოს,აშენოს,გვაშენოს,გაშენოთ,აშენოს,
,გაშენოთ,ვაშენოთ,,გაშენოთ,ვაშენოთ,
მაშენოთ,,აშენოთ,გვაშენოთ,,აშენოთ,
მაშენონ,გაშენონ,აშენონ,გვაშენონ,გაშენონ,აშენონ,
IIsubj2_prfv
,აღმოგაშენო,აღმოვაშენო,,აღმოგაშენოთ,აღმოვაშენო,
აღმომაშენო,,აღმოაშენო,აღმოგვაშენო,,აღმოაშენო,
აღმომაშენოს,აღმოგაშენოს,აღმოაშენოს,აღმოგვაშენოს,აღმოგაშენოთ,აღმოაშენოს,
,აღმოგაშენოთ,აღმოვაშენოთ,,აღმოგაშენოთ,აღმოვაშენოთ,
აღმომაშენოთ,,აღმოაშენოთ,აღმოგვაშენოთ,,აღმოაშენოთ,
აღმომაშენონ,აღმოგაშენონ,აღმოაშენონ,აღმოგვაშენონ,აღმოგაშენონ,აღმოაშენონ,
Iturm
,მიშენებიხარ,მიშენებია,,მიშენებიხართ,მიშენებია,
გიშენებივარ,,გიშენებია,გიშენებივართ,,გიშენებია,
ვუშენებივარ,უშენებიხარ,უშენებია,ვუშენებივართ,უშენებიხართ,უშენებია,
,გვიშენებიხარ,გვიშენებია,,გვიშენებიხართ,გვიშენებია,
გიშენებივართ,,გიშენებიათ,გიშენებივართ,,გიშენებიათ,
ვუშენებივარ,უშენებიხარ,უშენებიათ,ვუშენებივართ,უშენებიხართ,უშენებიათ,
Iturm_prfv
,აღმომიშენებიხარ,აღმომიშენებია,,აღმომიშენებიხართ,აღმომიშენებია,
აღმოგიშენებივარ,,აღმოგიშენებია,აღმოგიშენებივართ,,აღმოგიშენებია,
აღმოვუშენებივარ,აღმოუშენებიხარ,აღმოუშენებია,აღმოვუშენებივართ,აღმოუშენებიხართ,აღმოუშენებია,
,აღმოგვიშენებიხარ,აღმოგვიშენებია,,აღმოგვიშენებიხართ,აღმოგვიშენებია,
აღმოგიშენებივართ,,აღმოგიშენებიათ,აღმოგიშენებივართ,,აღმოგიშენებიათ,
აღმოვუშენებივარ,აღმოუშენებიხარ,აღმოუშენებიათ,აღმოვუშენებივართ,აღმოუშენებიხართ,აღმოუშენებიათ,
IIturm
,მეშენებინე,მეშენებინა,,მეშენებინეთ,მეშენებინა,
გეშენებინე,,გეშენებინა,გეშენებინეთ,,გეშენებინა,
ვეშენებინე,ეშენებინე,ეშენებინა,ვეშენებინეთ,ეშენებინეთ,ეშენებინა,
,გვეშენებინე,გვეშენებინა,,გვეშენებინეთ,გვეშენებინა,
გეშენებინეთ,,გეშენებინათ,გეშენებინეთ,,გეშენებინათ,
ვეშენებინე,ეშენებინე,ეშენებინათ,ვეშენებინეთ,ეშენებინეთ,ეშენებინათ,
IIturm_prfv
,აღმომეშენებინე,აღმომეშენებინა,,აღმომეშენებინეთ,აღმომეშენებინა,
აღმოგეშენებინე,,აღმოგეშენებინა,აღმოგეშენებინეთ,,აღმოგეშენებინა,
აღმოვეშენებინე,აღმოეშენებინე,აღმოეშენებინა,აღმოვეშენებინეთ,აღმოეშენებინეთ,აღმოეშენებინა,
,აღმოგვეშენებინე,აღმოგვეშენებინა,,აღმოგვეშენებინეთ,აღმოგვეშენებინა,
აღმოგეშენებინეთ,,აღმოგეშენებინათ,აღმოგეშენებინეთ,,აღმოგეშენებინათ,
აღმოვეშენებინე,აღმოეშენებინე,აღმოეშენებინათ,აღმოვეშენებინეთ,აღმოეშენებინეთ,აღმოეშენებინათ,
IIIsubj
,მეშენებინო,მეშენებინოს,,მეშენებინოთ,მეშენებინოს,
გეშენებინო,,გეშენებინოს,გეშენებინოთ,,გეშენებინოს,
ვეშენებინო,ეშენებინო,ეშენებინოს,ვეშენებინოთ,ეშენებინოთ,ეშენებინოს,
,გვეშენებინო,გვეშენებინოს,,გვეშენებინოთ,გვეშენებინოს,
გეშენებინოთ,,გეშენებინოთ,გეშენებინოთ,,გეშენებინოთ,
ვეშენებინო,ეშენებინო,ეშენებინოთ,ვეშენებინოთ,ეშენებინოთ,ეშენებინოთ,
IIIsubj_prfv
,აღმომეშენებინო,აღმომეშენებინოს,,აღმომეშენებინოთ,აღმომეშენებინოს,
აღმოგეშენებინო,,აღმოგეშენებინოს,აღმოგეშენებინოთ,,აღმოგეშენებინოს,
აღმოვეშენებინო,აღმოეშენებინო,აღმოეშენებინოს,აღმოვეშენებინოთ,აღმოეშენებინოთ,აღმოეშენებინოს,
,აღმოგვეშენებინო,აღმოგვეშენებინოს,,აღმოგვეშენებინოთ,აღმოგვეშენებინოს,
აღმოგეშენებინოთ,,აღმოგეშენებინოთ,აღმოგეშენებინოთ,,აღმოგეშენებინოთ,
