fut2
,გაჭერ,ვაჭერ,,გაჭერთ,ვაჭერ,
მაჭერ,,აჭერ,გვაჭერ,,აჭერ,
მაჭერს,გაჭერს,აჭერს,გვაჭერს,გაჭერთ,აჭერს,
,გაჭერთ,ვაჭერთ,,გაჭერთ,ვაჭერთ,
მაჭერთ,,აჭერთ,გვაჭერთ,,აჭერთ,
მაჭერენ,გაჭერენ,აჭერენ,გვაჭერენ,გაჭერენ,აჭერენ,
fut2_prfv
,აღმოგაჭერ,აღმოვაჭერ,,აღმოგაჭერთ,აღმოვაჭერ,
აღმომაჭერ,,აღმოაჭერ,აღმოგვაჭერ,,აღმოაჭერ,
აღმომაჭერს,აღმოგაჭერს,აღმოაჭერს,აღმოგვაჭერს,აღმოგაჭერთ,აღმოაჭერს,
,აღმოგაჭერთ,აღმოვაჭერთ,,აღმოგაჭერთ,აღმოვაჭერთ,
აღმომაჭერთ,,აღმოაჭერთ,აღმოგვაჭერთ,,აღმოაჭერთ,
აღმომაჭერენ,აღმოგაჭერენ,აღმოაჭერენ,აღმოგვაჭერენ,აღმოგაჭერენ,აღმოაჭერენ,
cond2
,გაჭერდი,ვაჭერდი,,გაჭერდით,ვაჭერდი,
მაჭერდი,,აჭერდი,გვაჭერდი,,აჭერდი,
მაჭერდა,გაჭერდა,აჭერდა,გვაჭერდა,გაჭერდათ,აჭერდა,
,გაჭერდით,ვაჭერდით,,გაჭერდით,ვაჭერდით,
მაჭერდით,,აჭერდით,გვაჭერდით,,აჭერდით,
მაჭერდნენ,გაჭერდნენ,აჭერდნენ,გვაჭერდნენ,გაჭერდნენ,აჭერდნენ,
cond2_prfv
,აღმოგაჭერდი,აღმოვაჭერდი,,აღმოგაჭერდით,აღმოვაჭერდი,
აღმომაჭერდი,,აღმოაჭერდი,აღმოგვაჭერდი,,აღმოაჭერდი,
აღმომაჭერდა,აღმოგაჭერდა,აღმოაჭერდა,აღმოგვაჭერდა,აღმოგაჭერდათ,აღმოაჭერდა,
,აღმოგაჭერდით,აღმოვაჭერდით,,აღმოგაჭერდით,აღმოვაჭერდით,
აღმომაჭერდით,,აღმოაჭერდით,აღმოგვაჭერდით,,აღმოაჭერდით,
აღმომაჭერდნენ,აღმოგაჭერდნენ,აღმოაჭერდნენ,აღმოგვაჭერდნენ,აღმოგაჭერდნენ,აღმოაჭერდნენ,
fut2_subj
,გაჭერდე,ვაჭერდე,,გაჭერდეთ,ვაჭერდე,
მაჭერდე,,აჭერდე,გვაჭერდე,,აჭერდე,
მაჭერდეს,გაჭერდეს,აჭერდეს,გვაჭერდეს,გაჭერდეთ,აჭერდეს,
,გაჭერდეთ,ვაჭერდეთ,,გაჭერდეთ,ვაჭერდეთ,
მაჭერდეთ,,აჭერდეთ,გვაჭერდეთ,,აჭერდეთ,
მაჭერდნენ,გაჭერდნენ,აჭერდნენ,გვაჭერდნენ,გაჭერდნენ,აჭერდნენ,
fut2_subj_prfv
,აღმოგაჭერდე,აღმოვაჭერდე,,აღმოგაჭერდეთ,აღმოვაჭერდე,
აღმომაჭერდე,,აღმოაჭერდე,აღმოგვაჭერდე,,აღმოაჭერდე,
აღმომაჭერდეს,აღმოგაჭერდეს,აღმოაჭერდეს,აღმოგვაჭერდეს,აღმოგაჭერდეთ,აღმოაჭერდეს,
,აღმოგაჭერდეთ,აღმოვაჭერდეთ,,აღმოგაჭერდეთ,აღმოვაჭერდეთ,
აღმომაჭერდეთ,,აღმოაჭერდეთ,აღმოგვაჭერდეთ,,აღმოაჭერდეთ,
აღმომაჭერდნენ,აღმოგაჭერდნენ,აღმოაჭერდნენ,აღმოგვაჭერდნენ,აღმოგაჭერდნენ,აღმოაჭერდნენ,
aor2
,გაჭირე,ვაჭირე,,გაჭირეთ,ვაჭირე,
მაჭირე,,აჭირე,გვაჭირე,,აჭირე,
მაჭირა,გაჭირა,აჭირა,გვაჭირა,გაჭირათ,აჭირა,
,გაჭირეთ,ვაჭირეთ,,გაჭირეთ,ვაჭირეთ,
მაჭირეთ,,აჭირეთ,გვაჭირეთ,,აჭირეთ,
მაჭირეს,გაჭირეს,აჭირეს,გვაჭირეს,გაჭირეს,აჭირეს,
aor2_prfv
,აღმოგაჭირე,აღმოვაჭირე,,აღმოგაჭირეთ,აღმოვაჭირე,
აღმომაჭირე,,აღმოაჭირე,აღმოგვაჭირე,,აღმოაჭირე,
აღმომაჭირა,აღმოგაჭირა,აღმოაჭირა,აღმოგვაჭირა,აღმოგაჭირათ,აღმოაჭირა,
,აღმოგაჭირეთ,აღმოვაჭირეთ,,აღმოგაჭირეთ,აღმოვაჭირეთ,
აღმომაჭირეთ,,აღმოაჭირეთ,აღმოგვაჭირეთ,,აღმოაჭირეთ,
აღმომაჭირეს,აღმოგაჭირეს,აღმოაჭირეს,აღმოგვაჭირეს,აღმოგაჭირეს,აღმოაჭირეს,
IIsubj2
,გაჭირო,ვაჭირო,,გაჭიროთ,ვაჭირო,
მაჭირო,,აჭირო,გვაჭირო,,აჭირო,
მაჭიროს,გაჭიროს,აჭიროს,გვაჭიროს,გაჭიროთ,აჭიროს,
,გაჭიროთ,ვაჭიროთ,,გაჭიროთ,ვაჭიროთ,
მაჭიროთ,,აჭიროთ,გვაჭიროთ,,აჭიროთ,
მაჭირონ,გაჭირონ,აჭირონ,გვაჭირონ,გაჭირონ,აჭირონ,
IIsubj2_prfv
,აღმოგაჭირო,აღმოვაჭირო,,აღმოგაჭიროთ,აღმოვაჭირო,
აღმომაჭირო,,აღმოაჭირო,აღმოგვაჭირო,,აღმოაჭირო,
აღმომაჭიროს,აღმოგაჭიროს,აღმოაჭიროს,აღმოგვაჭიროს,აღმოგაჭიროთ,აღმოაჭიროს,
,აღმოგაჭიროთ,აღმოვაჭიროთ,,აღმოგაჭიროთ,აღმოვაჭიროთ,
აღმომაჭიროთ,,აღმოაჭიროთ,აღმოგვაჭიროთ,,აღმოაჭიროთ,
აღმომაჭირონ,აღმოგაჭირონ,აღმოაჭირონ,აღმოგვაჭირონ,აღმოგაჭირონ,აღმოაჭირონ,
Iturm
,მიჭერიხარ,მიჭერია,,მიჭერიხართ,მიჭერია,
გიჭერივარ,,გიჭერია,გიჭერივართ,,გიჭერია,
ვუჭერივარ,უჭერიხარ,უჭერია,ვუჭერივართ,უჭერიხართ,უჭერია,
,გვიჭერიხარ,გვიჭერია,,გვიჭერიხართ,გვიჭერია,
გიჭერივართ,,გიჭერიათ,გიჭერივართ,,გიჭერიათ,
ვუჭერივარ,უჭერიხარ,უჭერიათ,ვუჭერივართ,უჭერიხართ,უჭერიათ,
Iturm_prfv
,აღმომიჭერიხარ,აღმომიჭერია,,აღმომიჭერიხართ,აღმომიჭერია,
აღმოგიჭერივარ,,აღმოგიჭერია,აღმოგიჭერივართ,,აღმოგიჭერია,
აღმოვუჭერივარ,აღმოუჭერიხარ,აღმოუჭერია,აღმოვუჭერივართ,აღმოუჭერიხართ,აღმოუჭერია,
,აღმოგვიჭერიხარ,აღმოგვიჭერია,,აღმოგვიჭერიხართ,აღმოგვიჭერია,
აღმოგიჭერივართ,,აღმოგიჭერიათ,აღმოგიჭერივართ,,აღმოგიჭერიათ,
აღმოვუჭერივარ,აღმოუჭერიხარ,აღმოუჭერიათ,აღმოვუჭერივართ,აღმოუჭერიხართ,აღმოუჭერიათ,
IIturm
,მეჭირე,მეჭირა,,მეჭირეთ,მეჭირა,
გეჭირე,,გეჭირა,გეჭირეთ,,გეჭირა,
ვეჭირე,ეჭირე,ეჭირა,ვეჭირეთ,ეჭირეთ,ეჭირა,
,გვეჭირე,გვეჭირა,,გვეჭირეთ,გვეჭირა,
გეჭირეთ,,გეჭირათ,გეჭირეთ,,გეჭირათ,
ვეჭირე,ეჭირე,ეჭირათ,ვეჭირეთ,ეჭირეთ,ეჭირათ,
IIturm_prfv
,აღმომეჭირე,აღმომეჭირა,,აღმომეჭირეთ,აღმომეჭირა,
აღმოგეჭირე,,აღმოგეჭირა,აღმოგეჭირეთ,,აღმოგეჭირა,
აღმოვეჭირე,აღმოეჭირე,აღმოეჭირა,აღმოვეჭირეთ,აღმოეჭირეთ,აღმოეჭირა,
,აღმოგვეჭირე,აღმოგვეჭირა,,აღმოგვეჭირეთ,აღმოგვეჭირა,
აღმოგეჭირეთ,,აღმოგეჭირათ,აღმოგეჭირეთ,,აღმოგეჭირათ,
აღმოვეჭირე,აღმოეჭირე,აღმოეჭირათ,აღმოვეჭირეთ,აღმოეჭირეთ,აღმოეჭირათ,
IIIsubj
,მეჭირო,მეჭიროს,,მეჭიროთ,მეჭიროს,
გეჭირო,,გეჭიროს,გეჭიროთ,,გეჭიროს,
ვეჭირო,ეჭირო,ეჭიროს,ვეჭიროთ,ეჭიროთ,ეჭიროს,
,გვეჭირო,გვეჭიროს,,გვეჭიროთ,გვეჭიროს,
გეჭიროთ,,გეჭიროთ,გეჭიროთ,,გეჭიროთ,
ვეჭირო,ეჭირო,ეჭიროთ,ვეჭიროთ,ეჭიროთ,ეჭიროთ,
IIIsubj_prfv
,აღმომეჭირო,აღმომეჭიროს,,აღმომეჭიროთ,აღმომეჭიროს,
აღმოგეჭირო,,აღმოგეჭიროს,აღმოგეჭიროთ,,აღმოგეჭიროს,
აღმოვეჭირო,აღმოეჭირო,აღმოეჭიროს,აღმოვეჭიროთ,აღმოეჭიროთ,აღმოეჭიროს,
,აღმოგვეჭირო,აღმოგვეჭიროს,,აღმოგვეჭიროთ,აღმოგვეჭიროს,
აღმოგეჭიროთ,,აღმოგეჭიროთ,აღმოგეჭიროთ,,აღმოგეჭიროთ,
აღმოვეჭირო,აღმოეჭირო,აღმოეჭიროთ,აღმოვეჭიროთ,აღმოეჭიროთ,აღმოეჭიროთ,
