fut2
,გეწერები,ვეწერები,,გეწერებით,ვეწერები,
მეწერები,,ეწერები,გვეწერები,,ეწერები,
მეწერება,გეწერება,ეწერება,გვეწერება,გეწერებათ,ეწერება,
,გეწერებით,ვეწერებით,,გეწერებით,ვეწერებით,
მეწერებით,,ეწერებით,გვეწერებით,,ეწერებით,
მეწერებიან,გეწერებიან,ეწერებიან,გვეწერებიან,გეწერებიან,ეწერებიან,
fut2_prfv
,აღმოგეწერები,აღმოვეწერები,,აღმოგეწერებით,აღმოვეწერები,
აღმომეწერები,,აღმოეწერები,აღმოგვეწერები,,აღმოეწერები,
აღმომეწერება,აღმოგეწერება,აღმოეწერება,აღმოგვეწერება,აღმოგეწერებათ,აღმოეწერება,
,აღმოგეწერებით,აღმოვეწერებით,,აღმოგეწერებით,აღმოვეწერებით,
აღმომეწერებით,,აღმოეწერებით,აღმოგვეწერებით,,აღმოეწერებით,
აღმომეწერებიან,აღმოგეწერებიან,აღმოეწერებიან,აღმოგვეწერებიან,აღმოგეწერებიან,აღმოეწერებიან,
cond2
,გეწერებოდი,ვეწერებოდი,,გეწერებოდით,ვეწერებოდი,
მეწერებოდი,,ეწერებოდი,გვეწერებოდი,,ეწერებოდი,
მეწერებოდა,გეწერებოდა,ეწერებოდა,გვეწერებოდა,გეწერებოდათ,ეწერებოდა,
,გეწერებოდით,ვეწერებოდით,,გეწერებოდით,ვეწერებოდით,
მეწერებოდით,,ეწერებოდით,გვეწერებოდით,,ეწერებოდით,
მეწერებოდნენ,გეწერებოდნენ,ეწერებოდნენ,გვეწერებოდნენ,გეწერებოდნენ,ეწერებოდნენ,
cond2_prfv
,აღმოგეწერებოდი,აღმოვეწერებოდი,,აღმოგეწერებოდით,აღმოვეწერებოდი,
აღმომეწერებოდი,,აღმოეწერებოდი,აღმოგვეწერებოდი,,აღმოეწერებოდი,
აღმომეწერებოდა,აღმოგეწერებოდა,აღმოეწერებოდა,აღმოგვეწერებოდა,აღმოგეწერებოდათ,აღმოეწერებოდა,
,აღმოგეწერებოდით,აღმოვეწერებოდით,,აღმოგეწერებოდით,აღმოვეწერებოდით,
აღმომეწერებოდით,,აღმოეწერებოდით,აღმოგვეწერებოდით,,აღმოეწერებოდით,
აღმომეწერებოდნენ,აღმოგეწერებოდნენ,აღმოეწერებოდნენ,აღმოგვეწერებოდნენ,აღმოგეწერებოდნენ,აღმოეწერებოდნენ,
fut2_subj
,გეწერებოდე,ვეწერებოდე,,გეწერებოდეთ,ვეწერებოდე,
მეწერებოდე,,ეწერებოდე,გვეწერებოდე,,ეწერებოდე,
მეწერებოდეს,გეწერებოდეს,ეწერებოდეს,გვეწერებოდეს,გეწერებოდეთ,ეწერებოდეს,
,გეწერებოდეთ,ვეწერებოდეთ,,გეწერებოდეთ,ვეწერებოდეთ,
მეწერებოდეთ,,ეწერებოდეთ,გვეწერებოდეთ,,ეწერებოდეთ,
მეწერებოდნენ,გეწერებოდნენ,ეწერებოდნენ,გვეწერებოდნენ,გეწერებოდნენ,ეწერებოდნენ,
fut2_subj_prfv
,აღმოგეწერებოდე,აღმოვეწერებოდე,,აღმოგეწერებოდეთ,აღმოვეწერებოდე,
აღმომეწერებოდე,,აღმოეწერებოდე,აღმოგვეწერებოდე,,აღმოეწერებოდე,
აღმომეწერებოდეს,აღმოგეწერებოდეს,აღმოეწერებოდეს,აღმოგვეწერებოდეს,აღმოგეწერებოდეთ,აღმოეწერებოდეს,
,აღმოგეწერებოდეთ,აღმოვეწერებოდეთ,,აღმოგეწერებოდეთ,აღმოვეწერებოდეთ,
აღმომეწერებოდეთ,,აღმოეწერებოდეთ,აღმოგვეწერებოდეთ,,აღმოეწერებოდეთ,
აღმომეწერებოდნენ,აღმოგეწერებოდნენ,აღმოეწერებოდნენ,აღმოგვეწერებოდნენ,აღმოგეწერებოდნენ,აღმოეწერებოდნენ,
aor2
