pres
,გზრდი,ვზრდი,,გზრდით,ვზრდი,
მზრდი,,ზრდი,გვზრდი,,ზრდი,
მზრდის,გზრდის,ზრდის,გვზრდის,გზრდით,ზრდის,
,გზრდით,ვზრდით,,გზრდით,ვზრდით,
მზრდით,,ზრდით,გვზრდით,,ზრდით,
მზრდიან,გზრდიან,ზრდიან,გვზრდიან,გზრდიან,ზრდიან,
fut
,აღმოგზრდი,აღმოვზრდი,,აღმოგზრდით,აღმოვზრდი,
აღმომზრდი,,აღმოზრდი,აღმოგვზრდი,,აღმოზრდი,
აღმომზრდის,აღმოგზრდის,აღმოზრდის,აღმოგვზრდის,აღმოგზრდით,აღმოზრდის,
,აღმოგზრდით,აღმოვზრდით,,აღმოგზრდით,აღმოვზრდით,
აღმომზრდით,,აღმოზრდით,აღმოგვზრდით,,აღმოზრდით,
აღმომზრდიან,აღმოგზრდიან,აღმოზრდიან,აღმოგვზრდიან,აღმოგზრდიან,აღმოზრდიან,
impf
,გზრდიდი,ვზრდიდი,,გზრდიდით,ვზრდიდი,
მზრდიდი,,ზრდიდი,გვზრდიდი,,ზრდიდი,
მზრდიდა,გზრდიდა,ზრდიდა,გვზრდიდა,გზრდიდათ,ზრდიდა,
,გზრდიდით,ვზრდიდით,,გზრდიდით,ვზრდიდით,
მზრდიდით,,ზრდიდით,გვზრდიდით,,ზრდიდით,
მზრდიდნენ,გზრდიდნენ,ზრდიდნენ,გვზრდიდნენ,გზრდიდნენ,ზრდიდნენ,
cond
,აღმოგზრდიდი,აღმოვზრდიდი,,აღმოგზრდიდით,აღმოვზრდიდი,
აღმომზრდიდი,,აღმოზრდიდი,აღმოგვზრდიდი,,აღმოზრდიდი,
აღმომზრდიდა,აღმოგზრდიდა,აღმოზრდიდა,აღმოგვზრდიდა,აღმოგზრდიდათ,აღმოზრდიდა,
,აღმოგზრდიდით,აღმოვზრდიდით,,აღმოგზრდიდით,აღმოვზრდიდით,
აღმომზრდიდით,,აღმოზრდიდით,აღმოგვზრდიდით,,აღმოზრდიდით,
აღმომზრდიდნენ,აღმოგზრდიდნენ,აღმოზრდიდნენ,აღმოგვზრდიდნენ,აღმოგზრდიდნენ,აღმოზრდიდნენ,
subj
,გზრდიდე,ვზრდიდე,,გზრდიდეთ,ვზრდიდე,
მზრდიდე,,ზრდიდე,გვზრდიდე,,ზრდიდე,
მზრდიდეს,გზრდიდეს,ზრდიდეს,გვზრდიდეს,გზრდიდეთ,ზრდიდეს,
,გზრდიდეთ,ვზრდიდეთ,,გზრდიდეთ,ვზრდიდეთ,
მზრდიდეთ,,ზრდიდეთ,გვზრდიდეთ,,ზრდიდეთ,
მზრდიდნენ,გზრდიდნენ,ზრდიდნენ,გვზრდიდნენ,გზრდიდნენ,ზრდიდნენ,
fut_subj
,აღმოგზრდიდე,აღმოვზრდიდე,,აღმოგზრდიდეთ,აღმოვზრდიდე,
აღმომზრდიდე,,აღმოზრდიდე,აღმოგვზრდიდე,,აღმოზრდიდე,
აღმომზრდიდეს,აღმოგზრდიდეს,აღმოზრდიდეს,აღმოგვზრდიდეს,აღმოგზრდიდეთ,აღმოზრდიდეს,
,აღმოგზრდიდეთ,აღმოვზრდიდეთ,,აღმოგზრდიდეთ,აღმოვზრდიდეთ,
აღმომზრდიდეთ,,აღმოზრდიდეთ,აღმოგვზრდიდეთ,,აღმოზრდიდეთ,
აღმომზრდიდნენ,აღმოგზრდიდნენ,აღმოზრდიდნენ,აღმოგვზრდიდნენ,აღმოგზრდიდნენ,აღმოზრდიდნენ,
aor
,გზარდე,ვზარდე,,გზარდეთ,ვზარდე,
მზარდე,,ზარდე,გვზარდე,,ზარდე,
მზარდა,გზარდა,ზარდა,გვზარდა,გზარდათ,ზარდა,
,გზარდეთ,ვზარდეთ,,გზარდეთ,ვზარდეთ,
მზარდეთ,,ზარდეთ,გვზარდეთ,,ზარდეთ,
მზარდეს,გზარდეს,ზარდეს,გვზარდეს,გზარდეს,ზარდეს,
aor_prfv
,აღმოგზარდე,აღმოვზარდე,,აღმოგზარდეთ,აღმოვზარდე,
აღმომზარდე,,აღმოზარდე,აღმოგვზარდე,,აღმოზარდე,
აღმომზარდა,აღმოგზარდა,აღმოზარდა,აღმოგვზარდა,აღმოგზარდათ,აღმოზარდა,
,აღმოგზარდეთ,აღმოვზარდეთ,,აღმოგზარდეთ,აღმოვზარდეთ,
აღმომზარდეთ,,აღმოზარდეთ,აღმოგვზარდეთ,,აღმოზარდეთ,
აღმომზარდეს,აღმოგზარდეს,აღმოზარდეს,აღმოგვზარდეს,აღმოგზარდეს,აღმოზარდეს,
IIsubj
,გზარდო,ვზარდო,,გზარდოთ,ვზარდო,
მზარდო,,ზარდო,გვზარდო,,ზარდო,
მზარდოს,გზარდოს,ზარდოს,გვზარდოს,გზარდოთ,ზარდოს,
,გზარდოთ,ვზარდოთ,,გზარდოთ,ვზარდოთ,
მზარდოთ,,ზარდოთ,გვზარდოთ,,ზარდოთ,
მზარდონ,გზარდონ,ზარდონ,გვზარდონ,გზარდონ,ზარდონ,
IIsubj_prfv
,აღმოგზარდო,აღმოვზარდო,,აღმოგზარდოთ,აღმოვზარდო,
აღმომზარდო,,აღმოზარდო,აღმოგვზარდო,,აღმოზარდო,
აღმომზარდოს,აღმოგზარდოს,აღმოზარდოს,აღმოგვზარდოს,აღმოგზარდოთ,აღმოზარდოს,
,აღმოგზარდოთ,აღმოვზარდოთ,,აღმოგზარდოთ,აღმოვზარდოთ,
აღმომზარდოთ,,აღმოზარდოთ,აღმოგვზარდოთ,,აღმოზარდოთ,
აღმომზარდონ,აღმოგზარდონ,აღმოზარდონ,აღმოგვზარდონ,აღმოგზარდონ,აღმოზარდონ,
Iturm
,მიზრდიხარ,მიზრდია,,მიზრდიხართ,მიზრდია,
გიზრდივარ,,გიზრდია,გიზრდივართ,,გიზრდია,
ვუზრდივარ,უზრდიხარ,უზრდია,ვუზრდივართ,უზრდიხართ,უზრდია,
,გვიზრდიხარ,გვიზრდია,,გვიზრდიხართ,გვიზრდია,
გიზრდივართ,,გიზრდიათ,გიზრდივართ,,გიზრდიათ,
ვუზრდივარ,უზრდიხარ,უზრდიათ,ვუზრდივართ,უზრდიხართ,უზრდიათ,
Iturm_prfv
,აღმომიზრდიხარ,აღმომიზრდია,,აღმომიზრდიხართ,აღმომიზრდია,
აღმოგიზრდივარ,,აღმოგიზრდია,აღმოგიზრდივართ,,აღმოგიზრდია,
აღმოვუზრდივარ,აღმოუზრდიხარ,აღმოუზრდია,აღმოვუზრდივართ,აღმოუზრდიხართ,აღმოუზრდია,
,აღმოგვიზრდიხარ,აღმოგვიზრდია,,აღმოგვიზრდიხართ,აღმოგვიზრდია,
აღმოგიზრდივართ,,აღმოგიზრდიათ,აღმოგიზრდივართ,,აღმოგიზრდიათ,
აღმოვუზრდივარ,აღმოუზრდიხარ,აღმოუზრდიათ,აღმოვუზრდივართ,აღმოუზრდიხართ,აღმოუზრდიათ,
IIturm
,მეზარდე,მეზარდა,,მეზარდეთ,მეზარდა,
გეზარდე,,გეზარდა,გეზარდეთ,,გეზარდა,
ვეზარდე,ეზარდე,ეზარდა,ვეზარდეთ,ეზარდეთ,ეზარდა,
,გვეზარდე,გვეზარდა,,გვეზარდეთ,გვეზარდა,
გეზარდეთ,,გეზარდათ,გეზარდეთ,,გეზარდათ,
ვეზარდე,ეზარდე,ეზარდათ,ვეზარდეთ,ეზარდეთ,ეზარდათ,
IIturm_prfv
,აღმომეზარდე,აღმომეზარდა,,აღმომეზარდეთ,აღმომეზარდა,
აღმოგეზარდე,,აღმოგეზარდა,აღმოგეზარდეთ,,აღმოგეზარდა,
აღმოვეზარდე,აღმოეზარდე,აღმოეზარდა,აღმოვეზარდეთ,აღმოეზარდეთ,აღმოეზარდა,
,აღმოგვეზარდე,აღმოგვეზარდა,,აღმოგვეზარდეთ,აღმოგვეზარდა,
აღმოგეზარდეთ,,აღმოგეზარდათ,აღმოგეზარდეთ,,აღმოგეზარდათ,
აღმოვეზარდე,აღმოეზარდე,აღმოეზარდათ,აღმოვეზარდეთ,აღმოეზარდეთ,აღმოეზარდათ,
IIIsubj
,მეზარდო,მეზარდოს,,მეზარდოთ,მეზარდოს,
გეზარდო,,გეზარდოს,გეზარდოთ,,გეზარდოს,
ვეზარდო,ეზარდო,ეზარდოს,ვეზარდოთ,ეზარდოთ,ეზარდოს,
,გვეზარდო,გვეზარდოს,,გვეზარდოთ,გვეზარდოს,
გეზარდოთ,,გეზარდოთ,გეზარდოთ,,გეზარდოთ,
ვეზარდო,ეზარდო,ეზარდოთ,ვეზარდოთ,ეზარდოთ,ეზარდოთ,
IIIsubj_prfv
,აღმომეზარდო,აღმომეზარდოს,,აღმომეზარდოთ,აღმომეზარდოს,
აღმოგეზარდო,,აღმოგეზარდოს,აღმოგეზარდოთ,,აღმოგეზარდოს,
აღმოვეზარდო,აღმოეზარდო,აღმოეზარდოს,აღმოვეზარდოთ,აღმოეზარდოთ,აღმოეზარდოს,
,აღმოგვეზარდო,აღმოგვეზარდოს,,აღმოგვეზარდოთ,აღმოგვეზარდოს,
აღმოგეზარდოთ,,აღმოგეზარდოთ,აღმოგეზარდოთ,,აღმოგეზარდოთ,
აღმოვეზარდო,აღმოეზარდო,აღმოეზარდოთ,აღმოვეზარდოთ,აღმოეზარდოთ,აღმოეზარდოთ,
