fut2
,გინახავ,ვინახავ,,გინახავთ,ვინახავ,
მინახავ,,ინახავ,გვინახავ,,ინახავ,
მინახავს,გინახავს,ინახავს,გვინახავს,გინახავთ,ინახავს,
,გინახავთ,ვინახავთ,,გინახავთ,ვინახავთ,
მინახავთ,,ინახავთ,გვინახავთ,,ინახავთ,
მინახავენ,გინახავენ,ინახავენ,გვინახავენ,გინახავენ,ინახავენ,
fut2_prfv
,აღმოგინახავ,აღმოვინახავ,,აღმოგინახავთ,აღმოვინახავ,
აღმომინახავ,,აღმოინახავ,აღმოგვინახავ,,აღმოინახავ,
აღმომინახავს,აღმოგინახავს,აღმოინახავს,აღმოგვინახავს,აღმოგინახავთ,აღმოინახავს,
,აღმოგინახავთ,აღმოვინახავთ,,აღმოგინახავთ,აღმოვინახავთ,
აღმომინახავთ,,აღმოინახავთ,აღმოგვინახავთ,,აღმოინახავთ,
აღმომინახავენ,აღმოგინახავენ,აღმოინახავენ,აღმოგვინახავენ,აღმოგინახავენ,აღმოინახავენ,
cond2
,გინახავდი,ვინახავდი,,გინახავდით,ვინახავდი,
მინახავდი,,ინახავდი,გვინახავდი,,ინახავდი,
მინახავდა,გინახავდა,ინახავდა,გვინახავდა,გინახავდათ,ინახავდა,
,გინახავდით,ვინახავდით,,გინახავდით,ვინახავდით,
მინახავდით,,ინახავდით,გვინახავდით,,ინახავდით,
მინახავდნენ,გინახავდნენ,ინახავდნენ,გვინახავდნენ,გინახავდნენ,ინახავდნენ,
cond2_prfv
,აღმოგინახავდი,აღმოვინახავდი,,აღმოგინახავდით,აღმოვინახავდი,
აღმომინახავდი,,აღმოინახავდი,აღმოგვინახავდი,,აღმოინახავდი,
აღმომინახავდა,აღმოგინახავდა,აღმოინახავდა,აღმოგვინახავდა,აღმოგინახავდათ,აღმოინახავდა,
,აღმოგინახავდით,აღმოვინახავდით,,აღმოგინახავდით,აღმოვინახავდით,
აღმომინახავდით,,აღმოინახავდით,აღმოგვინახავდით,,აღმოინახავდით,
აღმომინახავდნენ,აღმოგინახავდნენ,აღმოინახავდნენ,აღმოგვინახავდნენ,აღმოგინახავდნენ,აღმოინახავდნენ,
fut2_subj
,გინახავდე,ვინახავდე,,გინახავდეთ,ვინახავდე,
მინახავდე,,ინახავდე,გვინახავდე,,ინახავდე,
მინახავდეს,გინახავდეს,ინახავდეს,გვინახავდეს,გინახავდეთ,ინახავდეს,
,გინახავდეთ,ვინახავდეთ,,გინახავდეთ,ვინახავდეთ,
მინახავდეთ,,ინახავდეთ,გვინახავდეთ,,ინახავდეთ,
მინახავდნენ,გინახავდნენ,ინახავდნენ,გვინახავდნენ,გინახავდნენ,ინახავდნენ,
fut2_subj_prfv
,აღმოგინახავდე,აღმოვინახავდე,,აღმოგინახავდეთ,აღმოვინახავდე,
აღმომინახავდე,,აღმოინახავდე,აღმოგვინახავდე,,აღმოინახავდე,
აღმომინახავდეს,აღმოგინახავდეს,აღმოინახავდეს,აღმოგვინახავდეს,აღმოგინახავდეთ,აღმოინახავდეს,
,აღმოგინახავდეთ,აღმოვინახავდეთ,,აღმოგინახავდეთ,აღმოვინახავდეთ,
აღმომინახავდეთ,,აღმოინახავდეთ,აღმოგვინახავდეთ,,აღმოინახავდეთ,
აღმომინახავდნენ,აღმოგინახავდნენ,აღმოინახავდნენ,აღმოგვინახავდნენ,აღმოგინახავდნენ,აღმოინახავდნენ,
aor2
,გინახე,ვინახე,,გინახეთ,ვინახე,
მინახე,,ინახე,გვინახე,,ინახე,
მინახა,გინახა,ინახა,გვინახა,გინახათ,ინახა,
,გინახეთ,ვინახეთ,,გინახეთ,ვინახეთ,
მინახეთ,,ინახეთ,გვინახეთ,,ინახეთ,
მინახეს,გინახეს,ინახეს,გვინახეს,გინახეს,ინახეს,
aor2_prfv
,აღმოგინახე,აღმოვინახე,,აღმოგინახეთ,აღმოვინახე,
აღმომინახე,,აღმოინახე,აღმოგვინახე,,აღმოინახე,
აღმომინახა,აღმოგინახა,აღმოინახა,აღმოგვინახა,აღმოგინახათ,აღმოინახა,
,აღმოგინახეთ,აღმოვინახეთ,,აღმოგინახეთ,აღმოვინახეთ,
აღმომინახეთ,,აღმოინახეთ,აღმოგვინახეთ,,აღმოინახეთ,
აღმომინახეს,აღმოგინახეს,აღმოინახეს,აღმოგვინახეს,აღმოგინახეს,აღმოინახეს,
IIsubj2
,გინახო,ვინახო,,გინახოთ,ვინახო,
მინახო,,ინახო,გვინახო,,ინახო,
მინახოს,გინახოს,ინახოს,გვინახოს,გინახოთ,ინახოს,
,გინახოთ,ვინახოთ,,გინახოთ,ვინახოთ,
მინახოთ,,ინახოთ,გვინახოთ,,ინახოთ,
მინახონ,გინახონ,ინახონ,გვინახონ,გინახონ,ინახონ,
IIsubj2_prfv
,აღმოგინახო,აღმოვინახო,,აღმოგინახოთ,აღმოვინახო,
აღმომინახო,,აღმოინახო,აღმოგვინახო,,აღმოინახო,
აღმომინახოს,აღმოგინახოს,აღმოინახოს,აღმოგვინახოს,აღმოგინახოთ,აღმოინახოს,
,აღმოგინახოთ,აღმოვინახოთ,,აღმოგინახოთ,აღმოვინახოთ,
აღმომინახოთ,,აღმოინახოთ,აღმოგვინახოთ,,აღმოინახოთ,
აღმომინახონ,აღმოგინახონ,აღმოინახონ,აღმოგვინახონ,აღმოგინახონ,აღმოინახონ,
Iturm
,მინახიხარ,მინახია,,მინახიხართ,მინახია,
გინახივარ,,გინახია,გინახივართ,,გინახია,
ვუნახივარ,უნახიხარ,უნახია,ვუნახივართ,უნახიხართ,უნახია,
,გვინახიხარ,გვინახია,,გვინახიხართ,გვინახია,
გინახივართ,,გინახიათ,გინახივართ,,გინახიათ,
ვუნახივარ,უნახიხარ,უნახიათ,ვუნახივართ,უნახიხართ,უნახიათ,
Iturm_prfv
,აღმომინახიხარ,აღმომინახია,,აღმომინახიხართ,აღმომინახია,
აღმოგინახივარ,,აღმოგინახია,აღმოგინახივართ,,აღმოგინახია,
აღმოვუნახივარ,აღმოუნახიხარ,აღმოუნახია,აღმოვუნახივართ,აღმოუნახიხართ,აღმოუნახია,
,აღმოგვინახიხარ,აღმოგვინახია,,აღმოგვინახიხართ,აღმოგვინახია,
აღმოგინახივართ,,აღმოგინახიათ,აღმოგინახივართ,,აღმოგინახიათ,
აღმოვუნახივარ,აღმოუნახიხარ,აღმოუნახიათ,აღმოვუნახივართ,აღმოუნახიხართ,აღმოუნახიათ,
Iturm_th
,მინახავხარ,მინახავს,,მინახავხართ,მინახავს,
გინახავვარ,,გინახავს,გინახავვართ,,გინახავს,
ვუნახავვარ,უნახავხარ,უნახავს,ვუნახავვართ,უნახავხართ,უნახავს,
,გვინახავხარ,გვინახავს,,გვინახავხართ,გვინახავს,
გინახავვართ,,გინახავთ,გინახავვართ,,გინახავთ,
ვუნახავვარ,უნახავხარ,უნახავთ,ვუნახავვართ,უნახავხართ,უნახავთ,
Iturm_th_prfv
,აღმომინახავხარ,აღმომინახავს,,აღმომინახავხართ,აღმომინახავს,
აღმოგინახავვარ,,აღმოგინახავს,აღმოგინახავვართ,,აღმოგინახავს,
