pres
,გკეცავ,ვკეცავ,,გკეცავთ,ვკეცავ,
მკეცავ,,კეცავ,გვკეცავ,,კეცავ,
მკეცავს,გკეცავს,კეცავს,გვკეცავს,გკეცავთ,კეცავს,
,გკეცავთ,ვკეცავთ,,გკეცავთ,ვკეცავთ,
მკეცავთ,,კეცავთ,გვკეცავთ,,კეცავთ,
მკეცავენ,გკეცავენ,კეცავენ,გვკეცავენ,გკეცავენ,კეცავენ,
fut
,აღმოგკეცავ,აღმოვკეცავ,,აღმოგკეცავთ,აღმოვკეცავ,
აღმომკეცავ,,აღმოკეცავ,აღმოგვკეცავ,,აღმოკეცავ,
აღმომკეცავს,აღმოგკეცავს,აღმოკეცავს,აღმოგვკეცავს,აღმოგკეცავთ,აღმოკეცავს,
,აღმოგკეცავთ,აღმოვკეცავთ,,აღმოგკეცავთ,აღმოვკეცავთ,
აღმომკეცავთ,,აღმოკეცავთ,აღმოგვკეცავთ,,აღმოკეცავთ,
აღმომკეცავენ,აღმოგკეცავენ,აღმოკეცავენ,აღმოგვკეცავენ,აღმოგკეცავენ,აღმოკეცავენ,
impf
,გკეცავდი,ვკეცავდი,,გკეცავდით,ვკეცავდი,
მკეცავდი,,კეცავდი,გვკეცავდი,,კეცავდი,
მკეცავდა,გკეცავდა,კეცავდა,გვკეცავდა,გკეცავდათ,კეცავდა,
,გკეცავდით,ვკეცავდით,,გკეცავდით,ვკეცავდით,
მკეცავდით,,კეცავდით,გვკეცავდით,,კეცავდით,
მკეცავდნენ,გკეცავდნენ,კეცავდნენ,გვკეცავდნენ,გკეცავდნენ,კეცავდნენ,
cond
,აღმოგკეცავდი,აღმოვკეცავდი,,აღმოგკეცავდით,აღმოვკეცავდი,
აღმომკეცავდი,,აღმოკეცავდი,აღმოგვკეცავდი,,აღმოკეცავდი,
აღმომკეცავდა,აღმოგკეცავდა,აღმოკეცავდა,აღმოგვკეცავდა,აღმოგკეცავდათ,აღმოკეცავდა,
,აღმოგკეცავდით,აღმოვკეცავდით,,აღმოგკეცავდით,აღმოვკეცავდით,
აღმომკეცავდით,,აღმოკეცავდით,აღმოგვკეცავდით,,აღმოკეცავდით,
აღმომკეცავდნენ,აღმოგკეცავდნენ,აღმოკეცავდნენ,აღმოგვკეცავდნენ,აღმოგკეცავდნენ,აღმოკეცავდნენ,
subj
,გკეცავდე,ვკეცავდე,,გკეცავდეთ,ვკეცავდე,
მკეცავდე,,კეცავდე,გვკეცავდე,,კეცავდე,
მკეცავდეს,გკეცავდეს,კეცავდეს,გვკეცავდეს,გკეცავდეთ,კეცავდეს,
,გკეცავდეთ,ვკეცავდეთ,,გკეცავდეთ,ვკეცავდეთ,
მკეცავდეთ,,კეცავდეთ,გვკეცავდეთ,,კეცავდეთ,
მკეცავდნენ,გკეცავდნენ,კეცავდნენ,გვკეცავდნენ,გკეცავდნენ,კეცავდნენ,
fut_subj
,აღმოგკეცავდე,აღმოვკეცავდე,,აღმოგკეცავდეთ,აღმოვკეცავდე,
აღმომკეცავდე,,აღმოკეცავდე,აღმოგვკეცავდე,,აღმოკეცავდე,
აღმომკეცავდეს,აღმოგკეცავდეს,აღმოკეცავდეს,აღმოგვკეცავდეს,აღმოგკეცავდეთ,აღმოკეცავდეს,
,აღმოგკეცავდეთ,აღმოვკეცავდეთ,,აღმოგკეცავდეთ,აღმოვკეცავდეთ,
აღმომკეცავდეთ,,აღმოკეცავდეთ,აღმოგვკეცავდეთ,,აღმოკეცავდეთ,
აღმომკეცავდნენ,აღმოგკეცავდნენ,აღმოკეცავდნენ,აღმოგვკეცავდნენ,აღმოგკეცავდნენ,აღმოკეცავდნენ,
aor
,გკეცე,ვკეცე,,გკეცეთ,ვკეცე,
მკეცე,,კეცე,გვკეცე,,კეცე,
მკეცა,გკეცა,კეცა,გვკეცა,გკეცათ,კეცა,
,გკეცეთ,ვკეცეთ,,გკეცეთ,ვკეცეთ,
მკეცეთ,,კეცეთ,გვკეცეთ,,კეცეთ,
მკეცეს,გკეცეს,კეცეს,გვკეცეს,გკეცეს,კეცეს,
aor_prfv
,აღმოგკეცე,აღმოვკეცე,,აღმოგკეცეთ,აღმოვკეცე,
აღმომკეცე,,აღმოკეცე,აღმოგვკეცე,,აღმოკეცე,
აღმომკეცა,აღმოგკეცა,აღმოკეცა,აღმოგვკეცა,აღმოგკეცათ,აღმოკეცა,
,აღმოგკეცეთ,აღმოვკეცეთ,,აღმოგკეცეთ,აღმოვკეცეთ,
აღმომკეცეთ,,აღმოკეცეთ,აღმოგვკეცეთ,,აღმოკეცეთ,
აღმომკეცეს,აღმოგკეცეს,აღმოკეცეს,აღმოგვკეცეს,აღმოგკეცეს,აღმოკეცეს,
IIsubj
,გკეცო,ვკეცო,,გკეცოთ,ვკეცო,
