fut2
,გითმენ,ვუთმენ,,გითმენთ,ვუთმენ,
მითმენ,,უთმენ,გვითმენ,,უთმენ,
მითმენს,გითმენს,უთმენს,გვითმენს,გითმენთ,უთმენს,
,გითმენთ,ვუთმენთ,,გითმენთ,ვუთმენთ,
მითმენთ,,უთმენთ,გვითმენთ,,უთმენთ,
მითმენენ,გითმენენ,უთმენენ,გვითმენენ,გითმენენ,უთმენენ,
fut2_prfv
,აღმოგითმენ,აღმოვუთმენ,,აღმოგითმენთ,აღმოვუთმენ,
აღმომითმენ,,აღმოუთმენ,აღმოგვითმენ,,აღმოუთმენ,
აღმომითმენს,აღმოგითმენს,აღმოუთმენს,აღმოგვითმენს,აღმოგითმენთ,აღმოუთმენს,
,აღმოგითმენთ,აღმოვუთმენთ,,აღმოგითმენთ,აღმოვუთმენთ,
აღმომითმენთ,,აღმოუთმენთ,აღმოგვითმენთ,,აღმოუთმენთ,
აღმომითმენენ,აღმოგითმენენ,აღმოუთმენენ,აღმოგვითმენენ,აღმოგითმენენ,აღმოუთმენენ,
cond2
,გითმენდი,ვუთმენდი,,გითმენდით,ვუთმენდი,
მითმენდი,,უთმენდი,გვითმენდი,,უთმენდი,
მითმენდა,გითმენდა,უთმენდა,გვითმენდა,გითმენდათ,უთმენდა,
,გითმენდით,ვუთმენდით,,გითმენდით,ვუთმენდით,
მითმენდით,,უთმენდით,გვითმენდით,,უთმენდით,
მითმენდნენ,გითმენდნენ,უთმენდნენ,გვითმენდნენ,გითმენდნენ,უთმენდნენ,
cond2_prfv
,აღმოგითმენდი,აღმოვუთმენდი,,აღმოგითმენდით,აღმოვუთმენდი,
აღმომითმენდი,,აღმოუთმენდი,აღმოგვითმენდი,,აღმოუთმენდი,
აღმომითმენდა,აღმოგითმენდა,აღმოუთმენდა,აღმოგვითმენდა,აღმოგითმენდათ,აღმოუთმენდა,
,აღმოგითმენდით,აღმოვუთმენდით,,აღმოგითმენდით,აღმოვუთმენდით,
აღმომითმენდით,,აღმოუთმენდით,აღმოგვითმენდით,,აღმოუთმენდით,
აღმომითმენდნენ,აღმოგითმენდნენ,აღმოუთმენდნენ,აღმოგვითმენდნენ,აღმოგითმენდნენ,აღმოუთმენდნენ,
fut2_subj
,გითმენდე,ვუთმენდე,,გითმენდეთ,ვუთმენდე,
მითმენდე,,უთმენდე,გვითმენდე,,უთმენდე,
მითმენდეს,გითმენდეს,უთმენდეს,გვითმენდეს,გითმენდეთ,უთმენდეს,
,გითმენდეთ,ვუთმენდეთ,,გითმენდეთ,ვუთმენდეთ,
მითმენდეთ,,უთმენდეთ,გვითმენდეთ,,უთმენდეთ,
მითმენდნენ,გითმენდნენ,უთმენდნენ,გვითმენდნენ,გითმენდნენ,უთმენდნენ,
fut2_subj_prfv
,აღმოგითმენდე,აღმოვუთმენდე,,აღმოგითმენდეთ,აღმოვუთმენდე,
აღმომითმენდე,,აღმოუთმენდე,აღმოგვითმენდე,,აღმოუთმენდე,
აღმომითმენდეს,აღმოგითმენდეს,აღმოუთმენდეს,აღმოგვითმენდეს,აღმოგითმენდეთ,აღმოუთმენდეს,
,აღმოგითმენდეთ,აღმოვუთმენდეთ,,აღმოგითმენდეთ,აღმოვუთმენდეთ,
აღმომითმენდეთ,,აღმოუთმენდეთ,აღმოგვითმენდეთ,,აღმოუთმენდეთ,
აღმომითმენდნენ,აღმოგითმენდნენ,აღმოუთმენდნენ,აღმოგვითმენდნენ,აღმოგითმენდნენ,აღმოუთმენდნენ,
aor2
,გითმინე,ვუთმინე,,გითმინეთ,ვუთმინე,
მითმინე,,უთმინე,გვითმინე,,უთმინე,
მითმინა,გითმინა,უთმინა,გვითმინა,გითმინათ,უთმინა,
,გითმინეთ,ვუთმინეთ,,გითმინეთ,ვუთმინეთ,
მითმინეთ,,უთმინეთ,გვითმინეთ,,უთმინეთ,
მითმინეს,გითმინეს,უთმინეს,გვითმინეს,გითმინეს,უთმინეს,
aor2_prfv
,აღმოგითმინე,აღმოვუთმინე,,აღმოგითმინეთ,აღმოვუთმინე,
აღმომითმინე,,აღმოუთმინე,აღმოგვითმინე,,აღმოუთმინე,
აღმომითმინა,აღმოგითმინა,აღმოუთმინა,აღმოგვითმინა,აღმოგითმინათ,აღმოუთმინა,
,აღმოგითმინეთ,აღმოვუთმინეთ,,აღმოგითმინეთ,აღმოვუთმინეთ,
აღმომითმინეთ,,აღმოუთმინეთ,აღმოგვითმინეთ,,აღმოუთმინეთ,
აღმომითმინეს,აღმოგითმინეს,აღმოუთმინეს,აღმოგვითმინეს,აღმოგითმინეს,აღმოუთმინეს,
IIsubj2
,გითმინო,ვუთმინო,,გითმინოთ,ვუთმინო,
მითმინო,,უთმინო,გვითმინო,,უთმინო,
მითმინოს,გითმინოს,უთმინოს,გვითმინოს,გითმინოთ,უთმინოს,
,გითმინოთ,ვუთმინოთ,,გითმინოთ,ვუთმინოთ,
მითმინოთ,,უთმინოთ,გვითმინოთ,,უთმინოთ,
მითმინონ,გითმინონ,უთმინონ,გვითმინონ,გითმინონ,უთმინონ,
IIsubj2_prfv
,აღმოგითმინო,აღმოვუთმინო,,აღმოგითმინოთ,აღმოვუთმინო,
აღმომითმინო,,აღმოუთმინო,აღმოგვითმინო,,აღმოუთმინო,
აღმომითმინოს,აღმოგითმინოს,აღმოუთმინოს,აღმოგვითმინოს,აღმოგითმინოთ,აღმოუთმინოს,
