pres
,გჩქმეტ,ვჩქმეტ,,გჩქმეტთ,ვჩქმეტ,
მჩქმეტ,,ჩქმეტ,გვჩქმეტ,,ჩქმეტ,
მჩქმეტს,გჩქმეტს,ჩქმეტს,გვჩქმეტს,გჩქმეტთ,ჩქმეტს,
,გჩქმეტთ,ვჩქმეტთ,,გჩქმეტთ,ვჩქმეტთ,
მჩქმეტთ,,ჩქმეტთ,გვჩქმეტთ,,ჩქმეტთ,
მჩქმეტენ,გჩქმეტენ,ჩქმეტენ,გვჩქმეტენ,გჩქმეტენ,ჩქმეტენ,
fut
,აღმოგჩქმეტ,აღმოვჩქმეტ,,აღმოგჩქმეტთ,აღმოვჩქმეტ,
აღმომჩქმეტ,,აღმოჩქმეტ,აღმოგვჩქმეტ,,აღმოჩქმეტ,
აღმომჩქმეტს,აღმოგჩქმეტს,აღმოჩქმეტს,აღმოგვჩქმეტს,აღმოგჩქმეტთ,აღმოჩქმეტს,
,აღმოგჩქმეტთ,აღმოვჩქმეტთ,,აღმოგჩქმეტთ,აღმოვჩქმეტთ,
აღმომჩქმეტთ,,აღმოჩქმეტთ,აღმოგვჩქმეტთ,,აღმოჩქმეტთ,
აღმომჩქმეტენ,აღმოგჩქმეტენ,აღმოჩქმეტენ,აღმოგვჩქმეტენ,აღმოგჩქმეტენ,აღმოჩქმეტენ,
fut2
,გიჩქმეტ,ვუჩქმეტ,,გიჩქმეტთ,ვუჩქმეტ,
მიჩქმეტ,,უჩქმეტ,გვიჩქმეტ,,უჩქმეტ,
მიჩქმეტს,გიჩქმეტს,უჩქმეტს,გვიჩქმეტს,გიჩქმეტთ,უჩქმეტს,
,გიჩქმეტთ,ვუჩქმეტთ,,გიჩქმეტთ,ვუჩქმეტთ,
მიჩქმეტთ,,უჩქმეტთ,გვიჩქმეტთ,,უჩქმეტთ,
მიჩქმეტენ,გიჩქმეტენ,უჩქმეტენ,გვიჩქმეტენ,გიჩქმეტენ,უჩქმეტენ,
impf
,გჩქმეტდი,ვჩქმეტდი,,გჩქმეტდით,ვჩქმეტდი,
მჩქმეტდი,,ჩქმეტდი,გვჩქმეტდი,,ჩქმეტდი,
მჩქმეტდა,გჩქმეტდა,ჩქმეტდა,გვჩქმეტდა,გჩქმეტდათ,ჩქმეტდა,
,გჩქმეტდით,ვჩქმეტდით,,გჩქმეტდით,ვჩქმეტდით,
მჩქმეტდით,,ჩქმეტდით,გვჩქმეტდით,,ჩქმეტდით,
მჩქმეტდნენ,გჩქმეტდნენ,ჩქმეტდნენ,გვჩქმეტდნენ,გჩქმეტდნენ,ჩქმეტდნენ,
cond
,აღმოგჩქმეტდი,აღმოვჩქმეტდი,,აღმოგჩქმეტდით,აღმოვჩქმეტდი,
აღმომჩქმეტდი,,აღმოჩქმეტდი,აღმოგვჩქმეტდი,,აღმოჩქმეტდი,
აღმომჩქმეტდა,აღმოგჩქმეტდა,აღმოჩქმეტდა,აღმოგვჩქმეტდა,აღმოგჩქმეტდათ,აღმოჩქმეტდა,
,აღმოგჩქმეტდით,აღმოვჩქმეტდით,,აღმოგჩქმეტდით,აღმოვჩქმეტდით,
აღმომჩქმეტდით,,აღმოჩქმეტდით,აღმოგვჩქმეტდით,,აღმოჩქმეტდით,
აღმომჩქმეტდნენ,აღმოგჩქმეტდნენ,აღმოჩქმეტდნენ,აღმოგვჩქმეტდნენ,აღმოგჩქმეტდნენ,აღმოჩქმეტდნენ,
cond2
,გიჩქმეტდი,ვუჩქმეტდი,,გიჩქმეტდით,ვუჩქმეტდი,
მიჩქმეტდი,,უჩქმეტდი,გვიჩქმეტდი,,უჩქმეტდი,
მიჩქმეტდა,გიჩქმეტდა,უჩქმეტდა,გვიჩქმეტდა,გიჩქმეტდათ,უჩქმეტდა,
,გიჩქმეტდით,ვუჩქმეტდით,,გიჩქმეტდით,ვუჩქმეტდით,
მიჩქმეტდით,,უჩქმეტდით,გვიჩქმეტდით,,უჩქმეტდით,
