pres
,გცრი,ვცრი,,გცრით,ვცრი,
მცრი,,ცრი,გვცრი,,ცრი,
მცრის,გცრის,ცრის,გვცრის,გცრით,ცრის,
,გცრით,ვცრით,,გცრით,ვცრით,
მცრით,,ცრით,გვცრით,,ცრით,
მცრიან,გცრიან,ცრიან,გვცრიან,გცრიან,ცრიან,
fut
,აღმოგცრი,აღმოვცრი,,აღმოგცრით,აღმოვცრი,
აღმომცრი,,აღმოცრი,აღმოგვცრი,,აღმოცრი,
აღმომცრის,აღმოგცრის,აღმოცრის,აღმოგვცრის,აღმოგცრით,აღმოცრის,
,აღმოგცრით,აღმოვცრით,,აღმოგცრით,აღმოვცრით,
აღმომცრით,,აღმოცრით,აღმოგვცრით,,აღმოცრით,
აღმომცრიან,აღმოგცრიან,აღმოცრიან,აღმოგვცრიან,აღმოგცრიან,აღმოცრიან,
impf
,გცრიდი,ვცრიდი,,გცრიდით,ვცრიდი,
მცრიდი,,ცრიდი,გვცრიდი,,ცრიდი,
მცრიდა,გცრიდა,ცრიდა,გვცრიდა,გცრიდათ,ცრიდა,
,გცრიდით,ვცრიდით,,გცრიდით,ვცრიდით,
მცრიდით,,ცრიდით,გვცრიდით,,ცრიდით,
მცრიდნენ,გცრიდნენ,ცრიდნენ,გვცრიდნენ,გცრიდნენ,ცრიდნენ,
cond
,აღმოგცრიდი,აღმოვცრიდი,,აღმოგცრიდით,აღმოვცრიდი,
აღმომცრიდი,,აღმოცრიდი,აღმოგვცრიდი,,აღმოცრიდი,
აღმომცრიდა,აღმოგცრიდა,აღმოცრიდა,აღმოგვცრიდა,აღმოგცრიდათ,აღმოცრიდა,
,აღმოგცრიდით,აღმოვცრიდით,,აღმოგცრიდით,აღმოვცრიდით,
აღმომცრიდით,,აღმოცრიდით,აღმოგვცრიდით,,აღმოცრიდით,
აღმომცრიდნენ,აღმოგცრიდნენ,აღმოცრიდნენ,აღმოგვცრიდნენ,აღმოგცრიდნენ,აღმოცრიდნენ,
subj
,გცრიდე,ვცრიდე,,გცრიდეთ,ვცრიდე,
მცრიდე,,ცრიდე,გვცრიდე,,ცრიდე,
მცრიდეს,გცრიდეს,ცრიდეს,გვცრიდეს,გცრიდეთ,ცრიდეს,
,გცრიდეთ,ვცრიდეთ,,გცრიდეთ,ვცრიდეთ,
მცრიდეთ,,ცრიდეთ,გვცრიდეთ,,ცრიდეთ,
მცრიდნენ,გცრიდნენ,ცრიდნენ,გვცრიდნენ,გცრიდნენ,ცრიდნენ,
fut_subj
,აღმოგცრიდე,აღმოვცრიდე,,აღმოგცრიდეთ,აღმოვცრიდე,
აღმომცრიდე,,აღმოცრიდე,აღმოგვცრიდე,,აღმოცრიდე,
აღმომცრიდეს,აღმოგცრიდეს,აღმოცრიდეს,აღმოგვცრიდეს,აღმოგცრიდეთ,აღმოცრიდეს,
,აღმოგცრიდეთ,აღმოვცრიდეთ,,აღმოგცრიდეთ,აღმოვცრიდეთ,
აღმომცრიდეთ,,აღმოცრიდეთ,აღმოგვცრიდეთ,,აღმოცრიდეთ,
აღმომცრიდნენ,აღმოგცრიდნენ,აღმოცრიდნენ,აღმოგვცრიდნენ,აღმოგცრიდნენ,აღმოცრიდნენ,
aor
,გცერი,ვცერი,,გცერით,ვცერი,
მცერი,,ცერი,გვცერი,,ცერი,
მცრა,გცრა,ცრა,გვცრა,გცრათ,ცრა,
,გცერით,ვცერით,,გცერით,ვცერით,
მცერით,,ცერით,გვცერით,,ცერით,
მცრეს,გცრეს,ცრეს,გვცრეს,გცრეს,ცრეს,
aor_prfv
,აღმოგცერი,აღმოვცერი,,აღმოგცერით,აღმოვცერი,
აღმომცერი,,აღმოცერი,აღმოგვცერი,,აღმოცერი,
აღმომცრა,აღმოგცრა,აღმოცრა,აღმოგვცრა,აღმოგცრათ,აღმოცრა,
,აღმოგცერით,აღმოვცერით,,აღმოგცერით,აღმოვცერით,
აღმომცერით,,აღმოცერით,აღმოგვცერით,,აღმოცერით,
აღმომცრეს,აღმოგცრეს,აღმოცრეს,აღმოგვცრეს,აღმოგცრეს,აღმოცრეს,
IIsubj
,გცრა,ვცრა,,გცრათ,ვცრა,
მცრა,,ცრა,გვცრა,,ცრა,
მცრას,გცრას,ცრას,გვცრას,გცრათ,ცრას,
,გცრათ,ვცრათ,,გცრათ,ვცრათ,
მცრათ,,ცრათ,გვცრათ,,ცრათ,
მცრან,გცრან,ცრან,გვცრან,გცრან,ცრან,
IIsubj_prfv
,აღმოგცრა,აღმოვცრა,,აღმოგცრათ,აღმოვცრა,
აღმომცრა,,აღმოცრა,აღმოგვცრა,,აღმოცრა,
აღმომცრას,აღმოგცრას,აღმოცრას,აღმოგვცრას,აღმოგცრათ,აღმოცრას,
,აღმოგცრათ,აღმოვცრათ,,აღმოგცრათ,აღმოვცრათ,
აღმომცრათ,,აღმოცრათ,აღმოგვცრათ,,აღმოცრათ,
აღმომცრან,აღმოგცრან,აღმოცრან,აღმოგვცრან,აღმოგცრან,აღმოცრან,
Iturm
,მიცრიხარ,მიცრია,,მიცრიხართ,მიცრია,
გიცრივარ,,გიცრია,გიცრივართ,,გიცრია,
ვუცრივარ,უცრიხარ,უცრია,ვუცრივართ,უცრიხართ,უცრია,
,გვიცრიხარ,გვიცრია,,გვიცრიხართ,გვიცრია,
გიცრივართ,,გიცრიათ,გიცრივართ,,გიცრიათ,
ვუცრივარ,უცრიხარ,უცრიათ,ვუცრივართ,უცრიხართ,უცრიათ,
Iturm_prfv
,აღმომიცრიხარ,აღმომიცრია,,აღმომიცრიხართ,აღმომიცრია,
აღმოგიცრივარ,,აღმოგიცრია,აღმოგიცრივართ,,აღმოგიცრია,
აღმოვუცრივარ,აღმოუცრიხარ,აღმოუცრია,აღმოვუცრივართ,აღმოუცრიხართ,აღმოუცრია,
,აღმოგვიცრიხარ,აღმოგვიცრია,,აღმოგვიცრიხართ,აღმოგვიცრია,
აღმოგიცრივართ,,აღმოგიცრიათ,აღმოგიცრივართ,,აღმოგიცრიათ,
აღმოვუცრივარ,აღმოუცრიხარ,აღმოუცრიათ,აღმოვუცრივართ,აღმოუცრიხართ,აღმოუცრიათ,
IIturm
,მეცერი,მეცრა,,მეცერით,მეცრა,
გეცერი,,გეცრა,გეცერით,,გეცრა,
ვეცერი,ეცერი,ეცრა,ვეცერით,ეცერით,ეცრა,
,გვეცერი,გვეცრა,,გვეცერით,გვეცრა,
გეცერით,,გეცრათ,გეცერით,,გეცრათ,
ვეცერი,ეცერი,ეცრათ,ვეცერით,ეცერით,ეცრათ,
IIturm_prfv
,აღმომეცერი,აღმომეცრა,,აღმომეცერით,აღმომეცრა,
აღმოგეცერი,,აღმოგეცრა,აღმოგეცერით,,აღმოგეცრა,
აღმოვეცერი,აღმოეცერი,აღმოეცრა,აღმოვეცერით,აღმოეცერით,აღმოეცრა,
,აღმოგვეცერი,აღმოგვეცრა,,აღმოგვეცერით,აღმოგვეცრა,
აღმოგეცერით,,აღმოგეცრათ,აღმოგეცერით,,აღმოგეცრათ,
აღმოვეცერი,აღმოეცერი,აღმოეცრათ,აღმოვეცერით,აღმოეცერით,აღმოეცრათ,
IIIsubj
,მეცრა,მეცრას,,მეცრათ,მეცრას,
გეცრა,,გეცრას,გეცრათ,,გეცრას,
ვეცრა,ეცრა,ეცრას,ვეცრათ,ეცრათ,ეცრას,
,გვეცრა,გვეცრას,,გვეცრათ,გვეცრას,
გეცრათ,,გეცრათ,გეცრათ,,გეცრათ,
ვეცრა,ეცრა,ეცრათ,ვეცრათ,ეცრათ,ეცრათ,
IIIsubj_prfv
,აღმომეცრა,აღმომეცრას,,აღმომეცრათ,აღმომეცრას,
აღმოგეცრა,,აღმოგეცრას,აღმოგეცრათ,,აღმოგეცრას,
აღმოვეცრა,აღმოეცრა,აღმოეცრას,აღმოვეცრათ,აღმოეცრათ,აღმოეცრას,
,აღმოგვეცრა,აღმოგვეცრას,,აღმოგვეცრათ,აღმოგვეცრას,
აღმოგეცრათ,,აღმოგეცრათ,აღმოგეცრათ,,აღმოგეცრათ,
აღმოვეცრა,აღმოეცრა,აღმოეცრათ,აღმოვეცრათ,აღმოეცრათ,აღმოეცრათ,
