pres
,გწერ,ვწერ,,გწერთ,ვწერ,
მწერ,,წერ,გვწერ,,წერ,
მწერს,გწერს,წერს,გვწერს,გწერთ,წერს,
,გწერთ,ვწერთ,,გწერთ,ვწერთ,
მწერთ,,წერთ,გვწერთ,,წერთ,
მწერენ,გწერენ,წერენ,გვწერენ,გწერენ,წერენ,
fut
,აღმოგწერ,აღმოვწერ,,აღმოგწერთ,აღმოვწერ,
აღმომწერ,,აღმოწერ,აღმოგვწერ,,აღმოწერ,
აღმომწერს,აღმოგწერს,აღმოწერს,აღმოგვწერს,აღმოგწერთ,აღმოწერს,
,აღმოგწერთ,აღმოვწერთ,,აღმოგწერთ,აღმოვწერთ,
აღმომწერთ,,აღმოწერთ,აღმოგვწერთ,,აღმოწერთ,
აღმომწერენ,აღმოგწერენ,აღმოწერენ,აღმოგვწერენ,აღმოგწერენ,აღმოწერენ,
impf
,გწერდი,ვწერდი,,გწერდით,ვწერდი,
მწერდი,,წერდი,გვწერდი,,წერდი,
მწერდა,გწერდა,წერდა,გვწერდა,გწერდათ,წერდა,
,გწერდით,ვწერდით,,გწერდით,ვწერდით,
მწერდით,,წერდით,გვწერდით,,წერდით,
მწერდნენ,გწერდნენ,წერდნენ,გვწერდნენ,გწერდნენ,წერდნენ,
cond
,აღმოგწერდი,აღმოვწერდი,,აღმოგწერდით,აღმოვწერდი,
აღმომწერდი,,აღმოწერდი,აღმოგვწერდი,,აღმოწერდი,
აღმომწერდა,აღმოგწერდა,აღმოწერდა,აღმოგვწერდა,აღმოგწერდათ,აღმოწერდა,
,აღმოგწერდით,აღმოვწერდით,,აღმოგწერდით,აღმოვწერდით,
აღმომწერდით,,აღმოწერდით,აღმოგვწერდით,,აღმოწერდით,
აღმომწერდნენ,აღმოგწერდნენ,აღმოწერდნენ,აღმოგვწერდნენ,აღმოგწერდნენ,აღმოწერდნენ,
subj
,გწერდე,ვწერდე,,გწერდეთ,ვწერდე,
მწერდე,,წერდე,გვწერდე,,წერდე,
მწერდეს,გწერდეს,წერდეს,გვწერდეს,გწერდეთ,წერდეს,
,გწერდეთ,ვწერდეთ,,გწერდეთ,ვწერდეთ,
მწერდეთ,,წერდეთ,გვწერდეთ,,წერდეთ,
მწერდნენ,გწერდნენ,წერდნენ,გვწერდნენ,გწერდნენ,წერდნენ,
fut_subj
,აღმოგწერდე,აღმოვწერდე,,აღმოგწერდეთ,აღმოვწერდე,
აღმომწერდე,,აღმოწერდე,აღმოგვწერდე,,აღმოწერდე,
აღმომწერდეს,აღმოგწერდეს,აღმოწერდეს,აღმოგვწერდეს,აღმოგწერდეთ,აღმოწერდეს,
,აღმოგწერდეთ,აღმოვწერდეთ,,აღმოგწერდეთ,აღმოვწერდეთ,
აღმომწერდეთ,,აღმოწერდეთ,აღმოგვწერდეთ,,აღმოწერდეთ,
აღმომწერდნენ,აღმოგწერდნენ,აღმოწერდნენ,აღმოგვწერდნენ,აღმოგწერდნენ,აღმოწერდნენ,
aor
,გწერე,ვწერე,,გწერეთ,ვწერე,
მწერე,,წერე,გვწერე,,წერე,
მწერა,გწერა,წერა,გვწერა,გწერათ,წერა,
,გწერეთ,ვწერეთ,,გწერეთ,ვწერეთ,
მწერეთ,,წერეთ,გვწერეთ,,წერეთ,
მწერეს,გწერეს,წერეს,გვწერეს,გწერეს,წერეს,
aor_prfv
,აღმოგწერე,აღმოვწერე,,აღმოგწერეთ,აღმოვწერე,
აღმომწერე,,აღმოწერე,აღმოგვწერე,,აღმოწერე,
აღმომწერა,აღმოგწერა,აღმოწერა,აღმოგვწერა,აღმოგწერათ,აღმოწერა,
,აღმოგწერეთ,აღმოვწერეთ,,აღმოგწერეთ,აღმოვწერეთ,
აღმომწერეთ,,აღმოწერეთ,აღმოგვწერეთ,,აღმოწერეთ,
აღმომწერეს,აღმოგწერეს,აღმოწერეს,აღმოგვწერეს,აღმოგწერეს,აღმოწერეს,
IIsubj
,გწერო,ვწერო,,გწეროთ,ვწერო,
მწერო,,წერო,გვწერო,,წერო,
მწეროს,გწეროს,წეროს,გვწეროს,გწეროთ,წეროს,
,გწეროთ,ვწეროთ,,გწეროთ,ვწეროთ,
მწეროთ,,წეროთ,გვწეროთ,,წეროთ,
მწერონ,გწერონ,წერონ,გვწერონ,გწერონ,წერონ,
IIsubj_prfv
,აღმოგწერო,აღმოვწერო,,აღმოგწეროთ,აღმოვწერო,
აღმომწერო,,აღმოწერო,აღმოგვწერო,,აღმოწერო,
აღმომწეროს,აღმოგწეროს,აღმოწეროს,აღმოგვწეროს,აღმოგწეროთ,აღმოწეროს,
,აღმოგწეროთ,აღმოვწეროთ,,აღმოგწეროთ,აღმოვწეროთ,
აღმომწეროთ,,აღმოწეროთ,აღმოგვწეროთ,,აღმოწეროთ,
აღმომწერონ,აღმოგწერონ,აღმოწერონ,აღმოგვწერონ,აღმოგწერონ,აღმოწერონ,
Iturm
,მიწერიხარ,მიწერია,,მიწერიხართ,მიწერია,
გიწერივარ,,გიწერია,გიწერივართ,,გიწერია,
ვუწერივარ,უწერიხარ,უწერია,ვუწერივართ,უწერიხართ,უწერია,
,გვიწერიხარ,გვიწერია,,გვიწერიხართ,გვიწერია,
გიწერივართ,,გიწერიათ,გიწერივართ,,გიწერიათ,
ვუწერივარ,უწერიხარ,უწერიათ,ვუწერივართ,უწერიხართ,უწერიათ,
Iturm_prfv
,აღმომიწერიხარ,აღმომიწერია,,აღმომიწერიხართ,აღმომიწერია,
აღმოგიწერივარ,,აღმოგიწერია,აღმოგიწერივართ,,აღმოგიწერია,
აღმოვუწერივარ,აღმოუწერიხარ,აღმოუწერია,აღმოვუწერივართ,აღმოუწერიხართ,აღმოუწერია,
,აღმოგვიწერიხარ,აღმოგვიწერია,,აღმოგვიწერიხართ,აღმოგვიწერია,
