fut2
,გადებინებ,ვადებინებ,,გადებინებთ,ვადებინებ,
მადებინებ,,ადებინებ,გვადებინებ,,ადებინებ,
მადებინებს,გადებინებს,ადებინებს,გვადებინებს,გადებინებთ,ადებინებს,
,გადებინებთ,ვადებინებთ,,გადებინებთ,ვადებინებთ,
მადებინებთ,,ადებინებთ,გვადებინებთ,,ადებინებთ,
მადებინებენ,გადებინებენ,ადებინებენ,გვადებინებენ,გადებინებენ,ადებინებენ,
fut2_prfv
,გაგადებინებ,გავადებინებ,,გაგადებინებთ,გავადებინებ,
გამადებინებ,,გაადებინებ,გაგვადებინებ,,გაადებინებ,
გამადებინებს,გაგადებინებს,გაადებინებს,გაგვადებინებს,გაგადებინებთ,გაადებინებს,
,გაგადებინებთ,გავადებინებთ,,გაგადებინებთ,გავადებინებთ,
გამადებინებთ,,გაადებინებთ,გაგვადებინებთ,,გაადებინებთ,
გამადებინებენ,გაგადებინებენ,გაადებინებენ,გაგვადებინებენ,გაგადებინებენ,გაადებინებენ,
cond2
,გადებინებდი,ვადებინებდი,,გადებინებდით,ვადებინებდი,
მადებინებდი,,ადებინებდი,გვადებინებდი,,ადებინებდი,
მადებინებდა,გადებინებდა,ადებინებდა,გვადებინებდა,გადებინებდათ,ადებინებდა,
,გადებინებდით,ვადებინებდით,,გადებინებდით,ვადებინებდით,
მადებინებდით,,ადებინებდით,გვადებინებდით,,ადებინებდით,
მადებინებდნენ,გადებინებდნენ,ადებინებდნენ,გვადებინებდნენ,გადებინებდნენ,ადებინებდნენ,
cond2_prfv
,გაგადებინებდი,გავადებინებდი,,გაგადებინებდით,გავადებინებდი,
გამადებინებდი,,გაადებინებდი,გაგვადებინებდი,,გაადებინებდი,
გამადებინებდა,გაგადებინებდა,გაადებინებდა,გაგვადებინებდა,გაგადებინებდათ,გაადებინებდა,
,გაგადებინებდით,გავადებინებდით,,გაგადებინებდით,გავადებინებდით,
გამადებინებდით,,გაადებინებდით,გაგვადებინებდით,,გაადებინებდით,
გამადებინებდნენ,გაგადებინებდნენ,გაადებინებდნენ,გაგვადებინებდნენ,გაგადებინებდნენ,გაადებინებდნენ,
fut2_subj
,გადებინებდე,ვადებინებდე,,გადებინებდეთ,ვადებინებდე,
მადებინებდე,,ადებინებდე,გვადებინებდე,,ადებინებდე,
მადებინებდეს,გადებინებდეს,ადებინებდეს,გვადებინებდეს,გადებინებდეთ,ადებინებდეს,
,გადებინებდეთ,ვადებინებდეთ,,გადებინებდეთ,ვადებინებდეთ,
მადებინებდეთ,,ადებინებდეთ,გვადებინებდეთ,,ადებინებდეთ,
მადებინებდნენ,გადებინებდნენ,ადებინებდნენ,გვადებინებდნენ,გადებინებდნენ,ადებინებდნენ,
fut2_subj_prfv
,გაგადებინებდე,გავადებინებდე,,გაგადებინებდეთ,გავადებინებდე,
გამადებინებდე,,გაადებინებდე,გაგვადებინებდე,,გაადებინებდე,
გამადებინებდეს,გაგადებინებდეს,გაადებინებდეს,გაგვადებინებდეს,გაგადებინებდეთ,გაადებინებდეს,
,გაგადებინებდეთ,გავადებინებდეთ,,გაგადებინებდეთ,გავადებინებდეთ,
გამადებინებდეთ,,გაადებინებდეთ,გაგვადებინებდეთ,,გაადებინებდეთ,
გამადებინებდნენ,გაგადებინებდნენ,გაადებინებდნენ,გაგვადებინებდნენ,გაგადებინებდნენ,გაადებინებდნენ,
aor2
,გადებინე,ვადებინე,,გადებინეთ,ვადებინე,
მადებინე,,ადებინე,გვადებინე,,ადებინე,
მადებინა,გადებინა,ადებინა,გვადებინა,გადებინათ,ადებინა,
,გადებინეთ,ვადებინეთ,,გადებინეთ,ვადებინეთ,
