fut2
,გარტყამ,ვარტყამ,,გარტყამთ,ვარტყამ,
მარტყამ,,არტყამ,გვარტყამ,,არტყამ,
მარტყამს,გარტყამს,არტყამს,გვარტყამს,გარტყამთ,არტყამს,
,გარტყამთ,ვარტყამთ,,გარტყამთ,ვარტყამთ,
მარტყამთ,,არტყამთ,გვარტყამთ,,არტყამთ,
მარტყამენ,გარტყამენ,არტყამენ,გვარტყამენ,გარტყამენ,არტყამენ,
fut2_prfv
,გაგარტყამ,გავარტყამ,,გაგარტყამთ,გავარტყამ,
გამარტყამ,,გაარტყამ,გაგვარტყამ,,გაარტყამ,
გამარტყამს,გაგარტყამს,გაარტყამს,გაგვარტყამს,გაგარტყამთ,გაარტყამს,
,გაგარტყამთ,გავარტყამთ,,გაგარტყამთ,გავარტყამთ,
გამარტყამთ,,გაარტყამთ,გაგვარტყამთ,,გაარტყამთ,
გამარტყამენ,გაგარტყამენ,გაარტყამენ,გაგვარტყამენ,გაგარტყამენ,გაარტყამენ,
cond2
,გარტყამდი,ვარტყამდი,,გარტყამდით,ვარტყამდი,
მარტყამდი,,არტყამდი,გვარტყამდი,,არტყამდი,
მარტყამდა,გარტყამდა,არტყამდა,გვარტყამდა,გარტყამდათ,არტყამდა,
,გარტყამდით,ვარტყამდით,,გარტყამდით,ვარტყამდით,
მარტყამდით,,არტყამდით,გვარტყამდით,,არტყამდით,
მარტყამდნენ,გარტყამდნენ,არტყამდნენ,გვარტყამდნენ,გარტყამდნენ,არტყამდნენ,
cond2_prfv
,გაგარტყამდი,გავარტყამდი,,გაგარტყამდით,გავარტყამდი,
გამარტყამდი,,გაარტყამდი,გაგვარტყამდი,,გაარტყამდი,
გამარტყამდა,გაგარტყამდა,გაარტყამდა,გაგვარტყამდა,გაგარტყამდათ,გაარტყამდა,
,გაგარტყამდით,გავარტყამდით,,გაგარტყამდით,გავარტყამდით,
გამარტყამდით,,გაარტყამდით,გაგვარტყამდით,,გაარტყამდით,
გამარტყამდნენ,გაგარტყამდნენ,გაარტყამდნენ,გაგვარტყამდნენ,გაგარტყამდნენ,გაარტყამდნენ,
fut2_subj
,გარტყამდე,ვარტყამდე,,გარტყამდეთ,ვარტყამდე,
მარტყამდე,,არტყამდე,გვარტყამდე,,არტყამდე,
მარტყამდეს,გარტყამდეს,არტყამდეს,გვარტყამდეს,გარტყამდეთ,არტყამდეს,
,გარტყამდეთ,ვარტყამდეთ,,გარტყამდეთ,ვარტყამდეთ,
მარტყამდეთ,,არტყამდეთ,გვარტყამდეთ,,არტყამდეთ,
მარტყამდნენ,გარტყამდნენ,არტყამდნენ,გვარტყამდნენ,გარტყამდნენ,არტყამდნენ,
fut2_subj_prfv
,გაგარტყამდე,გავარტყამდე,,გაგარტყამდეთ,გავარტყამდე,
გამარტყამდე,,გაარტყამდე,გაგვარტყამდე,,გაარტყამდე,
გამარტყამდეს,გაგარტყამდეს,გაარტყამდეს,გაგვარტყამდეს,გაგარტყამდეთ,გაარტყამდეს,
,გაგარტყამდეთ,გავარტყამდეთ,,გაგარტყამდეთ,გავარტყამდეთ,
გამარტყამდეთ,,გაარტყამდეთ,გაგვარტყამდეთ,,გაარტყამდეთ,
გამარტყამდნენ,გაგარტყამდნენ,გაარტყამდნენ,გაგვარტყამდნენ,გაგარტყამდნენ,გაარტყამდნენ,
aor2
,გარტყი,ვარტყი,,გარტყით,ვარტყი,
მარტყი,,არტყი,გვარტყი,,არტყი,
მარტყა,გარტყა,არტყა,გვარტყა,გარტყათ,არტყა,
,გარტყით,ვარტყით,,გარტყით,ვარტყით,
მარტყით,,არტყით,გვარტყით,,არტყით,
მარტყეს,გარტყეს,არტყეს,გვარტყეს,გარტყეს,არტყეს,
aor2_prfv
,გაგარტყი,გავარტყი,,გაგარტყით,გავარტყი,
გამარტყი,,გაარტყი,გაგვარტყი,,გაარტყი,
გამარტყა,გაგარტყა,გაარტყა,გაგვარტყა,გაგარტყათ,გაარტყა,
,გაგარტყით,გავარტყით,,გაგარტყით,გავარტყით,
გამარტყით,,გაარტყით,გაგვარტყით,,გაარტყით,
გამარტყეს,გაგარტყეს,გაარტყეს,გაგვარტყეს,გაგარტყეს,გაარტყეს,
IIsubj2
,გარტყა,ვარტყა,,გარტყათ,ვარტყა,
მარტყა,,არტყა,გვარტყა,,არტყა,
მარტყას,გარტყას,არტყას,გვარტყას,გარტყათ,არტყას,
,გარტყათ,ვარტყათ,,გარტყათ,ვარტყათ,
მარტყათ,,არტყათ,გვარტყათ,,არტყათ,
მარტყან,გარტყან,არტყან,გვარტყან,გარტყან,არტყან,
IIsubj2_prfv
,გაგარტყა,გავარტყა,,გაგარტყათ,გავარტყა,
გამარტყა,,გაარტყა,გაგვარტყა,,გაარტყა,
გამარტყას,გაგარტყას,გაარტყას,გაგვარტყას,გაგარტყათ,გაარტყას,
,გაგარტყათ,გავარტყათ,,გაგარტყათ,გავარტყათ,
გამარტყათ,,გაარტყათ,გაგვარტყათ,,გაარტყათ,
გამარტყან,გაგარტყან,გაარტყან,გაგვარტყან,გაგარტყან,გაარტყან,
Iturm
,მირტყიხარ,მირტყია,,მირტყიხართ,მირტყია,
გირტყივარ,,გირტყია,გირტყივართ,,გირტყია,
ვურტყივარ,ურტყიხარ,ურტყია,ვურტყივართ,ურტყიხართ,ურტყია,
,გვირტყიხარ,გვირტყია,,გვირტყიხართ,გვირტყია,
გირტყივართ,,გირტყიათ,გირტყივართ,,გირტყიათ,
ვურტყივარ,ურტყიხარ,ურტყიათ,ვურტყივართ,ურტყიხართ,ურტყიათ,
Iturm_prfv
,გამირტყიხარ,გამირტყია,,გამირტყიხართ,გამირტყია,
გაგირტყივარ,,გაგირტყია,გაგირტყივართ,,გაგირტყია,
გავურტყივარ,გაურტყიხარ,გაურტყია,გავურტყივართ,გაურტყიხართ,გაურტყია,
,გაგვირტყიხარ,გაგვირტყია,,გაგვირტყიხართ,გაგვირტყია,
გაგირტყივართ,,გაგირტყიათ,გაგირტყივართ,,გაგირტყიათ,
გავურტყივარ,გაურტყიხარ,გაურტყიათ,გავურტყივართ,გაურტყიხართ,გაურტყიათ,
Iturm_th
,მირტყამხარ,მირტყამს,,მირტყამხართ,მირტყამს,
გირტყამვარ,,გირტყამს,გირტყამვართ,,გირტყამს,
ვურტყამვარ,ურტყამხარ,ურტყამს,ვურტყამვართ,ურტყამხართ,ურტყამს,
,გვირტყამხარ,გვირტყამს,,გვირტყამხართ,გვირტყამს,
გირტყამვართ,,გირტყამთ,გირტყამვართ,,გირტყამთ,
ვურტყამვარ,ურტყამხარ,ურტყამთ,ვურტყამვართ,ურტყამხართ,ურტყამთ,
Iturm_th_prfv
,გამირტყამხარ,გამირტყამს,,გამირტყამხართ,გამირტყამს,
გაგირტყამვარ,,გაგირტყამს,გაგირტყამვართ,,გაგირტყამს,
გავურტყამვარ,გაურტყამხარ,გაურტყამს,გავურტყამვართ,გაურტყამხართ,გაურტყამს,
,გაგვირტყამხარ,გაგვირტყამს,,გაგვირტყამხართ,გაგვირტყამს,
გაგირტყამვართ,,გაგირტყამთ,გაგირტყამვართ,,გაგირტყამთ,
გავურტყამვარ,გაურტყამხარ,გაურტყამთ,გავურტყამვართ,გაურტყამხართ,გაურტყამთ,
IIturm
,მერტყი,მერტყა,,მერტყით,მერტყა,
გერტყი,,გერტყა,გერტყით,,გერტყა,
ვერტყი,ერტყი,ერტყა,ვერტყით,ერტყით,ერტყა,
,გვერტყი,გვერტყა,,გვერტყით,გვერტყა,
გერტყით,,გერტყათ,გერტყით,,გერტყათ,
ვერტყი,ერტყი,ერტყათ,ვერტყით,ერტყით,ერტყათ,
IIturm_prfv
,გამერტყი,გამერტყა,,გამერტყით,გამერტყა,
გაგერტყი,,გაგერტყა,გაგერტყით,,გაგერტყა,
გავერტყი,გაერტყი,გაერტყა,გავერტყით,გაერტყით,გაერტყა,
,გაგვერტყი,გაგვერტყა,,გაგვერტყით,გაგვერტყა,
გაგერტყით,,გაგერტყათ,გაგერტყით,,გაგერტყათ,
