fut2
,გაშენებ,ვაშენებ,,გაშენებთ,ვაშენებ,
მაშენებ,,აშენებ,გვაშენებ,,აშენებ,
მაშენებს,გაშენებს,აშენებს,გვაშენებს,გაშენებთ,აშენებს,
,გაშენებთ,ვაშენებთ,,გაშენებთ,ვაშენებთ,
მაშენებთ,,აშენებთ,გვაშენებთ,,აშენებთ,
მაშენებენ,გაშენებენ,აშენებენ,გვაშენებენ,გაშენებენ,აშენებენ,
fut2_prfv
,გაგაშენებ,გავაშენებ,,გაგაშენებთ,გავაშენებ,
გამაშენებ,,გააშენებ,გაგვაშენებ,,გააშენებ,
გამაშენებს,გაგაშენებს,გააშენებს,გაგვაშენებს,გაგაშენებთ,გააშენებს,
,გაგაშენებთ,გავაშენებთ,,გაგაშენებთ,გავაშენებთ,
გამაშენებთ,,გააშენებთ,გაგვაშენებთ,,გააშენებთ,
გამაშენებენ,გაგაშენებენ,გააშენებენ,გაგვაშენებენ,გაგაშენებენ,გააშენებენ,
cond2
,გაშენებდი,ვაშენებდი,,გაშენებდით,ვაშენებდი,
მაშენებდი,,აშენებდი,გვაშენებდი,,აშენებდი,
მაშენებდა,გაშენებდა,აშენებდა,გვაშენებდა,გაშენებდათ,აშენებდა,
,გაშენებდით,ვაშენებდით,,გაშენებდით,ვაშენებდით,
მაშენებდით,,აშენებდით,გვაშენებდით,,აშენებდით,
მაშენებდნენ,გაშენებდნენ,აშენებდნენ,გვაშენებდნენ,გაშენებდნენ,აშენებდნენ,
cond2_prfv
,გაგაშენებდი,გავაშენებდი,,გაგაშენებდით,გავაშენებდი,
გამაშენებდი,,გააშენებდი,გაგვაშენებდი,,გააშენებდი,
გამაშენებდა,გაგაშენებდა,გააშენებდა,გაგვაშენებდა,გაგაშენებდათ,გააშენებდა,
,გაგაშენებდით,გავაშენებდით,,გაგაშენებდით,გავაშენებდით,
გამაშენებდით,,გააშენებდით,გაგვაშენებდით,,გააშენებდით,
გამაშენებდნენ,გაგაშენებდნენ,გააშენებდნენ,გაგვაშენებდნენ,გაგაშენებდნენ,გააშენებდნენ,
fut2_subj
,გაშენებდე,ვაშენებდე,,გაშენებდეთ,ვაშენებდე,
მაშენებდე,,აშენებდე,გვაშენებდე,,აშენებდე,
მაშენებდეს,გაშენებდეს,აშენებდეს,გვაშენებდეს,გაშენებდეთ,აშენებდეს,
,გაშენებდეთ,ვაშენებდეთ,,გაშენებდეთ,ვაშენებდეთ,
მაშენებდეთ,,აშენებდეთ,გვაშენებდეთ,,აშენებდეთ,
მაშენებდნენ,გაშენებდნენ,აშენებდნენ,გვაშენებდნენ,გაშენებდნენ,აშენებდნენ,
fut2_subj_prfv
,გაგაშენებდე,გავაშენებდე,,გაგაშენებდეთ,გავაშენებდე,
გამაშენებდე,,გააშენებდე,გაგვაშენებდე,,გააშენებდე,
გამაშენებდეს,გაგაშენებდეს,გააშენებდეს,გაგვაშენებდეს,გაგაშენებდეთ,გააშენებდეს,
,გაგაშენებდეთ,გავაშენებდეთ,,გაგაშენებდეთ,გავაშენებდეთ,
გამაშენებდეთ,,გააშენებდეთ,გაგვაშენებდეთ,,გააშენებდეთ,
გამაშენებდნენ,გაგაშენებდნენ,გააშენებდნენ,გაგვაშენებდნენ,გაგაშენებდნენ,გააშენებდნენ,
aor2
,გაშენე,ვაშენე,,გაშენეთ,ვაშენე,
მაშენე,,აშენე,გვაშენე,,აშენე,
მაშენა,გაშენა,აშენა,გვაშენა,გაშენათ,აშენა,
,გაშენეთ,ვაშენეთ,,გაშენეთ,ვაშენეთ,
მაშენეთ,,აშენეთ,გვაშენეთ,,აშენეთ,
მაშენეს,გაშენეს,აშენეს,გვაშენეს,გაშენეს,აშენეს,
aor2_prfv
,გაგაშენე,გავაშენე,,გაგაშენეთ,გავაშენე,
გამაშენე,,გააშენე,გაგვაშენე,,გააშენე,
გამაშენა,გაგაშენა,გააშენა,გაგვაშენა,გაგაშენათ,გააშენა,
,გაგაშენეთ,გავაშენეთ,,გაგაშენეთ,გავაშენეთ,
გამაშენეთ,,გააშენეთ,გაგვაშენეთ,,გააშენეთ,
გამაშენეს,გაგაშენეს,გააშენეს,გაგვაშენეს,გაგაშენეს,გააშენეს,
IIsubj2
,გაშენო,ვაშენო,,გაშენოთ,ვაშენო,
მაშენო,,აშენო,გვაშენო,,აშენო,
მაშენოს,გაშენოს,აშენოს,გვაშენოს,გაშენოთ,აშენოს,
,გაშენოთ,ვაშენოთ,,გაშენოთ,ვაშენოთ,
მაშენოთ,,აშენოთ,გვაშენოთ,,აშენოთ,
მაშენონ,გაშენონ,აშენონ,გვაშენონ,გაშენონ,აშენონ,
IIsubj2_prfv
,გაგაშენო,გავაშენო,,გაგაშენოთ,გავაშენო,
გამაშენო,,გააშენო,გაგვაშენო,,გააშენო,
გამაშენოს,გაგაშენოს,გააშენოს,გაგვაშენოს,გაგაშენოთ,გააშენოს,
,გაგაშენოთ,გავაშენოთ,,გაგაშენოთ,გავაშენოთ,
გამაშენოთ,,გააშენოთ,გაგვაშენოთ,,გააშენოთ,
გამაშენონ,გაგაშენონ,გააშენონ,გაგვაშენონ,გაგაშენონ,გააშენონ,
Iturm
,მიშენებიხარ,მიშენებია,,მიშენებიხართ,მიშენებია,
გიშენებივარ,,გიშენებია,გიშენებივართ,,გიშენებია,
ვუშენებივარ,უშენებიხარ,უშენებია,ვუშენებივართ,უშენებიხართ,უშენებია,
,გვიშენებიხარ,გვიშენებია,,გვიშენებიხართ,გვიშენებია,
გიშენებივართ,,გიშენებიათ,გიშენებივართ,,გიშენებიათ,
ვუშენებივარ,უშენებიხარ,უშენებიათ,ვუშენებივართ,უშენებიხართ,უშენებიათ,
Iturm_prfv
,გამიშენებიხარ,გამიშენებია,,გამიშენებიხართ,გამიშენებია,
გაგიშენებივარ,,გაგიშენებია,გაგიშენებივართ,,გაგიშენებია,
გავუშენებივარ,გაუშენებიხარ,გაუშენებია,გავუშენებივართ,გაუშენებიხართ,გაუშენებია,
,გაგვიშენებიხარ,გაგვიშენებია,,გაგვიშენებიხართ,გაგვიშენებია,
გაგიშენებივართ,,გაგიშენებიათ,გაგიშენებივართ,,გაგიშენებიათ,
გავუშენებივარ,გაუშენებიხარ,გაუშენებიათ,გავუშენებივართ,გაუშენებიხართ,გაუშენებიათ,
IIturm
,მეშენებინე,მეშენებინა,,მეშენებინეთ,მეშენებინა,
გეშენებინე,,გეშენებინა,გეშენებინეთ,,გეშენებინა,
ვეშენებინე,ეშენებინე,ეშენებინა,ვეშენებინეთ,ეშენებინეთ,ეშენებინა,
,გვეშენებინე,გვეშენებინა,,გვეშენებინეთ,გვეშენებინა,
გეშენებინეთ,,გეშენებინათ,გეშენებინეთ,,გეშენებინათ,
ვეშენებინე,ეშენებინე,ეშენებინათ,ვეშენებინეთ,ეშენებინეთ,ეშენებინათ,
IIturm_prfv
,გამეშენებინე,გამეშენებინა,,გამეშენებინეთ,გამეშენებინა,
გაგეშენებინე,,გაგეშენებინა,გაგეშენებინეთ,,გაგეშენებინა,
გავეშენებინე,გაეშენებინე,გაეშენებინა,გავეშენებინეთ,გაეშენებინეთ,გაეშენებინა,
,გაგვეშენებინე,გაგვეშენებინა,,გაგვეშენებინეთ,გაგვეშენებინა,
გაგეშენებინეთ,,გაგეშენებინათ,გაგეშენებინეთ,,გაგეშენებინათ,
გავეშენებინე,გაეშენებინე,გაეშენებინათ,გავეშენებინეთ,გაეშენებინეთ,გაეშენებინათ,
IIIsubj
,მეშენებინო,მეშენებინოს,,მეშენებინოთ,მეშენებინოს,
გეშენებინო,,გეშენებინოს,გეშენებინოთ,,გეშენებინოს,
ვეშენებინო,ეშენებინო,ეშენებინოს,ვეშენებინოთ,ეშენებინოთ,ეშენებინოს,
,გვეშენებინო,გვეშენებინოს,,გვეშენებინოთ,გვეშენებინოს,
გეშენებინოთ,,გეშენებინოთ,გეშენებინოთ,,გეშენებინოთ,
ვეშენებინო,ეშენებინო,ეშენებინოთ,ვეშენებინოთ,ეშენებინოთ,ეშენებინოთ,
IIIsubj_prfv
,გამეშენებინო,გამეშენებინოს,,გამეშენებინოთ,გამეშენებინოს,
გაგეშენებინო,,გაგეშენებინოს,გაგეშენებინოთ,,გაგეშენებინოს,
გავეშენებინო,გაეშენებინო,გაეშენებინოს,გავეშენებინოთ,გაეშენებინოთ,გაეშენებინოს,
,გაგვეშენებინო,გაგვეშენებინოს,,გაგვეშენებინოთ,გაგვეშენებინოს,
გაგეშენებინოთ,,გაგეშენებინოთ,გაგეშენებინოთ,,გაგეშენებინოთ,
გავეშენებინო,გაეშენებინო,გაეშენებინოთ,გავეშენებინოთ,გაეშენებინოთ,გაეშენებინოთ,
