fut2
,გაწვენ,ვაწვენ,,გაწვენთ,ვაწვენ,
მაწვენ,,აწვენ,გვაწვენ,,აწვენ,
მაწვენს,გაწვენს,აწვენს,გვაწვენს,გაწვენთ,აწვენს,
,გაწვენთ,ვაწვენთ,,გაწვენთ,ვაწვენთ,
მაწვენთ,,აწვენთ,გვაწვენთ,,აწვენთ,
მაწვენენ,გაწვენენ,აწვენენ,გვაწვენენ,გაწვენენ,აწვენენ,
fut2_prfv
,გაგაწვენ,გავაწვენ,,გაგაწვენთ,გავაწვენ,
გამაწვენ,,გააწვენ,გაგვაწვენ,,გააწვენ,
გამაწვენს,გაგაწვენს,გააწვენს,გაგვაწვენს,გაგაწვენთ,გააწვენს,
,გაგაწვენთ,გავაწვენთ,,გაგაწვენთ,გავაწვენთ,
გამაწვენთ,,გააწვენთ,გაგვაწვენთ,,გააწვენთ,
გამაწვენენ,გაგაწვენენ,გააწვენენ,გაგვაწვენენ,გაგაწვენენ,გააწვენენ,
cond2
,გაწვენდი,ვაწვენდი,,გაწვენდით,ვაწვენდი,
მაწვენდი,,აწვენდი,გვაწვენდი,,აწვენდი,
მაწვენდა,გაწვენდა,აწვენდა,გვაწვენდა,გაწვენდათ,აწვენდა,
,გაწვენდით,ვაწვენდით,,გაწვენდით,ვაწვენდით,
მაწვენდით,,აწვენდით,გვაწვენდით,,აწვენდით,
მაწვენდნენ,გაწვენდნენ,აწვენდნენ,გვაწვენდნენ,გაწვენდნენ,აწვენდნენ,
cond2_prfv
,გაგაწვენდი,გავაწვენდი,,გაგაწვენდით,გავაწვენდი,
გამაწვენდი,,გააწვენდი,გაგვაწვენდი,,გააწვენდი,
გამაწვენდა,გაგაწვენდა,გააწვენდა,გაგვაწვენდა,გაგაწვენდათ,გააწვენდა,
,გაგაწვენდით,გავაწვენდით,,გაგაწვენდით,გავაწვენდით,
გამაწვენდით,,გააწვენდით,გაგვაწვენდით,,გააწვენდით,
გამაწვენდნენ,გაგაწვენდნენ,გააწვენდნენ,გაგვაწვენდნენ,გაგაწვენდნენ,გააწვენდნენ,
fut2_subj
,გაწვენდე,ვაწვენდე,,გაწვენდეთ,ვაწვენდე,
მაწვენდე,,აწვენდე,გვაწვენდე,,აწვენდე,
მაწვენდეს,გაწვენდეს,აწვენდეს,გვაწვენდეს,გაწვენდეთ,აწვენდეს,
,გაწვენდეთ,ვაწვენდეთ,,გაწვენდეთ,ვაწვენდეთ,
მაწვენდეთ,,აწვენდეთ,გვაწვენდეთ,,აწვენდეთ,
მაწვენდნენ,გაწვენდნენ,აწვენდნენ,გვაწვენდნენ,გაწვენდნენ,აწვენდნენ,
fut2_subj_prfv
,გაგაწვენდე,გავაწვენდე,,გაგაწვენდეთ,გავაწვენდე,
გამაწვენდე,,გააწვენდე,გაგვაწვენდე,,გააწვენდე,
გამაწვენდეს,გაგაწვენდეს,გააწვენდეს,გაგვაწვენდეს,გაგაწვენდეთ,გააწვენდეს,
,გაგაწვენდეთ,გავაწვენდეთ,,გაგაწვენდეთ,გავაწვენდეთ,
გამაწვენდეთ,,გააწვენდეთ,გაგვაწვენდეთ,,გააწვენდეთ,
გამაწვენდნენ,გაგაწვენდნენ,გააწვენდნენ,გაგვაწვენდნენ,გაგაწვენდნენ,გააწვენდნენ,
aor2
,გაწვინე,ვაწვინე,,გაწვინეთ,ვაწვინე,
მაწვინე,,აწვინე,გვაწვინე,,აწვინე,
მაწვინა,გაწვინა,აწვინა,გვაწვინა,გაწვინათ,აწვინა,
,გაწვინეთ,ვაწვინეთ,,გაწვინეთ,ვაწვინეთ,
მაწვინეთ,,აწვინეთ,გვაწვინეთ,,აწვინეთ,
მაწვინეს,გაწვინეს,აწვინეს,გვაწვინეს,გაწვინეს,აწვინეს,
aor2_prfv
,გაგაწვინე,გავაწვინე,,გაგაწვინეთ,გავაწვინე,
გამაწვინე,,გააწვინე,გაგვაწვინე,,გააწვინე,
გამაწვინა,გაგაწვინა,გააწვინა,გაგვაწვინა,გაგაწვინათ,გააწვინა,
,გაგაწვინეთ,გავაწვინეთ,,გაგაწვინეთ,გავაწვინეთ,
გამაწვინეთ,,გააწვინეთ,გაგვაწვინეთ,,გააწვინეთ,
