fut2
,გაჭერ,ვაჭერ,,გაჭერთ,ვაჭერ,
მაჭერ,,აჭერ,გვაჭერ,,აჭერ,
მაჭერს,გაჭერს,აჭერს,გვაჭერს,გაჭერთ,აჭერს,
,გაჭერთ,ვაჭერთ,,გაჭერთ,ვაჭერთ,
მაჭერთ,,აჭერთ,გვაჭერთ,,აჭერთ,
მაჭერენ,გაჭერენ,აჭერენ,გვაჭერენ,გაჭერენ,აჭერენ,
fut2_prfv
,გაგაჭერ,გავაჭერ,,გაგაჭერთ,გავაჭერ,
გამაჭერ,,გააჭერ,გაგვაჭერ,,გააჭერ,
გამაჭერს,გაგაჭერს,გააჭერს,გაგვაჭერს,გაგაჭერთ,გააჭერს,
,გაგაჭერთ,გავაჭერთ,,გაგაჭერთ,გავაჭერთ,
გამაჭერთ,,გააჭერთ,გაგვაჭერთ,,გააჭერთ,
გამაჭერენ,გაგაჭერენ,გააჭერენ,გაგვაჭერენ,გაგაჭერენ,გააჭერენ,
cond2
,გაჭერდი,ვაჭერდი,,გაჭერდით,ვაჭერდი,
მაჭერდი,,აჭერდი,გვაჭერდი,,აჭერდი,
მაჭერდა,გაჭერდა,აჭერდა,გვაჭერდა,გაჭერდათ,აჭერდა,
,გაჭერდით,ვაჭერდით,,გაჭერდით,ვაჭერდით,
მაჭერდით,,აჭერდით,გვაჭერდით,,აჭერდით,
მაჭერდნენ,გაჭერდნენ,აჭერდნენ,გვაჭერდნენ,გაჭერდნენ,აჭერდნენ,
cond2_prfv
,გაგაჭერდი,გავაჭერდი,,გაგაჭერდით,გავაჭერდი,
გამაჭერდი,,გააჭერდი,გაგვაჭერდი,,გააჭერდი,
გამაჭერდა,გაგაჭერდა,გააჭერდა,გაგვაჭერდა,გაგაჭერდათ,გააჭერდა,
,გაგაჭერდით,გავაჭერდით,,გაგაჭერდით,გავაჭერდით,
გამაჭერდით,,გააჭერდით,გაგვაჭერდით,,გააჭერდით,
გამაჭერდნენ,გაგაჭერდნენ,გააჭერდნენ,გაგვაჭერდნენ,გაგაჭერდნენ,გააჭერდნენ,
fut2_subj
,გაჭერდე,ვაჭერდე,,გაჭერდეთ,ვაჭერდე,
მაჭერდე,,აჭერდე,გვაჭერდე,,აჭერდე,
მაჭერდეს,გაჭერდეს,აჭერდეს,გვაჭერდეს,გაჭერდეთ,აჭერდეს,
,გაჭერდეთ,ვაჭერდეთ,,გაჭერდეთ,ვაჭერდეთ,
მაჭერდეთ,,აჭერდეთ,გვაჭერდეთ,,აჭერდეთ,
მაჭერდნენ,გაჭერდნენ,აჭერდნენ,გვაჭერდნენ,გაჭერდნენ,აჭერდნენ,
fut2_subj_prfv
,გაგაჭერდე,გავაჭერდე,,გაგაჭერდეთ,გავაჭერდე,
გამაჭერდე,,გააჭერდე,გაგვაჭერდე,,გააჭერდე,
გამაჭერდეს,გაგაჭერდეს,გააჭერდეს,გაგვაჭერდეს,გაგაჭერდეთ,გააჭერდეს,
,გაგაჭერდეთ,გავაჭერდეთ,,გაგაჭერდეთ,გავაჭერდეთ,
გამაჭერდეთ,,გააჭერდეთ,გაგვაჭერდეთ,,გააჭერდეთ,
გამაჭერდნენ,გაგაჭერდნენ,გააჭერდნენ,გაგვაჭერდნენ,გაგაჭერდნენ,გააჭერდნენ,
aor2
,გაჭირე,ვაჭირე,,გაჭირეთ,ვაჭირე,
მაჭირე,,აჭირე,გვაჭირე,,აჭირე,
მაჭირა,გაჭირა,აჭირა,გვაჭირა,გაჭირათ,აჭირა,
,გაჭირეთ,ვაჭირეთ,,გაჭირეთ,ვაჭირეთ,
მაჭირეთ,,აჭირეთ,გვაჭირეთ,,აჭირეთ,
მაჭირეს,გაჭირეს,აჭირეს,გვაჭირეს,გაჭირეს,აჭირეს,
aor2_prfv
,გაგაჭირე,გავაჭირე,,გაგაჭირეთ,გავაჭირე,
გამაჭირე,,გააჭირე,გაგვაჭირე,,გააჭირე,
გამაჭირა,გაგაჭირა,გააჭირა,გაგვაჭირა,გაგაჭირათ,გააჭირა,
,გაგაჭირეთ,გავაჭირეთ,,გაგაჭირეთ,გავაჭირეთ,
გამაჭირეთ,,გააჭირეთ,გაგვაჭირეთ,,გააჭირეთ,
გამაჭირეს,გაგაჭირეს,გააჭირეს,გაგვაჭირეს,გაგაჭირეს,გააჭირეს,
IIsubj2
,გაჭირო,ვაჭირო,,გაჭიროთ,ვაჭირო,
მაჭირო,,აჭირო,გვაჭირო,,აჭირო,
მაჭიროს,გაჭიროს,აჭიროს,გვაჭიროს,გაჭიროთ,აჭიროს,
,გაჭიროთ,ვაჭიროთ,,გაჭიროთ,ვაჭიროთ,
მაჭიროთ,,აჭიროთ,გვაჭიროთ,,აჭიროთ,
მაჭირონ,გაჭირონ,აჭირონ,გვაჭირონ,გაჭირონ,აჭირონ,
IIsubj2_prfv
,გაგაჭირო,გავაჭირო,,გაგაჭიროთ,გავაჭირო,
გამაჭირო,,გააჭირო,გაგვაჭირო,,გააჭირო,
გამაჭიროს,გაგაჭიროს,გააჭიროს,გაგვაჭიროს,გაგაჭიროთ,გააჭიროს,
,გაგაჭიროთ,გავაჭიროთ,,გაგაჭიროთ,გავაჭიროთ,
გამაჭიროთ,,გააჭიროთ,გაგვაჭიროთ,,გააჭიროთ,
გამაჭირონ,გაგაჭირონ,გააჭირონ,გაგვაჭირონ,გაგაჭირონ,გააჭირონ,
Iturm
,მიჭერიხარ,მიჭერია,,მიჭერიხართ,მიჭერია,
გიჭერივარ,,გიჭერია,გიჭერივართ,,გიჭერია,
ვუჭერივარ,უჭერიხარ,უჭერია,ვუჭერივართ,უჭერიხართ,უჭერია,
,გვიჭერიხარ,გვიჭერია,,გვიჭერიხართ,გვიჭერია,
გიჭერივართ,,გიჭერიათ,გიჭერივართ,,გიჭერიათ,
ვუჭერივარ,უჭერიხარ,უჭერიათ,ვუჭერივართ,უჭერიხართ,უჭერიათ,
Iturm_prfv
,გამიჭერიხარ,გამიჭერია,,გამიჭერიხართ,გამიჭერია,
გაგიჭერივარ,,გაგიჭერია,გაგიჭერივართ,,გაგიჭერია,
გავუჭერივარ,გაუჭერიხარ,გაუჭერია,გავუჭერივართ,გაუჭერიხართ,გაუჭერია,
,გაგვიჭერიხარ,გაგვიჭერია,,გაგვიჭერიხართ,გაგვიჭერია,
გაგიჭერივართ,,გაგიჭერიათ,გაგიჭერივართ,,გაგიჭერიათ,
გავუჭერივარ,გაუჭერიხარ,გაუჭერიათ,გავუჭერივართ,გაუჭერიხართ,გაუჭერიათ,
IIturm
,მეჭირე,მეჭირა,,მეჭირეთ,მეჭირა,
გეჭირე,,გეჭირა,გეჭირეთ,,გეჭირა,
ვეჭირე,ეჭირე,ეჭირა,ვეჭირეთ,ეჭირეთ,ეჭირა,
,გვეჭირე,გვეჭირა,,გვეჭირეთ,გვეჭირა,
გეჭირეთ,,გეჭირათ,გეჭირეთ,,გეჭირათ,
ვეჭირე,ეჭირე,ეჭირათ,ვეჭირეთ,ეჭირეთ,ეჭირათ,
IIturm_prfv
,გამეჭირე,გამეჭირა,,გამეჭირეთ,გამეჭირა,
გაგეჭირე,,გაგეჭირა,გაგეჭირეთ,,გაგეჭირა,
გავეჭირე,გაეჭირე,გაეჭირა,გავეჭირეთ,გაეჭირეთ,გაეჭირა,
,გაგვეჭირე,გაგვეჭირა,,გაგვეჭირეთ,გაგვეჭირა,
გაგეჭირეთ,,გაგეჭირათ,გაგეჭირეთ,,გაგეჭირათ,
გავეჭირე,გაეჭირე,გაეჭირათ,გავეჭირეთ,გაეჭირეთ,გაეჭირათ,
IIIsubj
,მეჭირო,მეჭიროს,,მეჭიროთ,მეჭიროს,
გეჭირო,,გეჭიროს,გეჭიროთ,,გეჭიროს,
ვეჭირო,ეჭირო,ეჭიროს,ვეჭიროთ,ეჭიროთ,ეჭიროს,
,გვეჭირო,გვეჭიროს,,გვეჭიროთ,გვეჭიროს,
გეჭიროთ,,გეჭიროთ,გეჭიროთ,,გეჭიროთ,
ვეჭირო,ეჭირო,ეჭიროთ,ვეჭიროთ,ეჭიროთ,ეჭიროთ,
IIIsubj_prfv
,გამეჭირო,გამეჭიროს,,გამეჭიროთ,გამეჭიროს,
გაგეჭირო,,გაგეჭიროს,გაგეჭიროთ,,გაგეჭიროს,
გავეჭირო,გაეჭირო,გაეჭიროს,გავეჭიროთ,გაეჭიროთ,გაეჭიროს,
,გაგვეჭირო,გაგვეჭიროს,,გაგვეჭიროთ,გაგვეჭიროს,
გაგეჭიროთ,,გაგეჭიროთ,გაგეჭიროთ,,გაგეჭიროთ,
გავეჭირო,გაეჭირო,გაეჭიროთ,გავეჭიროთ,გაეჭიროთ,გაეჭიროთ,
