fut2
,გეზრდები,ვეზრდები,,გეზრდებით,ვეზრდები,
მეზრდები,,ეზრდები,გვეზრდები,,ეზრდები,
მეზრდება,გეზრდება,ეზრდება,გვეზრდება,გეზრდებათ,ეზრდებათ,
,გეზრდებით,ვეზრდებით,,გეზრდებით,ვეზრდებით,
მეზრდებით,,ეზრდებით,გვეზრდებით,,ეზრდებით,
მეზრდებიან,გეზრდებიან,ეზრდებიან,გვეზრდებიან,გეზრდებიან,ეზრდებიან,
fut2_prfv
,გაგეზრდები,გავეზრდები,,გაგეზრდებით,გავეზრდები,
გამეზრდები,,გაეზრდები,გაგვეზრდები,,გაეზრდები,
გამეზრდება,გაგეზრდება,გაეზრდება,გაგვეზრდება,გაგეზრდებათ,გაეზრდებათ,
,გაგეზრდებით,გავეზრდებით,,გაგეზრდებით,გავეზრდებით,
გამეზრდებით,,გაეზრდებით,გაგვეზრდებით,,გაეზრდებით,
გამეზრდებიან,გაგეზრდებიან,გაეზრდებიან,გაგვეზრდებიან,გაგეზრდებიან,გაეზრდებიან,
cond2
,გეზრდებოდი,ვეზრდებოდი,,გეზრდებოდით,ვეზრდებოდი,
მეზრდებოდი,,ეზრდებოდი,გვეზრდებოდი,,ეზრდებოდი,
მეზრდებოდა,გეზრდებოდა,ეზრდებოდა,გვეზრდებოდა,გეზრდებოდათ,ეზრდებოდათ,
,გეზრდებოდით,ვეზრდებოდით,,გეზრდებოდით,ვეზრდებოდით,
მეზრდებოდით,,ეზრდებოდით,გვეზრდებოდით,,ეზრდებოდით,
მეზრდებოდნენ,გეზრდებოდნენ,ეზრდებოდნენ,გვეზრდებოდნენ,გეზრდებოდნენ,ეზრდებოდნენ,
cond2_prfv
,გაგეზრდებოდი,გავეზრდებოდი,,გაგეზრდებოდით,გავეზრდებოდი,
გამეზრდებოდი,,გაეზრდებოდი,გაგვეზრდებოდი,,გაეზრდებოდი,
გამეზრდებოდა,გაგეზრდებოდა,გაეზრდებოდა,გაგვეზრდებოდა,გაგეზრდებოდათ,გაეზრდებოდათ,
,გაგეზრდებოდით,გავეზრდებოდით,,გაგეზრდებოდით,გავეზრდებოდით,
გამეზრდებოდით,,გაეზრდებოდით,გაგვეზრდებოდით,,გაეზრდებოდით,
გამეზრდებოდნენ,გაგეზრდებოდნენ,გაეზრდებოდნენ,გაგვეზრდებოდნენ,გაგეზრდებოდნენ,გაეზრდებოდნენ,
fut2_subj
,გეზრდებოდე,ვეზრდებოდე,,გეზრდებოდეთ,ვეზრდებოდე,
მეზრდებოდე,,ეზრდებოდე,გვეზრდებოდე,,ეზრდებოდე,
მეზრდებოდეს,გეზრდებოდეს,ეზრდებოდეს,გვეზრდებოდეს,გეზრდებოდეთ,ეზრდებოდეთ,
,გეზრდებოდეთ,ვეზრდებოდეთ,,გეზრდებოდეთ,ვეზრდებოდეთ,
მეზრდებოდეთ,,ეზრდებოდეთ,გვეზრდებოდეთ,,ეზრდებოდეთ,
მეზრდებოდნენ,გეზრდებოდნენ,ეზრდებოდნენ,გვეზრდებოდნენ,გეზრდებოდნენ,ეზრდებოდნენ,
fut2_subj_prfv
,გაგეზრდებოდე,გავეზრდებოდე,,გაგეზრდებოდეთ,გავეზრდებოდე,
გამეზრდებოდე,,გაეზრდებოდე,გაგვეზრდებოდე,,გაეზრდებოდე,
გამეზრდებოდეს,გაგეზრდებოდეს,გაეზრდებოდეს,გაგვეზრდებოდეს,გაგეზრდებოდეთ,გაეზრდებოდეთ,
,გაგეზრდებოდეთ,გავეზრდებოდეთ,,გაგეზრდებოდეთ,გავეზრდებოდეთ,
გამეზრდებოდეთ,,გაეზრდებოდეთ,გაგვეზრდებოდეთ,,გაეზრდებოდეთ,
გამეზრდებოდნენ,გაგეზრდებოდნენ,გაეზრდებოდნენ,გაგვეზრდებოდნენ,გაგეზრდებოდნენ,გაეზრდებოდნენ,
aor2
,გეზარდე,ვეზარდე,,გეზარდეთ,ვეზარდე,
მეზარდე,,ეზარდე,გვეზარდე,,ეზარდე,
მეზარდა,გეზარდა,ეზარდა,გვეზარდა,გეზარდათ,ეზარდათ,
,გეზარდეთ,ვეზარდეთ,,გეზარდეთ,ვეზარდეთ,
მეზარდეთ,,ეზარდეთ,გვეზარდეთ,,ეზარდეთ,
მეზარდნენ,გეზარდნენ,ეზარდნენ,გვეზარდნენ,გეზარდნენ,ეზარდნენ,
aor2_prfv
,გაგეზარდე,გავეზარდე,,გაგეზარდეთ,გავეზარდე,
გამეზარდე,,გაეზარდე,გაგვეზარდე,,გაეზარდე,
გამეზარდა,გაგეზარდა,გაეზარდა,გაგვეზარდა,გაგეზარდათ,გაეზარდათ,
,გაგეზარდეთ,გავეზარდეთ,,გაგეზარდეთ,გავეზარდეთ,
გამეზარდეთ,,გაეზარდეთ,გაგვეზარდეთ,,გაეზარდეთ,
გამეზარდნენ,გაგეზარდნენ,გაეზარდნენ,გაგვეზარდნენ,გაგეზარდნენ,გაეზარდნენ,
IIsubj2
,გეზარდო,ვეზარდო,,გეზარდოთ,ვეზარდო,
მეზარდო,,ეზარდო,გვეზარდო,,ეზარდო,
მეზარდოს,გეზარდოს,ეზარდოს,გვეზარდოს,გეზარდოთ,ეზარდოთ,
,გეზარდოთ,ვეზარდოთ,,გეზარდოთ,ვეზარდოთ,
მეზარდოთ,,ეზარდოთ,გვეზარდოთ,,ეზარდოთ,
მეზარდნენ,გეზარდნენ,ეზარდნენ,გვეზარდნენ,გეზარდნენ,ეზარდნენ,
IIsubj2_prfv
,გაგეზარდო,გავეზარდო,,გაგეზარდოთ,გავეზარდო,
გამეზარდო,,გაეზარდო,გაგვეზარდო,,გაეზარდო,
გამეზარდოს,გაგეზარდოს,გაეზარდოს,გაგვეზარდოს,გაგეზარდოთ,გაეზარდოთ,
,გაგეზარდოთ,გავეზარდოთ,,გაგეზარდოთ,გავეზარდოთ,
გამეზარდოთ,,გაეზარდოთ,გაგვეზარდოთ,,გაეზარდოთ,
გამეზარდნენ,გაგეზარდნენ,გაეზარდნენ,გაგვეზარდნენ,გაგეზარდნენ,გაეზარდნენ,
Iturm
,გზრდივარ,ვზრდივარ,,გზრდივართ,ვზრდივარ,
მზრდიხარ,,ზრდიხარ,გვზრდიხარ,,ზრდიხარ,
მზრდია,გზრდია,ზრდია,გვზრდია,გზრდიათ,ზრდიათ,
,გზრდივართ,ვზრდივართ,,გზრდივართ,ვზრდივართ,
მზრდიხართ,,ზრდიხართ,გვზრდიხართ,,ზრდიხართ,
მზრდიან,გზრდიან,ზრდიან,გვზრდიან,გზრდიან,ზრდიან,
Iturm_prfv
,გაგზრდივარ,გავზრდივარ,,გაგზრდივართ,გავზრდივარ,
გამზრდიხარ,,გაზრდიხარ,გაგვზრდიხარ,,გაზრდიხარ,
გამზრდია,გაგზრდია,გაზრდია,გაგვზრდია,გაგზრდიათ,გაზრდიათ,
,გაგზრდივართ,გავზრდივართ,,გაგზრდივართ,გავზრდივართ,
გამზრდიხართ,,გაზრდიხართ,გაგვზრდიხართ,,გაზრდიხართ,
გამზრდიან,გაგზრდიან,გაზრდიან,გაგვზრდიან,გაგზრდიან,გაზრდიან,
IIturm
,გზრდიყავი,ვზრდიყავი,,გზრდიყავით,ვზრდიყავი,
მზრდიყავი,,ზრდიყავი,გვზრდიყავი,,ზრდიყავი,
მზრდიყო,გზრდიყო,ზრდიყო,გვზრდიყო,გზრდიყოთ,ზრდიყოთ,
,გზრდიყავით,ვზრდიყავით,,გზრდიყავით,ვზრდიყავით,
მზრდიყავით,,ზრდიყავით,გვზრდიყავით,,ზრდიყავით,
მზრდიყვნენ,გზრდიყვნენ,ზრდიყვნენ,გვზრდიყვნენ,გზრდიყვნენ,ზრდიყვნენ,
IIturm_prfv
,გაგზრდიყავი,გავზრდიყავი,,გაგზრდიყავით,გავზრდიყავი,
გამზრდიყავი,,გაზრდიყავი,გაგვზრდიყავი,,გაზრდიყავი,
გამზრდიყო,გაგზრდიყო,გაზრდიყო,გაგვზრდიყო,გაგზრდიყოთ,გაზრდიყოთ,
,გაგზრდიყავით,გავზრდიყავით,,გაგზრდიყავით,გავზრდიყავით,
გამზრდიყავით,,გაზრდიყავით,გაგვზრდიყავით,,გაზრდიყავით,
გამზრდიყვნენ,გაგზრდიყვნენ,გაზრდიყვნენ,გაგვზრდიყვნენ,გაგზრდიყვნენ,გაზრდიყვნენ,
IIIsubj
,გზრდიყო,ვზრდიყო,,გზრდიყოთ,ვზრდიყო,
მზრდიყო,,ზრდიყო,გვზრდიყო,,ზრდიყო,
მზრდიყოს,გზრდიყოს,ზრდიყოს,გვზრდიყოს,გზრდიყოთ,ზრდიყოთ,
,გზრდიყოთ,ვზრდიყოთ,,გზრდიყოთ,ვზრდიყოთ,
მზრდიყოთ,,ზრდიყოთ,გვზრდიყოთ,,ზრდიყოთ,
მზრდიყონ,გზრდიყონ,ზრდიყონ,გვზრდიყონ,გზრდიყონ,ზრდიყონ,
IIIsubj_prfv
,გაგზრდიყო,გავზრდიყო,,გაგზრდიყოთ,გავზრდიყო,
გამზრდიყო,,გაზრდიყო,გაგვზრდიყო,,გაზრდიყო,
გამზრდიყოს,გაგზრდიყოს,გაზრდიყოს,გაგვზრდიყოს,გაგზრდიყოთ,გაზრდიყოთ,
,გაგზრდიყოთ,გავზრდიყოთ,,გაგზრდიყოთ,გავზრდიყოთ,
გამზრდიყოთ,,გაზრდიყოთ,გაგვზრდიყოთ,,გაზრდიყოთ,
გამზრდიყონ,გაგზრდიყონ,გაზრდიყონ,გაგვზრდიყონ,გაგზრდიყონ,გაზრდიყონ,
IIturm_impf
,გზრდოდი,ვზრდოდი,,გზრდოდით,ვზრდოდი,
მზრდოდი,,ზრდოდი,გვზრდოდი,,ზრდოდი,
მზრდოდა,გზრდოდა,ზრდოდა,გვზრდოდა,გზრდოდათ,ზრდოდათ,
,გზრდოდით,ვზრდოდით,,გზრდოდით,ვზრდოდით,
მზრდოდით,,ზრდოდით,გვზრდოდით,,ზრდოდით,
მზრდოდნენ,გზრდოდნენ,ზრდოდნენ,გვზრდოდნენ,გზრდოდნენ,ზრდოდნენ,
IIturm_impf_pv
,გაგზრდოდი,გავზრდოდი,,გაგზრდოდით,გავზრდოდი,
გამზრდოდი,,გაზრდოდი,გაგვზრდოდი,,გაზრდოდი,
გამზრდოდა,გაგზრდოდა,გაზრდოდა,გაგვზრდოდა,გაგზრდოდათ,გაზრდოდათ,
,გაგზრდოდით,გავზრდოდით,,გაგზრდოდით,გავზრდოდით,
გამზრდოდით,,გაზრდოდით,გაგვზრდოდით,,გაზრდოდით,
გამზრდოდნენ,გაგზრდოდნენ,გაზრდოდნენ,გაგვზრდოდნენ,გაგზრდოდნენ,გაზრდოდნენ,
IIIsubj_impf
,გზრდოდე,ვზრდოდე,,გზრდოდეთ,ვზრდოდე,
მზრდოდე,,ზრდოდე,გვზრდოდე,,ზრდოდე,
მზრდოდა,გზრდოდა,ზრდოდა,გვზრდოდა,გზრდოდათ,ზრდოდათ,
,გზრდოდეთ,ვზრდოდეთ,,გზრდოდეთ,ვზრდოდეთ,
მზრდოდეთ,,ზრდოდეთ,გვზრდოდეთ,,ზრდოდეთ,
მზრდოდნენ,გზრდოდნენ,ზრდოდნენ,გვზრდოდნენ,გზრდოდნენ,ზრდოდნენ,
IIIsubj_impf_pv
,გაგზრდოდე,გავზრდოდე,,გაგზრდოდეთ,გავზრდოდე,
გამზრდოდე,,გაზრდოდე,გაგვზრდოდე,,გაზრდოდე,
გამზრდოდა,გაგზრდოდა,გაზრდოდა,გაგვზრდოდა,გაგზრდოდათ,გაზრდოდათ,
,გაგზრდოდეთ,გავზრდოდეთ,,გაგზრდოდეთ,გავზრდოდეთ,
გამზრდოდეთ,,გაზრდოდეთ,გაგვზრდოდეთ,,გაზრდოდეთ,
გამზრდოდნენ,გაგზრდოდნენ,გაზრდოდნენ,გაგვზრდოდნენ,გაგზრდოდნენ,გაზრდოდნენ,
