fut2
,გეჭრები,ვეჭრები,,გეჭრებით,ვეჭრები,
მეჭრები,,ეჭრები,გვეჭრები,,ეჭრები,
მეჭრება,გეჭრება,ეჭრება,გვეჭრება,გეჭრებათ,ეჭრებათ,
,გეჭრებით,ვეჭრებით,,გეჭრებით,ვეჭრებით,
მეჭრებით,,ეჭრებით,გვეჭრებით,,ეჭრებით,
მეჭრებიან,გეჭრებიან,ეჭრებიან,გვეჭრებიან,გეჭრებიან,ეჭრებიან,
fut2_prfv
,გაგეჭრები,გავეჭრები,,გაგეჭრებით,გავეჭრები,
გამეჭრები,,გაეჭრები,გაგვეჭრები,,გაეჭრები,
გამეჭრება,გაგეჭრება,გაეჭრება,გაგვეჭრება,გაგეჭრებათ,გაეჭრებათ,
,გაგეჭრებით,გავეჭრებით,,გაგეჭრებით,გავეჭრებით,
გამეჭრებით,,გაეჭრებით,გაგვეჭრებით,,გაეჭრებით,
გამეჭრებიან,გაგეჭრებიან,გაეჭრებიან,გაგვეჭრებიან,გაგეჭრებიან,გაეჭრებიან,
cond2
,გეჭრებოდი,ვეჭრებოდი,,გეჭრებოდით,ვეჭრებოდი,
მეჭრებოდი,,ეჭრებოდი,გვეჭრებოდი,,ეჭრებოდი,
მეჭრებოდა,გეჭრებოდა,ეჭრებოდა,გვეჭრებოდა,გეჭრებოდათ,ეჭრებოდათ,
,გეჭრებოდით,ვეჭრებოდით,,გეჭრებოდით,ვეჭრებოდით,
მეჭრებოდით,,ეჭრებოდით,გვეჭრებოდით,,ეჭრებოდით,
მეჭრებოდნენ,გეჭრებოდნენ,ეჭრებოდნენ,გვეჭრებოდნენ,გეჭრებოდნენ,ეჭრებოდნენ,
cond2_prfv
,გაგეჭრებოდი,გავეჭრებოდი,,გაგეჭრებოდით,გავეჭრებოდი,
გამეჭრებოდი,,გაეჭრებოდი,გაგვეჭრებოდი,,გაეჭრებოდი,
გამეჭრებოდა,გაგეჭრებოდა,გაეჭრებოდა,გაგვეჭრებოდა,გაგეჭრებოდათ,გაეჭრებოდათ,
,გაგეჭრებოდით,გავეჭრებოდით,,გაგეჭრებოდით,გავეჭრებოდით,
გამეჭრებოდით,,გაეჭრებოდით,გაგვეჭრებოდით,,გაეჭრებოდით,
გამეჭრებოდნენ,გაგეჭრებოდნენ,გაეჭრებოდნენ,გაგვეჭრებოდნენ,გაგეჭრებოდნენ,გაეჭრებოდნენ,
fut2_subj
,გეჭრებოდე,ვეჭრებოდე,,გეჭრებოდეთ,ვეჭრებოდე,
მეჭრებოდე,,ეჭრებოდე,გვეჭრებოდე,,ეჭრებოდე,
მეჭრებოდეს,გეჭრებოდეს,ეჭრებოდეს,გვეჭრებოდეს,გეჭრებოდეთ,ეჭრებოდეთ,
,გეჭრებოდეთ,ვეჭრებოდეთ,,გეჭრებოდეთ,ვეჭრებოდეთ,
მეჭრებოდეთ,,ეჭრებოდეთ,გვეჭრებოდეთ,,ეჭრებოდეთ,
მეჭრებოდნენ,გეჭრებოდნენ,ეჭრებოდნენ,გვეჭრებოდნენ,გეჭრებოდნენ,ეჭრებოდნენ,
fut2_subj_prfv
,გაგეჭრებოდე,გავეჭრებოდე,,გაგეჭრებოდეთ,გავეჭრებოდე,
გამეჭრებოდე,,გაეჭრებოდე,გაგვეჭრებოდე,,გაეჭრებოდე,
გამეჭრებოდეს,გაგეჭრებოდეს,გაეჭრებოდეს,გაგვეჭრებოდეს,გაგეჭრებოდეთ,გაეჭრებოდეთ,
,გაგეჭრებოდეთ,გავეჭრებოდეთ,,გაგეჭრებოდეთ,გავეჭრებოდეთ,
გამეჭრებოდეთ,,გაეჭრებოდეთ,გაგვეჭრებოდეთ,,გაეჭრებოდეთ,
გამეჭრებოდნენ,გაგეჭრებოდნენ,გაეჭრებოდნენ,გაგვეჭრებოდნენ,გაგეჭრებოდნენ,გაეჭრებოდნენ,
aor2
,გეჭერი,ვეჭერი,,გეჭერით,ვეჭერი,
მეჭერი,,ეჭერი,გვეჭერი,,ეჭერი,
მეჭრა,გეჭრა,ეჭრა,გვეჭრა,გეჭრათ,ეჭრათ,
,გეჭერით,ვეჭერით,,გეჭერით,ვეჭერით,
მეჭერით,,ეჭერით,გვეჭერით,,ეჭერით,
მეჭრნენ,გეჭრნენ,ეჭრნენ,გვეჭრნენ,გეჭრნენ,ეჭრნენ,
aor2_prfv
,გაგეჭერი,გავეჭერი,,გაგეჭერით,გავეჭერი,
გამეჭერი,,გაეჭერი,გაგვეჭერი,,გაეჭერი,
გამეჭრა,გაგეჭრა,გაეჭრა,გაგვეჭრა,გაგეჭრათ,გაეჭრათ,
,გაგეჭერით,გავეჭერით,,გაგეჭერით,გავეჭერით,
გამეჭერით,,გაეჭერით,გაგვეჭერით,,გაეჭერით,
გამეჭრნენ,გაგეჭრნენ,გაეჭრნენ,გაგვეჭრნენ,გაგეჭრნენ,გაეჭრნენ,
IIsubj2
,გეჭრა,ვეჭრა,,გეჭრათ,ვეჭრა,
მეჭრა,,ეჭრა,გვეჭრა,,ეჭრა,
მეჭრას,გეჭრას,ეჭრას,გვეჭრას,გეჭრათ,ეჭრათ,
,გეჭრათ,ვეჭრათ,,გეჭრათ,ვეჭრათ,
მეჭრათ,,ეჭრათ,გვეჭრათ,,ეჭრათ,
მეჭრნენ,გეჭრნენ,ეჭრნენ,გვეჭრნენ,გეჭრნენ,ეჭრნენ,
IIsubj2_prfv
,გაგეჭრა,გავეჭრა,,გაგეჭრათ,გავეჭრა,
გამეჭრა,,გაეჭრა,გაგვეჭრა,,გაეჭრა,
გამეჭრას,გაგეჭრას,გაეჭრას,გაგვეჭრას,გაგეჭრათ,გაეჭრათ,
,გაგეჭრათ,გავეჭრათ,,გაგეჭრათ,გავეჭრათ,
გამეჭრათ,,გაეჭრათ,გაგვეჭრათ,,გაეჭრათ,
გამეჭრნენ,გაგეჭრნენ,გაეჭრნენ,გაგვეჭრნენ,გაგეჭრნენ,გაეჭრნენ,
Iturm
,გჭრივარ,ვჭრივარ,,გჭრივართ,ვჭრივარ,
მჭრიხარ,,სჭრიხარ,გვჭრიხარ,,სჭრიხარ,
მჭრია,გჭრია,სჭრია,გვჭრია,გჭრიათ,სჭრიათ,
,გჭრივართ,ვჭრივართ,,გჭრივართ,ვჭრივართ,
მჭრიხართ,,სჭრიხართ,გვჭრიხართ,,სჭრიხართ,
მჭრიან,გჭრიან,სჭრიან,გვჭრიან,გჭრიან,სჭრიან,
Iturm_prfv
,გაგჭრივარ,გავჭრივარ,,გაგჭრივართ,გავჭრივარ,
გამჭრიხარ,,გასჭრიხარ,გაგვჭრიხარ,,გასჭრიხარ,
გამჭრია,გაგჭრია,გასჭრია,გაგვჭრია,გაგჭრიათ,გასჭრიათ,
,გაგჭრივართ,გავჭრივართ,,გაგჭრივართ,გავჭრივართ,
გამჭრიხართ,,გასჭრიხართ,გაგვჭრიხართ,,გასჭრიხართ,
გამჭრიან,გაგჭრიან,გასჭრიან,გაგვჭრიან,გაგჭრიან,გასჭრიან,
IIturm_impf
,გჭროდი,ვჭროდი,,გჭროდით,ვჭროდი,
მჭროდი,,სჭროდი,გვჭროდი,,სჭროდი,
მჭროდა,გჭროდა,სჭროდა,გვჭროდა,გჭროდათ,სჭროდათ,
,გჭროდით,ვჭროდით,,გჭროდით,ვჭროდით,
მჭროდით,,სჭროდით,გვჭროდით,,სჭროდით,
მჭროდნენ,გჭროდნენ,სჭროდნენ,გვჭროდნენ,გჭროდნენ,სჭროდნენ,
IIturm_impf_pv
,გაგჭროდი,გავჭროდი,,გაგჭროდით,გავჭროდი,
გამჭროდი,,გასჭროდი,გაგვჭროდი,,გასჭროდი,
გამჭროდა,გაგჭროდა,გასჭროდა,გაგვჭროდა,გაგჭროდათ,გასჭროდათ,
,გაგჭროდით,გავჭროდით,,გაგჭროდით,გავჭროდით,
გამჭროდით,,გასჭროდით,გაგვჭროდით,,გასჭროდით,
გამჭროდნენ,გაგჭროდნენ,გასჭროდნენ,გაგვჭროდნენ,გაგჭროდნენ,გასჭროდნენ,
IIIsubj_impf
,გჭროდე,ვჭროდე,,გჭროდეთ,ვჭროდე,
მჭროდე,,სჭროდე,გვჭროდე,,სჭროდე,
მჭროდა,გჭროდა,სჭროდა,გვჭროდა,გჭროდათ,სჭროდათ,
,გჭროდეთ,ვჭროდეთ,,გჭროდეთ,ვჭროდეთ,
მჭროდეთ,,სჭროდეთ,გვჭროდეთ,,სჭროდეთ,
მჭროდნენ,გჭროდნენ,სჭროდნენ,გვჭროდნენ,გჭროდნენ,სჭროდნენ,
IIIsubj_impf_pv
,გაგჭროდე,გავჭროდე,,გაგჭროდეთ,გავჭროდე,
გამჭროდე,,გასჭროდე,გაგვჭროდე,,გასჭროდე,
გამჭროდა,გაგჭროდა,გასჭროდა,გაგვჭროდა,გაგჭროდათ,გასჭროდათ,
,გაგჭროდეთ,გავჭროდეთ,,გაგჭროდეთ,გავჭროდეთ,
გამჭროდეთ,,გასჭროდეთ,გაგვჭროდეთ,,გასჭროდეთ,
გამჭროდნენ,გაგჭროდნენ,გასჭროდნენ,გაგვჭროდნენ,გაგჭროდნენ,გასჭროდნენ,
