fut2
,გინახავ,ვინახავ,,გინახავთ,ვინახავ,
მინახავ,,ინახავ,გვინახავ,,ინახავ,
მინახავს,გინახავს,ინახავს,გვინახავს,გინახავთ,ინახავს,
,გინახავთ,ვინახავთ,,გინახავთ,ვინახავთ,
მინახავთ,,ინახავთ,გვინახავთ,,ინახავთ,
მინახავენ,გინახავენ,ინახავენ,გვინახავენ,გინახავენ,ინახავენ,
fut2_prfv
,გაგინახავ,გავინახავ,,გაგინახავთ,გავინახავ,
გამინახავ,,გაინახავ,გაგვინახავ,,გაინახავ,
გამინახავს,გაგინახავს,გაინახავს,გაგვინახავს,გაგინახავთ,გაინახავს,
,გაგინახავთ,გავინახავთ,,გაგინახავთ,გავინახავთ,
გამინახავთ,,გაინახავთ,გაგვინახავთ,,გაინახავთ,
გამინახავენ,გაგინახავენ,გაინახავენ,გაგვინახავენ,გაგინახავენ,გაინახავენ,
cond2
,გინახავდი,ვინახავდი,,გინახავდით,ვინახავდი,
მინახავდი,,ინახავდი,გვინახავდი,,ინახავდი,
მინახავდა,გინახავდა,ინახავდა,გვინახავდა,გინახავდათ,ინახავდა,
,გინახავდით,ვინახავდით,,გინახავდით,ვინახავდით,
მინახავდით,,ინახავდით,გვინახავდით,,ინახავდით,
მინახავდნენ,გინახავდნენ,ინახავდნენ,გვინახავდნენ,გინახავდნენ,ინახავდნენ,
cond2_prfv
,გაგინახავდი,გავინახავდი,,გაგინახავდით,გავინახავდი,
გამინახავდი,,გაინახავდი,გაგვინახავდი,,გაინახავდი,
გამინახავდა,გაგინახავდა,გაინახავდა,გაგვინახავდა,გაგინახავდათ,გაინახავდა,
,გაგინახავდით,გავინახავდით,,გაგინახავდით,გავინახავდით,
გამინახავდით,,გაინახავდით,გაგვინახავდით,,გაინახავდით,
გამინახავდნენ,გაგინახავდნენ,გაინახავდნენ,გაგვინახავდნენ,გაგინახავდნენ,გაინახავდნენ,
fut2_subj
,გინახავდე,ვინახავდე,,გინახავდეთ,ვინახავდე,
მინახავდე,,ინახავდე,გვინახავდე,,ინახავდე,
მინახავდეს,გინახავდეს,ინახავდეს,გვინახავდეს,გინახავდეთ,ინახავდეს,
,გინახავდეთ,ვინახავდეთ,,გინახავდეთ,ვინახავდეთ,
მინახავდეთ,,ინახავდეთ,გვინახავდეთ,,ინახავდეთ,
მინახავდნენ,გინახავდნენ,ინახავდნენ,გვინახავდნენ,გინახავდნენ,ინახავდნენ,
fut2_subj_prfv
,გაგინახავდე,გავინახავდე,,გაგინახავდეთ,გავინახავდე,
გამინახავდე,,გაინახავდე,გაგვინახავდე,,გაინახავდე,
გამინახავდეს,გაგინახავდეს,გაინახავდეს,გაგვინახავდეს,გაგინახავდეთ,გაინახავდეს,
,გაგინახავდეთ,გავინახავდეთ,,გაგინახავდეთ,გავინახავდეთ,
გამინახავდეთ,,გაინახავდეთ,გაგვინახავდეთ,,გაინახავდეთ,
გამინახავდნენ,გაგინახავდნენ,გაინახავდნენ,გაგვინახავდნენ,გაგინახავდნენ,გაინახავდნენ,
aor2
,გინახე,ვინახე,,გინახეთ,ვინახე,
მინახე,,ინახე,გვინახე,,ინახე,
მინახა,გინახა,ინახა,გვინახა,გინახათ,ინახა,
,გინახეთ,ვინახეთ,,გინახეთ,ვინახეთ,
მინახეთ,,ინახეთ,გვინახეთ,,ინახეთ,
მინახეს,გინახეს,ინახეს,გვინახეს,გინახეს,ინახეს,
aor2_prfv
,გაგინახე,გავინახე,,გაგინახეთ,გავინახე,
გამინახე,,გაინახე,გაგვინახე,,გაინახე,
გამინახა,გაგინახა,გაინახა,გაგვინახა,გაგინახათ,გაინახა,
,გაგინახეთ,გავინახეთ,,გაგინახეთ,გავინახეთ,
გამინახეთ,,გაინახეთ,გაგვინახეთ,,გაინახეთ,
გამინახეს,გაგინახეს,გაინახეს,გაგვინახეს,გაგინახეს,გაინახეს,
IIsubj2
,გინახო,ვინახო,,გინახოთ,ვინახო,
მინახო,,ინახო,გვინახო,,ინახო,
მინახოს,გინახოს,ინახოს,გვინახოს,გინახოთ,ინახოს,
,გინახოთ,ვინახოთ,,გინახოთ,ვინახოთ,
მინახოთ,,ინახოთ,გვინახოთ,,ინახოთ,
მინახონ,გინახონ,ინახონ,გვინახონ,გინახონ,ინახონ,
IIsubj2_prfv
,გაგინახო,გავინახო,,გაგინახოთ,გავინახო,
გამინახო,,გაინახო,გაგვინახო,,გაინახო,
გამინახოს,გაგინახოს,გაინახოს,გაგვინახოს,გაგინახოთ,გაინახოს,
,გაგინახოთ,გავინახოთ,,გაგინახოთ,გავინახოთ,
გამინახოთ,,გაინახოთ,გაგვინახოთ,,გაინახოთ,
გამინახონ,გაგინახონ,გაინახონ,გაგვინახონ,გაგინახონ,გაინახონ,
Iturm
,მინახიხარ,მინახია,,მინახიხართ,მინახია,
გინახივარ,,გინახია,გინახივართ,,გინახია,
ვუნახივარ,უნახიხარ,უნახია,ვუნახივართ,უნახიხართ,უნახია,
,გვინახიხარ,გვინახია,,გვინახიხართ,გვინახია,
გინახივართ,,გინახიათ,გინახივართ,,გინახიათ,
ვუნახივარ,უნახიხარ,უნახიათ,ვუნახივართ,უნახიხართ,უნახიათ,
Iturm_prfv
,გამინახიხარ,გამინახია,,გამინახიხართ,გამინახია,
გაგინახივარ,,გაგინახია,გაგინახივართ,,გაგინახია,
გავუნახივარ,გაუნახიხარ,გაუნახია,გავუნახივართ,გაუნახიხართ,გაუნახია,
,გაგვინახიხარ,გაგვინახია,,გაგვინახიხართ,გაგვინახია,
გაგინახივართ,,გაგინახიათ,გაგინახივართ,,გაგინახიათ,
გავუნახივარ,გაუნახიხარ,გაუნახიათ,გავუნახივართ,გაუნახიხართ,გაუნახიათ,
Iturm_th
,მინახავხარ,მინახავს,,მინახავხართ,მინახავს,
გინახავვარ,,გინახავს,გინახავვართ,,გინახავს,
ვუნახავვარ,უნახავხარ,უნახავს,ვუნახავვართ,უნახავხართ,უნახავს,
,გვინახავხარ,გვინახავს,,გვინახავხართ,გვინახავს,
გინახავვართ,,გინახავთ,გინახავვართ,,გინახავთ,
ვუნახავვარ,უნახავხარ,უნახავთ,ვუნახავვართ,უნახავხართ,უნახავთ,
Iturm_th_prfv
,გამინახავხარ,გამინახავს,,გამინახავხართ,გამინახავს,
გაგინახავვარ,,გაგინახავს,გაგინახავვართ,,გაგინახავს,
გავუნახავვარ,გაუნახავხარ,გაუნახავს,გავუნახავვართ,გაუნახავხართ,გაუნახავს,
,გაგვინახავხარ,გაგვინახავს,,გაგვინახავხართ,გაგვინახავს,
გაგინახავვართ,,გაგინახავთ,გაგინახავვართ,,გაგინახავთ,
გავუნახავვარ,გაუნახავხარ,გაუნახავთ,გავუნახავვართ,გაუნახავხართ,გაუნახავთ,
IIturm
,მენახე,მენახა,,მენახეთ,მენახა,
გენახე,,გენახა,გენახეთ,,გენახა,
ვენახე,ენახე,ენახა,ვენახეთ,ენახეთ,ენახა,
,გვენახე,გვენახა,,გვენახეთ,გვენახა,
გენახეთ,,გენახათ,გენახეთ,,გენახათ,
ვენახე,ენახე,ენახათ,ვენახეთ,ენახეთ,ენახათ,
IIturm_prfv
,გამენახე,გამენახა,,გამენახეთ,გამენახა,
