pres
,გკრავ,ვკრავ,,გკრავთ,ვკრავ,
მკრავ,,კრავ,გვკრავ,,კრავ,
მკრავს,გკრავს,კრავს,გვკრავს,გკრავთ,კრავს,
,გკრავთ,ვკრავთ,,გკრავთ,ვკრავთ,
მკრავთ,,კრავთ,გვკრავთ,,კრავთ,
მკრავენ,გკრავენ,კრავენ,გვკრავენ,გკრავენ,კრავენ,
fut
,გაგკრავ,გავკრავ,,გაგკრავთ,გავკრავ,
გამკრავ,,გაკრავ,გაგვკრავ,,გაკრავ,
გამკრავს,გაგკრავს,გაკრავს,გაგვკრავს,გაგკრავთ,გაკრავს,
,გაგკრავთ,გავკრავთ,,გაგკრავთ,გავკრავთ,
გამკრავთ,,გაკრავთ,გაგვკრავთ,,გაკრავთ,
გამკრავენ,გაგკრავენ,გაკრავენ,გაგვკრავენ,გაგკრავენ,გაკრავენ,
impf
,გკრავდი,ვკრავდი,,გკრავდით,ვკრავდი,
მკრავდი,,კრავდი,გვკრავდი,,კრავდი,
მკრავდა,გკრავდა,კრავდა,გვკრავდა,გკრავდათ,კრავდა,
,გკრავდით,ვკრავდით,,გკრავდით,ვკრავდით,
მკრავდით,,კრავდით,გვკრავდით,,კრავდით,
მკრავდნენ,გკრავდნენ,კრავდნენ,გვკრავდნენ,გკრავდნენ,კრავდნენ,
cond
,გაგკრავდი,გავკრავდი,,გაგკრავდით,გავკრავდი,
გამკრავდი,,გაკრავდი,გაგვკრავდი,,გაკრავდი,
გამკრავდა,გაგკრავდა,გაკრავდა,გაგვკრავდა,გაგკრავდათ,გაკრავდა,
,გაგკრავდით,გავკრავდით,,გაგკრავდით,გავკრავდით,
გამკრავდით,,გაკრავდით,გაგვკრავდით,,გაკრავდით,
გამკრავდნენ,გაგკრავდნენ,გაკრავდნენ,გაგვკრავდნენ,გაგკრავდნენ,გაკრავდნენ,
subj
,გკრავდე,ვკრავდე,,გკრავდეთ,ვკრავდე,
მკრავდე,,კრავდე,გვკრავდე,,კრავდე,
მკრავდეს,გკრავდეს,კრავდეს,გვკრავდეს,გკრავდეთ,კრავდეს,
,გკრავდეთ,ვკრავდეთ,,გკრავდეთ,ვკრავდეთ,
მკრავდეთ,,კრავდეთ,გვკრავდეთ,,კრავდეთ,
მკრავდნენ,გკრავდნენ,კრავდნენ,გვკრავდნენ,გკრავდნენ,კრავდნენ,
fut_subj
,გაგკრავდე,გავკრავდე,,გაგკრავდეთ,გავკრავდე,
გამკრავდე,,გაკრავდე,გაგვკრავდე,,გაკრავდე,
გამკრავდეს,გაგკრავდეს,გაკრავდეს,გაგვკრავდეს,გაგკრავდეთ,გაკრავდეს,
,გაგკრავდეთ,გავკრავდეთ,,გაგკრავდეთ,გავკრავდეთ,
გამკრავდეთ,,გაკრავდეთ,გაგვკრავდეთ,,გაკრავდეთ,
გამკრავდნენ,გაგკრავდნენ,გაკრავდნენ,გაგვკრავდნენ,გაგკრავდნენ,გაკრავდნენ,
aor
,გკარი,ვკარი,,გკარით,ვკარი,
მკარი,,კარი,გვკარი,,კარი,
მკრა,გკრა,კრა,გვკრა,გკრათ,კრა,
,გკარით,ვკარით,,გკარით,ვკარით,
მკარით,,კარით,გვკარით,,კარით,
მკრეს,გკრეს,კრეს,გვკრეს,გკრეს,კრეს,
aor_prfv
