pres
,გნანობ,ვნანობ,,გნანობთ,ვნანობ,
მნანობ,,ნანობ,გვნანობ,,ნანობ,
მნანობს,გნანობს,ნანობს,გვნანობს,გნანობთ,ნანობს,
,გნანობთ,ვნანობთ,,გნანობთ,ვნანობთ,
მნანობთ,,ნანობთ,გვნანობთ,,ნანობთ,
მნანობენ,გნანობენ,ნანობენ,გვნანობენ,გნანობენ,ნანობენ,
fut2
,გინანებ,ვინანებ,,გინანებთ,ვინანებ,
მინანებ,,ინანებ,გვინანებ,,ინანებ,
მინანებს,გინანებს,ინანებს,გვინანებს,გინანებთ,ინანებს,
,გინანებთ,ვინანებთ,,გინანებთ,ვინანებთ,
მინანებთ,,ინანებთ,გვინანებთ,,ინანებთ,
მინანებენ,გინანებენ,ინანებენ,გვინანებენ,გინანებენ,ინანებენ,
fut2_prfv
,გაგინანებ,გავინანებ,,გაგინანებთ,გავინანებ,
გამინანებ,,გაინანებ,გაგვინანებ,,გაინანებ,
გამინანებს,გაგინანებს,გაინანებს,გაგვინანებს,გაგინანებთ,გაინანებს,
,გაგინანებთ,გავინანებთ,,გაგინანებთ,გავინანებთ,
გამინანებთ,,გაინანებთ,გაგვინანებთ,,გაინანებთ,
გამინანებენ,გაგინანებენ,გაინანებენ,გაგვინანებენ,გაგინანებენ,გაინანებენ,
impf
,გნანობდი,ვნანობდი,,გნანობდით,ვნანობდი,
მნანობდი,,ნანობდი,გვნანობდი,,ნანობდი,
მნანობდა,გნანობდა,ნანობდა,გვნანობდა,გნანობდათ,ნანობდა,
,გნანობდით,ვნანობდით,,გნანობდით,ვნანობდით,
მნანობდით,,ნანობდით,გვნანობდით,,ნანობდით,
მნანობდნენ,გნანობდნენ,ნანობდნენ,გვნანობდნენ,გნანობდნენ,ნანობდნენ,
cond2
,გინანებდი,ვინანებდი,,გინანებდით,ვინანებდი,
მინანებდი,,ინანებდი,გვინანებდი,,ინანებდი,
მინანებდა,გინანებდა,ინანებდა,გვინანებდა,გინანებდათ,ინანებდა,
,გინანებდით,ვინანებდით,,გინანებდით,ვინანებდით,
მინანებდით,,ინანებდით,გვინანებდით,,ინანებდით,
მინანებდნენ,გინანებდნენ,ინანებდნენ,გვინანებდნენ,გინანებდნენ,ინანებდნენ,
cond2_prfv
,გაგინანებდი,გავინანებდი,,გაგინანებდით,გავინანებდი,
გამინანებდი,,გაინანებდი,გაგვინანებდი,,გაინანებდი,
გამინანებდა,გაგინანებდა,გაინანებდა,გაგვინანებდა,გაგინანებდათ,გაინანებდა,
,გაგინანებდით,გავინანებდით,,გაგინანებდით,გავინანებდით,
გამინანებდით,,გაინანებდით,გაგვინანებდით,,გაინანებდით,
გამინანებდნენ,გაგინანებდნენ,გაინანებდნენ,გაგვინანებდნენ,გაგინანებდნენ,გაინანებდნენ,
subj
,გნანობდე,ვნანობდე,,გნანობდეთ,ვნანობდე,
მნანობდე,,ნანობდე,გვნანობდე,,ნანობდე,
მნანობდეს,გნანობდეს,ნანობდეს,გვნანობდეს,გნანობდეთ,ნანობდეს,
,გნანობდეთ,ვნანობდეთ,,გნანობდეთ,ვნანობდეთ,
მნანობდეთ,,ნანობდეთ,გვნანობდეთ,,ნანობდეთ,
მნანობდნენ,გნანობდნენ,ნანობდნენ,გვნანობდნენ,გნანობდნენ,ნანობდნენ,
fut2_subj
,გინანებდე,ვინანებდე,,გინანებდეთ,ვინანებდე,
მინანებდე,,ინანებდე,გვინანებდე,,ინანებდე,
მინანებდეს,გინანებდეს,ინანებდეს,გვინანებდეს,გინანებდეთ,ინანებდეს,
,გინანებდეთ,ვინანებდეთ,,გინანებდეთ,ვინანებდეთ,
მინანებდეთ,,ინანებდეთ,გვინანებდეთ,,ინანებდეთ,
მინანებდნენ,გინანებდნენ,ინანებდნენ,გვინანებდნენ,გინანებდნენ,ინანებდნენ,
fut2_subj_prfv
,გაგინანებდე,გავინანებდე,,გაგინანებდეთ,გავინანებდე,
გამინანებდე,,გაინანებდე,გაგვინანებდე,,გაინანებდე,
გამინანებდეს,გაგინანებდეს,გაინანებდეს,გაგვინანებდეს,გაგინანებდეთ,გაინანებდეს,
,გაგინანებდეთ,გავინანებდეთ,,გაგინანებდეთ,გავინანებდეთ,
გამინანებდეთ,,გაინანებდეთ,გაგვინანებდეთ,,გაინანებდეთ,
გამინანებდნენ,გაგინანებდნენ,გაინანებდნენ,გაგვინანებდნენ,გაგინანებდნენ,გაინანებდნენ,
aor2
,გინანე,ვინანე,,გინანეთ,ვინანე,
მინანე,,ინანე,გვინანე,,ინანე,
მინანა,გინანა,ინანა,გვინანა,გინანათ,ინანა,
,გინანეთ,ვინანეთ,,გინანეთ,ვინანეთ,
მინანეთ,,ინანეთ,გვინანეთ,,ინანეთ,
მინანეს,გინანეს,ინანეს,გვინანეს,გინანეს,ინანეს,
aor2_prfv
,გაგინანე,გავინანე,,გაგინანეთ,გავინანე,
გამინანე,,გაინანე,გაგვინანე,,გაინანე,
გამინანა,გაგინანა,გაინანა,გაგვინანა,გაგინანათ,გაინანა,
