fut2
,გითმენ,ვუთმენ,,გითმენთ,ვუთმენ,
მითმენ,,უთმენ,გვითმენ,,უთმენ,
მითმენს,გითმენს,უთმენს,გვითმენს,გითმენთ,უთმენს,
,გითმენთ,ვუთმენთ,,გითმენთ,ვუთმენთ,
მითმენთ,,უთმენთ,გვითმენთ,,უთმენთ,
მითმენენ,გითმენენ,უთმენენ,გვითმენენ,გითმენენ,უთმენენ,
fut2_prfv
,გაგითმენ,გავუთმენ,,გაგითმენთ,გავუთმენ,
გამითმენ,,გაუთმენ,გაგვითმენ,,გაუთმენ,
გამითმენს,გაგითმენს,გაუთმენს,გაგვითმენს,გაგითმენთ,გაუთმენს,
,გაგითმენთ,გავუთმენთ,,გაგითმენთ,გავუთმენთ,
გამითმენთ,,გაუთმენთ,გაგვითმენთ,,გაუთმენთ,
გამითმენენ,გაგითმენენ,გაუთმენენ,გაგვითმენენ,გაგითმენენ,გაუთმენენ,
cond2
,გითმენდი,ვუთმენდი,,გითმენდით,ვუთმენდი,
მითმენდი,,უთმენდი,გვითმენდი,,უთმენდი,
მითმენდა,გითმენდა,უთმენდა,გვითმენდა,გითმენდათ,უთმენდა,
,გითმენდით,ვუთმენდით,,გითმენდით,ვუთმენდით,
მითმენდით,,უთმენდით,გვითმენდით,,უთმენდით,
მითმენდნენ,გითმენდნენ,უთმენდნენ,გვითმენდნენ,გითმენდნენ,უთმენდნენ,
cond2_prfv
,გაგითმენდი,გავუთმენდი,,გაგითმენდით,გავუთმენდი,
გამითმენდი,,გაუთმენდი,გაგვითმენდი,,გაუთმენდი,
გამითმენდა,გაგითმენდა,გაუთმენდა,გაგვითმენდა,გაგითმენდათ,გაუთმენდა,
,გაგითმენდით,გავუთმენდით,,გაგითმენდით,გავუთმენდით,
გამითმენდით,,გაუთმენდით,გაგვითმენდით,,გაუთმენდით,
გამითმენდნენ,გაგითმენდნენ,გაუთმენდნენ,გაგვითმენდნენ,გაგითმენდნენ,გაუთმენდნენ,
fut2_subj
,გითმენდე,ვუთმენდე,,გითმენდეთ,ვუთმენდე,
მითმენდე,,უთმენდე,გვითმენდე,,უთმენდე,
მითმენდეს,გითმენდეს,უთმენდეს,გვითმენდეს,გითმენდეთ,უთმენდეს,
,გითმენდეთ,ვუთმენდეთ,,გითმენდეთ,ვუთმენდეთ,
მითმენდეთ,,უთმენდეთ,გვითმენდეთ,,უთმენდეთ,
მითმენდნენ,გითმენდნენ,უთმენდნენ,გვითმენდნენ,გითმენდნენ,უთმენდნენ,
fut2_subj_prfv
,გაგითმენდე,გავუთმენდე,,გაგითმენდეთ,გავუთმენდე,
გამითმენდე,,გაუთმენდე,გაგვითმენდე,,გაუთმენდე,
გამითმენდეს,გაგითმენდეს,გაუთმენდეს,გაგვითმენდეს,გაგითმენდეთ,გაუთმენდეს,
,გაგითმენდეთ,გავუთმენდეთ,,გაგითმენდეთ,გავუთმენდეთ,
გამითმენდეთ,,გაუთმენდეთ,გაგვითმენდეთ,,გაუთმენდეთ,
გამითმენდნენ,გაგითმენდნენ,გაუთმენდნენ,გაგვითმენდნენ,გაგითმენდნენ,გაუთმენდნენ,
aor2
,გითმინე,ვუთმინე,,გითმინეთ,ვუთმინე,
მითმინე,,უთმინე,გვითმინე,,უთმინე,
მითმინა,გითმინა,უთმინა,გვითმინა,გითმინათ,უთმინა,
,გითმინეთ,ვუთმინეთ,,გითმინეთ,ვუთმინეთ,
მითმინეთ,,უთმინეთ,გვითმინეთ,,უთმინეთ,
მითმინეს,გითმინეს,უთმინეს,გვითმინეს,გითმინეს,უთმინეს,
aor2_prfv
,გაგითმინე,გავუთმინე,,გაგითმინეთ,გავუთმინე,
გამითმინე,,გაუთმინე,გაგვითმინე,,გაუთმინე,
გამითმინა,გაგითმინა,გაუთმინა,გაგვითმინა,გაგითმინათ,გაუთმინა,
,გაგითმინეთ,გავუთმინეთ,,გაგითმინეთ,გავუთმინეთ,
გამითმინეთ,,გაუთმინეთ,გაგვითმინეთ,,გაუთმინეთ,
გამითმინეს,გაგითმინეს,გაუთმინეს,გაგვითმინეს,გაგითმინეს,გაუთმინეს,
IIsubj2
,გითმინო,ვუთმინო,,გითმინოთ,ვუთმინო,
მითმინო,,უთმინო,გვითმინო,,უთმინო,
მითმინოს,გითმინოს,უთმინოს,გვითმინოს,გითმინოთ,უთმინოს,
,გითმინოთ,ვუთმინოთ,,გითმინოთ,ვუთმინოთ,
მითმინოთ,,უთმინოთ,გვითმინოთ,,უთმინოთ,
მითმინონ,გითმინონ,უთმინონ,გვითმინონ,გითმინონ,უთმინონ,
IIsubj2_prfv
,გაგითმინო,გავუთმინო,,გაგითმინოთ,გავუთმინო,
გამითმინო,,გაუთმინო,გაგვითმინო,,გაუთმინო,
გამითმინოს,გაგითმინოს,გაუთმინოს,გაგვითმინოს,გაგითმინოთ,გაუთმინოს,
,გაგითმინოთ,გავუთმინოთ,,გაგითმინოთ,გავუთმინოთ,
გამითმინოთ,,გაუთმინოთ,გაგვითმინოთ,,გაუთმინოთ,
გამითმინონ,გაგითმინონ,გაუთმინონ,გაგვითმინონ,გაგითმინონ,გაუთმინონ,
Iturm
,მითმენიხარ,მითმენია,,მითმენიხართ,მითმენია,
გითმენივარ,,გითმენია,გითმენივართ,,გითმენია,
ვუთმენივარ,უთმენიხარ,უთმენია,ვუთმენივართ,უთმენიხართ,უთმენია,
