pres
,გჭამ,ვჭამ,,გჭამთ,ვჭამ,
მჭამ,,ჭამ,გვჭამ,,ჭამ,
მჭამს,გჭამს,ჭამს,გვჭამს,გჭამთ,ჭამს,
,გჭამთ,ვჭამთ,,გჭამთ,ვჭამთ,
მჭამთ,,ჭამთ,გვჭამთ,,ჭამთ,
მჭამენ,გჭამენ,ჭამენ,გვჭამენ,გჭამენ,ჭამენ,
fut
,გაგჭამ,გავჭამ,,გაგჭამთ,გავჭამ,
გამჭამ,,გაჭამ,გაგვჭამ,,გაჭამ,
გამჭამს,გაგჭამს,გაჭამს,გაგვჭამს,გაგჭამთ,გაჭამს,
,გაგჭამთ,გავჭამთ,,გაგჭამთ,გავჭამთ,
გამჭამთ,,გაჭამთ,გაგვჭამთ,,გაჭამთ,
გამჭამენ,გაგჭამენ,გაჭამენ,გაგვჭამენ,გაგჭამენ,გაჭამენ,
impf
,გჭამდი,ვჭამდი,,გჭამდით,ვჭამდი,
მჭამდი,,ჭამდი,გვჭამდი,,ჭამდი,
მჭამდა,გჭამდა,ჭამდა,გვჭამდა,გჭამდათ,ჭამდა,
,გჭამდით,ვჭამდით,,გჭამდით,ვჭამდით,
მჭამდით,,ჭამდით,გვჭამდით,,ჭამდით,
მჭამდნენ,გჭამდნენ,ჭამდნენ,გვჭამდნენ,გჭამდნენ,ჭამდნენ,
cond
,გაგჭამდი,გავჭამდი,,გაგჭამდით,გავჭამდი,
გამჭამდი,,გაჭამდი,გაგვჭამდი,,გაჭამდი,
გამჭამდა,გაგჭამდა,გაჭამდა,გაგვჭამდა,გაგჭამდათ,გაჭამდა,
,გაგჭამდით,გავჭამდით,,გაგჭამდით,გავჭამდით,
გამჭამდით,,გაჭამდით,გაგვჭამდით,,გაჭამდით,
გამჭამდნენ,გაგჭამდნენ,გაჭამდნენ,გაგვჭამდნენ,გაგჭამდნენ,გაჭამდნენ,
subj
,გჭამდე,ვჭამდე,,გჭამდეთ,ვჭამდე,
მჭამდე,,ჭამდე,გვჭამდე,,ჭამდე,
მჭამდეს,გჭამდეს,ჭამდეს,გვჭამდეს,გჭამდეთ,ჭამდეს,
,გჭამდეთ,ვჭამდეთ,,გჭამდეთ,ვჭამდეთ,
მჭამდეთ,,ჭამდეთ,გვჭამდეთ,,ჭამდეთ,
მჭამდნენ,გჭამდნენ,ჭამდნენ,გვჭამდნენ,გჭამდნენ,ჭამდნენ,
fut_subj
,გაგჭამდე,გავჭამდე,,გაგჭამდეთ,გავჭამდე,
გამჭამდე,,გაჭამდე,გაგვჭამდე,,გაჭამდე,
გამჭამდეს,გაგჭამდეს,გაჭამდეს,გაგვჭამდეს,გაგჭამდეთ,გაჭამდეს,
,გაგჭამდეთ,გავჭამდეთ,,გაგჭამდეთ,გავჭამდეთ,
გამჭამდეთ,,გაჭამდეთ,გაგვჭამდეთ,,გაჭამდეთ,
გამჭამდნენ,გაგჭამდნენ,გაჭამდნენ,გაგვჭამდნენ,გაგჭამდნენ,გაჭამდნენ,
aor
,გჭამე,ვჭამე,,გჭამეთ,ვჭამე,
მჭამე,,ჭამე,გვჭამე,,ჭამე,
მჭამა,გჭამა,ჭამა,გვჭამა,გჭამათ,ჭამა,
,გჭამეთ,ვჭამეთ,,გჭამეთ,ვჭამეთ,
მჭამეთ,,ჭამეთ,გვჭამეთ,,ჭამეთ,
მჭამეს,გჭამეს,ჭამეს,გვჭამეს,გჭამეს,ჭამეს,
aor_prfv
,გაგჭამე,გავჭამე,,გაგჭამეთ,გავჭამე,
გამჭამე,,გაჭამე,გაგვჭამე,,გაჭამე,
გამჭამა,გაგჭამა,გაჭამა,გაგვჭამა,გაგჭამათ,გაჭამა,
,გაგჭამეთ,გავჭამეთ,,გაგჭამეთ,გავჭამეთ,
გამჭამეთ,,გაჭამეთ,გაგვჭამეთ,,გაჭამეთ,
გამჭამეს,გაგჭამეს,გაჭამეს,გაგვჭამეს,გაგჭამეს,გაჭამეს,
IIsubj
,გჭამო,ვჭამო,,გჭამოთ,ვჭამო,
მჭამო,,ჭამო,გვჭამო,,ჭამო,
მჭამოს,გჭამოს,ჭამოს,გვჭამოს,გჭამოთ,ჭამოს,
,გჭამოთ,ვჭამოთ,,გჭამოთ,ვჭამოთ,
მჭამოთ,,ჭამოთ,გვჭამოთ,,ჭამოთ,
მჭამონ,გჭამონ,ჭამონ,გვჭამონ,გჭამონ,ჭამონ,
IIsubj_prfv
,გაგჭამო,გავჭამო,,გაგჭამოთ,გავჭამო,
გამჭამო,,გაჭამო,გაგვჭამო,,გაჭამო,
გამჭამოს,გაგჭამოს,გაჭამოს,გაგვჭამოს,გაგჭამოთ,გაჭამოს,
,გაგჭამოთ,გავჭამოთ,,გაგჭამოთ,გავჭამოთ,
გამჭამოთ,,გაჭამოთ,გაგვჭამოთ,,გაჭამოთ,
გამჭამონ,გაგჭამონ,გაჭამონ,გაგვჭამონ,გაგჭამონ,გაჭამონ,
Iturm
,მიჭამიხარ,მიჭამია,,მიჭამიხართ,მიჭამია,
გიჭამივარ,,გიჭამია,გიჭამივართ,,გიჭამია,
ვუჭამივარ,უჭამიხარ,უჭამია,ვუჭამივართ,უჭამიხართ,უჭამია,
,გვიჭამიხარ,გვიჭამია,,გვიჭამიხართ,გვიჭამია,
გიჭამივართ,,გიჭამიათ,გიჭამივართ,,გიჭამიათ,
ვუჭამივარ,უჭამიხარ,უჭამიათ,ვუჭამივართ,უჭამიხართ,უჭამიათ,
Iturm_prfv
,გამიჭამიხარ,გამიჭამია,,გამიჭამიხართ,გამიჭამია,
გაგიჭამივარ,,გაგიჭამია,გაგიჭამივართ,,გაგიჭამია,
გავუჭამივარ,გაუჭამიხარ,გაუჭამია,გავუჭამივართ,გაუჭამიხართ,გაუჭამია,
,გაგვიჭამიხარ,გაგვიჭამია,,გაგვიჭამიხართ,გაგვიჭამია,
გაგიჭამივართ,,გაგიჭამიათ,გაგიჭამივართ,,გაგიჭამიათ,
გავუჭამივარ,გაუჭამიხარ,გაუჭამიათ,გავუჭამივართ,გაუჭამიხართ,გაუჭამიათ,
IIturm
,მეჭამე,მეჭამა,,მეჭამეთ,მეჭამა,
გეჭამე,,გეჭამა,გეჭამეთ,,გეჭამა,
ვეჭამე,ეჭამე,ეჭამა,ვეჭამეთ,ეჭამეთ,ეჭამა,
,გვეჭამე,გვეჭამა,,გვეჭამეთ,გვეჭამა,
გეჭამეთ,,გეჭამათ,გეჭამეთ,,გეჭამათ,
ვეჭამე,ეჭამე,ეჭამათ,ვეჭამეთ,ეჭამეთ,ეჭამათ,
IIturm_prfv
,გამეჭამე,გამეჭამა,,გამეჭამეთ,გამეჭამა,
გაგეჭამე,,გაგეჭამა,გაგეჭამეთ,,გაგეჭამა,
გავეჭამე,გაეჭამე,გაეჭამა,გავეჭამეთ,გაეჭამეთ,გაეჭამა,
,გაგვეჭამე,გაგვეჭამა,,გაგვეჭამეთ,გაგვეჭამა,
გაგეჭამეთ,,გაგეჭამათ,გაგეჭამეთ,,გაგეჭამათ,
გავეჭამე,გაეჭამე,გაეჭამათ,გავეჭამეთ,გაეჭამეთ,გაეჭამათ,
IIIsubj
,მეჭამო,მეჭამოს,,მეჭამოთ,მეჭამოს,
გეჭამო,,გეჭამოს,გეჭამოთ,,გეჭამოს,
ვეჭამო,ეჭამო,ეჭამოს,ვეჭამოთ,ეჭამოთ,ეჭამოს,
,გვეჭამო,გვეჭამოს,,გვეჭამოთ,გვეჭამოს,
