fut
,გაგკირკიტებ,გავკირკიტებ,,გაგკირკიტებთ,გავკირკიტებ,
გამკირკიტებ,,გაჰკირკიტებ,გაგვკირკიტებ,,გაჰკირკიტებ,
გამკირკიტებს,გაგკირკიტებს,გაჰკირკიტებს,გაგვკირკიტებს,გაგკირკიტებთ,გაჰკირკიტებს,
,გაგკირკიტებთ,გავკირკიტებთ,,გაგკირკიტებთ,გავკირკიტებთ,
გამკირკიტებთ,,გაჰკირკიტებთ,გაგვკირკიტებთ,,გაჰკირკიტებთ,
გამკირკიტებენ,გაგკირკიტებენ,გაჰკირკიტებენ,გაგვკირკიტებენ,გაგკირკიტებენ,გაჰკირკიტებენ,
cond
,გაგკირკიტებდი,გავკირკიტებდი,,გაგკირკიტებდით,გავკირკიტებდი,
გამკირკიტებდი,,გაჰკირკიტებდი,გაგვკირკიტებდი,,გაჰკირკიტებდი,
გამკირკიტებდა,გაგკირკიტებდა,გაჰკირკიტებდა,გაგვკირკიტებდა,გაგკირკიტებდათ,გაჰკირკიტებდა,
,გაგკირკიტებდით,გავკირკიტებდით,,გაგკირკიტებდით,გავკირკიტებდით,
გამკირკიტებდით,,გაჰკირკიტებდით,გაგვკირკიტებდით,,გაჰკირკიტებდით,
გამკირკიტებდნენ,გაგკირკიტებდნენ,გაჰკირკიტებდნენ,გაგვკირკიტებდნენ,გაგკირკიტებდნენ,გაჰკირკიტებდნენ,
fut_subj
,გაგკირკიტებდე,გავკირკიტებდე,,გაგკირკიტებდეთ,გავკირკიტებდე,
გამკირკიტებდე,,გაჰკირკიტებდე,გაგვკირკიტებდე,,გაჰკირკიტებდე,
გამკირკიტებდეს,გაგკირკიტებდეს,გაჰკირკიტებდეს,გაგვკირკიტებდეს,გაგკირკიტებდეთ,გაჰკირკიტებდეს,
,გაგკირკიტებდეთ,გავკირკიტებდეთ,,გაგკირკიტებდეთ,გავკირკიტებდეთ,
გამკირკიტებდეთ,,გაჰკირკიტებდეთ,გაგვკირკიტებდეთ,,გაჰკირკიტებდეთ,
გამკირკიტებდნენ,გაგკირკიტებდნენ,გაჰკირკიტებდნენ,გაგვკირკიტებდნენ,გაგკირკიტებდნენ,გაჰკირკიტებდნენ,
