fut2
,გაგზავნი,ვაგზავნი,,გაგზავნით,ვაგზავნი,
მაგზავნი,,აგზავნი,გვაგზავნი,,აგზავნი,
მაგზავნის,გაგზავნის,აგზავნის,გვაგზავნის,გაგზავნით,აგზავნის,
,გაგზავნით,ვაგზავნით,,გაგზავნით,ვაგზავნით,
მაგზავნით,,აგზავნით,გვაგზავნით,,აგზავნით,
მაგზავნიან,გაგზავნიან,აგზავნიან,გვაგზავნიან,გაგზავნიან,აგზავნიან,
fut2_prfv
,გადაგაგზავნი,გადავაგზავნი,,გადაგაგზავნით,გადავაგზავნი,
გადამაგზავნი,,გადააგზავნი,გადაგვაგზავნი,,გადააგზავნი,
გადამაგზავნის,გადაგაგზავნის,გადააგზავნის,გადაგვაგზავნის,გადაგაგზავნით,გადააგზავნის,
,გადაგაგზავნით,გადავაგზავნით,,გადაგაგზავნით,გადავაგზავნით,
გადამაგზავნით,,გადააგზავნით,გადაგვაგზავნით,,გადააგზავნით,
გადამაგზავნიან,გადაგაგზავნიან,გადააგზავნიან,გადაგვაგზავნიან,გადაგაგზავნიან,გადააგზავნიან,
cond2
,გაგზავნიდი,ვაგზავნიდი,,გაგზავნიდით,ვაგზავნიდი,
მაგზავნიდი,,აგზავნიდი,გვაგზავნიდი,,აგზავნიდი,
მაგზავნიდა,გაგზავნიდა,აგზავნიდა,გვაგზავნიდა,გაგზავნიდათ,აგზავნიდა,
,გაგზავნიდით,ვაგზავნიდით,,გაგზავნიდით,ვაგზავნიდით,
მაგზავნიდით,,აგზავნიდით,გვაგზავნიდით,,აგზავნიდით,
მაგზავნიდნენ,გაგზავნიდნენ,აგზავნიდნენ,გვაგზავნიდნენ,გაგზავნიდნენ,აგზავნიდნენ,
cond2_prfv
,გადაგაგზავნიდი,გადავაგზავნიდი,,გადაგაგზავნიდით,გადავაგზავნიდი,
გადამაგზავნიდი,,გადააგზავნიდი,გადაგვაგზავნიდი,,გადააგზავნიდი,
გადამაგზავნიდა,გადაგაგზავნიდა,გადააგზავნიდა,გადაგვაგზავნიდა,გადაგაგზავნიდათ,გადააგზავნიდა,
,გადაგაგზავნიდით,გადავაგზავნიდით,,გადაგაგზავნიდით,გადავაგზავნიდით,
გადამაგზავნიდით,,გადააგზავნიდით,გადაგვაგზავნიდით,,გადააგზავნიდით,
გადამაგზავნიდნენ,გადაგაგზავნიდნენ,გადააგზავნიდნენ,გადაგვაგზავნიდნენ,გადაგაგზავნიდნენ,გადააგზავნიდნენ,
fut2_subj
,გაგზავნიდე,ვაგზავნიდე,,გაგზავნიდეთ,ვაგზავნიდე,
მაგზავნიდე,,აგზავნიდე,გვაგზავნიდე,,აგზავნიდე,
მაგზავნიდეს,გაგზავნიდეს,აგზავნიდეს,გვაგზავნიდეს,გაგზავნიდეთ,აგზავნიდეს,
,გაგზავნიდეთ,ვაგზავნიდეთ,,გაგზავნიდეთ,ვაგზავნიდეთ,
მაგზავნიდეთ,,აგზავნიდეთ,გვაგზავნიდეთ,,აგზავნიდეთ,
მაგზავნიდნენ,გაგზავნიდნენ,აგზავნიდნენ,გვაგზავნიდნენ,გაგზავნიდნენ,აგზავნიდნენ,
fut2_subj_prfv
,გადაგაგზავნიდე,გადავაგზავნიდე,,გადაგაგზავნიდეთ,გადავაგზავნიდე,
გადამაგზავნიდე,,გადააგზავნიდე,გადაგვაგზავნიდე,,გადააგზავნიდე,
გადამაგზავნიდეს,გადაგაგზავნიდეს,გადააგზავნიდეს,გადაგვაგზავნიდეს,გადაგაგზავნიდეთ,გადააგზავნიდეს,
,გადაგაგზავნიდეთ,გადავაგზავნიდეთ,,გადაგაგზავნიდეთ,გადავაგზავნიდეთ,
გადამაგზავნიდეთ,,გადააგზავნიდეთ,გადაგვაგზავნიდეთ,,გადააგზავნიდეთ,
გადამაგზავნიდნენ,გადაგაგზავნიდნენ,გადააგზავნიდნენ,გადაგვაგზავნიდნენ,გადაგაგზავნიდნენ,გადააგზავნიდნენ,
aor2
,გაგზავნე,ვაგზავნე,,გაგზავნეთ,ვაგზავნე,
მაგზავნე,,აგზავნე,გვაგზავნე,,აგზავნე,
მაგზავნა,გაგზავნა,აგზავნა,გვაგზავნა,გაგზავნათ,აგზავნა,
,გაგზავნეთ,ვაგზავნეთ,,გაგზავნეთ,ვაგზავნეთ,
მაგზავნეთ,,აგზავნეთ,გვაგზავნეთ,,აგზავნეთ,
მაგზავნეს,გაგზავნეს,აგზავნეს,გვაგზავნეს,გაგზავნეს,აგზავნეს,
aor2_prfv
,გადაგაგზავნე,გადავაგზავნე,,გადაგაგზავნეთ,გადავაგზავნე,
გადამაგზავნე,,გადააგზავნე,გადაგვაგზავნე,,გადააგზავნე,
გადამაგზავნა,გადაგაგზავნა,გადააგზავნა,გადაგვაგზავნა,გადაგაგზავნათ,გადააგზავნა,
,გადაგაგზავნეთ,გადავაგზავნეთ,,გადაგაგზავნეთ,გადავაგზავნეთ,
გადამაგზავნეთ,,გადააგზავნეთ,გადაგვაგზავნეთ,,გადააგზავნეთ,
გადამაგზავნეს,გადაგაგზავნეს,გადააგზავნეს,გადაგვაგზავნეს,გადაგაგზავნეს,გადააგზავნეს,
IIsubj2
,გაგზავნო,ვაგზავნო,,გაგზავნოთ,ვაგზავნო,
მაგზავნო,,აგზავნო,გვაგზავნო,,აგზავნო,
მაგზავნოს,გაგზავნოს,აგზავნოს,გვაგზავნოს,გაგზავნოთ,აგზავნოს,
,გაგზავნოთ,ვაგზავნოთ,,გაგზავნოთ,ვაგზავნოთ,
მაგზავნოთ,,აგზავნოთ,გვაგზავნოთ,,აგზავნოთ,
მაგზავნონ,გაგზავნონ,აგზავნონ,გვაგზავნონ,გაგზავნონ,აგზავნონ,
IIsubj2_prfv
,გადაგაგზავნო,გადავაგზავნო,,გადაგაგზავნოთ,გადავაგზავნო,
გადამაგზავნო,,გადააგზავნო,გადაგვაგზავნო,,გადააგზავნო,
გადამაგზავნოს,გადაგაგზავნოს,გადააგზავნოს,გადაგვაგზავნოს,გადაგაგზავნოთ,გადააგზავნოს,
,გადაგაგზავნოთ,გადავაგზავნოთ,,გადაგაგზავნოთ,გადავაგზავნოთ,
გადამაგზავნოთ,,გადააგზავნოთ,გადაგვაგზავნოთ,,გადააგზავნოთ,
გადამაგზავნონ,გადაგაგზავნონ,გადააგზავნონ,გადაგვაგზავნონ,გადაგაგზავნონ,გადააგზავნონ,
Iturm
,მიგზავნიხარ,მიგზავნია,,მიგზავნიხართ,მიგზავნია,
გიგზავნივარ,,გიგზავნია,გიგზავნივართ,,გიგზავნია,
ვუგზავნივარ,უგზავნიხარ,უგზავნია,ვუგზავნივართ,უგზავნიხართ,უგზავნია,
,გვიგზავნიხარ,გვიგზავნია,,გვიგზავნიხართ,გვიგზავნია,
გიგზავნივართ,,გიგზავნიათ,გიგზავნივართ,,გიგზავნიათ,
ვუგზავნივარ,უგზავნიხარ,უგზავნიათ,ვუგზავნივართ,უგზავნიხართ,უგზავნიათ,
Iturm_prfv
,გადამიგზავნიხარ,გადამიგზავნია,,გადამიგზავნიხართ,გადამიგზავნია,
გადაგიგზავნივარ,,გადაგიგზავნია,გადაგიგზავნივართ,,გადაგიგზავნია,
გადავუგზავნივარ,გადაუგზავნიხარ,გადაუგზავნია,გადავუგზავნივართ,გადაუგზავნიხართ,გადაუგზავნია,
,გადაგვიგზავნიხარ,გადაგვიგზავნია,,გადაგვიგზავნიხართ,გადაგვიგზავნია,
